stat, rank, value, (percentage) 
minecraft.picked_up.dead_horn_coral_block: #2, 125(41%)
minecraft.picked_up.bamboo: #3, 16474(15%)
minecraft.crafted.lime_bed: #1, 25(30%)
minecraft.dropped.yellow_concrete: #1, 17(61%)
minecraft.custom.damage_absorbed: #2, 588(23%)
minecraft.custom.interact_with_beacon: #2, 62(12%)
minecraft.picked_up.dead_fire_coral_fan: #1, 13(36%)
minecraft.crafted.hopper: #2, 1356(11%)
minecraft.killed_by.piglin: #1, 3(60%)
minecraft.dropped.dead_bush: #1, 3(60%)
minecraft.used.dead_horn_coral_block: #2, 124(47%)
minecraft.custom.aviate_one_cm: #2, 702977949(11%)
minecraft.used.water_bucket: #2, 2662(10%)
minecraft.mined.deepslate_brick_slab: #2, 201(17%)
minecraft.picked_up.bread: #2, 436(12%)
minecraft.dropped.acacia_button: #1, 27(87%)
minecraft.used.dark_prismarine_slab: #1, 162(35%)
minecraft.crafted.lapis_lazuli: #2, 1359(12%)
minecraft.crafted.crimson_button: #1, 132(34%)
minecraft.dropped.dead_brain_coral_block: #1, 6(86%)
minecraft.dropped.magma_block: #2, 84(18%)
minecraft.dropped.crimson_nylium: #1, 10(24%)
minecraft.dropped.green_stained_glass: #2, 23(45%)
minecraft.crafted.blaze_powder: #2, 280(11%)
minecraft.mined.dead_bubble_coral_fan: #1, 10(83%)
minecraft.picked_up.dark_prismarine_slab: #1, 12(33%)
minecraft.picked_up.lime_dye: #2, 194(33%)
minecraft.mined.dark_prismarine_slab: #1, 12(41%)
minecraft.picked_up.dark_prismarine: #2, 320(29%)
minecraft.crafted.firework_rocket: #2, 44773(14%)
minecraft.dropped.jungle_sapling: #2, 50(38%)
minecraft.killed.evoker: #1, 304(55%)
minecraft.picked_up.black_concrete_powder: #2, 1821(22%)
minecraft.picked_up.oak_sapling: #2, 1875(10%)
minecraft.crafted.paper: #3, 25494(14%)
minecraft.killed.elder_guardian: #1, 7(27%)
minecraft.dropped.magma_cream: #2, 98(13%)
minecraft.used.iron_block: #2, 4961(11%)
minecraft.killed_by.slime: #1, 2(40%)
minecraft.custom.open_shulker_box: #2, 25116(9%)
minecraft.mined.dark_prismarine_stairs: #1, 7(32%)
minecraft.custom.walk_one_cm: #3, 121449235(8%)
minecraft.picked_up.beacon: #2, 38(12%)
minecraft.used.dead_brain_coral_fan: #1, 11(79%)
minecraft.mined.dead_brain_coral_fan: #1, 11(79%)
minecraft.picked_up.dead_brain_coral_fan: #1, 11(79%)
minecraft.picked_up.wooden_pickaxe: #1, 4(14%)
minecraft.picked_up.nether_bricks: #3, 1224(16%)
minecraft.mined.dead_fire_coral: #1, 7(78%)
minecraft.picked_up.dead_fire_coral: #1, 7(78%)
minecraft.mined.granite: #2, 15278(10%)
minecraft.used.obsidian: #2, 4366(10%)
minecraft.crafted.nether_wart_block: #1, 5(50%)
minecraft.dropped.tube_coral: #1, 2(50%)
minecraft.killed_by.shulker: #1, 2(50%)
minecraft.mined.jungle_button: #1, 4(25%)
minecraft.mined.purple_concrete_powder: #1, 3(75%)
minecraft.dropped.jungle_button: #1, 3(38%)
minecraft.used.lever: #2, 303(10%)
minecraft.custom.open_chest: #2, 32160(9%)
minecraft.dropped.polished_blackstone_brick_slab: #1, 256(74%)
minecraft.used.dark_prismarine: #2, 193(31%)
minecraft.custom.bell_ring: #2, 137(19%)
minecraft.dropped.amethyst_block: #2, 185(22%)
minecraft.crafted.gold_ingot: #3, 26044(13%)
minecraft.crafted.cracked_deepslate_bricks: #2, 943(27%)
minecraft.dropped.dragon_head: #1, 2(29%)
minecraft.used.white_dye: #3, 101(16%)
minecraft.mined.cobweb: #2, 411(11%)
minecraft.mined.stone_brick_wall: #2, 41(14%)
minecraft.dropped.cracked_deepslate_bricks: #1, 251(69%)
minecraft.crafted.minecart: #3, 163(14%)
minecraft.killed.hoglin: #2, 19(15%)
minecraft.mined.dark_oak_sign: #2, 6(14%)
minecraft.mined.dark_prismarine: #2, 313(30%)
minecraft.used.beacon: #2, 34(10%)
minecraft.picked_up.phantom_membrane: #3, 122(13%)
minecraft.dropped.end_stone_bricks: #2, 55(21%)
minecraft.picked_up.yellow_bed: #2, 33(12%)
minecraft.picked_up.anvil: #2, 44(10%)
minecraft.crafted.fishing_rod: #2, 5(19%)
minecraft.dropped.redstone: #3, 511(14%)
minecraft.mined.deepslate_bricks: #3, 627(13%)
minecraft.mined.beacon: #2, 30(10%)
minecraft.picked_up.water_bucket: #2, 36(9%)
minecraft.dropped.cobbled_deepslate: #3, 947(13%)
minecraft.dropped.cobblestone_wall: #2, 117(25%)
minecraft.picked_up.lever: #3, 275(12%)
minecraft.used.allium: #2, 65(25%)
minecraft.used.horn_coral_block: #2, 114(25%)
minecraft.crafted.oak_fence_gate: #2, 59(14%)
minecraft.picked_up.minecart: #2, 128(9%)
minecraft.crafted.stone: #3, 2816(13%)
minecraft.picked_up.golden_axe: #1, 2(40%)
minecraft.dropped.polished_blackstone_pressure_plate: #1, 2(40%)
minecraft.picked_up.sugar: #2, 110(17%)
minecraft.crafted.cookie: #2, 1350(24%)
minecraft.crafted.scaffolding: #3, 2188(15%)
minecraft.dropped.bubble_coral_fan: #1, 4(57%)
minecraft.crafted.white_concrete: #1, 264(38%)
minecraft.picked_up.axolotl_bucket: #2, 11(18%)
minecraft.picked_up.melon_slice: #2, 2060(12%)
minecraft.mined.blue_orchid: #2, 90(18%)
minecraft.used.firework_rocket: #3, 30214(12%)
minecraft.used.white_carpet: #2, 283(10%)
minecraft.picked_up.white_bed: #2, 188(8%)
minecraft.crafted.nether_bricks: #2, 1103(17%)
minecraft.dropped.blaze_rod: #2, 21(34%)
minecraft.mined.deepslate_brick_wall: #2, 22(17%)
minecraft.crafted.tnt: #3, 3007(16%)
minecraft.picked_up.torch: #2, 6504(7%)
minecraft.used.redstone_torch: #3, 614(12%)
minecraft.used.ladder: #2, 370(8%)
minecraft.picked_up.red_stained_glass: #2, 25(17%)
minecraft.dropped.mutton: #2, 31(20%)
minecraft.picked_up.stone_axe: #2, 6(13%)
minecraft.killed_by.piglin_brute: #1, 1(50%)
minecraft.killed_by.vindicator: #1, 2(100%)
minecraft.killed_by.guardian: #1, 1(100%)
minecraft.broken.golden_pickaxe: #1, 1(100%)
minecraft.used.dead_brain_coral: #1, 4(100%)
minecraft.used.lime_banner: #1, 1(25%)
minecraft.used.mutton: #1, 11(100%)
minecraft.used.dead_tube_coral: #1, 4(100%)
minecraft.used.end_stone_brick_wall: #1, 12(100%)
minecraft.mined.potted_dead_bush: #1, 4(100%)
minecraft.mined.dead_tube_coral: #1, 4(100%)
minecraft.mined.dead_brain_coral: #1, 6(100%)
minecraft.mined.end_stone_brick_stairs: #1, 5(100%)
minecraft.mined.dead_horn_coral_fan: #1, 14(100%)
minecraft.mined.dead_bubble_coral: #1, 3(100%)
minecraft.mined.red_nether_brick_wall: #1, 4(100%)
minecraft.picked_up.dead_tube_coral: #1, 4(100%)
minecraft.picked_up.dead_brain_coral: #1, 6(100%)
minecraft.picked_up.end_stone_brick_stairs: #1, 5(100%)
minecraft.picked_up.dead_bubble_coral: #1, 3(100%)
minecraft.crafted.end_stone_brick_wall: #1, 18(100%)
minecraft.crafted.magenta_concrete: #1, 8(100%)
minecraft.crafted.lime_concrete: #1, 16(50%)
minecraft.crafted.lime_stained_glass_pane: #1, 32(25%)
minecraft.crafted.pink_concrete: #1, 8(100%)
minecraft.crafted.yellow_concrete: #1, 8(50%)
minecraft.crafted.green_concrete: #1, 136(100%)
minecraft.crafted.orange_concrete: #1, 8(50%)
minecraft.crafted.golden_sword: #1, 1(50%)
minecraft.crafted.light_blue_concrete: #1, 8(100%)
minecraft.crafted.blue_concrete: #1, 8(100%)
minecraft.dropped.clay_ball: #1, 624(100%)
minecraft.dropped.end_stone_brick_wall: #1, 6(100%)
minecraft.dropped.nether_brick_stairs: #1, 1(100%)
minecraft.dropped.large_amethyst_bud: #1, 5(100%)
minecraft.dropped.wet_sponge: #1, 64(100%)
minecraft.dropped.purple_concrete_powder: #1, 128(100%)
minecraft.dropped.light_weighted_pressure_plate: #1, 32(100%)
minecraft.dropped.lime_carpet: #1, 2(100%)
minecraft.dropped.orange_carpet: #1, 4(100%)
minecraft.dropped.nether_brick_wall: #1, 18(100%)
minecraft.dropped.dead_horn_coral_block: #1, 1(100%)
minecraft.dropped.dead_bubble_coral_block: #1, 49(100%)
minecraft.dropped.crimson_button: #1, 125(100%)
minecraft.mined.yellow_bed: #2, 29(12%)
minecraft.crafted.clay: #2, 138(22%)
minecraft.picked_up.quartz: #3, 6302(12%)
minecraft.picked_up.paper: #3, 672(12%)
minecraft.mined.white_bed: #2, 168(8%)
minecraft.crafted.polished_blackstone_bricks: #2, 2068(22%)
minecraft.dropped.golden_carrot: #3, 700(12%)
minecraft.used.acacia_button: #2, 238(33%)
minecraft.mined.light_gray_carpet: #2, 71(14%)
minecraft.used.suspicious_stew: #2, 8(20%)
minecraft.dropped.rotten_flesh: #3, 12454(12%)
minecraft.mined.lime_concrete_powder: #2, 21(28%)
minecraft.dropped.sea_pickle: #2, 22(28%)
minecraft.dropped.raw_gold: #2, 61(16%)
minecraft.picked_up.piston: #3, 387(13%)
minecraft.used.polished_blackstone_brick_stairs: #2, 951(21%)
minecraft.used.yellow_bed: #2, 27(10%)
minecraft.picked_up.dried_kelp: #2, 1834(38%)
minecraft.used.stone_slab: #3, 2877(13%)
minecraft.picked_up.golden_carrot: #3, 2570(11%)
minecraft.dropped.saddle: #2, 14(19%)
minecraft.mined.oak_leaves: #3, 13591(11%)
minecraft.picked_up.magma_block: #3, 2603(11%)
minecraft.dropped.oak_sapling: #3, 134(12%)
minecraft.picked_up.book: #3, 2420(14%)
minecraft.used.white_bed: #2, 171(7%)
minecraft.dropped.brown_mushroom: #3, 47(19%)
minecraft.used.item_frame: #3, 529(11%)
minecraft.picked_up.firework_rocket: #3, 4916(11%)
minecraft.crafted.oak_door: #2, 9(11%)
minecraft.crafted.netherite_shovel: #2, 4(18%)
minecraft.dropped.jungle_log: #2, 65(20%)
minecraft.used.magma_block: #3, 2168(13%)
minecraft.picked_up.milk_bucket: #2, 7(20%)
minecraft.dropped.purpur_block: #2, 45(20%)
minecraft.mined.magma_block: #3, 2542(11%)
minecraft.picked_up.saddle: #2, 50(10%)
minecraft.used.bow: #3, 4409(11%)
minecraft.used.cooked_mutton: #2, 30(10%)
minecraft.picked_up.sticky_piston: #3, 186(12%)
minecraft.custom.interact_with_anvil: #3, 447(9%)
minecraft.used.dark_oak_trapdoor: #3, 539(12%)
minecraft.used.end_stone: #3, 367(14%)
minecraft.crafted.small_dripleaf: #2, 242(21%)
minecraft.dropped.cobblestone_slab: #2, 199(13%)
minecraft.crafted.dark_prismarine_slab: #2, 156(33%)
minecraft.mined.bamboo: #3, 918(11%)
minecraft.dropped.lime_dye: #2, 56(41%)
minecraft.picked_up.crimson_planks: #2, 52(28%)
minecraft.mined.sand: #3, 67265(10%)
minecraft.crafted.cooked_porkchop: #2, 50(8%)
minecraft.picked_up.stone_shovel: #2, 5(18%)
minecraft.used.red_stained_glass: #2, 224(12%)
minecraft.mined.spawner: #2, 10(14%)
minecraft.dropped.comparator: #2, 57(23%)
minecraft.used.coal_ore: #3, 2041(10%)
minecraft.used.powered_rail: #3, 1436(10%)
minecraft.picked_up.jungle_button: #2, 9(26%)
minecraft.picked_up.dragon_breath: #2, 76(26%)
minecraft.picked_up.raw_iron: #3, 12393(10%)
minecraft.picked_up.ladder: #2, 396(6%)
minecraft.used.nether_gold_ore: #2, 16(38%)
minecraft.crafted.diamond_block: #3, 195(11%)
minecraft.crafted.dark_oak_trapdoor: #3, 512(11%)
minecraft.picked_up.nether_brick_wall: #2, 21(38%)
minecraft.crafted.ender_eye: #2, 100(7%)
minecraft.dropped.cobbled_deepslate_slab: #2, 22(17%)
minecraft.dropped.slime_ball: #2, 482(10%)
minecraft.dropped.string: #3, 495(10%)
minecraft.picked_up.dark_oak_trapdoor: #3, 116(11%)
minecraft.used.gilded_blackstone: #2, 45(36%)
minecraft.dropped.vine: #2, 99(24%)
minecraft.used.pumpkin: #3, 293(12%)
minecraft.mined.dirt: #3, 38361(9%)
minecraft.mined.repeater: #3, 216(10%)
minecraft.picked_up.oak_planks: #3, 1411(9%)
minecraft.dropped.stone_brick_slab: #2, 137(11%)
minecraft.picked_up.dragon_head: #3, 17(13%)
minecraft.crafted.acacia_planks: #3, 4864(12%)
minecraft.picked_up.raw_copper_block: #2, 34(12%)
minecraft.crafted.iron_ingot: #3, 22308(9%)
minecraft.picked_up.sand: #3, 67411(9%)
minecraft.used.blackstone: #4, 3506(15%)
minecraft.crafted.apple: #2, 364(12%)
minecraft.killed.piglin_brute: #2, 14(26%)
minecraft.used.golden_pickaxe: #2, 32(44%)
minecraft.mined.mossy_stone_brick_slab: #2, 15(19%)
minecraft.mined.iron_ore: #3, 7347(9%)
minecraft.crafted.coal: #3, 5976(9%)
minecraft.picked_up.rotten_flesh: #3, 7708(8%)
minecraft.picked_up.copper_ore: #3, 992(9%)
minecraft.picked_up.crafting_table: #3, 289(8%)
minecraft.mined.big_dripleaf_stem: #3, 29(19%)
minecraft.crafted.golden_carrot: #3, 4961(11%)
minecraft.picked_up.arrow: #3, 4694(8%)
minecraft.dropped.lime_bed: #2, 10(42%)
minecraft.dropped.lava_bucket: #2, 6(20%)
minecraft.used.crimson_button: #2, 59(24%)
minecraft.mined.infested_stone_bricks: #2, 37(30%)
minecraft.dropped.bread: #4, 1307(17%)
minecraft.killed.creeper: #3, 503(8%)
minecraft.dropped.lever: #3, 25(12%)
minecraft.mined.anvil: #3, 27(9%)
minecraft.killed.pig: #2, 31(6%)
minecraft.custom.damage_resisted: #2, 907(7%)
minecraft.dropped.deepslate_iron_ore: #2, 8(19%)
minecraft.mined.lily_of_the_valley: #3, 29(13%)
minecraft.dropped.ice: #2, 64(14%)
minecraft.dropped.diamond_ore: #2, 3(27%)
minecraft.mined.green_bed: #2, 28(15%)
minecraft.dropped.emerald_block: #2, 64(18%)
minecraft.crafted.mossy_stone_brick_wall: #2, 48(35%)
minecraft.mined.shulker_box: #3, 1986(8%)
minecraft.picked_up.elytra: #3, 66(8%)
minecraft.custom.interact_with_crafting_table: #3, 3169(7%)
minecraft.used.andesite_slab: #2, 380(6%)
minecraft.used.dead_horn_coral_fan: #2, 1(25%)
minecraft.killed_by.ender_dragon: #2, 2(25%)
minecraft.dropped.damaged_anvil: #2, 1(33%)
minecraft.dropped.music_disc_cat: #2, 1(33%)
minecraft.mined.stone_stairs: #3, 115(10%)
minecraft.crafted.acacia_button: #2, 112(16%)
minecraft.dropped.dragon_breath: #2, 64(25%)
minecraft.mined.crafting_table: #3, 230(7%)
minecraft.used.shulker_box: #3, 1977(7%)
minecraft.dropped.furnace: #3, 7(19%)
minecraft.dropped.horn_coral_fan: #2, 3(19%)
minecraft.dropped.medium_amethyst_bud: #2, 4(31%)
minecraft.mined.black_concrete_powder: #3, 65(16%)
minecraft.dropped.diamond_leggings: #3, 8(11%)
minecraft.used.end_crystal: #3, 86(16%)
minecraft.crafted.raw_gold: #3, 1044(19%)
minecraft.used.small_dripleaf: #3, 47(17%)
minecraft.used.golden_axe: #2, 27(45%)
minecraft.dropped.green_dye: #2, 16(13%)
minecraft.used.crafting_table: #3, 273(7%)
minecraft.mined.slime_block: #3, 463(10%)
minecraft.dropped.glowstone_dust: #2, 285(6%)
minecraft.crafted.dried_kelp_block: #2, 387(13%)
minecraft.dropped.writable_book: #3, 6(9%)
minecraft.dropped.orange_dye: #2, 20(22%)
minecraft.killed_by.cave_spider: #2, 3(43%)
minecraft.mined.seagrass: #3, 426(7%)
minecraft.dropped.item_frame: #3, 10(14%)
minecraft.used.bucket: #3, 3134(7%)
minecraft.crafted.light_weighted_pressure_plate: #2, 32(16%)
minecraft.dropped.end_stone: #3, 44(15%)
minecraft.dropped.brown_dye: #2, 6(20%)
minecraft.picked_up.dead_bubble_coral_block: #2, 58(13%)
minecraft.dropped.ladder: #2, 231(6%)
minecraft.picked_up.dead_bubble_coral_fan: #2, 10(38%)
minecraft.picked_up.enchanting_table: #3, 4(12%)
minecraft.dropped.repeater: #3, 47(16%)
minecraft.crafted.crafting_table: #3, 95(7%)
minecraft.dropped.dark_oak_trapdoor: #3, 16(12%)
minecraft.killed.sheep: #3, 36(8%)
minecraft.crafted.lapis_block: #3, 317(8%)
minecraft.used.slime_block: #3, 629(9%)
minecraft.used.andesite: #4, 4313(10%)
minecraft.picked_up.smooth_sandstone_slab: #3, 134(11%)
minecraft.picked_up.red_nether_bricks: #3, 48(24%)
minecraft.picked_up.writable_book: #3, 12(8%)
minecraft.crafted.raw_gold_block: #3, 127(11%)
minecraft.killed_by.zombie_villager: #2, 3(14%)
minecraft.dropped.soul_soil: #3, 72(17%)
minecraft.custom.fly_one_cm: #4, 64741380(5%)
minecraft.dropped.deepslate_brick_wall: #2, 2(33%)
minecraft.picked_up.music_disc_blocks: #2, 1(33%)
minecraft.crafted.light_gray_concrete: #2, 8(33%)
minecraft.crafted.red_concrete: #2, 8(33%)
minecraft.dropped.cracked_polished_blackstone_bricks: #2, 68(22%)
minecraft.dropped.bubble_coral: #2, 1(33%)
minecraft.picked_up.dead_tube_coral_block: #2, 16(9%)
minecraft.mined.comparator: #4, 75(12%)
minecraft.used.deepslate_brick_slab: #4, 1012(13%)
minecraft.picked_up.end_crystal: #3, 172(18%)
minecraft.picked_up.iron_bars: #4, 264(11%)
minecraft.dropped.ender_eye: #2, 7(16%)
minecraft.crafted.crimson_trapdoor: #3, 120(15%)
minecraft.dropped.sand: #3, 677(6%)
minecraft.picked_up.redstone_lamp: #4, 90(14%)
minecraft.crafted.oak_boat: #2, 30(2%)
minecraft.mined.infested_cracked_stone_bricks: #2, 2(29%)
minecraft.crafted.gold_block: #3, 846(7%)
minecraft.picked_up.coal_ore: #4, 3858(10%)
minecraft.mined.wither_skeleton_skull: #2, 4(11%)
minecraft.dropped.golden_horse_armor: #2, 1(11%)
minecraft.picked_up.pumpkin: #3, 1053(7%)
minecraft.used.netherite_shovel: #3, 108437(13%)
minecraft.used.mossy_stone_brick_slab: #3, 122(25%)
minecraft.picked_up.acacia_boat: #3, 11(15%)
minecraft.dropped.activator_rail: #2, 1(17%)
minecraft.picked_up.birch_boat: #3, 28(9%)
minecraft.killed.wandering_trader: #3, 7(9%)
minecraft.crafted.lever: #3, 167(6%)
minecraft.used.netherite_axe: #3, 19842(13%)
minecraft.dropped.black_stained_glass_pane: #2, 25(16%)
minecraft.mined.infested_mossy_stone_bricks: #2, 3(23%)
minecraft.crafted.end_crystal: #2, 86(11%)
minecraft.picked_up.packed_ice: #3, 1756(8%)
minecraft.picked_up.chainmail_boots: #3, 8(8%)
minecraft.picked_up.gold_nugget: #2, 9461(2%)
minecraft.picked_up.dead_fire_coral_block: #3, 24(20%)
minecraft.picked_up.powered_rail: #3, 606(6%)
minecraft.picked_up.stone_pickaxe: #3, 4(8%)
minecraft.used.acacia_boat: #3, 10(13%)
minecraft.crafted.brown_wool: #2, 65(4%)
minecraft.dropped.player_head: #3, 255(6%)
minecraft.dropped.crimson_planks: #2, 8(8%)
minecraft.used.dead_tube_coral_block: #2, 15(13%)
minecraft.mined.bamboo_sapling: #3, 11(14%)
minecraft.mined.frosted_ice: #2, 2(18%)
minecraft.killed.horse: #2, 24(9%)
minecraft.used.dead_bubble_coral_fan: #2, 3(18%)
minecraft.used.cracked_polished_blackstone_bricks: #2, 306(6%)
minecraft.picked_up.oak_sign: #4, 86(9%)
minecraft.used.warped_planks: #3, 418(10%)
minecraft.killed.vex: #2, 3(17%)
minecraft.used.warped_slab: #3, 211(11%)
minecraft.picked_up.iron_ore: #4, 2274(9%)
minecraft.mined.oak_fence: #4, 263(10%)
minecraft.dropped.small_amethyst_bud: #2, 4(16%)
minecraft.crafted.cracked_polished_blackstone_bricks: #2, 421(8%)
minecraft.dropped.glass_bottle: #2, 178(2%)
minecraft.picked_up.porkchop: #3, 86(6%)
minecraft.picked_up.red_nether_brick_wall: #2, 4(14%)
minecraft.used.observer: #4, 584(9%)
minecraft.picked_up.dispenser: #4, 71(9%)
minecraft.picked_up.wet_sponge: #3, 767(11%)
minecraft.mined.polished_blackstone_brick_slab: #2, 33(2%)
minecraft.dropped.nether_bricks: #3, 4(12%)
minecraft.crafted.raw_copper: #3, 1851(7%)
minecraft.picked_up.oak_fence: #4, 315(9%)
minecraft.crafted.red_dye: #4, 950(9%)
minecraft.picked_up.raw_iron_block: #2, 49(2%)
minecraft.picked_up.small_dripleaf: #2, 6(4%)
minecraft.used.deepslate_coal_ore: #4, 253(12%)
minecraft.dropped.lantern: #3, 43(12%)
minecraft.used.jack_o_lantern: #3, 165(8%)
minecraft.crafted.cobblestone_slab: #4, 798(10%)
minecraft.dropped.fire_charge: #2, 15(3%)
minecraft.mined.dispenser: #4, 56(9%)
minecraft.crafted.lectern: #4, 39(11%)
minecraft.picked_up.nether_quartz_ore: #4, 961(10%)
minecraft.used.bread: #3, 171(5%)
minecraft.dropped.beacon: #3, 2(20%)
minecraft.used.porkchop: #3, 4(20%)
minecraft.picked_up.mutton: #4, 78(10%)
minecraft.picked_up.light_gray_carpet: #4, 189(15%)
minecraft.crafted.enchanted_book: #4, 874(13%)
minecraft.dropped.brain_coral_fan: #2, 2(10%)
minecraft.crafted.cooked_mutton: #3, 32(7%)
minecraft.mined.brown_mushroom: #4, 90(10%)
minecraft.dropped.prismarine: #3, 82(17%)
minecraft.mined.wet_sponge: #3, 698(11%)
minecraft.dropped.white_carpet: #3, 13(10%)
minecraft.picked_up.blaze_rod: #4, 248(9%)
minecraft.picked_up.lily_of_the_valley: #3, 146(6%)
minecraft.picked_up.glow_ink_sac: #4, 384(8%)
minecraft.picked_up.stone_pressure_plate: #3, 20(6%)
minecraft.picked_up.gravel: #4, 19096(8%)
minecraft.mined.light_gray_stained_glass: #3, 63(7%)
minecraft.crafted.cyan_concrete: #2, 8(6%)
minecraft.dropped.smooth_sandstone_stairs: #2, 4(3%)
minecraft.dropped.minecart: #3, 6(6%)
minecraft.crafted.gray_concrete: #2, 8(3%)
minecraft.crafted.jungle_button: #3, 8(15%)
minecraft.mined.orange_carpet: #2, 1(3%)
minecraft.picked_up.spider_eye: #4, 485(8%)
minecraft.mined.torch: #4, 1774(8%)
minecraft.picked_up.gray_concrete_powder: #3, 162(10%)
minecraft.crafted.red_stained_glass: #3, 328(8%)
minecraft.dropped.bubble_coral_block: #2, 2(2%)
minecraft.mined.deepslate: #4, 28831(8%)
minecraft.used.nether_bricks: #4, 390(10%)
minecraft.crafted.dark_oak_sign: #4, 219(11%)
minecraft.dropped.sandstone_stairs: #2, 1(1%)
minecraft.crafted.brown_concrete: #2, 8(0%)
minecraft.picked_up.shulker_box: #4, 2017(7%)
minecraft.dropped.oak_sign: #4, 15(9%)
minecraft.picked_up.green_bed: #3, 30(14%)
minecraft.dropped.white_bed: #3, 8(8%)
minecraft.mined.smooth_sandstone_slab: #3, 68(6%)
minecraft.used.green_bed: #3, 28(14%)
minecraft.crafted.raw_copper_block: #3, 285(5%)
minecraft.crafted.jungle_fence: #4, 129(14%)
minecraft.picked_up.calcite: #4, 2760(8%)
minecraft.crafted.red_concrete_powder: #4, 1600(12%)
minecraft.picked_up.cobblestone_slab: #4, 192(7%)
minecraft.dropped.chiseled_sandstone: #3, 1(17%)
minecraft.mined.carved_pumpkin: #4, 263(9%)
minecraft.mined.nether_brick_fence: #4, 48(10%)
minecraft.crafted.slime_block: #3, 1338(5%)
minecraft.dropped.gold_ore: #3, 5(10%)
minecraft.crafted.deepslate: #3, 70(7%)
minecraft.picked_up.coal: #4, 12345(7%)
minecraft.dropped.gunpowder: #3, 368(3%)
minecraft.dropped.blue_bed: #3, 1(25%)
minecraft.dropped.wooden_sword: #3, 2(12%)
minecraft.custom.play_time: #5, 49115565(5%)
minecraft.custom.total_world_time: #5, 49115565(5%)
minecraft.used.netherite_helmet: #3, 3(12%)
minecraft.killed.silverfish: #4, 45(11%)
minecraft.dropped.smooth_stone: #4, 64(14%)
minecraft.mined.cobblestone_slab: #4, 192(7%)
minecraft.dropped.jack_o_lantern: #3, 7(18%)
minecraft.mined.dead_fire_coral_block: #3, 12(12%)
minecraft.picked_up.stone_brick_wall: #4, 54(9%)
minecraft.crafted.golden_apple: #4, 83(10%)
minecraft.used.melon_slice: #3, 78(16%)
minecraft.picked_up.gilded_blackstone: #3, 41(16%)
minecraft.dropped.clay: #3, 3(11%)
minecraft.used.netherite_leggings: #3, 4(16%)
minecraft.mined.lime_stained_glass_pane: #3, 14(13%)
minecraft.mined.gilded_blackstone: #3, 40(21%)
minecraft.picked_up.lapis_lazuli: #4, 2984(6%)
minecraft.mined.warped_planks: #3, 66(5%)
minecraft.picked_up.bee_nest: #4, 14(11%)
minecraft.picked_up.raw_gold: #4, 1314(6%)
minecraft.dropped.smithing_table: #3, 1(20%)
minecraft.used.lime_stained_glass_pane: #3, 14(12%)
minecraft.crafted.polished_blackstone: #4, 2105(8%)
minecraft.mined.dropper: #4, 53(9%)
minecraft.dropped.glowstone: #3, 43(8%)
minecraft.used.stone_brick_wall: #4, 155(8%)
minecraft.dropped.oak_fence: #4, 31(7%)
minecraft.custom.eat_cake_slice: #3, 7(7%)
minecraft.mined.sandstone_stairs: #3, 49(7%)
minecraft.picked_up.blue_candle: #3, 12(7%)
minecraft.mined.gravel: #4, 14308(6%)
minecraft.picked_up.sandstone_slab: #4, 54(10%)
minecraft.used.oak_fence: #4, 276(7%)
minecraft.dropped.filled_map: #4, 7(8%)
minecraft.mined.bookshelf: #5, 713(12%)
minecraft.picked_up.orange_dye: #3, 20(6%)
minecraft.mined.enchanting_table: #4, 3(10%)
minecraft.crafted.smooth_sandstone_slab: #3, 66(4%)
minecraft.dropped.tube_coral_fan: #3, 2(9%)
minecraft.dropped.dead_tube_coral_block: #3, 1(14%)
minecraft.used.sugar_cane: #4, 643(6%)
minecraft.dropped.dark_prismarine: #3, 4(11%)
minecraft.crafted.lime_banner: #3, 1(8%)
minecraft.mined.nether_bricks: #5, 849(11%)
minecraft.crafted.magenta_wool: #3, 1(10%)
minecraft.used.ancient_debris: #3, 3(6%)
minecraft.picked_up.rail: #5, 1843(9%)
minecraft.dropped.crimson_stem: #3, 51(10%)
minecraft.crafted.orange_wool: #3, 3(8%)
minecraft.picked_up.cooked_porkchop: #4, 116(9%)
minecraft.dropped.feather: #4, 42(8%)
minecraft.dropped.red_wool: #4, 95(12%)
minecraft.crafted.crimson_planks: #4, 1692(8%)
minecraft.killed_by.ravager: #3, 1(7%)
minecraft.mined.dead_tube_coral_block: #3, 15(9%)
minecraft.picked_up.golden_boots: #4, 19(6%)
minecraft.mined.packed_ice: #4, 1625(7%)
minecraft.picked_up.spore_blossom: #4, 17(7%)
minecraft.picked_up.cooked_mutton: #4, 18(8%)
minecraft.dropped.birch_slab: #3, 9(3%)
minecraft.used.horn_coral_fan: #3, 13(3%)
minecraft.mined.blue_bed: #3, 5(3%)
minecraft.dropped.brain_coral: #3, 1(9%)
minecraft.dropped.lime_wool: #3, 156(7%)
minecraft.used.polished_blackstone_brick_slab: #3, 295(2%)
minecraft.used.beef: #3, 1(8%)
minecraft.dropped.ender_chest: #4, 9(7%)
minecraft.picked_up.orange_carpet: #3, 4(8%)
minecraft.mined.warped_slab: #4, 20(11%)
minecraft.used.black_concrete_powder: #4, 2600(6%)
minecraft.dropped.smooth_quartz: #3, 3(4%)
minecraft.picked_up.blue_bed: #3, 4(3%)
minecraft.used.brain_coral: #3, 6(3%)
minecraft.mined.rail: #5, 1228(8%)
minecraft.used.bubble_coral_fan: #3, 12(2%)
minecraft.dropped.green_bed: #3, 1(4%)
