stat, rank, value, (percentage) 
minecraft.custom.interact_with_furnace: #3, 2738(8%)
minecraft.crafted.redstone_block: #3, 1462(8%)
minecraft.picked_up.waxed_cut_copper_stairs: #2, 15(26%)
minecraft.killed.cod: #3, 144(12%)
minecraft.picked_up.jungle_boat: #3, 15(19%)
minecraft.broken.golden_leggings: #2, 1(20%)
minecraft.used.leather_helmet: #2, 1(14%)
minecraft.dropped.nether_star: #2, 1(25%)
minecraft.dropped.soul_lantern: #2, 1(20%)
minecraft.dropped.light_blue_banner: #2, 1(33%)
minecraft.mined.dead_horn_coral_wall_fan: #2, 2(33%)
minecraft.mined.orange_stained_glass_pane: #2, 2(33%)
minecraft.dropped.spruce_fence: #3, 42(15%)
minecraft.killed.glow_squid: #3, 15(9%)
minecraft.picked_up.bubble_coral_block: #2, 1276(11%)
minecraft.dropped.red_tulip: #2, 16(20%)
minecraft.picked_up.lapis_lazuli: #3, 3613(8%)
minecraft.used.oxidized_cut_copper: #2, 121(11%)
minecraft.picked_up.orange_concrete: #2, 212(12%)
minecraft.crafted.dark_oak_planks: #3, 6948(8%)
minecraft.mined.cracked_deepslate_bricks: #3, 94(19%)
minecraft.picked_up.pink_carpet: #2, 5(31%)
minecraft.used.cobbled_deepslate_slab: #4, 1071(13%)
minecraft.used.bubble_coral_fan: #2, 65(13%)
minecraft.used.brain_coral: #2, 30(16%)
minecraft.picked_up.lime_concrete: #2, 518(8%)
minecraft.crafted.polished_blackstone: #3, 2550(10%)
minecraft.used.polished_deepslate_wall: #3, 689(10%)
minecraft.crafted.black_dye: #3, 2744(8%)
minecraft.used.ender_pearl: #3, 639(8%)
minecraft.crafted.writable_book: #3, 18(9%)
minecraft.mined.yellow_candle: #2, 2(22%)
minecraft.dropped.black_wool: #3, 54(17%)
minecraft.picked_up.cobweb: #3, 258(12%)
minecraft.picked_up.furnace: #3, 124(7%)
minecraft.picked_up.red_mushroom: #3, 132(10%)
minecraft.mined.stripped_warped_stem: #3, 320(19%)
minecraft.picked_up.netherite_chestplate: #2, 1(14%)
minecraft.used.orange_concrete: #2, 201(14%)
minecraft.used.medium_amethyst_bud: #2, 109(9%)
minecraft.mined.acacia_log: #3, 1810(11%)
minecraft.crafted.glow_item_frame: #3, 45(10%)
minecraft.picked_up.stripped_warped_stem: #3, 320(18%)
minecraft.mined.red_tulip: #2, 18(10%)
minecraft.killed_by.slime: #2, 1(20%)
minecraft.mined.light_blue_wall_banner: #2, 2(40%)
minecraft.mined.deepslate_brick_slab: #3, 130(11%)
minecraft.picked_up.cut_sandstone_slab: #3, 80(14%)
minecraft.mined.tube_coral: #3, 57(15%)
minecraft.mined.cut_sandstone_slab: #3, 80(15%)
minecraft.used.large_amethyst_bud: #2, 94(11%)
minecraft.picked_up.shears: #3, 47(8%)
minecraft.mined.tube_coral_fan: #3, 43(20%)
minecraft.mined.medium_amethyst_bud: #2, 117(6%)
minecraft.mined.chain: #3, 98(8%)
minecraft.used.polished_blackstone_brick_wall: #2, 120(13%)
minecraft.dropped.beef: #2, 50(8%)
minecraft.mined.polished_blackstone_brick_stairs: #3, 50(20%)
minecraft.broken.leather_boots: #2, 1(25%)
minecraft.used.pink_banner: #2, 3(38%)
minecraft.mined.poppy: #3, 178(7%)
minecraft.picked_up.tube_coral: #3, 58(16%)
minecraft.picked_up.medium_amethyst_bud: #2, 109(7%)
minecraft.used.sea_pickle: #3, 1472(11%)
minecraft.mined.cake: #2, 1(14%)
minecraft.dropped.wheat: #2, 316(4%)
minecraft.used.oak_door: #3, 8(10%)
minecraft.picked_up.light_blue_concrete: #2, 67(7%)
minecraft.mined.light_blue_concrete: #2, 73(8%)
minecraft.dropped.lilac: #2, 14(8%)
minecraft.crafted.waxed_copper_block: #2, 330(23%)
minecraft.broken.wooden_sword: #2, 1(33%)
minecraft.dropped.warped_door: #2, 2(33%)
minecraft.dropped.pink_bed: #2, 1(33%)
minecraft.crafted.iron_helmet: #3, 6(7%)
minecraft.crafted.spyglass: #3, 4(14%)
minecraft.used.black_concrete: #4, 2914(13%)
minecraft.picked_up.deepslate_brick_slab: #3, 159(9%)
minecraft.mined.brain_coral: #3, 74(15%)
minecraft.mined.acacia_sapling: #3, 38(18%)
minecraft.mined.yellow_terracotta: #2, 13(5%)
minecraft.mined.brain_coral_fan: #3, 45(18%)
minecraft.used.blue_concrete_powder: #3, 131(23%)
minecraft.killed_by.piglin: #2, 1(20%)
minecraft.broken.bow: #2, 1(20%)
minecraft.used.stone_brick_wall: #3, 157(8%)
minecraft.picked_up.golden_helmet: #3, 20(7%)
minecraft.used.polished_deepslate_stairs: #4, 1502(13%)
minecraft.mined.stone_brick_wall: #3, 27(9%)
minecraft.mined.light_blue_banner: #2, 1(14%)
minecraft.picked_up.small_amethyst_bud: #2, 154(5%)
minecraft.mined.small_amethyst_bud: #2, 162(4%)
minecraft.crafted.weathered_cut_copper: #2, 4(18%)
minecraft.mined.lime_concrete: #2, 524(5%)
minecraft.picked_up.deepslate_tile_slab: #4, 635(11%)
minecraft.picked_up.podzol: #3, 438(7%)
minecraft.picked_up.gray_bed: #2, 19(26%)
minecraft.picked_up.black_stained_glass_pane: #3, 126(17%)
minecraft.mined.deepslate_gold_ore: #4, 316(10%)
minecraft.crafted.lime_concrete_powder: #2, 432(5%)
minecraft.used.netherrack: #4, 5205(10%)
minecraft.used.magenta_banner: #2, 1(25%)
minecraft.mined.waxed_weathered_cut_copper_slab: #2, 1(25%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #2, 1(25%)
minecraft.picked_up.pink_banner: #2, 1(25%)
minecraft.crafted.blue_bed: #2, 2(25%)
minecraft.dropped.yellow_carpet: #2, 1(25%)
minecraft.mined.deepslate_diamond_ore: #4, 247(10%)
minecraft.used.waxed_oxidized_cut_copper_stairs: #2, 6(24%)
minecraft.crafted.blue_concrete_powder: #3, 128(21%)
minecraft.mined.dead_tube_coral_block: #2, 20(12%)
minecraft.used.lime_concrete_powder: #2, 369(4%)
minecraft.dropped.white_wool: #3, 62(9%)
minecraft.picked_up.stripped_warped_hyphae: #3, 186(18%)
minecraft.used.deepslate_brick_stairs: #4, 957(13%)
minecraft.picked_up.paper: #4, 551(10%)
minecraft.picked_up.diamond: #4, 1316(9%)
minecraft.dropped.lime_shulker_box: #2, 3(11%)
minecraft.used.dead_horn_coral: #2, 1(14%)
minecraft.mined.dead_horn_coral: #2, 1(14%)
minecraft.picked_up.dead_horn_coral: #2, 1(14%)
minecraft.crafted.netherite_block: #2, 1(14%)
minecraft.used.light_gray_wool: #3, 810(13%)
minecraft.used.cobbled_deepslate_stairs: #4, 389(15%)
minecraft.dropped.nether_quartz_ore: #2, 13(4%)
minecraft.used.milk_bucket: #3, 15(8%)
minecraft.picked_up.fire_charge: #3, 170(12%)
minecraft.picked_up.white_banner: #3, 28(6%)
minecraft.used.coal_ore: #4, 1908(10%)
minecraft.used.lime_concrete: #2, 489(4%)
minecraft.dropped.amethyst_shard: #4, 73(15%)
minecraft.mined.nether_brick_stairs: #2, 5(5%)
minecraft.killed.wither: #2, 3(3%)
minecraft.dropped.stone_brick_wall: #3, 49(15%)
minecraft.mined.deepslate_tile_slab: #4, 427(10%)
minecraft.used.hay_block: #3, 163(7%)
minecraft.used.stone_brick_stairs: #4, 829(12%)
minecraft.used.deepslate_tile_stairs: #4, 1617(10%)
minecraft.killed.endermite: #3, 10(8%)
minecraft.used.dark_oak_door: #3, 18(10%)
minecraft.mined.waxed_weathered_cut_copper: #2, 2(17%)
minecraft.picked_up.waxed_weathered_cut_copper: #2, 2(17%)
minecraft.used.emerald_ore: #3, 7(17%)
minecraft.custom.walk_on_water_one_cm: #5, 4089586(7%)
minecraft.used.cut_copper_stairs: #3, 328(10%)
minecraft.dropped.birch_boat: #2, 6(3%)
minecraft.dropped.ghast_tear: #3, 64(22%)
minecraft.picked_up.baked_potato: #4, 1139(10%)
minecraft.mined.blue_candle: #3, 6(19%)
minecraft.crafted.spruce_trapdoor: #4, 1283(10%)
minecraft.custom.boat_one_cm: #4, 9366751(8%)
minecraft.dropped.cooked_porkchop: #3, 28(9%)
minecraft.dropped.red_mushroom: #3, 24(16%)
minecraft.dropped.amethyst_block: #3, 96(12%)
minecraft.crafted.gray_wool: #4, 374(16%)
minecraft.dropped.birch_stairs: #2, 3(9%)
minecraft.used.rooted_dirt: #3, 247(7%)
minecraft.dropped.birch_sign: #4, 23(16%)
minecraft.crafted.yellow_banner: #2, 1(7%)
minecraft.used.oxidized_cut_copper_slab: #3, 296(10%)
minecraft.dropped.acacia_button: #2, 4(13%)
minecraft.mined.black_shulker_box: #4, 109(19%)
minecraft.crafted.netherite_ingot: #3, 22(8%)
minecraft.used.cracked_deepslate_bricks: #3, 503(11%)
minecraft.dropped.soul_torch: #2, 3(6%)
minecraft.used.chorus_flower: #3, 12(15%)
minecraft.crafted.waxed_cut_copper: #2, 41(11%)
minecraft.used.pink_shulker_box: #3, 46(13%)
minecraft.mined.fire_coral: #3, 67(13%)
minecraft.crafted.blue_shulker_box: #3, 2(13%)
minecraft.used.green_banner: #3, 4(20%)
minecraft.used.chain: #4, 663(9%)
minecraft.picked_up.spruce_sapling: #4, 1253(9%)
minecraft.used.small_amethyst_bud: #2, 68(2%)
minecraft.used.yellow_banner: #2, 1(4%)
minecraft.mined.birch_log: #4, 2927(8%)
minecraft.picked_up.polished_blackstone_button: #4, 110(10%)
minecraft.crafted.netherite_pickaxe: #3, 4(9%)
minecraft.picked_up.raw_iron: #4, 10518(8%)
minecraft.mined.oxidized_cut_copper_slab: #3, 115(13%)
minecraft.dropped.melon_seeds: #3, 9(19%)
minecraft.used.purpur_pillar: #3, 33(10%)
minecraft.used.waxed_exposed_cut_copper_stairs: #2, 8(4%)
minecraft.used.wheat_seeds: #4, 9874(9%)
minecraft.picked_up.birch_fence_gate: #3, 4(16%)
minecraft.picked_up.netherite_block: #2, 1(4%)
minecraft.mined.bricks: #3, 42(9%)
minecraft.mined.andesite: #4, 13898(8%)
minecraft.used.netherite_block: #2, 1(3%)
minecraft.used.golden_carrot: #4, 2922(8%)
minecraft.used.tuff: #4, 1340(9%)
minecraft.picked_up.waxed_oxidized_copper: #2, 3(3%)
minecraft.mined.waxed_oxidized_copper: #2, 3(3%)
minecraft.crafted.blue_dye: #4, 700(9%)
minecraft.picked_up.oxidized_cut_copper_slab: #3, 122(11%)
minecraft.mined.stripped_warped_hyphae: #3, 117(13%)
minecraft.dropped.tipped_arrow: #2, 51(1%)
minecraft.picked_up.diamond_pickaxe: #4, 69(7%)
minecraft.dropped.spyglass: #3, 2(11%)
minecraft.custom.aviate_one_cm: #4, 518231626(8%)
minecraft.dropped.quartz_slab: #2, 1(2%)
minecraft.mined.farmland: #4, 198(8%)
minecraft.dropped.purple_dye: #2, 1(2%)
minecraft.dropped.blaze_powder: #2, 2(1%)
minecraft.killed.zombified_piglin: #2, 264(0%)
minecraft.mined.granite: #4, 12222(8%)
minecraft.mined.chiseled_polished_blackstone: #3, 7(17%)
minecraft.mined.warped_fungus: #4, 56(10%)
minecraft.used.waxed_oxidized_copper: #2, 3(1%)
minecraft.mined.stone: #4, 208644(7%)
minecraft.crafted.soul_campfire: #3, 40(14%)
minecraft.mined.iron_ore: #4, 6364(8%)
minecraft.dropped.netherite_helmet: #3, 2(12%)
minecraft.dropped.netherite_ingot: #3, 5(17%)
minecraft.dropped.white_tulip: #3, 2(14%)
minecraft.crafted.brick_wall: #3, 35(14%)
minecraft.picked_up.axolotl_bucket: #3, 5(8%)
minecraft.used.yellow_dye: #3, 3(11%)
minecraft.used.pink_carpet: #3, 10(19%)
minecraft.used.light_gray_concrete_powder: #4, 1591(10%)
minecraft.picked_up.deepslate_tiles: #4, 637(8%)
minecraft.used.weathered_cut_copper: #3, 4(19%)
minecraft.used.glow_item_frame: #4, 52(9%)
minecraft.picked_up.pink_shulker_box: #3, 46(14%)
minecraft.picked_up.birch_sign: #4, 72(7%)
minecraft.crafted.acacia_door: #3, 6(12%)
minecraft.crafted.cyan_shulker_box: #3, 2(12%)
minecraft.mined.pink_shulker_box: #3, 45(13%)
minecraft.picked_up.dark_oak_trapdoor: #4, 92(9%)
minecraft.crafted.copper_block: #4, 2036(8%)
minecraft.picked_up.lime_shulker_box: #3, 196(5%)
minecraft.picked_up.andesite: #4, 11496(7%)
minecraft.dropped.diorite: #4, 1697(7%)
minecraft.picked_up.purple_candle: #3, 5(18%)
minecraft.picked_up.soul_torch: #3, 27(11%)
minecraft.crafted.lime_stained_glass: #3, 2456(9%)
minecraft.mined.orange_concrete: #3, 233(11%)
minecraft.crafted.cyan_dye: #4, 570(9%)
minecraft.mined.lime_shulker_box: #3, 188(5%)
minecraft.picked_up.orange_stained_glass_pane: #3, 3(18%)
minecraft.used.warped_stem: #4, 396(11%)
minecraft.used.elytra: #4, 23(12%)
minecraft.mined.birch_fence_gate: #3, 3(12%)
minecraft.picked_up.torch: #4, 5979(7%)
minecraft.crafted.nether_brick_stairs: #3, 32(22%)
minecraft.used.lime_stained_glass: #3, 2134(8%)
minecraft.mined.lapis_ore: #4, 303(7%)
minecraft.mined.jukebox: #3, 2(14%)
minecraft.picked_up.jukebox: #3, 2(14%)
minecraft.dropped.wooden_hoe: #3, 1(14%)
minecraft.picked_up.diamond_hoe: #4, 18(10%)
minecraft.used.sand: #4, 10442(7%)
minecraft.used.spore_blossom: #4, 37(10%)
minecraft.mined.soul_campfire: #3, 1(17%)
minecraft.mined.dark_oak_slab: #4, 102(9%)
minecraft.mined.chorus_flower: #3, 12(10%)
minecraft.used.gray_carpet: #4, 493(11%)
minecraft.used.potion: #4, 59(8%)
minecraft.mined.deepslate_copper_ore: #4, 92(7%)
minecraft.dropped.redstone_block: #4, 64(14%)
minecraft.used.deepslate_copper_ore: #4, 29(15%)
minecraft.crafted.firework_rocket: #4, 29964(9%)
minecraft.dropped.mutton: #3, 12(8%)
minecraft.picked_up.milk_bucket: #3, 3(9%)
minecraft.picked_up.warped_sign: #3, 17(6%)
minecraft.mined.deepslate_lapis_ore: #4, 93(7%)
minecraft.picked_up.diorite: #4, 10908(7%)
minecraft.dropped.spectral_arrow: #3, 64(8%)
minecraft.picked_up.rabbit_hide: #3, 52(6%)
minecraft.crafted.oxidized_cut_copper_stairs: #3, 65(11%)
minecraft.crafted.white_bed: #4, 32(7%)
minecraft.killed_by.spider: #3, 1(12%)
minecraft.broken.golden_helmet: #3, 1(12%)
minecraft.killed_by.drowned: #3, 1(12%)
minecraft.used.seagrass: #3, 41(12%)
minecraft.dropped.white_dye: #3, 91(5%)
minecraft.picked_up.granite: #4, 9370(7%)
minecraft.crafted.quartz_slab: #3, 80(6%)
minecraft.crafted.light_gray_concrete_powder: #4, 1856(11%)
minecraft.used.polished_blackstone_brick_stairs: #3, 359(8%)
minecraft.used.netherite_pickaxe: #4, 264944(11%)
minecraft.mined.brick_wall: #3, 4(10%)
minecraft.crafted.amethyst_block: #3, 101(9%)
minecraft.used.polished_blackstone_slab: #4, 633(11%)
minecraft.crafted.black_stained_glass: #4, 9088(9%)
minecraft.used.lantern: #4, 295(7%)
minecraft.mined.soul_wall_torch: #3, 1(17%)
minecraft.killed_by.phantom: #3, 1(11%)
minecraft.picked_up.blue_stained_glass_pane: #3, 6(17%)
minecraft.picked_up.polished_deepslate_slab: #4, 321(8%)
minecraft.used.purple_carpet: #3, 21(11%)
minecraft.used.red_carpet: #3, 55(5%)
minecraft.mined.soul_torch: #3, 8(10%)
minecraft.picked_up.dead_tube_coral_block: #3, 15(9%)
minecraft.used.blue_concrete: #3, 44(15%)
minecraft.crafted.gray_carpet: #4, 552(10%)
minecraft.used.chiseled_polished_blackstone: #4, 61(20%)
minecraft.picked_up.ancient_debris: #4, 94(8%)
minecraft.used.warped_fungus: #4, 56(13%)
minecraft.crafted.pink_bed: #3, 1(11%)
minecraft.dropped.pink_tulip: #3, 1(11%)
minecraft.mined.dead_bubble_coral_block: #3, 37(9%)
minecraft.used.warped_hyphae: #3, 111(8%)
minecraft.crafted.oak_boat: #3, 28(2%)
minecraft.used.totem_of_undying: #3, 3(11%)
minecraft.crafted.crimson_trapdoor: #4, 114(14%)
minecraft.picked_up.tipped_arrow: #3, 52(8%)
minecraft.mined.cut_copper: #3, 14(5%)
minecraft.killed.rabbit: #3, 36(5%)
minecraft.crafted.oxidized_cut_copper: #3, 94(7%)
minecraft.mined.beacon: #4, 20(7%)
minecraft.picked_up.cracked_deepslate_bricks: #3, 159(5%)
minecraft.mined.acacia_button: #3, 14(13%)
minecraft.picked_up.black_wool: #4, 143(8%)
minecraft.used.acacia_button: #3, 61(8%)
minecraft.mined.dead_fire_coral_wall_fan: #3, 1(17%)
minecraft.mined.ancient_debris: #4, 94(8%)
minecraft.picked_up.lantern: #4, 211(6%)
minecraft.crafted.purple_carpet: #3, 18(10%)
minecraft.crafted.purple_dye: #4, 202(8%)
minecraft.dropped.gravel: #4, 993(6%)
minecraft.used.light_blue_concrete: #3, 52(7%)
minecraft.picked_up.rabbit: #3, 43(4%)
minecraft.crafted.lapis_block: #4, 268(6%)
minecraft.crafted.blue_wool: #3, 14(6%)
minecraft.dropped.warped_slab: #3, 4(9%)
minecraft.crafted.cyan_terracotta: #4, 3456(9%)
minecraft.used.light_blue_stained_glass: #4, 649(11%)
minecraft.dropped.cactus: #3, 48(2%)
minecraft.crafted.diamond_block: #5, 188(10%)
minecraft.crafted.acacia_button: #3, 49(7%)
minecraft.mined.wither_skeleton_wall_skull: #3, 1(14%)
minecraft.dropped.deepslate_lapis_ore: #3, 1(14%)
minecraft.used.honeycomb: #4, 554(10%)
minecraft.crafted.shulker_box: #4, 292(6%)
minecraft.used.dead_fire_coral_block: #3, 7(8%)
minecraft.dropped.lily_of_the_valley: #3, 1(8%)
minecraft.dropped.seagrass: #3, 4(8%)
minecraft.used.axolotl_bucket: #4, 33(8%)
minecraft.used.warped_fence: #4, 49(10%)
minecraft.picked_up.dark_oak_door: #4, 9(12%)
minecraft.dropped.rabbit: #3, 15(4%)
minecraft.dropped.dark_oak_log: #4, 86(7%)
minecraft.dropped.stick: #5, 1252(9%)
minecraft.used.birch_fence: #4, 85(9%)
minecraft.used.diamond_leggings: #4, 4(7%)
minecraft.dropped.black_dye: #3, 8(4%)
minecraft.dropped.dead_fire_coral_block: #3, 1(7%)
minecraft.picked_up.netherite_shovel: #4, 10(7%)
minecraft.crafted.tnt: #5, 2218(12%)
minecraft.picked_up.stick: #5, 5076(9%)
minecraft.crafted.birch_fence_gate: #3, 2(4%)
minecraft.dropped.polished_blackstone_stairs: #3, 4(8%)
minecraft.mined.polished_blackstone_brick_slab: #3, 31(2%)
minecraft.used.golden_helmet: #3, 1(6%)
minecraft.mined.tuff: #5, 3214(9%)
minecraft.crafted.dark_oak_door: #4, 21(9%)
minecraft.used.waxed_weathered_cut_copper: #3, 2(7%)
minecraft.crafted.polished_deepslate: #5, 3724(9%)
minecraft.picked_up.dead_horn_coral_fan: #3, 1(5%)
minecraft.picked_up.acacia_button: #3, 14(7%)
minecraft.picked_up.waxed_cut_copper: #3, 3(4%)
minecraft.mined.dark_oak_door: #4, 6(12%)
minecraft.used.firework_rocket: #5, 21335(9%)
minecraft.picked_up.polished_blackstone_brick_slab: #3, 31(2%)
minecraft.used.magenta_shulker_box: #4, 37(15%)
minecraft.mined.quartz_slab: #4, 25(9%)
minecraft.crafted.stone_sword: #4, 4(6%)
minecraft.picked_up.pufferfish: #4, 21(9%)
minecraft.picked_up.white_dye: #4, 107(6%)
minecraft.dropped.pumpkin_pie: #3, 9(3%)
minecraft.crafted.blue_carpet: #3, 9(3%)
minecraft.used.polished_deepslate_slab: #5, 2560(10%)
minecraft.dropped.pumpkin_seeds: #4, 208(8%)
minecraft.picked_up.gold_ingot: #5, 333(10%)
minecraft.used.dark_oak_pressure_plate: #4, 9(11%)
minecraft.mined.tall_seagrass: #5, 260(8%)
minecraft.crafted.cobbled_deepslate_stairs: #4, 48(7%)
minecraft.killed.llama: #3, 6(2%)
minecraft.used.purple_concrete: #3, 33(2%)
minecraft.mined.light_blue_carpet: #3, 1(4%)
minecraft.picked_up.flint: #5, 803(8%)
minecraft.dropped.red_carpet: #3, 3(4%)
minecraft.used.dead_tube_coral_block: #3, 4(3%)
minecraft.picked_up.music_disc_cat: #4, 2(10%)
minecraft.used.purple_concrete_powder: #3, 64(2%)
minecraft.picked_up.rabbit_foot: #3, 3(2%)
minecraft.mined.purple_concrete: #3, 65(2%)
minecraft.mined.waxed_cut_copper: #3, 1(2%)
minecraft.used.bubble_coral_block: #3, 97(1%)
minecraft.used.light_blue_carpet: #3, 2(2%)
minecraft.picked_up.light_blue_carpet: #3, 1(3%)
minecraft.crafted.cooked_mutton: #4, 29(6%)
minecraft.dropped.wooden_pickaxe: #4, 2(7%)
minecraft.picked_up.map: #3, 9(1%)
minecraft.custom.damage_taken: #5, 264958(5%)
minecraft.used.warped_button: #3, 8(1%)
minecraft.picked_up.tuff: #5, 3192(8%)
minecraft.crafted.warped_button: #3, 8(1%)
minecraft.dropped.lime_concrete: #3, 1(1%)
minecraft.dropped.pufferfish: #3, 1(1%)
minecraft.dropped.bookshelf: #3, 1(1%)
minecraft.picked_up.weeping_vines: #5, 88(9%)
minecraft.picked_up.spruce_planks: #5, 1277(8%)
minecraft.mined.raw_iron_block: #3, 1(0%)
minecraft.picked_up.orange_concrete_powder: #3, 2(0%)
minecraft.used.birch_stairs: #4, 72(7%)
minecraft.mined.orange_concrete_powder: #3, 1(0%)
minecraft.killed.stray: #3, 3(0%)
minecraft.used.warped_sign: #4, 48(9%)
minecraft.mined.diamond_ore: #5, 439(8%)
minecraft.used.diamond_axe: #5, 29523(7%)
minecraft.picked_up.chiseled_polished_blackstone: #4, 7(16%)
minecraft.crafted.wooden_hoe: #4, 2(10%)
minecraft.crafted.warped_fence: #4, 57(7%)
minecraft.crafted.warped_door: #4, 6(12%)
minecraft.picked_up.birch_log: #5, 3106(7%)
minecraft.mined.gray_concrete_powder: #4, 10(9%)
minecraft.crafted.cooked_cod: #4, 51(8%)
minecraft.picked_up.chorus_flower: #4, 14(8%)
minecraft.picked_up.stonecutter: #5, 81(8%)
minecraft.picked_up.iron_ore: #5, 1869(8%)
minecraft.crafted.armor_stand: #4, 49(5%)
minecraft.mined.stonecutter: #5, 78(8%)
minecraft.crafted.leather_helmet: #4, 8(11%)
minecraft.mined.cobbled_deepslate_slab: #4, 41(5%)
minecraft.mined.wheat: #5, 5679(7%)
minecraft.used.stonecutter: #5, 82(7%)
minecraft.dropped.birch_sapling: #5, 91(12%)
minecraft.dropped.lava_bucket: #4, 4(13%)
minecraft.crafted.yellow_wool: #4, 27(11%)
minecraft.picked_up.rooted_dirt: #4, 141(4%)
minecraft.picked_up.acacia_log: #5, 1850(10%)
minecraft.dropped.bone_block: #4, 102(8%)
minecraft.used.oak_pressure_plate: #4, 2(7%)
minecraft.custom.interact_with_brewingstand: #5, 334(7%)
minecraft.dropped.nether_gold_ore: #4, 10(8%)
minecraft.used.jukebox: #4, 2(11%)
minecraft.crafted.lapis_lazuli: #5, 864(8%)
minecraft.crafted.warped_sign: #4, 42(7%)
minecraft.mined.black_concrete_powder: #4, 24(6%)
minecraft.used.iron_boots: #4, 1(6%)
minecraft.dropped.wooden_shovel: #4, 3(10%)
minecraft.killed_by.enderman: #4, 1(6%)
minecraft.mined.blackstone_slab: #4, 11(6%)
minecraft.picked_up.birch_leaves: #5, 1983(8%)
minecraft.used.black_stained_glass: #4, 4449(5%)
minecraft.dropped.cobbled_deepslate_wall: #4, 12(10%)
minecraft.picked_up.netherite_ingot: #4, 5(6%)
minecraft.picked_up.diamond_ore: #5, 139(7%)
minecraft.crafted.green_wool: #4, 30(7%)
minecraft.used.andesite: #5, 2587(6%)
minecraft.crafted.iron_chestplate: #5, 6(7%)
minecraft.used.cyan_terracotta: #4, 1185(4%)
minecraft.crafted.jukebox: #4, 1(10%)
minecraft.crafted.pink_carpet: #4, 6(8%)
minecraft.mined.dandelion: #5, 123(6%)
minecraft.crafted.paper: #5, 11079(6%)
minecraft.crafted.spruce_planks: #5, 19224(6%)
minecraft.crafted.diamond_axe: #5, 8(6%)
minecraft.broken.wooden_hoe: #4, 1(9%)
minecraft.picked_up.cut_copper: #4, 14(5%)
minecraft.crafted.red_wool: #4, 44(4%)
minecraft.crafted.red_carpet: #4, 57(5%)
minecraft.picked_up.sugar: #5, 76(12%)
minecraft.picked_up.dead_bubble_coral_block: #4, 37(8%)
minecraft.used.spruce_fence: #5, 733(7%)
minecraft.picked_up.light_gray_stained_glass_pane: #4, 46(6%)
minecraft.crafted.gray_dye: #5, 816(6%)
minecraft.crafted.warped_hyphae: #4, 111(6%)
minecraft.custom.fly_one_cm: #6, 60097607(5%)
minecraft.crafted.gray_stained_glass: #4, 512(3%)
minecraft.picked_up.dead_fire_coral_block: #4, 8(7%)
minecraft.used.cracked_stone_bricks: #4, 145(4%)
minecraft.dropped.sandstone: #5, 303(7%)
minecraft.mined.dead_fire_coral_block: #4, 8(8%)
minecraft.crafted.iron_leggings: #5, 6(6%)
minecraft.mined.smooth_quartz_slab: #4, 30(4%)
minecraft.used.purple_candle: #4, 7(7%)
minecraft.dropped.chipped_anvil: #4, 1(11%)
minecraft.dropped.chest: #5, 31(6%)
minecraft.dropped.soul_sand: #4, 32(2%)
minecraft.picked_up.dead_fire_coral_fan: #4, 3(8%)
minecraft.picked_up.shield: #5, 11(7%)
minecraft.dropped.wooden_sword: #4, 1(6%)
minecraft.mined.blast_furnace: #5, 10(7%)
minecraft.picked_up.beacon: #5, 20(6%)
minecraft.picked_up.nether_brick_stairs: #4, 5(4%)
minecraft.picked_up.deepslate_copper_ore: #5, 33(8%)
minecraft.dropped.acacia_trapdoor: #4, 1(7%)
minecraft.picked_up.white_concrete: #5, 2489(7%)
minecraft.mined.seagrass: #5, 305(5%)
minecraft.picked_up.black_candle: #4, 11(4%)
minecraft.mined.spawner: #4, 2(3%)
minecraft.picked_up.brick_stairs: #4, 3(4%)
minecraft.crafted.diamond_sword: #5, 5(5%)
minecraft.mined.oxidized_copper: #5, 1145(7%)
minecraft.mined.podzol: #5, 494(5%)
minecraft.used.cobweb: #5, 42(9%)
minecraft.dropped.coarse_dirt: #5, 127(9%)
minecraft.mined.snow_block: #4, 142(2%)
minecraft.mined.light_blue_stained_glass: #4, 33(3%)
minecraft.used.birch_fence_gate: #4, 2(4%)
minecraft.crafted.birch_fence: #5, 84(8%)
minecraft.picked_up.oxidized_copper: #5, 1156(7%)
minecraft.picked_up.totem_of_undying: #4, 4(2%)
minecraft.dropped.cyan_dye: #4, 2(5%)
minecraft.picked_up.purple_concrete: #4, 66(4%)
minecraft.mined.dirt_path: #5, 441(5%)
minecraft.used.dead_fire_coral_fan: #4, 1(6%)
minecraft.crafted.shield: #5, 4(6%)
minecraft.mined.dead_tube_coral_fan: #4, 1(6%)
minecraft.dropped.warped_sign: #5, 5(12%)
minecraft.used.dead_tube_coral_fan: #4, 1(5%)
minecraft.picked_up.dead_tube_coral_fan: #4, 1(5%)
minecraft.used.gray_stained_glass: #4, 192(1%)
minecraft.mined.chest: #5, 367(4%)
minecraft.dropped.light_gray_carpet: #4, 3(4%)
minecraft.used.wooden_hoe: #5, 108(12%)
minecraft.crafted.redstone_lamp: #5, 180(6%)
minecraft.crafted.spruce_fence: #5, 582(6%)
minecraft.used.diamond_boots: #5, 5(8%)
minecraft.picked_up.white_candle: #4, 12(4%)
minecraft.dropped.spruce_boat: #4, 8(2%)
minecraft.picked_up.spore_blossom: #5, 15(6%)
minecraft.dropped.jungle_fence: #4, 4(2%)
minecraft.crafted.light_blue_carpet: #4, 3(3%)
minecraft.dropped.emerald_block: #4, 9(2%)
