stat, rank, value, (percentage) 
minecraft.used.polished_deepslate_stairs: #14, 43(0%)
minecraft.used.gray_concrete_powder: #14, 112(0%)
minecraft.used.deepslate_tile_wall: #14, 24(0%)
minecraft.mined.polished_deepslate_stairs: #14, 5(0%)
minecraft.mined.redstone_lamp: #14, 1(0%)
minecraft.picked_up.cobbled_deepslate_wall: #14, 2(0%)
minecraft.picked_up.polished_deepslate_stairs: #14, 5(0%)
minecraft.mined.cyan_terracotta: #14, 5(0%)
minecraft.crafted.golden_carrot: #14, 63(0%)
minecraft.dropped.bamboo: #14, 4(0%)
minecraft.used.birch_boat: #15, 1(0%)
minecraft.used.polished_deepslate_wall: #15, 26(0%)
minecraft.used.light_gray_concrete_powder: #15, 51(0%)
minecraft.picked_up.birch_boat: #15, 1(0%)
minecraft.picked_up.cyan_terracotta: #15, 5(0%)
minecraft.mined.red_wool: #15, 3(0%)
minecraft.used.black_wool: #15, 5(0%)
minecraft.used.polished_blackstone_slab: #15, 1(0%)
minecraft.dropped.diamond_pickaxe: #16, 3(2%)
minecraft.crafted.diamond_helmet: #16, 1(1%)
minecraft.picked_up.paper: #16, 64(1%)
minecraft.picked_up.iron_bars: #16, 24(1%)
minecraft.mined.chipped_anvil: #16, 1(1%)
minecraft.mined.redstone_block: #16, 12(1%)
minecraft.picked_up.chipped_anvil: #16, 1(1%)
minecraft.picked_up.dragon_head: #16, 1(1%)
minecraft.crafted.deepslate_tile_wall: #16, 6(1%)
minecraft.mined.nether_brick_fence: #16, 2(0%)
minecraft.dropped.player_head: #16, 13(0%)
minecraft.picked_up.cobbled_deepslate_slab: #16, 4(0%)
minecraft.used.glowstone: #16, 14(0%)
minecraft.picked_up.redstone_lamp: #16, 1(0%)
minecraft.used.black_concrete: #16, 8(0%)
minecraft.used.black_concrete_powder: #16, 8(0%)
minecraft.picked_up.lead: #17, 36(2%)
minecraft.crafted.spruce_door: #17, 6(1%)
minecraft.used.iron_bars: #17, 55(1%)
minecraft.dropped.diamond: #17, 20(1%)
minecraft.used.deepslate_tile_stairs: #17, 34(0%)
minecraft.mined.deepslate_tile_stairs: #17, 6(0%)
minecraft.used.polished_deepslate_slab: #17, 28(0%)
