stat, rank, value, (percentage) 
minecraft.custom.damage_taken: #37, 60(0%)
minecraft.custom.time_since_rest: #47, 7707(0%)
minecraft.custom.fly_one_cm: #49, 503741(0%)
minecraft.custom.time_since_death: #50, 7707(0%)
minecraft.custom.walk_under_water_one_cm: #50, 4477(0%)
minecraft.custom.leave_game: #52, 2(0%)
minecraft.custom.sneak_time: #53, 407(0%)
minecraft.custom.play_time: #54, 7707(0%)
minecraft.custom.total_world_time: #54, 7707(0%)
