stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #4, 13166049(8%)
minecraft.custom.time_since_death: #4, 13166049(7%)
minecraft.custom.fly_one_cm: #8, 56242308(4%)
minecraft.custom.play_time: #27, 13166049(1%)
minecraft.custom.total_world_time: #27, 13166049(1%)
minecraft.custom.walk_under_water_one_cm: #28, 449718(0%)
minecraft.custom.sneak_time: #28, 44695(0%)
minecraft.custom.sprint_one_cm: #30, 5183(0%)
minecraft.custom.walk_on_water_one_cm: #31, 153626(0%)
minecraft.custom.fall_one_cm: #31, 2305(0%)
minecraft.custom.jump: #31, 31(0%)
minecraft.custom.walk_one_cm: #31, 3941(0%)
minecraft.custom.leave_game: #32, 127(1%)
minecraft.custom.damage_taken: #33, 100(0%)
