stat, rank, value, (percentage) 
minecraft.killed.blaze: #8, 59(3%)
minecraft.crafted.stone_hoe: #8, 3(4%)
minecraft.dropped.leather_leggings: #8, 8(3%)
minecraft.picked_up.flowering_azalea_leaves: #8, 465(3%)
minecraft.picked_up.azalea_leaves: #8, 1420(3%)
minecraft.mined.jungle_log: #8, 860(3%)
minecraft.picked_up.bow: #9, 156(6%)
minecraft.dropped.chainmail_leggings: #8, 4(4%)
minecraft.picked_up.jungle_log: #8, 960(3%)
minecraft.dropped.iron_leggings: #8, 3(3%)
minecraft.crafted.stonecutter: #8, 7(3%)
minecraft.killed.sheep: #8, 12(3%)
minecraft.picked_up.iron_hoe: #8, 1(6%)
minecraft.mined.nether_bricks: #8, 185(2%)
minecraft.dropped.stone_axe: #8, 3(3%)
minecraft.picked_up.jungle_sapling: #8, 70(3%)
minecraft.picked_up.name_tag: #8, 31(2%)
minecraft.dropped.netherite_leggings: #8, 1(5%)
minecraft.picked_up.moss_carpet: #9, 1485(6%)
minecraft.mined.oak_door: #8, 2(4%)
minecraft.crafted.polished_deepslate_stairs: #8, 46(3%)
minecraft.used.stone_shovel: #8, 367(2%)
minecraft.crafted.warped_sign: #8, 24(4%)
minecraft.used.painting: #8, 39(2%)
minecraft.crafted.charcoal: #8, 23(3%)
minecraft.dropped.gold_ingot: #8, 67(2%)
minecraft.custom.play_noteblock: #8, 33(3%)
minecraft.used.mossy_stone_bricks: #8, 87(2%)
minecraft.mined.light_blue_shulker_box: #8, 15(2%)
minecraft.picked_up.light_blue_shulker_box: #8, 15(2%)
minecraft.dropped.stone_bricks: #8, 33(1%)
minecraft.picked_up.bell: #8, 3(2%)
minecraft.dropped.emerald: #8, 61(1%)
minecraft.killed.skeleton: #9, 1351(4%)
minecraft.used.black_stained_glass_pane: #8, 44(1%)
minecraft.used.small_dripleaf: #8, 3(1%)
minecraft.dropped.smooth_stone_slab: #8, 5(1%)
minecraft.mined.jungle_slab: #8, 6(1%)
minecraft.used.fishing_rod: #8, 9(1%)
minecraft.used.melon: #8, 3(1%)
minecraft.dropped.light_gray_stained_glass: #8, 2(1%)
minecraft.used.jungle_sign: #8, 3(1%)
minecraft.dropped.black_concrete: #8, 2(1%)
minecraft.mined.jungle_wall_sign: #8, 1(1%)
minecraft.used.rooted_dirt: #8, 14(0%)
minecraft.used.allium: #8, 2(1%)
minecraft.used.mossy_cobblestone_slab: #8, 10(1%)
minecraft.dropped.black_stained_glass: #8, 2(1%)
minecraft.mined.allium: #8, 3(0%)
minecraft.crafted.green_terracotta: #8, 64(0%)
minecraft.crafted.green_concrete_powder: #8, 8(0%)
minecraft.dropped.sunflower: #8, 1(0%)
minecraft.used.raw_gold_block: #8, 1(0%)
minecraft.picked_up.cut_sandstone: #8, 5(0%)
minecraft.mined.tube_coral_block: #8, 2(0%)
minecraft.picked_up.cooked_beef: #9, 513(4%)
minecraft.killed.drowned: #8, 222(0%)
minecraft.used.bubble_coral_block: #8, 1(0%)
minecraft.picked_up.dark_oak_stairs: #9, 47(5%)
minecraft.picked_up.item_frame: #9, 106(4%)
minecraft.mined.spruce_stairs: #9, 73(4%)
minecraft.dropped.tuff: #9, 65(4%)
minecraft.mined.mossy_cobblestone: #9, 106(5%)
minecraft.mined.dropper: #9, 29(5%)
minecraft.used.piston: #9, 179(4%)
minecraft.crafted.iron_helmet: #9, 3(3%)
minecraft.mined.player_wall_head: #9, 7(4%)
minecraft.picked_up.blast_furnace: #9, 7(4%)
minecraft.custom.fall_one_cm: #10, 4855737(4%)
minecraft.used.oak_fence: #9, 142(3%)
minecraft.mined.lightning_rod: #9, 26(4%)
minecraft.dropped.shield: #9, 2(5%)
minecraft.crafted.golden_helmet: #9, 2(5%)
minecraft.used.soul_sand: #9, 157(3%)
minecraft.dropped.diamond_boots: #9, 3(4%)
minecraft.crafted.cooked_porkchop: #9, 22(3%)
minecraft.picked_up.hay_block: #9, 92(3%)
minecraft.used.gravel: #9, 483(3%)
minecraft.picked_up.stone_axe: #9, 2(4%)
minecraft.picked_up.oak_wood: #9, 64(4%)
minecraft.used.iron_axe: #9, 1217(2%)
minecraft.picked_up.lightning_rod: #9, 27(3%)
minecraft.dropped.golden_leggings: #9, 9(3%)
minecraft.dropped.leather_chestplate: #9, 8(3%)
minecraft.killed.pig: #9, 15(3%)
minecraft.picked_up.sugar: #9, 28(4%)
minecraft.crafted.chiseled_deepslate: #9, 9(3%)
minecraft.picked_up.jack_o_lantern: #9, 21(3%)
minecraft.crafted.fishing_rod: #9, 1(4%)
minecraft.used.cooked_beef: #10, 787(6%)
minecraft.mined.amethyst_cluster: #9, 256(2%)
minecraft.dropped.polished_blackstone_button: #9, 3(3%)
minecraft.crafted.deepslate: #9, 33(3%)
minecraft.mined.spruce_pressure_plate: #9, 1(4%)
minecraft.crafted.spruce_pressure_plate: #9, 2(2%)
minecraft.mined.sunflower: #9, 6(2%)
minecraft.crafted.polished_deepslate_wall: #9, 27(2%)
minecraft.picked_up.chiseled_deepslate: #9, 14(2%)
minecraft.dropped.spruce_button: #9, 2(2%)
minecraft.mined.black_shulker_box: #9, 12(2%)
minecraft.crafted.crafting_table: #10, 67(5%)
minecraft.picked_up.black_shulker_box: #9, 12(2%)
minecraft.broken.stone_shovel: #9, 2(2%)
minecraft.used.jungle_stairs: #9, 27(2%)
minecraft.crafted.dark_oak_boat: #9, 2(1%)
minecraft.used.black_shulker_box: #9, 11(2%)
minecraft.used.jack_o_lantern: #9, 24(1%)
minecraft.mined.jack_o_lantern: #9, 6(1%)
minecraft.picked_up.spruce_pressure_plate: #9, 1(2%)
minecraft.crafted.black_stained_glass_pane: #9, 80(1%)
minecraft.dropped.deepslate_tile_slab: #9, 6(1%)
minecraft.used.water_bucket: #10, 1114(4%)
minecraft.used.golden_apple: #9, 1(2%)
minecraft.dropped.crossbow: #9, 2(1%)
minecraft.dropped.coarse_dirt: #9, 13(1%)
minecraft.picked_up.bone: #10, 1901(4%)
minecraft.picked_up.raw_copper_block: #9, 3(1%)
minecraft.picked_up.melon_slice: #9, 112(1%)
minecraft.mined.jungle_fence: #9, 5(1%)
minecraft.dropped.iron_axe: #9, 2(1%)
minecraft.used.polished_diorite: #9, 50(1%)
minecraft.dropped.golden_apple: #9, 1(1%)
minecraft.mined.smooth_sandstone_slab: #9, 6(1%)
minecraft.dropped.bone_block: #9, 11(1%)
minecraft.dropped.cobblestone_slab: #9, 9(1%)
minecraft.used.stripped_spruce_wood: #9, 4(1%)
minecraft.used.amethyst_cluster: #9, 15(0%)
minecraft.dropped.polished_basalt: #9, 1(1%)
minecraft.picked_up.jungle_sign: #9, 1(0%)
minecraft.dropped.deepslate_tiles: #9, 1(0%)
minecraft.mined.cut_sandstone: #9, 5(0%)
minecraft.picked_up.acacia_leaves: #9, 6(0%)
minecraft.dropped.light_gray_wool: #9, 1(0%)
minecraft.picked_up.bubble_coral_block: #9, 2(0%)
minecraft.mined.redstone_wall_torch: #10, 24(4%)
minecraft.mined.sand: #10, 22889(3%)
minecraft.used.item_frame: #10, 164(4%)
minecraft.mined.oak_trapdoor: #10, 45(3%)
minecraft.custom.player_kills: #10, 5(4%)
minecraft.crafted.diamond_axe: #10, 4(3%)
minecraft.dropped.diamond_pickaxe: #10, 6(3%)
minecraft.mined.spruce_sapling: #10, 12(4%)
minecraft.used.splash_potion: #10, 23(4%)
minecraft.used.baked_potato: #10, 310(3%)
minecraft.picked_up.deepslate_bricks: #10, 193(3%)
minecraft.dropped.diorite: #10, 662(3%)
minecraft.picked_up.bone_block: #10, 230(3%)
minecraft.picked_up.repeater: #10, 109(3%)
minecraft.mined.oak_sign: #10, 5(3%)
minecraft.crafted.spruce_stairs: #10, 244(3%)
minecraft.picked_up.tuff: #10, 1004(2%)
minecraft.used.diorite: #10, 263(2%)
minecraft.used.bamboo: #10, 76(3%)
minecraft.used.potion: #10, 19(3%)
minecraft.mined.deepslate_bricks: #10, 109(2%)
minecraft.used.campfire: #10, 34(2%)
minecraft.used.amethyst_block: #10, 181(2%)
minecraft.picked_up.diamond_hoe: #10, 5(3%)
minecraft.killed.bat: #10, 7(2%)
minecraft.crafted.iron_axe: #10, 8(2%)
minecraft.broken.iron_axe: #10, 3(2%)
minecraft.crafted.deepslate_tile_slab: #10, 164(2%)
minecraft.picked_up.nether_bricks: #10, 166(2%)
minecraft.mined.enchanting_table: #10, 1(3%)
minecraft.picked_up.mutton: #10, 17(2%)
minecraft.used.azalea_leaves: #10, 552(2%)
minecraft.dropped.golden_boots: #10, 7(2%)
minecraft.mined.azalea_leaves: #10, 1102(2%)
minecraft.crafted.jungle_stairs: #10, 44(3%)
minecraft.mined.campfire: #10, 10(2%)
minecraft.used.axolotl_bucket: #10, 9(2%)
minecraft.custom.interact_with_smoker: #10, 13(2%)
minecraft.mined.bamboo: #10, 114(1%)
minecraft.used.diamond_hoe: #10, 5862(2%)
minecraft.picked_up.melon_seeds: #10, 4(2%)
minecraft.used.white_shulker_box: #10, 41(2%)
minecraft.crafted.stone_slab: #10, 196(1%)
minecraft.mined.stone_button: #10, 18(1%)
minecraft.crafted.jungle_fence: #10, 18(2%)
minecraft.picked_up.polished_diorite: #10, 28(2%)
minecraft.crafted.polished_granite: #10, 64(1%)
minecraft.dropped.oak_slab: #10, 6(1%)
minecraft.dropped.iron_boots: #10, 3(1%)
minecraft.picked_up.painting: #10, 32(1%)
minecraft.picked_up.smooth_sandstone_slab: #10, 12(1%)
minecraft.used.stripped_oak_log: #10, 21(1%)
minecraft.picked_up.jungle_fence: #10, 5(1%)
minecraft.dropped.golden_sword: #10, 1(1%)
minecraft.crafted.jungle_sign: #10, 3(1%)
minecraft.dropped.dark_oak_trapdoor: #10, 1(1%)
minecraft.dropped.copper_ore: #10, 6(1%)
minecraft.dropped.birch_sapling: #10, 5(1%)
minecraft.picked_up.sea_pickle: #10, 87(0%)
minecraft.dropped.bread: #10, 30(0%)
minecraft.used.ice: #10, 99(0%)
minecraft.used.polished_andesite_stairs: #10, 8(0%)
minecraft.dropped.copper_ingot: #10, 3(0%)
minecraft.crafted.mossy_stone_bricks: #10, 64(0%)
minecraft.crafted.cut_copper_slab: #10, 2(0%)
minecraft.mined.cracked_deepslate_bricks: #10, 1(0%)
minecraft.killed.rabbit: #10, 1(0%)
minecraft.dropped.white_concrete: #10, 1(0%)
minecraft.mined.bubble_coral_block: #10, 2(0%)
minecraft.picked_up.leather_leggings: #11, 11(4%)
minecraft.used.netherrack: #11, 1917(4%)
minecraft.used.redstone_torch: #11, 184(4%)
minecraft.killed.player: #11, 6(4%)
minecraft.used.spruce_slab: #11, 617(3%)
minecraft.crafted.spruce_slab: #11, 910(3%)
minecraft.mined.redstone_wire: #11, 173(3%)
minecraft.used.iron_hoe: #11, 220(4%)
minecraft.picked_up.baked_potato: #11, 373(3%)
minecraft.picked_up.golden_leggings: #11, 10(3%)
minecraft.picked_up.iron_shovel: #11, 6(3%)
minecraft.used.carrot: #11, 569(2%)
minecraft.picked_up.leather_chestplate: #11, 8(3%)
minecraft.picked_up.dropper: #11, 29(3%)
minecraft.used.spruce_stairs: #11, 214(2%)
minecraft.mined.spruce_trapdoor: #11, 90(2%)
minecraft.mined.polished_deepslate: #11, 148(2%)
minecraft.mined.deepslate_tiles: #11, 151(2%)
minecraft.picked_up.oak_door: #11, 3(3%)
minecraft.crafted.campfire: #11, 36(2%)
minecraft.mined.chain: #11, 28(2%)
minecraft.picked_up.porkchop: #11, 33(2%)
minecraft.crafted.oak_sign: #11, 45(2%)
minecraft.crafted.iron_leggings: #11, 2(2%)
minecraft.killed.slime: #11, 177(2%)
minecraft.used.spruce_boat: #11, 10(2%)
minecraft.picked_up.lantern: #11, 66(2%)
minecraft.dropped.stick: #11, 252(2%)
minecraft.used.bread: #11, 65(2%)
minecraft.picked_up.carrot: #11, 1900(2%)
minecraft.dropped.coal: #11, 57(2%)
minecraft.picked_up.enchanting_table: #11, 1(3%)
minecraft.crafted.stone_axe: #11, 2(2%)
minecraft.picked_up.spruce_trapdoor: #11, 87(1%)
minecraft.dropped.netherite_shovel: #11, 1(2%)
minecraft.picked_up.deepslate_tile_stairs: #11, 59(2%)
minecraft.mined.bone_block: #11, 41(2%)
minecraft.mined.flowering_azalea_leaves: #11, 286(1%)
minecraft.dropped.oak_stairs: #11, 6(3%)
minecraft.picked_up.spruce_boat: #11, 12(2%)
minecraft.used.bone_block: #11, 69(1%)
minecraft.picked_up.white_shulker_box: #11, 33(2%)
minecraft.custom.talked_to_villager: #11, 521(1%)
minecraft.used.jungle_fence: #11, 14(2%)
minecraft.dropped.smooth_basalt: #11, 15(1%)
minecraft.picked_up.pufferfish: #11, 4(2%)
minecraft.used.cooked_porkchop: #11, 27(1%)
minecraft.killed_by.skeleton: #11, 1(1%)
minecraft.crafted.golden_carrot: #11, 474(1%)
minecraft.used.jungle_slab: #11, 40(1%)
minecraft.crafted.stone_shovel: #11, 3(1%)
minecraft.picked_up.candle: #11, 12(1%)
minecraft.mined.red_mushroom: #11, 2(1%)
minecraft.used.packed_ice: #11, 103(1%)
minecraft.killed.salmon: #11, 2(1%)
minecraft.mined.polished_blackstone_button: #11, 3(1%)
minecraft.used.shield: #11, 44(1%)
minecraft.used.spruce_pressure_plate: #11, 1(1%)
minecraft.picked_up.polished_andesite_stairs: #11, 3(1%)
minecraft.dropped.dark_oak_sign: #11, 1(1%)
minecraft.used.bell: #11, 1(1%)
minecraft.picked_up.jungle_boat: #11, 1(1%)
minecraft.custom.damage_blocked_by_shield: #11, 1843(1%)
minecraft.custom.traded_with_villager: #11, 2352(1%)
minecraft.crafted.painting: #11, 7(1%)
minecraft.used.wither_skeleton_skull: #11, 3(1%)
minecraft.dropped.spruce_log: #11, 35(1%)
minecraft.picked_up.golden_sword: #11, 1(1%)
minecraft.crafted.andesite_wall: #11, 12(1%)
minecraft.crafted.spruce_boat: #11, 3(1%)
minecraft.custom.damage_absorbed: #11, 19(1%)
minecraft.dropped.dark_oak_sapling: #11, 1(1%)
minecraft.mined.stone_pressure_plate: #11, 1(1%)
minecraft.mined.rooted_dirt: #11, 15(0%)
minecraft.used.birch_log: #11, 30(0%)
minecraft.picked_up.diamond_pickaxe: #12, 36(4%)
minecraft.dropped.wheat: #11, 30(0%)
minecraft.crafted.gray_stained_glass: #11, 64(0%)
minecraft.dropped.oak_trapdoor: #11, 1(0%)
minecraft.picked_up.lectern: #11, 14(0%)
minecraft.mined.lectern: #11, 14(0%)
minecraft.picked_up.acacia_planks: #11, 6(0%)
minecraft.used.stripped_dark_oak_log: #11, 5(0%)
minecraft.crafted.enchanted_book: #11, 13(0%)
minecraft.picked_up.jungle_leaves: #11, 5(0%)
minecraft.dropped.glass_bottle: #11, 17(0%)
minecraft.dropped.ink_sac: #11, 3(0%)
minecraft.picked_up.blue_dye: #11, 1(0%)
minecraft.crafted.yellow_concrete_powder: #11, 8(0%)
minecraft.used.yellow_concrete_powder: #11, 8(0%)
minecraft.used.yellow_concrete: #11, 3(0%)
minecraft.picked_up.allium: #11, 5(0%)
minecraft.picked_up.fire_charge: #11, 1(0%)
minecraft.picked_up.cracked_deepslate_bricks: #11, 1(0%)
minecraft.used.cracked_deepslate_bricks: #11, 1(0%)
minecraft.mined.cobblestone: #12, 1254(3%)
minecraft.dropped.oak_sign: #12, 6(4%)
minecraft.custom.interact_with_brewingstand: #12, 150(3%)
minecraft.picked_up.glow_ink_sac: #12, 137(3%)
minecraft.mined.tuff: #12, 949(3%)
minecraft.picked_up.shield: #12, 5(3%)
minecraft.used.stone_axe: #12, 151(2%)
minecraft.used.spruce_trapdoor: #12, 332(2%)
minecraft.used.deepslate_tile_slab: #12, 702(3%)
minecraft.picked_up.oak_trapdoor: #12, 42(2%)
minecraft.mined.stonecutter: #12, 25(2%)
minecraft.picked_up.stonecutter: #12, 25(2%)
minecraft.used.stonecutter: #12, 25(2%)
minecraft.picked_up.iron_nugget: #12, 184(2%)
minecraft.mined.moss_carpet: #12, 176(2%)
minecraft.picked_up.polished_deepslate: #12, 160(2%)
minecraft.picked_up.stone_brick_stairs: #12, 48(2%)
minecraft.used.repeater: #12, 150(2%)
minecraft.picked_up.deepslate_tile_slab: #12, 121(2%)
minecraft.mined.azalea: #12, 53(2%)
minecraft.used.oak_sign: #12, 35(2%)
minecraft.used.dark_oak_slab: #12, 202(2%)
minecraft.used.observer: #12, 119(2%)
minecraft.picked_up.spyglass: #12, 2(2%)
minecraft.used.deepslate_tiles: #12, 692(2%)
minecraft.crafted.fermented_spider_eye: #12, 12(2%)
minecraft.used.blast_furnace: #12, 8(2%)
minecraft.mined.deepslate_tile_stairs: #12, 64(2%)
minecraft.picked_up.copper_block: #12, 101(2%)
minecraft.crafted.stone_brick_stairs: #12, 40(2%)
minecraft.used.stone_bricks: #12, 1363(2%)
minecraft.picked_up.salmon: #12, 8(2%)
minecraft.mined.dark_oak_slab: #12, 20(2%)
minecraft.crafted.coarse_dirt: #12, 468(2%)
minecraft.used.lightning_rod: #12, 35(2%)
minecraft.crafted.jungle_slab: #12, 84(2%)
minecraft.dropped.deepslate: #12, 70(2%)
minecraft.mined.budding_amethyst: #12, 8(1%)
minecraft.used.deepslate_tile_stairs: #12, 217(1%)
minecraft.picked_up.rotten_flesh: #12, 1065(1%)
minecraft.killed.zombie: #12, 422(1%)
minecraft.used.dropper: #12, 35(2%)
minecraft.used.glowstone: #12, 95(1%)
minecraft.crafted.wheat: #12, 171(2%)
minecraft.dropped.magma_cream: #12, 11(1%)
minecraft.picked_up.powder_snow_bucket: #12, 1(2%)
minecraft.used.deepslate_bricks: #12, 450(1%)
minecraft.killed.ghast: #12, 7(1%)
minecraft.picked_up.exposed_copper: #12, 9(2%)
minecraft.mined.exposed_copper: #12, 9(2%)
minecraft.mined.white_shulker_box: #12, 30(1%)
minecraft.dropped.stone: #12, 1755(1%)
minecraft.picked_up.polished_blackstone_button: #12, 11(1%)
minecraft.mined.stone_slab: #12, 47(1%)
minecraft.custom.tune_noteblock: #12, 54(1%)
minecraft.crafted.bone_block: #12, 660(1%)
minecraft.crafted.jungle_planks: #12, 724(1%)
minecraft.dropped.chainmail_chestplate: #12, 1(1%)
minecraft.picked_up.charcoal: #12, 4(1%)
minecraft.picked_up.warped_planks: #12, 20(1%)
minecraft.dropped.azure_bluet: #12, 1(1%)
minecraft.crafted.andesite_slab: #12, 18(1%)
minecraft.crafted.spruce_sign: #12, 21(1%)
minecraft.dropped.soul_sand: #12, 9(1%)
minecraft.crafted.emerald: #12, 1904(1%)
minecraft.mined.stripped_oak_log: #12, 39(0%)
minecraft.used.andesite_slab: #12, 33(0%)
minecraft.picked_up.tropical_fish: #12, 1(1%)
minecraft.dropped.enchanted_book: #12, 2(1%)
minecraft.crafted.cooked_chicken: #12, 4(1%)
minecraft.used.polished_granite: #12, 9(0%)
minecraft.dropped.bamboo: #12, 20(0%)
minecraft.picked_up.stripped_oak_log: #12, 34(0%)
minecraft.used.lectern: #12, 16(0%)
minecraft.picked_up.ghast_tear: #12, 2(0%)
minecraft.used.big_dripleaf: #12, 8(0%)
minecraft.crafted.glowstone: #12, 34(0%)
minecraft.crafted.acacia_slab: #12, 18(0%)
minecraft.dropped.spruce_fence: #12, 1(0%)
minecraft.dropped.cooked_porkchop: #12, 1(0%)
minecraft.picked_up.brick: #12, 3(0%)
minecraft.mined.soul_fire: #12, 1(0%)
minecraft.picked_up.cooked_cod: #12, 1(0%)
minecraft.used.end_crystal: #12, 1(0%)
minecraft.dropped.raw_copper: #12, 2(0%)
minecraft.used.cut_copper_slab: #12, 2(0%)
minecraft.dropped.dripstone_block: #12, 2(0%)
minecraft.picked_up.andesite_wall: #12, 1(0%)
minecraft.dropped.sugar: #12, 1(0%)
minecraft.killed.zombified_piglin: #12, 7(0%)
minecraft.used.crafting_table: #13, 136(3%)
minecraft.mined.crafting_table: #13, 99(3%)
minecraft.custom.deaths: #13, 32(3%)
minecraft.picked_up.crafting_table: #13, 98(3%)
minecraft.mined.spruce_slab: #13, 138(3%)
minecraft.mined.iron_block: #13, 824(3%)
minecraft.picked_up.spruce_log: #13, 3574(3%)
minecraft.crafted.oak_planks: #13, 4652(3%)
minecraft.crafted.item_frame: #13, 123(3%)
minecraft.used.bucket: #13, 1153(2%)
minecraft.picked_up.oak_fence: #13, 92(3%)
minecraft.mined.moss_block: #13, 1136(3%)
minecraft.picked_up.diamond_shovel: #13, 14(2%)
minecraft.mined.deepslate_tile_slab: #13, 110(3%)
minecraft.dropped.crafting_table: #13, 3(3%)
minecraft.mined.glowstone: #13, 113(2%)
minecraft.picked_up.spruce_stairs: #13, 65(2%)
minecraft.used.iron_block: #13, 990(2%)
minecraft.used.spruce_sapling: #13, 148(2%)
minecraft.used.moss_carpet: #13, 391(2%)
minecraft.crafted.chain: #13, 181(2%)
minecraft.used.chain: #13, 147(2%)
minecraft.killed.zombie_villager: #13, 5(2%)
minecraft.used.glow_item_frame: #13, 12(2%)
minecraft.crafted.stone_pickaxe: #13, 3(2%)
minecraft.crafted.spruce_trapdoor: #13, 242(2%)
minecraft.used.wooden_pickaxe: #13, 9(2%)
minecraft.crafted.glow_item_frame: #13, 10(2%)
minecraft.mined.fire: #13, 110(1%)
minecraft.dropped.sand: #13, 159(1%)
minecraft.mined.stone_bricks: #13, 428(2%)
minecraft.used.flint_and_steel: #13, 85(1%)
minecraft.crafted.lantern: #13, 92(2%)
minecraft.picked_up.stone_pickaxe: #13, 1(2%)
minecraft.used.spore_blossom: #13, 7(2%)
minecraft.dropped.spruce_planks: #13, 41(2%)
minecraft.picked_up.enchanted_book: #13, 8(1%)
minecraft.custom.inspect_dropper: #13, 80(1%)
minecraft.used.cobbled_deepslate: #13, 347(1%)
minecraft.used.diamond_leggings: #13, 1(2%)
minecraft.used.flowering_azalea_leaves: #13, 39(2%)
minecraft.used.flowering_azalea: #13, 26(1%)
minecraft.used.calcite: #13, 187(1%)
minecraft.picked_up.slime_ball: #13, 266(1%)
minecraft.used.oak_button: #13, 4(2%)
minecraft.dropped.paper: #13, 36(1%)
minecraft.picked_up.bookshelf: #13, 18(2%)
minecraft.custom.jump: #14, 134646(3%)
minecraft.crafted.oak_button: #13, 4(1%)
minecraft.picked_up.emerald: #13, 126(1%)
minecraft.killed.piglin: #13, 8(1%)
minecraft.picked_up.stone_button: #13, 31(1%)
minecraft.dropped.rail: #13, 7(1%)
minecraft.mined.nether_brick_fence: #13, 5(1%)
minecraft.used.diamond_sword: #13, 4429(1%)
minecraft.picked_up.nether_brick_fence: #13, 5(1%)
minecraft.crafted.golden_apple: #13, 9(1%)
minecraft.dropped.minecart: #13, 1(1%)
minecraft.dropped.golden_chestplate: #13, 3(1%)
minecraft.crafted.raw_iron_block: #13, 56(1%)
minecraft.mined.gold_block: #13, 14(1%)
minecraft.dropped.iron_nugget: #13, 23(1%)
minecraft.picked_up.red_mushroom: #13, 11(1%)
minecraft.picked_up.chicken: #13, 9(1%)
minecraft.dropped.chicken: #13, 2(1%)
minecraft.dropped.spruce_sign: #13, 2(1%)
minecraft.picked_up.stone_slab: #13, 43(1%)
minecraft.crafted.bread: #13, 78(1%)
minecraft.mined.acacia_log: #13, 120(1%)
minecraft.crafted.raw_gold_block: #13, 9(1%)
minecraft.mined.cobblestone_slab: #13, 13(0%)
minecraft.used.copper_block: #13, 123(1%)
minecraft.dropped.birch_sign: #13, 1(1%)
minecraft.crafted.polished_diorite: #13, 36(1%)
minecraft.mined.weathered_copper: #13, 5(1%)
minecraft.picked_up.weathered_copper: #13, 5(1%)
minecraft.mined.bookshelf: #13, 26(0%)
minecraft.mined.polished_deepslate_wall: #13, 4(0%)
minecraft.dropped.kelp: #13, 31(1%)
minecraft.dropped.stone_slab: #13, 14(0%)
minecraft.used.polished_deepslate_wall: #13, 27(0%)
minecraft.dropped.amethyst_shard: #13, 2(0%)
minecraft.crafted.birch_boat: #13, 1(0%)
minecraft.used.chiseled_deepslate: #13, 14(0%)
minecraft.picked_up.acacia_sapling: #13, 18(0%)
minecraft.crafted.light_gray_stained_glass: #13, 32(0%)
minecraft.mined.jungle_stairs: #13, 1(0%)
minecraft.used.melon_seeds: #13, 2(0%)
minecraft.crafted.dark_oak_button: #13, 1(0%)
minecraft.used.oxidized_copper: #13, 16(0%)
minecraft.used.gold_block: #13, 8(0%)
minecraft.used.cooked_chicken: #13, 3(0%)
minecraft.mined.ice: #13, 86(0%)
minecraft.mined.medium_amethyst_bud: #13, 3(0%)
minecraft.picked_up.jungle_slab: #13, 1(0%)
minecraft.used.brown_mushroom: #13, 1(0%)
minecraft.picked_up.crying_obsidian: #13, 2(0%)
minecraft.crafted.white_wool: #13, 13(0%)
minecraft.crafted.spruce_wood: #13, 3(0%)
minecraft.dropped.glowstone_dust: #13, 2(0%)
minecraft.used.spruce_wood: #13, 1(0%)
minecraft.crafted.air: #13, 0(0%)
minecraft.used.enchanting_table: #14, 2(4%)
minecraft.used.diamond_pickaxe: #14, 89204(3%)
minecraft.picked_up.arrow: #14, 1498(3%)
minecraft.mined.spruce_log: #14, 2966(3%)
minecraft.used.diamond_shovel: #14, 32012(2%)
minecraft.picked_up.oak_sign: #14, 22(2%)
minecraft.crafted.diamond_boots: #14, 2(2%)
minecraft.used.lantern: #14, 102(2%)
minecraft.mined.oak_wall_sign: #14, 7(3%)
minecraft.used.oak_sapling: #14, 196(2%)
minecraft.picked_up.leather_boots: #14, 8(2%)
minecraft.crafted.barrel: #14, 69(2%)
minecraft.mined.beacon: #14, 7(2%)
minecraft.picked_up.spruce_slab: #14, 135(2%)
minecraft.killed.creeper: #14, 119(2%)
minecraft.picked_up.iron_block: #14, 821(2%)
minecraft.killed.husk: #14, 4(2%)
minecraft.crafted.iron_nugget: #14, 1700(2%)
minecraft.crafted.oak_slab: #14, 258(2%)
minecraft.picked_up.beacon: #14, 7(2%)
minecraft.picked_up.birch_planks: #14, 64(2%)
minecraft.mined.soul_sand: #14, 170(2%)
minecraft.picked_up.golden_boots: #14, 6(2%)
minecraft.mined.flowering_azalea: #14, 22(2%)
minecraft.picked_up.cactus: #14, 318(1%)
minecraft.used.oak_trapdoor: #14, 58(1%)
minecraft.picked_up.flint: #14, 141(1%)
minecraft.crafted.rail: #14, 320(2%)
minecraft.dropped.gravel: #14, 224(1%)
minecraft.used.candle: #14, 22(2%)
minecraft.picked_up.stone_bricks: #14, 371(1%)
minecraft.crafted.stone_bricks: #14, 1576(1%)
minecraft.picked_up.soul_sand: #14, 196(1%)
minecraft.dropped.iron_pickaxe: #14, 1(2%)
minecraft.used.polished_deepslate: #14, 433(1%)
minecraft.picked_up.oak_stairs: #14, 11(1%)
minecraft.used.glow_berries: #14, 35(1%)
minecraft.picked_up.dark_oak_slab: #14, 23(1%)
minecraft.used.spruce_planks: #14, 411(1%)
minecraft.crafted.shulker_box: #14, 43(1%)
minecraft.crafted.polished_deepslate_slab: #14, 54(1%)
minecraft.crafted.glass: #14, 2043(1%)
minecraft.mined.nether_wart: #14, 50(1%)
minecraft.picked_up.powered_rail: #14, 77(1%)
minecraft.picked_up.podzol: #14, 50(1%)
minecraft.mined.andesite_slab: #14, 5(1%)
minecraft.dropped.rotten_flesh: #14, 673(1%)
minecraft.dropped.arrow: #14, 411(1%)
minecraft.used.stone_slab: #14, 146(1%)
minecraft.picked_up.netherite_shovel: #14, 1(1%)
minecraft.used.sweet_berries: #14, 10(1%)
minecraft.picked_up.birch_leaves: #14, 133(1%)
minecraft.crafted.raw_copper_block: #14, 33(1%)
minecraft.mined.pumpkin: #14, 21(1%)
minecraft.mined.tnt: #14, 3(1%)
minecraft.used.white_dye: #14, 3(0%)
minecraft.mined.red_mushroom_block: #14, 45(0%)
minecraft.used.spyglass: #14, 15(0%)
minecraft.used.hay_block: #14, 8(0%)
