stat, rank, value, (percentage) 
minecraft.mined.snow: #12, 63(0%)
minecraft.used.cobblestone: #13, 3053(3%)
minecraft.used.cooked_beef: #13, 449(3%)
minecraft.picked_up.leather: #13, 575(3%)
minecraft.picked_up.coal: #13, 4984(3%)
minecraft.crafted.shield: #13, 2(3%)
minecraft.picked_up.cobbled_deepslate: #13, 6867(2%)
minecraft.picked_up.smooth_stone: #13, 176(3%)
minecraft.used.gravel: #13, 238(1%)
minecraft.mined.sticky_piston: #13, 16(1%)
minecraft.picked_up.crimson_fungus: #13, 9(2%)
minecraft.mined.peony: #13, 2(2%)
minecraft.used.stone_hoe: #13, 103(2%)
minecraft.picked_up.purpur_block: #13, 30(2%)
minecraft.picked_up.dragon_head: #13, 2(2%)
minecraft.dropped.ender_pearl: #13, 1740(1%)
minecraft.killed.glow_squid: #13, 2(1%)
minecraft.mined.brewing_stand: #13, 3(1%)
minecraft.crafted.iron_leggings: #13, 1(1%)
minecraft.dropped.diamond_leggings: #13, 1(1%)
minecraft.crafted.deepslate_tile_wall: #13, 15(1%)
minecraft.picked_up.brewing_stand: #13, 3(1%)
minecraft.picked_up.chorus_fruit: #13, 56(1%)
minecraft.used.milk_bucket: #13, 2(1%)
minecraft.used.white_shulker_box: #13, 24(1%)
minecraft.mined.dead_bush: #13, 33(1%)
minecraft.crafted.soul_torch: #13, 32(1%)
minecraft.mined.dark_oak_leaves: #13, 130(1%)
minecraft.used.stone_shovel: #13, 131(1%)
minecraft.dropped.iron_shovel: #13, 1(1%)
minecraft.used.deepslate_bricks: #13, 218(1%)
minecraft.picked_up.birch_trapdoor: #13, 4(1%)
minecraft.used.sweet_berries: #13, 11(1%)
minecraft.mined.smithing_table: #13, 1(1%)
minecraft.mined.dripstone_block: #13, 56(1%)
minecraft.crafted.gold_ingot: #13, 858(0%)
minecraft.mined.purpur_slab: #13, 1(1%)
minecraft.picked_up.book: #13, 63(0%)
minecraft.picked_up.smithing_table: #13, 1(1%)
minecraft.dropped.iron_axe: #13, 1(0%)
minecraft.killed.witch: #13, 2(0%)
minecraft.picked_up.clay: #13, 12(0%)
minecraft.mined.pointed_dripstone: #13, 25(0%)
minecraft.mined.deepslate_brick_stairs: #13, 2(0%)
minecraft.used.soul_soil: #13, 10(0%)
minecraft.picked_up.soul_lantern: #13, 1(0%)
minecraft.used.weathered_copper: #13, 1(0%)
minecraft.mined.glass_pane: #13, 1(0%)
minecraft.picked_up.horn_coral_fan: #13, 1(0%)
minecraft.killed.cow: #14, 181(3%)
minecraft.mined.deepslate_copper_ore: #14, 32(2%)
minecraft.killed.enderman: #14, 8994(2%)
minecraft.dropped.cobblestone: #14, 1638(2%)
minecraft.crafted.diamond_pickaxe: #14, 5(2%)
minecraft.mined.glowstone: #14, 84(2%)
minecraft.used.repeater: #14, 118(2%)
minecraft.used.scaffolding: #14, 1582(2%)
minecraft.picked_up.scaffolding: #14, 1514(1%)
minecraft.picked_up.gunpowder: #14, 223(1%)
minecraft.crafted.stone_hoe: #14, 1(1%)
minecraft.crafted.stone_pressure_plate: #14, 11(1%)
minecraft.mined.bone_block: #14, 30(1%)
minecraft.used.spruce_boat: #14, 5(1%)
minecraft.broken.stone_pickaxe: #14, 1(1%)
minecraft.picked_up.cobweb: #14, 31(1%)
minecraft.crafted.redstone_lamp: #14, 34(1%)
minecraft.used.oak_door: #14, 1(1%)
minecraft.picked_up.smooth_basalt: #14, 152(1%)
minecraft.dropped.chest: #14, 4(1%)
minecraft.picked_up.gold_block: #14, 26(1%)
minecraft.picked_up.melon_seeds: #14, 2(1%)
minecraft.mined.birch_sign: #14, 1(1%)
minecraft.dropped.diamond_shovel: #14, 1(1%)
minecraft.picked_up.deepslate_diamond_ore: #14, 8(1%)
minecraft.killed.endermite: #14, 1(1%)
minecraft.used.cooked_porkchop: #14, 13(0%)
minecraft.crafted.slime_ball: #14, 36(1%)
minecraft.custom.fill_cauldron: #14, 2(0%)
minecraft.picked_up.warped_nylium: #14, 5(0%)
minecraft.dropped.gold_ingot: #14, 9(0%)
minecraft.picked_up.red_bed: #14, 2(0%)
minecraft.used.deepslate_brick_stairs: #14, 14(0%)
minecraft.crafted.spruce_boat: #14, 1(0%)
minecraft.mined.nether_sprouts: #14, 2(0%)
minecraft.mined.sea_pickle: #14, 2(0%)
minecraft.picked_up.deepslate_brick_stairs: #14, 2(0%)
minecraft.dropped.glass_bottle: #14, 11(0%)
minecraft.used.dripstone_block: #14, 19(0%)
minecraft.used.smooth_quartz: #14, 2(0%)
minecraft.picked_up.prismarine_crystals: #14, 4(0%)
minecraft.used.sea_pickle: #14, 1(0%)
minecraft.custom.interact_with_furnace: #15, 953(3%)
minecraft.crafted.redstone_block: #15, 395(2%)
minecraft.crafted.iron_pickaxe: #15, 10(2%)
minecraft.picked_up.leather_leggings: #15, 5(2%)
minecraft.picked_up.lever: #15, 28(1%)
minecraft.used.lever: #15, 39(1%)
minecraft.picked_up.deepslate_redstone_ore: #15, 52(1%)
minecraft.picked_up.deepslate_lapis_ore: #15, 7(2%)
minecraft.used.iron_bars: #15, 63(1%)
minecraft.crafted.iron_helmet: #15, 1(1%)
minecraft.dropped.leather_leggings: #15, 3(1%)
minecraft.crafted.iron_chestplate: #15, 1(1%)
minecraft.crafted.coal: #15, 684(1%)
minecraft.picked_up.deepslate_copper_ore: #15, 6(1%)
minecraft.picked_up.lilac: #15, 16(1%)
minecraft.picked_up.lapis_ore: #15, 14(1%)
minecraft.crafted.stone_axe: #15, 1(1%)
minecraft.crafted.anvil: #15, 9(1%)
minecraft.used.spruce_planks: #15, 353(1%)
minecraft.mined.brown_mushroom: #15, 7(1%)
minecraft.picked_up.diamond_chestplate: #15, 1(1%)
minecraft.mined.smooth_basalt: #15, 96(1%)
minecraft.mined.sea_lantern: #15, 8(1%)
minecraft.used.oak_button: #15, 2(1%)
minecraft.killed.pig: #15, 4(1%)
minecraft.dropped.iron_sword: #15, 1(1%)
minecraft.mined.magma_block: #15, 113(0%)
minecraft.picked_up.spruce_boat: #15, 5(1%)
minecraft.picked_up.magma_block: #15, 108(0%)
minecraft.mined.crimson_fungus: #15, 2(1%)
minecraft.crafted.oak_button: #15, 2(1%)
minecraft.picked_up.comparator: #15, 8(0%)
minecraft.picked_up.diamond_hoe: #15, 1(1%)
minecraft.mined.copper_block: #15, 7(0%)
minecraft.picked_up.exposed_copper: #15, 2(0%)
minecraft.mined.exposed_copper: #15, 2(0%)
minecraft.used.nether_quartz_ore: #15, 18(0%)
minecraft.picked_up.soul_soil: #15, 25(0%)
minecraft.used.smithing_table: #15, 2(0%)
minecraft.mined.glow_lichen: #15, 34(0%)
minecraft.mined.smooth_sandstone_stairs: #15, 2(0%)
minecraft.used.copper_block: #15, 25(0%)
minecraft.picked_up.smooth_sandstone_stairs: #15, 2(0%)
minecraft.mined.red_bed: #15, 1(0%)
minecraft.used.melon_seeds: #15, 1(0%)
minecraft.mined.weathered_copper: #15, 1(0%)
minecraft.picked_up.weathered_copper: #15, 1(0%)
minecraft.picked_up.light_gray_wool: #15, 1(0%)
minecraft.crafted.black_stained_glass: #15, 24(0%)
minecraft.crafted.white_wool: #15, 3(0%)
minecraft.mined.oxidized_copper: #15, 2(0%)
minecraft.mined.coal_ore: #16, 2938(3%)
minecraft.killed.spider: #16, 60(2%)
minecraft.crafted.diamond_shovel: #16, 3(2%)
minecraft.custom.climb_one_cm: #16, 907097(2%)
minecraft.mined.lapis_ore: #16, 86(2%)
minecraft.custom.animals_bred: #16, 186(2%)
minecraft.used.iron_pickaxe: #16, 1971(2%)
minecraft.killed.creeper: #16, 93(2%)
minecraft.used.bow: #16, 630(2%)
minecraft.mined.cobweb: #16, 64(2%)
minecraft.picked_up.golden_boots: #16, 5(2%)
minecraft.picked_up.birch_planks: #16, 43(1%)
minecraft.mined.poppy: #16, 31(1%)
minecraft.dropped.gravel: #16, 198(1%)
minecraft.crafted.black_dye: #16, 416(1%)
minecraft.picked_up.ender_pearl: #16, 1828(1%)
minecraft.crafted.iron_boots: #16, 1(1%)
minecraft.picked_up.mutton: #16, 9(1%)
minecraft.picked_up.leather_chestplate: #16, 3(1%)
minecraft.picked_up.redstone_ore: #16, 83(1%)
minecraft.mined.observer: #16, 22(1%)
minecraft.picked_up.golden_leggings: #16, 3(1%)
minecraft.mined.chain: #16, 12(1%)
minecraft.killed.wandering_trader: #16, 1(1%)
minecraft.dropped.crafting_table: #16, 1(1%)
minecraft.picked_up.rotten_flesh: #16, 659(1%)
minecraft.used.comparator: #16, 23(1%)
minecraft.crafted.polished_deepslate_slab: #16, 44(1%)
minecraft.used.diamond_sword: #16, 2824(0%)
minecraft.dropped.golden_chestplate: #16, 2(1%)
minecraft.crafted.copper_block: #16, 113(0%)
minecraft.used.tuff: #16, 64(0%)
minecraft.mined.cobblestone_wall: #16, 6(0%)
minecraft.picked_up.grass_block: #16, 1140(0%)
minecraft.picked_up.dripstone_block: #16, 56(0%)
minecraft.crafted.sugar: #16, 30(0%)
minecraft.used.apple: #16, 1(0%)
minecraft.mined.grindstone: #16, 2(0%)
minecraft.crafted.andesite_slab: #16, 6(0%)
minecraft.mined.cobblestone_slab: #16, 5(0%)
minecraft.picked_up.white_dye: #16, 4(0%)
minecraft.mined.cauldron: #16, 1(0%)
minecraft.used.andesite_slab: #16, 13(0%)
minecraft.crafted.fermented_spider_eye: #16, 1(0%)
minecraft.picked_up.glass_bottle: #16, 5(0%)
minecraft.custom.tune_noteblock: #16, 8(0%)
minecraft.mined.deepslate_brick_slab: #16, 2(0%)
minecraft.picked_up.glow_lichen: #16, 36(0%)
minecraft.used.hay_block: #16, 3(0%)
minecraft.killed.wither_skeleton: #16, 19(0%)
minecraft.dropped.cod: #16, 1(0%)
minecraft.used.smooth_stone_slab: #16, 4(0%)
minecraft.picked_up.oxidized_copper: #16, 2(0%)
minecraft.used.oxidized_copper: #16, 1(0%)
minecraft.picked_up.granite: #17, 2862(2%)
minecraft.mined.redstone_ore: #17, 496(2%)
minecraft.mined.deepslate: #17, 7048(2%)
minecraft.mined.grass_block: #17, 9430(2%)
minecraft.mined.granite: #17, 2956(2%)
minecraft.mined.diorite: #17, 2654(2%)
minecraft.custom.interact_with_lectern: #17, 25(1%)
minecraft.crafted.diamond_axe: #17, 2(2%)
minecraft.mined.deepslate_diamond_ore: #17, 35(1%)
minecraft.crafted.diamond_leggings: #17, 1(1%)
minecraft.picked_up.repeater: #17, 49(1%)
minecraft.used.wheat_seeds: #17, 1409(1%)
minecraft.mined.redstone_torch: #17, 6(1%)
minecraft.custom.interact_with_brewingstand: #17, 49(1%)
minecraft.mined.spruce_sapling: #17, 4(1%)
minecraft.picked_up.iron_sword: #17, 2(1%)
minecraft.used.chain: #17, 75(1%)
minecraft.used.potion: #17, 8(1%)
minecraft.picked_up.iron_shovel: #17, 2(1%)
minecraft.picked_up.bone: #17, 384(1%)
minecraft.killed.trader_llama: #17, 2(1%)
minecraft.used.iron_sword: #17, 176(1%)
minecraft.mined.repeater: #17, 18(1%)
minecraft.used.dark_oak_trapdoor: #17, 36(1%)
minecraft.picked_up.chainmail_boots: #17, 1(1%)
minecraft.dropped.netherite_pickaxe: #17, 1(1%)
minecraft.used.redstone_block: #17, 21(1%)
minecraft.crafted.dark_oak_trapdoor: #17, 34(1%)
minecraft.mined.oak_sign: #17, 1(1%)
minecraft.crafted.spruce_fence_gate: #17, 13(1%)
minecraft.used.splash_potion: #17, 3(0%)
minecraft.dropped.spruce_planks: #17, 11(0%)
minecraft.crafted.glow_item_frame: #17, 2(0%)
minecraft.mined.budding_amethyst: #17, 2(0%)
minecraft.custom.mob_kills: #17, 10669(0%)
minecraft.crafted.iron_block: #17, 212(0%)
minecraft.dropped.golden_leggings: #17, 1(0%)
minecraft.dropped.scaffolding: #17, 10(0%)
minecraft.mined.spruce_leaves: #17, 224(0%)
minecraft.mined.campfire: #17, 1(0%)
minecraft.used.cauldron: #17, 7(0%)
minecraft.picked_up.campfire: #17, 1(0%)
minecraft.used.red_bed: #17, 1(0%)
minecraft.crafted.player_head: #17, 3(0%)
minecraft.used.written_book: #17, 8(0%)
minecraft.crafted.hay_block: #17, 4(0%)
minecraft.crafted.firework_rocket: #17, 261(0%)
minecraft.picked_up.red_mushroom: #17, 1(0%)
minecraft.dropped.leather: #17, 1(0%)
minecraft.picked_up.gray_wool: #17, 1(0%)
minecraft.picked_up.dirt: #18, 10609(2%)
minecraft.custom.interact_with_anvil: #18, 87(2%)
minecraft.mined.deepslate_iron_ore: #18, 174(2%)
minecraft.mined.deepslate_coal_ore: #18, 222(2%)
minecraft.picked_up.diorite: #18, 2605(2%)
minecraft.mined.soul_sand: #18, 136(1%)
minecraft.picked_up.raw_copper: #18, 1615(1%)
minecraft.broken.iron_pickaxe: #18, 4(1%)
minecraft.crafted.diamond_helmet: #18, 1(1%)
minecraft.picked_up.wheat_seeds: #18, 3211(1%)
minecraft.picked_up.spruce_sapling: #18, 165(1%)
minecraft.mined.wheat: #18, 869(1%)
minecraft.mined.gravel: #18, 2516(1%)
minecraft.used.diorite: #18, 101(1%)
minecraft.used.observer: #18, 64(1%)
minecraft.mined.sugar_cane: #18, 505(1%)
minecraft.killed.blaze: #18, 18(1%)
minecraft.used.brewing_stand: #18, 3(1%)
minecraft.mined.oak_fence: #18, 25(1%)
minecraft.mined.farmland: #18, 20(1%)
minecraft.used.spruce_sapling: #18, 50(1%)
minecraft.dropped.oak_fence: #18, 3(1%)
minecraft.used.glow_item_frame: #18, 4(1%)
minecraft.crafted.spruce_fence: #18, 72(1%)
minecraft.picked_up.brown_mushroom: #18, 20(1%)
minecraft.picked_up.glowstone: #18, 34(1%)
minecraft.picked_up.blast_furnace: #18, 1(1%)
minecraft.picked_up.bone_block: #18, 35(0%)
minecraft.used.glass_bottle: #18, 30(0%)
minecraft.used.spruce_trapdoor: #18, 47(0%)
minecraft.dropped.firework_rocket: #18, 43(0%)
minecraft.killed.bat: #18, 1(0%)
minecraft.crafted.spruce_trapdoor: #18, 40(0%)
minecraft.mined.comparator: #18, 2(0%)
minecraft.crafted.stone_shovel: #18, 1(0%)
minecraft.picked_up.peony: #18, 4(0%)
minecraft.picked_up.shulker_shell: #18, 26(0%)
minecraft.mined.crimson_stem: #18, 12(0%)
minecraft.crafted.birch_sign: #18, 3(0%)
minecraft.picked_up.grindstone: #18, 2(0%)
minecraft.crafted.deepslate_tile_slab: #18, 14(0%)
minecraft.picked_up.deepslate_brick_slab: #18, 3(0%)
minecraft.picked_up.jungle_sapling: #18, 4(0%)
minecraft.used.armor_stand: #18, 1(0%)
minecraft.crafted.armor_stand: #18, 1(0%)
minecraft.crafted.painting: #18, 1(0%)
minecraft.dropped.spruce_log: #18, 5(0%)
minecraft.used.sea_lantern: #18, 6(0%)
minecraft.picked_up.smooth_stone_slab: #18, 3(0%)
minecraft.mined.smooth_stone_slab: #18, 2(0%)
minecraft.picked_up.cauldron: #18, 1(0%)
minecraft.picked_up.sea_pickle: #18, 10(0%)
minecraft.mined.polished_blackstone: #18, 1(0%)
minecraft.crafted.brick: #18, 35(0%)
minecraft.picked_up.melon_slice: #18, 5(0%)
minecraft.used.smooth_sandstone_stairs: #18, 2(0%)
minecraft.crafted.deepslate_tiles: #18, 2(0%)
minecraft.picked_up.redstone: #19, 3079(2%)
minecraft.custom.swim_one_cm: #19, 781131(1%)
minecraft.picked_up.raw_iron: #19, 1714(1%)
minecraft.used.redstone: #19, 330(1%)
minecraft.mined.andesite: #19, 2254(1%)
minecraft.mined.stonecutter: #19, 13(1%)
minecraft.used.stonecutter: #19, 14(1%)
minecraft.picked_up.stonecutter: #19, 13(1%)
minecraft.picked_up.sugar_cane: #19, 1192(1%)
minecraft.picked_up.player_head: #19, 97(1%)
minecraft.picked_up.spruce_log: #19, 1212(1%)
minecraft.picked_up.gold_ore: #19, 28(1%)
minecraft.used.deepslate: #19, 346(1%)
minecraft.mined.spruce_log: #19, 835(1%)
minecraft.crafted.chain: #19, 65(1%)
minecraft.mined.chest: #19, 51(1%)
minecraft.crafted.iron_bars: #19, 64(1%)
minecraft.picked_up.golden_helmet: #19, 2(1%)
minecraft.picked_up.observer: #19, 22(1%)
minecraft.custom.pot_flower: #19, 4(1%)
minecraft.crafted.diamond: #19, 63(1%)
minecraft.picked_up.soul_sand: #19, 98(1%)
minecraft.mined.blast_furnace: #19, 1(1%)
minecraft.mined.spruce_fence: #19, 15(1%)
minecraft.picked_up.chain: #19, 12(0%)
minecraft.used.sugar_cane: #19, 47(0%)
minecraft.used.flower_pot: #19, 4(0%)
minecraft.mined.clay: #19, 24(0%)
minecraft.picked_up.cobblestone_wall: #19, 6(0%)
minecraft.dropped.bow: #19, 6(0%)
minecraft.mined.deepslate_bricks: #19, 14(0%)
minecraft.used.dark_oak_slab: #19, 29(0%)
minecraft.mined.spruce_trapdoor: #19, 10(0%)
minecraft.dropped.deepslate: #19, 13(0%)
minecraft.used.bookshelf: #19, 16(0%)
minecraft.crafted.blast_furnace: #19, 1(0%)
minecraft.picked_up.netherite_pickaxe: #19, 1(0%)
minecraft.crafted.bookshelf: #19, 16(0%)
minecraft.crafted.shulker_box: #19, 10(0%)
minecraft.crafted.flower_pot: #19, 3(0%)
minecraft.crafted.dark_oak_stairs: #19, 12(0%)
minecraft.crafted.blaze_powder: #19, 4(0%)
minecraft.used.nether_wart: #19, 12(0%)
minecraft.used.cobblestone_wall: #19, 6(0%)
minecraft.crafted.dark_oak_sign: #19, 3(0%)
minecraft.picked_up.pointed_dripstone: #19, 34(0%)
minecraft.dropped.cooked_beef: #19, 2(0%)
minecraft.crafted.glass_bottle: #19, 30(0%)
minecraft.used.painting: #19, 2(0%)
minecraft.picked_up.dark_oak_stairs: #19, 1(0%)
minecraft.crafted.oak_boat: #19, 1(0%)
minecraft.crafted.ender_eye: #19, 1(0%)
minecraft.picked_up.warped_roots: #19, 2(0%)
minecraft.used.dark_oak_stairs: #19, 2(0%)
minecraft.picked_up.polished_blackstone: #19, 1(0%)
minecraft.mined.melon: #19, 1(0%)
minecraft.custom.minecart_one_cm: #19, 3244(0%)
minecraft.crafted.golden_carrot: #19, 3(0%)
minecraft.mined.deepslate_redstone_ore: #20, 212(2%)
minecraft.picked_up.torch: #20, 1585(2%)
minecraft.mined.deepslate_gold_ore: #20, 49(2%)
minecraft.picked_up.andesite: #20, 2201(1%)
minecraft.mined.copper_ore: #20, 427(1%)
minecraft.crafted.iron_ingot: #20, 3059(1%)
minecraft.custom.open_enderchest: #20, 341(1%)
minecraft.picked_up.wheat: #20, 820(1%)
minecraft.picked_up.blaze_rod: #20, 24(1%)
minecraft.used.anvil: #20, 10(1%)
minecraft.dropped.diamond_sword: #20, 1(1%)
minecraft.crafted.repeater: #20, 44(1%)
minecraft.picked_up.oak_fence: #20, 23(1%)
minecraft.crafted.red_dye: #20, 66(1%)
minecraft.mined.spruce_wall_sign: #20, 2(1%)
minecraft.used.spruce_fence: #20, 66(1%)
minecraft.picked_up.golden_chestplate: #20, 2(1%)
minecraft.dropped.oak_sign: #20, 1(1%)
minecraft.used.iron_block: #20, 241(1%)
minecraft.picked_up.diamond_leggings: #20, 2(1%)
minecraft.killed.zombie: #20, 163(0%)
minecraft.crafted.bucket: #20, 22(0%)
minecraft.picked_up.chest: #20, 51(0%)
minecraft.mined.spruce_planks: #20, 57(0%)
minecraft.killed.skeleton: #20, 124(0%)
minecraft.picked_up.deepslate_gold_ore: #20, 5(0%)
minecraft.used.birch_sign: #20, 6(0%)
minecraft.mined.sand: #20, 2259(0%)
minecraft.picked_up.spruce_fence: #20, 15(0%)
minecraft.dropped.leather_helmet: #20, 1(0%)
minecraft.picked_up.rose_bush: #20, 20(0%)
minecraft.picked_up.clay_ball: #20, 48(0%)
minecraft.mined.redstone_block: #20, 6(0%)
minecraft.used.oak_fence: #20, 14(0%)
minecraft.mined.cave_vines: #20, 2(0%)
minecraft.crafted.paper: #20, 495(0%)
minecraft.used.cactus: #20, 17(0%)
minecraft.crafted.comparator: #20, 10(0%)
minecraft.crafted.deepslate_tile_stairs: #20, 4(0%)
minecraft.crafted.dark_oak_slab: #20, 36(0%)
minecraft.used.campfire: #20, 4(0%)
minecraft.mined.dark_oak_trapdoor: #20, 2(0%)
minecraft.picked_up.cobblestone_slab: #20, 6(0%)
minecraft.picked_up.deepslate_bricks: #20, 13(0%)
minecraft.crafted.campfire: #20, 3(0%)
minecraft.mined.dark_oak_wall_sign: #20, 1(0%)
minecraft.picked_up.dark_oak_trapdoor: #20, 2(0%)
minecraft.picked_up.crimson_stem: #20, 12(0%)
minecraft.used.white_dye: #20, 1(0%)
minecraft.used.grindstone: #20, 3(0%)
minecraft.dropped.carved_pumpkin: #20, 1(0%)
minecraft.picked_up.amethyst_shard: #20, 50(0%)
minecraft.dropped.player_head: #20, 4(0%)
minecraft.used.dark_oak_sign: #20, 2(0%)
minecraft.mined.stone_button: #20, 1(0%)
minecraft.used.polished_blackstone: #20, 1(0%)
minecraft.picked_up.lapis_lazuli: #21, 866(2%)
minecraft.mined.cobblestone: #21, 615(2%)
minecraft.mined.stone: #21, 41717(1%)
minecraft.mined.iron_ore: #21, 956(1%)
minecraft.crafted.ladder: #21, 93(1%)
minecraft.dropped.andesite: #21, 139(1%)
minecraft.crafted.diamond_block: #21, 13(1%)
minecraft.crafted.lever: #21, 18(1%)
minecraft.picked_up.writable_book: #21, 1(1%)
minecraft.picked_up.leather_boots: #21, 2(1%)
minecraft.used.iron_axe: #21, 245(0%)
minecraft.picked_up.firework_rocket: #21, 193(0%)
minecraft.mined.obsidian: #21, 70(0%)
minecraft.picked_up.leather_helmet: #21, 1(0%)
minecraft.killed.zombie_villager: #21, 1(0%)
minecraft.used.blast_furnace: #21, 2(0%)
minecraft.dropped.diamond: #21, 8(0%)
minecraft.picked_up.iron_nugget: #21, 31(0%)
minecraft.crafted.ender_chest: #21, 1(0%)
minecraft.mined.anvil: #21, 1(0%)
minecraft.picked_up.sand: #21, 2282(0%)
minecraft.dropped.tuff: #21, 5(0%)
minecraft.mined.dark_oak_slab: #21, 4(0%)
minecraft.used.spruce_fence_gate: #21, 7(0%)
minecraft.crafted.iron_axe: #21, 1(0%)
minecraft.picked_up.iron_block: #21, 92(0%)
minecraft.mined.birch_wall_sign: #21, 1(0%)
minecraft.dropped.string: #21, 11(0%)
minecraft.used.cobbled_deepslate_slab: #21, 19(0%)
minecraft.picked_up.potion: #21, 2(0%)
minecraft.crafted.gray_dye: #21, 26(0%)
minecraft.picked_up.spruce_trapdoor: #21, 10(0%)
minecraft.picked_up.flower_pot: #21, 1(0%)
minecraft.picked_up.dark_oak_slab: #21, 4(0%)
minecraft.crafted.cobblestone_wall: #21, 6(0%)
minecraft.picked_up.stone_button: #21, 5(0%)
minecraft.crafted.spruce_stairs: #21, 12(0%)
minecraft.mined.dark_oak_stairs: #21, 1(0%)
minecraft.custom.horse_one_cm: #21, 141243(0%)
minecraft.mined.iron_block: #21, 30(0%)
minecraft.picked_up.nether_wart: #21, 26(0%)
minecraft.custom.inspect_dropper: #21, 5(0%)
minecraft.picked_up.gold_ingot: #21, 3(0%)
minecraft.crafted.polished_deepslate: #21, 31(0%)
minecraft.used.glow_berries: #21, 2(0%)
minecraft.picked_up.deepslate_coal_ore: #21, 2(0%)
minecraft.crafted.grindstone: #21, 1(0%)
minecraft.picked_up.painting: #21, 1(0%)
minecraft.used.glowstone: #21, 1(0%)
minecraft.picked_up.snowball: #21, 4(0%)
minecraft.dropped.potato: #21, 1(0%)
minecraft.custom.walk_one_cm: #22, 26641367(2%)
minecraft.custom.leave_game: #22, 235(1%)
minecraft.custom.crouch_one_cm: #22, 1581691(1%)
minecraft.mined.deepslate_lapis_ore: #22, 16(1%)
minecraft.crafted.diamond_boots: #22, 1(1%)
minecraft.used.ladder: #22, 53(1%)
minecraft.mined.diamond_ore: #22, 50(1%)
minecraft.picked_up.gravel: #22, 1973(1%)
minecraft.mined.furnace: #22, 10(1%)
minecraft.crafted.redstone: #22, 765(1%)
minecraft.mined.barrel: #22, 9(1%)
minecraft.crafted.piston: #22, 44(1%)
minecraft.picked_up.furnace: #22, 10(1%)
minecraft.mined.fire: #22, 42(1%)
minecraft.custom.interact_with_beacon: #22, 3(1%)
minecraft.mined.redstone_wire: #22, 30(1%)
minecraft.crafted.redstone_torch: #22, 139(1%)
minecraft.mined.tuff: #22, 182(0%)
minecraft.picked_up.phantom_membrane: #22, 4(0%)
minecraft.custom.open_barrel: #22, 243(0%)
minecraft.crafted.white_bed: #22, 2(0%)
minecraft.used.white_bed: #22, 10(0%)
minecraft.custom.damage_dealt: #22, 152609(0%)
minecraft.picked_up.rail: #22, 79(0%)
minecraft.used.soul_sand: #22, 22(0%)
minecraft.picked_up.dispenser: #22, 3(0%)
minecraft.crafted.bow: #22, 6(0%)
minecraft.picked_up.spruce_planks: #22, 57(0%)
minecraft.crafted.stonecutter: #22, 1(0%)
minecraft.crafted.stone: #22, 72(0%)
minecraft.crafted.iron_nugget: #22, 288(0%)
minecraft.picked_up.poppy: #22, 28(0%)
minecraft.used.redstone_torch: #22, 13(0%)
minecraft.crafted.dispenser: #22, 4(0%)
minecraft.picked_up.anvil: #22, 1(0%)
minecraft.used.oak_trapdoor: #22, 8(0%)
minecraft.used.oak_boat: #22, 2(0%)
minecraft.mined.cactus: #22, 9(0%)
minecraft.crafted.oak_trapdoor: #22, 6(0%)
minecraft.dropped.wheat_seeds: #22, 119(0%)
minecraft.mined.oak_trapdoor: #22, 2(0%)
minecraft.crafted.cobblestone_slab: #22, 12(0%)
minecraft.used.glass: #22, 41(0%)
minecraft.mined.seagrass: #22, 7(0%)
minecraft.picked_up.oak_trapdoor: #22, 2(0%)
minecraft.mined.hopper: #22, 5(0%)
minecraft.used.spruce_log: #22, 13(0%)
minecraft.used.sand: #22, 131(0%)
minecraft.killed.phantom: #22, 1(0%)
minecraft.dropped.rotten_flesh: #22, 92(0%)
minecraft.picked_up.amethyst_block: #22, 18(0%)
minecraft.custom.aviate_one_cm: #22, 4879871(0%)
minecraft.crafted.spruce_slab: #22, 18(0%)
minecraft.mined.hay_block: #22, 1(0%)
minecraft.used.string: #22, 10(0%)
minecraft.dropped.gunpowder: #22, 4(0%)
minecraft.picked_up.deepslate_iron_ore: #22, 1(0%)
minecraft.used.firework_rocket: #22, 76(0%)
minecraft.mined.warped_wart_block: #22, 3(0%)
minecraft.used.birch_planks: #22, 1(0%)
minecraft.used.baked_potato: #22, 1(0%)
minecraft.used.stone_slab: #22, 2(0%)
minecraft.killed.drowned: #22, 3(0%)
minecraft.custom.jump: #23, 65200(1%)
minecraft.custom.sneak_time: #23, 463490(1%)
minecraft.custom.fall_one_cm: #23, 1315363(1%)
minecraft.mined.torch: #23, 234(1%)
minecraft.custom.boat_one_cm: #23, 1058961(1%)
minecraft.used.stone_axe: #23, 60(1%)
minecraft.custom.open_shulker_box: #23, 2058(1%)
minecraft.picked_up.coal_ore: #23, 244(1%)
minecraft.crafted.spruce_planks: #23, 1820(1%)
minecraft.dropped.granite: #23, 122(1%)
minecraft.picked_up.diamond_sword: #23, 3(1%)
minecraft.used.item_frame: #23, 25(1%)
minecraft.picked_up.arrow: #23, 278(0%)
minecraft.dropped.diorite: #23, 118(1%)
minecraft.picked_up.barrel: #23, 9(0%)
minecraft.picked_up.tuff: #23, 179(0%)
minecraft.custom.inspect_dispenser: #23, 28(0%)
minecraft.mined.white_bed: #23, 8(0%)
minecraft.picked_up.white_bed: #23, 8(0%)
minecraft.picked_up.deepslate: #23, 420(0%)
minecraft.picked_up.diamond_shovel: #23, 2(0%)
minecraft.picked_up.dandelion: #23, 8(0%)
minecraft.picked_up.birch_sign: #23, 3(0%)
minecraft.mined.dispenser: #23, 2(0%)
