stat, rank, value, (percentage) 
minecraft.used.nether_bricks: #5, 380(10%)
minecraft.crafted.cracked_deepslate_tiles: #4, 297(11%)
minecraft.used.smooth_basalt: #4, 234(4%)
minecraft.dropped.written_book: #4, 4(6%)
minecraft.mined.nether_gold_ore: #5, 274(9%)
minecraft.used.trident: #4, 384(7%)
minecraft.picked_up.black_concrete: #5, 1392(8%)
minecraft.mined.polished_deepslate_stairs: #5, 145(9%)
minecraft.broken.golden_helmet: #4, 1(12%)
minecraft.used.cooked_chicken: #4, 93(5%)
minecraft.broken.iron_shovel: #4, 11(4%)
minecraft.used.crimson_roots: #4, 17(8%)
minecraft.used.stone_sword: #5, 92(10%)
minecraft.crafted.nether_brick_fence: #4, 48(9%)
minecraft.picked_up.polished_deepslate_slab: #5, 312(8%)
minecraft.mined.blackstone: #5, 2676(6%)
minecraft.used.chiseled_quartz_block: #4, 25(11%)
minecraft.crafted.end_rod: #4, 220(5%)
minecraft.picked_up.purpur_pillar: #5, 41(9%)
minecraft.used.red_shulker_box: #5, 157(7%)
minecraft.used.cookie: #4, 19(6%)
minecraft.used.coarse_dirt: #5, 2355(7%)
minecraft.used.purpur_stairs: #4, 4(7%)
minecraft.picked_up.polished_deepslate_stairs: #5, 142(7%)
minecraft.picked_up.enchanting_table: #5, 3(9%)
minecraft.dropped.horn_coral_fan: #4, 1(6%)
minecraft.picked_up.glass_pane: #4, 207(2%)
minecraft.picked_up.crimson_sign: #4, 1(6%)
minecraft.used.netherite_chestplate: #4, 1(7%)
minecraft.crafted.golden_leggings: #4, 1(4%)
minecraft.used.polished_deepslate_wall: #5, 434(6%)
minecraft.used.nether_wart_block: #5, 78(8%)
minecraft.used.black_concrete_powder: #5, 2518(6%)
minecraft.dropped.polished_blackstone_bricks: #4, 24(3%)
minecraft.mined.nether_brick_wall: #4, 1(3%)
minecraft.picked_up.nether_brick_wall: #4, 1(2%)
minecraft.used.black_concrete: #5, 1173(5%)
minecraft.picked_up.redstone_lamp: #5, 37(6%)
minecraft.mined.spruce_door: #5, 14(6%)
minecraft.used.dead_horn_coral_block: #4, 2(1%)
minecraft.used.end_rod: #5, 265(5%)
minecraft.dropped.polished_blackstone_button: #5, 7(6%)
minecraft.picked_up.spider_eye: #6, 431(7%)
minecraft.picked_up.egg: #6, 477(7%)
minecraft.killed.hoglin: #5, 6(5%)
minecraft.used.heavy_weighted_pressure_plate: #5, 7(6%)
minecraft.dropped.cauldron: #5, 64(7%)
minecraft.picked_up.cracked_deepslate_tiles: #5, 16(7%)
minecraft.dropped.nether_bricks: #5, 2(6%)
minecraft.crafted.iron_shovel: #5, 15(3%)
minecraft.mined.stone_pressure_plate: #5, 6(3%)
minecraft.picked_up.flint: #6, 567(6%)
minecraft.mined.black_concrete: #6, 1374(6%)
minecraft.used.polished_deepslate_stairs: #6, 825(7%)
minecraft.picked_up.horn_coral_block: #5, 80(4%)
minecraft.picked_up.dead_bush: #5, 96(2%)
minecraft.used.chiseled_deepslate: #5, 70(2%)
minecraft.dropped.basalt: #6, 578(6%)
minecraft.mined.brown_wool: #5, 6(3%)
minecraft.dropped.tube_coral_fan: #5, 1(4%)
minecraft.crafted.golden_apple: #6, 60(8%)
minecraft.dropped.deepslate_tile_stairs: #5, 2(2%)
minecraft.dropped.oak_button: #5, 1(2%)
minecraft.mined.dead_horn_coral_block: #5, 3(2%)
minecraft.mined.polished_blackstone_brick_slab: #5, 17(1%)
minecraft.used.polished_blackstone_brick_slab: #5, 145(1%)
minecraft.crafted.black_concrete_powder: #6, 2600(6%)
minecraft.dropped.blaze_rod: #5, 1(2%)
minecraft.killed.piglin_brute: #5, 1(2%)
minecraft.picked_up.lime_dye: #5, 6(1%)
minecraft.dropped.smooth_basalt: #6, 68(6%)
minecraft.picked_up.dead_horn_coral_block: #5, 3(1%)
