stat, rank, value, (percentage) 
minecraft.dropped.dark_oak_wood: #1, 64(36%)
minecraft.mined.jungle_slab: #2, 138(19%)
minecraft.used.lime_glazed_terracotta: #1, 55(71%)
minecraft.used.hanging_roots: #2, 84(19%)
minecraft.dropped.leather_horse_armor: #1, 6(46%)
minecraft.crafted.birch_fence: #2, 159(16%)
minecraft.mined.oak_wood: #2, 139(18%)
minecraft.used.birch_slab: #2, 396(13%)
minecraft.used.cooked_beef: #2, 1221(9%)
minecraft.mined.brown_candle: #1, 5(42%)
minecraft.used.spruce_stairs: #3, 1170(13%)
minecraft.picked_up.spruce_wood: #2, 51(27%)
minecraft.used.magenta_stained_glass: #2, 369(31%)
minecraft.picked_up.birch_stairs: #3, 49(18%)
minecraft.mined.birch_stairs: #3, 52(18%)
minecraft.mined.dark_oak_sapling: #2, 22(17%)
minecraft.used.light_blue_candle: #1, 7(39%)
minecraft.mined.cyan_wool: #2, 16(36%)
minecraft.mined.prismarine_stairs: #1, 5(56%)
minecraft.picked_up.prismarine_stairs: #1, 5(56%)
minecraft.dropped.grass: #2, 44(14%)
minecraft.mined.birch_slab: #3, 108(14%)
minecraft.mined.magenta_glazed_terracotta: #1, 1(100%)
minecraft.mined.green_wall_banner: #1, 1(100%)
minecraft.mined.lime_glazed_terracotta: #1, 3(100%)
minecraft.mined.pink_stained_glass_pane: #1, 1(50%)
minecraft.picked_up.music_disc_mellohi: #1, 1(50%)
minecraft.picked_up.lime_glazed_terracotta: #1, 3(100%)
minecraft.picked_up.pink_stained_glass_pane: #1, 1(50%)
minecraft.crafted.stripped_jungle_wood: #1, 18(100%)
minecraft.dropped.red_candle: #1, 16(50%)
minecraft.killed_by.pillager: #1, 1(33%)
minecraft.broken.leather_leggings: #1, 1(33%)
minecraft.custom.fly_one_cm: #3, 71415319(5%)
minecraft.mined.tall_grass: #2, 938(8%)
minecraft.mined.spruce_slab: #3, 545(12%)
minecraft.crafted.dark_oak_wood: #2, 978(14%)
minecraft.used.yellow_candle: #2, 19(31%)
minecraft.mined.green_shulker_box: #2, 82(19%)
minecraft.mined.spruce_stairs: #3, 219(12%)
minecraft.picked_up.green_shulker_box: #2, 82(18%)
minecraft.used.red_candle: #2, 27(22%)
minecraft.mined.jungle_planks: #2, 197(9%)
minecraft.crafted.note_block: #3, 369(16%)
minecraft.used.jungle_planks: #2, 1210(10%)
minecraft.used.dark_oak_wood: #2, 907(15%)
minecraft.dropped.pink_wool: #2, 192(35%)
minecraft.picked_up.moss_block: #3, 8592(11%)
minecraft.dropped.flower_pot: #2, 17(24%)
minecraft.crafted.spruce_stairs: #3, 988(12%)
minecraft.mined.spruce_planks: #3, 1315(11%)
minecraft.used.note_block: #3, 346(16%)
minecraft.dropped.wooden_pickaxe: #2, 3(11%)
minecraft.picked_up.cooked_salmon: #2, 6(20%)
minecraft.used.crimson_fence: #2, 20(20%)
minecraft.crafted.diorite_wall: #2, 30(19%)
minecraft.used.dark_oak_slab: #3, 1100(12%)
minecraft.picked_up.cake: #2, 9(26%)
minecraft.used.white_candle: #2, 60(22%)
minecraft.crafted.granite_stairs: #2, 40(25%)
minecraft.picked_up.spruce_planks: #3, 1558(10%)
minecraft.used.pink_stained_glass: #2, 166(24%)
minecraft.crafted.leather_horse_armor: #2, 21(20%)
minecraft.mined.warped_slab: #2, 23(13%)
minecraft.used.pink_bed: #2, 4(24%)
minecraft.picked_up.gold_block: #3, 341(11%)
minecraft.dropped.smooth_sandstone: #2, 65(17%)
minecraft.used.blue_orchid: #2, 28(17%)
minecraft.mined.allium: #2, 80(12%)
minecraft.crafted.jungle_slab: #3, 612(15%)
minecraft.dropped.allium: #2, 33(21%)
minecraft.dropped.yellow_dye: #2, 28(25%)
minecraft.picked_up.jungle_planks: #2, 182(7%)
minecraft.mined.crimson_fence: #2, 3(25%)
minecraft.dropped.birch_trapdoor: #2, 4(31%)
minecraft.used.dark_oak_stairs: #3, 527(12%)
minecraft.used.beetroot_seeds: #2, 260(13%)
minecraft.picked_up.brown_stained_glass: #2, 45(17%)
minecraft.mined.grass: #3, 4222(8%)
minecraft.used.brown_candle: #2, 25(23%)
minecraft.crafted.pink_bed: #2, 2(22%)
minecraft.mined.birch_fence: #3, 73(15%)
minecraft.used.spore_blossom: #3, 42(12%)
minecraft.dropped.orange_terracotta: #3, 146(16%)
minecraft.used.cyan_banner: #2, 12(26%)
minecraft.picked_up.dark_oak_leaves: #2, 347(7%)
minecraft.picked_up.smooth_sandstone: #3, 1400(11%)
minecraft.dropped.netherite_hoe: #2, 1(25%)
minecraft.picked_up.red_glazed_terracotta: #2, 2(33%)
minecraft.mined.player_wall_head: #3, 17(9%)
minecraft.mined.azalea_leaves: #3, 5196(9%)
minecraft.dropped.big_dripleaf: #2, 38(19%)
minecraft.picked_up.orange_bed: #2, 110(16%)
minecraft.crafted.granite_slab: #2, 66(16%)
minecraft.picked_up.spruce_sign: #3, 101(8%)
minecraft.mined.orange_bed: #2, 105(15%)
minecraft.used.orange_bed: #2, 106(15%)
minecraft.mined.flowering_azalea_leaves: #3, 1659(8%)
minecraft.mined.scaffolding: #4, 4818(12%)
minecraft.used.gold_block: #3, 509(12%)
minecraft.used.brown_mushroom: #2, 69(6%)
minecraft.broken.iron_hoe: #2, 1(20%)
minecraft.crafted.magenta_glazed_terracotta: #2, 8(40%)
minecraft.picked_up.dark_oak_slab: #3, 190(9%)
minecraft.used.light_blue_bed: #2, 129(19%)
minecraft.mined.wither_rose: #2, 23(11%)
minecraft.mined.peony: #3, 11(9%)
minecraft.dropped.cooked_beef: #3, 135(9%)
minecraft.mined.pink_bed: #2, 2(25%)
minecraft.broken.iron_boots: #2, 1(25%)
minecraft.used.prismarine_stairs: #2, 14(25%)
minecraft.used.green_shulker_box: #3, 88(17%)
minecraft.mined.red_glazed_terracotta: #2, 2(33%)
minecraft.crafted.cyan_carpet: #2, 12(17%)
minecraft.dropped.birch_planks: #3, 92(9%)
minecraft.crafted.magenta_stained_glass: #3, 528(21%)
minecraft.dropped.redstone_ore: #3, 20(17%)
minecraft.used.spruce_log: #3, 911(7%)
minecraft.dropped.snow_block: #2, 258(5%)
minecraft.used.magenta_glazed_terracotta: #2, 6(32%)
minecraft.picked_up.light_blue_bed: #2, 131(21%)
minecraft.picked_up.red_candle: #2, 43(12%)
minecraft.mined.light_blue_bed: #2, 129(21%)
minecraft.mined.green_terracotta: #2, 102(8%)
minecraft.crafted.green_bed: #2, 4(12%)
minecraft.crafted.cut_copper_slab: #3, 114(16%)
minecraft.used.dark_oak_leaves: #2, 261(7%)
minecraft.used.cake: #3, 10(16%)
minecraft.mined.dark_oak_sign: #3, 4(9%)
minecraft.picked_up.yellow_candle: #2, 19(10%)
minecraft.crafted.prismarine_wall: #2, 7(19%)
minecraft.used.yellow_wool: #3, 353(11%)
minecraft.crafted.cyan_banner: #2, 12(13%)
minecraft.dropped.red_terracotta: #3, 56(19%)
minecraft.used.pink_dye: #2, 1(12%)
minecraft.picked_up.birch_fence: #3, 78(12%)
minecraft.dropped.dark_oak_log: #3, 96(8%)
minecraft.mined.white_tulip: #2, 14(5%)
minecraft.used.cyan_wool: #3, 36(21%)
minecraft.dropped.rooted_dirt: #3, 24(18%)
minecraft.used.moss_block: #4, 6407(10%)
minecraft.picked_up.oak_leaves: #4, 8813(10%)
minecraft.used.diamond_hoe: #3, 25897(7%)
minecraft.used.red_glazed_terracotta: #2, 10(14%)
minecraft.mined.big_dripleaf: #3, 20(12%)
minecraft.used.magenta_wool: #2, 16(7%)
minecraft.picked_up.light_blue_candle: #2, 16(20%)
minecraft.dropped.flowering_azalea_leaves: #3, 63(12%)
minecraft.mined.yellow_stained_glass: #2, 18(7%)
minecraft.used.glow_berries: #4, 342(10%)
minecraft.used.pink_candle: #2, 8(5%)
minecraft.dropped.beetroot: #2, 34(3%)
minecraft.dropped.bookshelf: #2, 8(9%)
minecraft.mined.spore_blossom: #3, 6(10%)
minecraft.dropped.orange_bed: #2, 2(5%)
minecraft.crafted.magenta_terracotta: #3, 256(16%)
minecraft.crafted.brown_shulker_box: #3, 9(14%)
minecraft.used.poppy: #4, 36(11%)
minecraft.picked_up.yellow_wool: #3, 326(8%)
minecraft.custom.horse_one_cm: #4, 11511433(9%)
minecraft.used.pink_glazed_terracotta: #2, 43(7%)
minecraft.custom.pot_flower: #4, 58(10%)
minecraft.mined.jungle_stairs: #3, 27(9%)
minecraft.used.yellow_stained_glass: #2, 102(3%)
minecraft.picked_up.magenta_glazed_terracotta: #2, 1(8%)
minecraft.mined.magenta_terracotta: #2, 9(3%)
minecraft.used.iron_chestplate: #3, 2(12%)
minecraft.used.player_head: #4, 89(8%)
minecraft.picked_up.azalea: #4, 962(9%)
minecraft.crafted.red_glazed_terracotta: #2, 8(1%)
minecraft.mined.pink_glazed_terracotta: #2, 3(1%)
minecraft.picked_up.pink_glazed_terracotta: #2, 3(1%)
minecraft.mined.oak_leaves: #4, 9546(8%)
minecraft.mined.potted_cornflower: #3, 1(17%)
minecraft.picked_up.orange_wool: #3, 113(8%)
minecraft.dropped.azalea_leaves: #3, 93(7%)
minecraft.picked_up.cyan_wool: #3, 124(12%)
minecraft.crafted.dark_oak_slab: #4, 1122(9%)
minecraft.picked_up.cooked_beef: #4, 984(7%)
minecraft.dropped.magenta_dye: #3, 26(19%)
minecraft.dropped.redstone_torch: #4, 43(13%)
minecraft.used.raw_gold_block: #3, 29(12%)
minecraft.mined.red_candle: #3, 4(18%)
minecraft.used.dandelion: #4, 26(13%)
minecraft.used.flower_pot: #4, 79(9%)
minecraft.mined.yellow_candle: #3, 2(22%)
minecraft.crafted.dark_oak_stairs: #4, 496(10%)
minecraft.used.painting: #3, 80(4%)
minecraft.mined.mushroom_stem: #4, 402(10%)
minecraft.mined.dark_oak_button: #3, 2(11%)
minecraft.crafted.magenta_shulker_box: #3, 2(11%)
minecraft.used.shears: #4, 7502(7%)
minecraft.dropped.green_dye: #3, 15(12%)
minecraft.picked_up.spruce_stairs: #4, 217(8%)
minecraft.crafted.book: #4, 335(8%)
minecraft.used.cyan_carpet: #3, 15(20%)
minecraft.used.honeycomb_block: #3, 65(9%)
minecraft.used.spruce_fence: #4, 869(8%)
minecraft.used.brown_shulker_box: #3, 50(7%)
minecraft.used.orange_shulker_box: #3, 95(7%)
minecraft.picked_up.end_rod: #4, 357(8%)
minecraft.used.jungle_trapdoor: #3, 183(6%)
minecraft.mined.jungle_leaves: #3, 893(4%)
minecraft.crafted.netherite_hoe: #3, 1(14%)
minecraft.picked_up.brown_shulker_box: #3, 45(6%)
minecraft.mined.brown_shulker_box: #3, 43(6%)
minecraft.mined.granite_slab: #3, 11(12%)
minecraft.crafted.spruce_fence: #4, 834(8%)
minecraft.crafted.spruce_sign: #4, 258(8%)
minecraft.mined.lily_of_the_valley: #4, 23(11%)
minecraft.crafted.jungle_trapdoor: #3, 160(6%)
minecraft.used.deepslate_gold_ore: #4, 69(10%)
minecraft.picked_up.pink_bed: #3, 2(17%)
minecraft.picked_up.mushroom_stem: #4, 402(11%)
minecraft.mined.warped_fence: #3, 7(7%)
minecraft.picked_up.pink_tulip: #3, 24(5%)
minecraft.picked_up.allium: #3, 322(4%)
minecraft.picked_up.jungle_slab: #4, 130(12%)
minecraft.used.green_dye: #3, 4(11%)
minecraft.custom.jump: #5, 277195(6%)
minecraft.picked_up.brown_mushroom: #4, 223(6%)
minecraft.crafted.yellow_stained_glass: #3, 232(5%)
minecraft.mined.green_stained_glass_pane: #3, 6(8%)
minecraft.mined.jungle_trapdoor: #3, 32(4%)
minecraft.crafted.green_shulker_box: #3, 6(6%)
minecraft.crafted.leather_leggings: #4, 19(12%)
minecraft.mined.pink_candle: #3, 1(12%)
minecraft.picked_up.green_terracotta: #3, 94(4%)
minecraft.mined.cyan_carpet: #3, 3(12%)
minecraft.crafted.green_banner: #3, 2(6%)
minecraft.dropped.blue_dye: #3, 6(7%)
minecraft.crafted.player_head: #4, 204(8%)
minecraft.mined.pink_wool: #3, 21(4%)
minecraft.picked_up.cyan_carpet: #3, 3(8%)
minecraft.picked_up.quartz_slab: #4, 48(9%)
minecraft.dropped.small_dripleaf: #3, 1(8%)
minecraft.dropped.milk_bucket: #3, 1(10%)
minecraft.picked_up.pink_wool: #4, 142(11%)
minecraft.picked_up.blue_wool: #3, 32(4%)
minecraft.used.small_dripleaf: #4, 32(12%)
minecraft.dropped.leather: #4, 99(7%)
minecraft.picked_up.stripped_birch_wood: #3, 7(3%)
minecraft.used.yellow_bed: #4, 18(7%)
minecraft.mined.stripped_birch_wood: #3, 7(4%)
minecraft.used.green_stained_glass_pane: #3, 70(3%)
minecraft.mined.sandstone: #5, 11044(9%)
minecraft.mined.brown_stained_glass: #4, 22(18%)
minecraft.used.green_terracotta: #3, 314(2%)
minecraft.picked_up.nether_sprouts: #3, 15(4%)
minecraft.crafted.pink_glazed_terracotta: #3, 40(5%)
minecraft.picked_up.wooden_pickaxe: #4, 3(11%)
minecraft.crafted.enchanting_table: #4, 2(6%)
