stat, rank, value, (percentage) 
minecraft.crafted.flower_pot: #6, 79(7%)
minecraft.picked_up.oak_wood: #6, 122(7%)
minecraft.crafted.cyan_bed: #5, 1(4%)
minecraft.crafted.birch_trapdoor: #5, 50(2%)
minecraft.used.sandstone_stairs: #5, 51(3%)
minecraft.picked_up.red_sand: #5, 1928(2%)
minecraft.picked_up.granite_slab: #5, 9(4%)
minecraft.dropped.spruce_planks: #6, 150(6%)
minecraft.picked_up.green_wool: #5, 71(2%)
minecraft.dropped.dispenser: #5, 1(5%)
minecraft.picked_up.acacia_sign: #5, 2(4%)
minecraft.used.iron_hoe: #6, 349(6%)
minecraft.mined.red_sand: #5, 1957(2%)
minecraft.picked_up.jungle_trapdoor: #5, 32(2%)
minecraft.mined.dirt_path: #6, 430(5%)
minecraft.crafted.lectern: #6, 21(6%)
minecraft.used.amethyst_cluster: #5, 46(1%)
minecraft.crafted.pink_terracotta: #5, 40(1%)
minecraft.picked_up.jungle_button: #5, 1(3%)
minecraft.used.gray_shulker_box: #5, 9(1%)
minecraft.crafted.lime_bed: #5, 2(2%)
minecraft.crafted.melon: #5, 475(2%)
minecraft.mined.honeycomb_block: #5, 2(1%)
minecraft.picked_up.gray_shulker_box: #5, 9(1%)
minecraft.crafted.cooked_porkchop: #6, 35(5%)
minecraft.picked_up.lead: #6, 105(4%)
minecraft.used.green_bed: #5, 4(2%)
minecraft.crafted.coarse_dirt: #6, 1556(5%)
minecraft.mined.gray_shulker_box: #5, 8(1%)
minecraft.dropped.mutton: #5, 2(1%)
minecraft.dropped.crimson_roots: #5, 4(1%)
minecraft.picked_up.prismarine_wall: #5, 1(2%)
minecraft.picked_up.brown_candle: #5, 5(2%)
minecraft.mined.prismarine_wall: #5, 1(2%)
minecraft.mined.pink_tulip: #5, 2(1%)
minecraft.crafted.orange_bed: #5, 1(2%)
minecraft.mined.beetroots: #6, 103(8%)
minecraft.used.lime_bed: #5, 2(1%)
minecraft.dropped.pumpkin: #5, 62(1%)
minecraft.crafted.composter: #6, 77(4%)
minecraft.used.dark_oak_trapdoor: #6, 209(5%)
minecraft.dropped.white_banner: #5, 1(1%)
minecraft.mined.pink_stained_glass: #5, 3(1%)
minecraft.crafted.lime_stained_glass: #5, 112(0%)
minecraft.picked_up.cyan_stained_glass: #5, 2(0%)
minecraft.picked_up.orange_tulip: #5, 13(0%)
minecraft.used.spruce_sapling: #6, 294(4%)
minecraft.picked_up.purple_concrete: #5, 8(0%)
minecraft.mined.smooth_quartz: #6, 33(7%)
minecraft.crafted.red_sandstone_slab: #5, 12(0%)
minecraft.used.purple_concrete: #5, 5(0%)
minecraft.used.warped_wart_block: #6, 107(7%)
minecraft.mined.purple_concrete: #5, 8(0%)
minecraft.mined.white_carpet: #6, 37(5%)
minecraft.used.diamond_leggings: #6, 3(5%)
minecraft.crafted.cut_copper: #6, 92(7%)
minecraft.crafted.dark_oak_trapdoor: #6, 186(4%)
minecraft.picked_up.white_stained_glass_pane: #6, 29(8%)
minecraft.picked_up.jungle_log: #6, 1276(4%)
minecraft.used.candle: #6, 57(5%)
minecraft.crafted.lime_terracotta: #6, 144(6%)
minecraft.picked_up.white_carpet: #6, 41(4%)
minecraft.mined.dark_oak_door: #6, 4(8%)
minecraft.used.flowering_azalea: #6, 65(3%)
minecraft.mined.birch_sign: #6, 5(5%)
minecraft.used.jungle_fence: #6, 44(5%)
minecraft.used.egg: #6, 170(3%)
minecraft.picked_up.beetroot_seeds: #6, 269(3%)
minecraft.picked_up.netherite_pickaxe: #6, 14(4%)
minecraft.mined.stripped_birch_log: #6, 131(4%)
minecraft.used.loom: #6, 8(4%)
minecraft.picked_up.red_wool: #6, 440(4%)
minecraft.used.iron_boots: #6, 1(6%)
minecraft.mined.red_mushroom_block: #6, 373(4%)
minecraft.used.diamond_chestplate: #6, 1(6%)
minecraft.mined.dark_oak_stairs: #7, 55(7%)
minecraft.crafted.jungle_fence: #6, 42(4%)
minecraft.used.warped_fence: #6, 22(5%)
minecraft.used.cooked_salmon: #6, 6(6%)
minecraft.crafted.blue_shulker_box: #6, 1(7%)
minecraft.picked_up.spruce_button: #6, 10(3%)
minecraft.used.oak_planks: #6, 868(2%)
minecraft.crafted.netherite_boots: #6, 1(6%)
minecraft.crafted.deepslate_tiles: #6, 320(3%)
minecraft.picked_up.deepslate_gold_ore: #7, 75(7%)
minecraft.dropped.barrel: #6, 3(4%)
minecraft.mined.sunflower: #6, 11(3%)
minecraft.picked_up.blue_shulker_box: #6, 19(5%)
minecraft.used.suspicious_stew: #6, 2(5%)
minecraft.mined.cave_vines_plant: #6, 13(3%)
minecraft.crafted.magenta_dye: #7, 131(6%)
minecraft.used.deepslate_iron_ore: #7, 102(8%)
minecraft.mined.blue_shulker_box: #6, 19(6%)
minecraft.crafted.birch_button: #6, 5(4%)
minecraft.used.dragon_head: #6, 1(4%)
minecraft.crafted.painting: #6, 23(2%)
minecraft.used.stripped_jungle_log: #6, 21(5%)
minecraft.picked_up.diamond_ore: #7, 118(6%)
minecraft.picked_up.wither_rose: #6, 22(3%)
minecraft.crafted.raw_copper_block: #6, 118(2%)
minecraft.used.netherite_boots: #6, 2(6%)
minecraft.used.dark_oak_button: #6, 8(2%)
minecraft.mined.white_wall_banner: #6, 1(4%)
minecraft.picked_up.stripped_spruce_log: #6, 74(2%)
minecraft.used.iron_axe: #7, 2441(5%)
minecraft.used.oak_log: #7, 796(5%)
minecraft.mined.daylight_detector: #6, 2(3%)
minecraft.picked_up.daylight_detector: #6, 2(3%)
minecraft.picked_up.diamond_horse_armor: #6, 1(3%)
minecraft.used.stripped_spruce_log: #6, 50(2%)
minecraft.mined.rooted_dirt: #6, 45(1%)
minecraft.dropped.melon_seeds: #6, 2(4%)
minecraft.picked_up.rooted_dirt: #6, 45(1%)
minecraft.picked_up.melon_slice: #6, 238(1%)
minecraft.used.crimson_roots: #6, 6(3%)
minecraft.crafted.smooth_sandstone_slab: #6, 34(2%)
minecraft.used.stripped_birch_log: #6, 50(2%)
minecraft.used.mossy_stone_brick_slab: #6, 18(4%)
minecraft.used.red_mushroom_block: #6, 32(2%)
minecraft.mined.sandstone_stairs: #6, 15(2%)
minecraft.mined.dark_oak_log: #7, 2837(5%)
minecraft.custom.eat_cake_slice: #6, 2(2%)
minecraft.crafted.melon_seeds: #6, 13(1%)
minecraft.mined.red_tulip: #6, 3(2%)
minecraft.used.prismarine_wall: #6, 14(2%)
minecraft.picked_up.magenta_wool: #6, 18(1%)
minecraft.picked_up.green_carpet: #6, 3(1%)
minecraft.picked_up.sandstone_stairs: #6, 15(2%)
minecraft.mined.crying_obsidian: #6, 6(1%)
minecraft.used.gold_ore: #7, 136(6%)
minecraft.used.cobweb: #7, 36(8%)
minecraft.dropped.blaze_rod: #6, 1(2%)
minecraft.picked_up.spruce_log: #7, 5510(4%)
minecraft.used.birch_boat: #7, 12(5%)
minecraft.mined.blue_terracotta: #6, 2(1%)
minecraft.dropped.jungle_leaves: #6, 2(1%)
minecraft.used.deepslate_diamond_ore: #7, 42(6%)
minecraft.used.blue_candle: #6, 1(1%)
minecraft.mined.lever: #7, 30(4%)
minecraft.used.coarse_dirt: #7, 1645(5%)
minecraft.used.brown_stained_glass: #6, 62(1%)
minecraft.crafted.mossy_stone_brick_slab: #6, 18(0%)
minecraft.mined.lime_stained_glass: #6, 5(0%)
minecraft.used.raw_iron_block: #6, 7(0%)
minecraft.dropped.beetroot_seeds: #6, 6(0%)
minecraft.picked_up.lime_stained_glass: #6, 4(0%)
minecraft.used.purple_concrete_powder: #6, 8(0%)
minecraft.mined.stripped_crimson_stem: #6, 1(0%)
minecraft.picked_up.stripped_crimson_stem: #6, 1(0%)
minecraft.used.crying_obsidian: #6, 5(0%)
minecraft.picked_up.deepslate_iron_ore: #7, 127(4%)
minecraft.used.spruce_trapdoor: #7, 540(4%)
minecraft.picked_up.clay_ball: #7, 560(4%)
minecraft.dropped.writable_book: #7, 3(5%)
minecraft.mined.spruce_door: #7, 12(5%)
minecraft.crafted.white_stained_glass: #7, 624(4%)
minecraft.used.dark_oak_fence: #7, 129(4%)
minecraft.picked_up.oak_planks: #7, 503(3%)
minecraft.picked_up.flower_pot: #7, 20(4%)
minecraft.crafted.smoker: #7, 4(5%)
minecraft.picked_up.crimson_fungus: #7, 20(4%)
minecraft.used.shroomlight: #7, 215(3%)
minecraft.dropped.red_wool: #7, 50(7%)
minecraft.used.axolotl_bucket: #7, 17(4%)
minecraft.mined.soul_soil: #7, 358(3%)
minecraft.used.map: #7, 9(4%)
minecraft.picked_up.dark_oak_fence: #7, 49(3%)
minecraft.picked_up.azure_bluet: #7, 47(3%)
minecraft.mined.coarse_dirt: #7, 345(3%)
minecraft.picked_up.soul_soil: #7, 352(3%)
minecraft.dropped.azalea: #7, 47(4%)
minecraft.dropped.deepslate: #7, 132(3%)
minecraft.crafted.iron_door: #7, 15(3%)
minecraft.used.netherite_axe: #7, 7651(5%)
minecraft.used.diamond_block: #7, 45(3%)
minecraft.used.smoker: #7, 4(3%)
minecraft.used.warped_fungus: #7, 19(4%)
minecraft.dropped.oak_stairs: #7, 10(4%)
minecraft.used.warped_door: #7, 3(6%)
minecraft.picked_up.golden_horse_armor: #7, 1(5%)
minecraft.crafted.warped_door: #7, 3(6%)
minecraft.dropped.magma_block: #7, 14(3%)
minecraft.picked_up.yellow_concrete: #7, 74(3%)
minecraft.used.diamond_axe: #8, 21307(5%)
minecraft.used.yellow_shulker_box: #7, 43(4%)
minecraft.crafted.spyglass: #7, 1(3%)
minecraft.mined.gray_stained_glass_pane: #7, 6(4%)
minecraft.mined.yellow_shulker_box: #7, 42(4%)
minecraft.picked_up.yellow_shulker_box: #7, 42(4%)
minecraft.mined.loom: #7, 3(3%)
minecraft.used.birch_button: #7, 5(3%)
minecraft.picked_up.nether_brick_slab: #7, 5(4%)
minecraft.crafted.gray_shulker_box: #7, 1(4%)
minecraft.dropped.spruce_button: #7, 3(3%)
minecraft.used.carrot: #8, 1202(5%)
minecraft.mined.nether_brick_slab: #7, 3(3%)
minecraft.picked_up.honeycomb: #7, 467(2%)
minecraft.used.spruce_button: #7, 22(2%)
minecraft.picked_up.lily_pad: #7, 28(1%)
minecraft.used.granite_wall: #7, 20(3%)
minecraft.mined.stripped_spruce_log: #7, 71(1%)
minecraft.crafted.fletching_table: #7, 1(3%)
minecraft.mined.melon_stem: #7, 2(3%)
minecraft.picked_up.smooth_quartz: #7, 33(2%)
minecraft.custom.animals_bred: #8, 558(5%)
minecraft.dropped.terracotta: #7, 31(3%)
minecraft.dropped.cooked_porkchop: #7, 6(2%)
minecraft.crafted.compass: #7, 9(2%)
minecraft.used.jungle_boat: #7, 2(3%)
minecraft.used.prismarine: #7, 114(2%)
minecraft.dropped.iron_trapdoor: #7, 2(3%)
minecraft.crafted.nether_brick_slab: #7, 42(2%)
minecraft.crafted.spruce_button: #7, 15(1%)
minecraft.mined.blue_candle: #7, 1(3%)
minecraft.mined.cave_vines: #8, 33(5%)
minecraft.mined.granite_wall: #7, 1(3%)
minecraft.crafted.polished_blackstone_button: #7, 52(1%)
minecraft.crafted.pumpkin_pie: #7, 44(2%)
minecraft.dropped.birch_slab: #7, 5(2%)
minecraft.mined.stripped_acacia_log: #7, 5(1%)
minecraft.mined.spawner: #7, 1(1%)
minecraft.used.leather_boots: #7, 1(2%)
minecraft.crafted.yellow_shulker_box: #7, 1(1%)
minecraft.crafted.crimson_slab: #7, 24(2%)
minecraft.crafted.crimson_hyphae: #7, 6(2%)
minecraft.picked_up.blue_candle: #7, 3(2%)
minecraft.dropped.nether_wart_block: #7, 1(1%)
minecraft.dropped.wheat: #7, 54(1%)
minecraft.used.yellow_concrete: #7, 31(1%)
minecraft.picked_up.leather: #8, 880(4%)
minecraft.used.light_gray_carpet: #7, 40(1%)
minecraft.crafted.smooth_quartz_stairs: #7, 8(1%)
minecraft.mined.granite_stairs: #7, 1(2%)
minecraft.picked_up.blue_terracotta: #7, 2(1%)
minecraft.mined.orange_tulip: #7, 2(1%)
minecraft.used.crimson_hyphae: #7, 3(1%)
minecraft.crafted.candle: #7, 57(1%)
minecraft.used.iron_sword: #8, 916(5%)
minecraft.dropped.glow_lichen: #7, 1(1%)
minecraft.crafted.light_gray_terracotta: #7, 8(1%)
minecraft.mined.carrots: #8, 772(4%)
minecraft.picked_up.stripped_jungle_wood: #7, 1(1%)
minecraft.mined.stripped_jungle_wood: #7, 1(1%)
minecraft.used.light_blue_terracotta: #7, 5(1%)
minecraft.used.light_blue_concrete: #7, 4(1%)
minecraft.used.blue_terracotta: #7, 5(0%)
minecraft.used.green_stained_glass: #7, 39(0%)
minecraft.mined.light_blue_stained_glass_pane: #7, 1(0%)
minecraft.crafted.amethyst_block: #7, 3(0%)
minecraft.used.light_blue_stained_glass_pane: #7, 6(0%)
minecraft.used.bookshelf: #8, 295(4%)
minecraft.picked_up.red_tulip: #7, 3(0%)
minecraft.picked_up.light_blue_stained_glass_pane: #7, 1(0%)
minecraft.crafted.purple_concrete_powder: #7, 8(0%)
minecraft.used.iron_door: #8, 16(5%)
minecraft.picked_up.lapis_ore: #8, 60(4%)
minecraft.picked_up.deepslate_redstone_ore: #8, 150(4%)
minecraft.crafted.spruce_trapdoor: #8, 496(4%)
minecraft.dropped.iron_chestplate: #8, 3(5%)
minecraft.crafted.lever: #8, 88(3%)
minecraft.killed_by.magma_cube: #8, 2(5%)
minecraft.crafted.iron_axe: #8, 11(3%)
minecraft.used.cut_copper_slab: #8, 80(6%)
minecraft.used.spruce_door: #8, 17(3%)
minecraft.picked_up.spruce_door: #8, 13(4%)
minecraft.crafted.birch_sign: #8, 39(3%)
minecraft.used.copper_ore: #8, 228(3%)
minecraft.picked_up.dark_oak_door: #8, 4(5%)
minecraft.picked_up.birch_boat: #8, 11(3%)
minecraft.used.red_wool: #8, 402(3%)
minecraft.dropped.minecart: #8, 3(3%)
minecraft.used.end_rod: #8, 128(2%)
minecraft.dropped.dark_oak_planks: #8, 30(2%)
minecraft.dropped.white_dye: #8, 50(3%)
minecraft.picked_up.lime_terracotta: #8, 12(4%)
minecraft.killed.hoglin: #8, 3(2%)
minecraft.picked_up.note_block: #8, 18(3%)
minecraft.dropped.stone_hoe: #8, 1(3%)
minecraft.mined.nether_sprouts: #8, 27(2%)
minecraft.picked_up.peony: #8, 23(2%)
minecraft.picked_up.crossbow: #8, 4(2%)
minecraft.crafted.warped_fence: #8, 21(3%)
minecraft.picked_up.warped_planks: #8, 48(2%)
minecraft.used.ladder: #9, 237(5%)
minecraft.crafted.dark_oak_planks: #9, 4576(5%)
minecraft.mined.yellow_concrete: #8, 58(2%)
minecraft.picked_up.glow_lichen: #8, 357(1%)
minecraft.crafted.orange_shulker_box: #8, 1(3%)
minecraft.used.smooth_quartz: #8, 91(2%)
minecraft.mined.yellow_terracotta: #8, 5(2%)
minecraft.used.cut_copper: #8, 20(2%)
minecraft.used.crafting_table: #9, 176(4%)
minecraft.used.brown_wool: #8, 16(1%)
minecraft.crafted.warped_slab: #8, 60(1%)
minecraft.crafted.jungle_boat: #8, 1(2%)
minecraft.mined.gray_concrete_powder: #8, 2(2%)
minecraft.mined.glow_lichen: #8, 221(1%)
minecraft.mined.twisting_vines: #8, 13(1%)
minecraft.picked_up.stripped_acacia_log: #8, 5(1%)
minecraft.used.crimson_slab: #8, 10(2%)
minecraft.custom.open_barrel: #9, 2549(4%)
minecraft.crafted.sandstone_slab: #8, 24(1%)
minecraft.picked_up.granite_wall: #8, 1(2%)
minecraft.dropped.saddle: #8, 1(1%)
minecraft.used.yellow_concrete_powder: #8, 41(1%)
minecraft.mined.light_gray_carpet: #8, 4(1%)
minecraft.mined.jungle_sapling: #8, 2(1%)
minecraft.used.twisting_vines: #8, 12(1%)
minecraft.crafted.red_carpet: #8, 9(1%)
minecraft.crafted.cartography_table: #8, 1(1%)
minecraft.crafted.smooth_quartz_slab: #8, 12(1%)
minecraft.mined.light_blue_concrete: #8, 8(1%)
minecraft.dropped.lily_pad: #8, 1(1%)
minecraft.picked_up.honeycomb_block: #8, 3(1%)
minecraft.mined.red_carpet: #8, 1(1%)
minecraft.mined.prismarine: #8, 28(0%)
minecraft.dropped.spruce_leaves: #8, 8(0%)
minecraft.crafted.brick: #8, 240(0%)
minecraft.used.composter: #9, 91(4%)
minecraft.mined.cut_copper: #8, 1(0%)
minecraft.picked_up.dark_oak_log: #9, 2960(4%)
minecraft.crafted.purple_stained_glass: #8, 8(0%)
minecraft.crafted.brown_stained_glass: #8, 32(0%)
minecraft.picked_up.melon: #8, 10(0%)
minecraft.used.daylight_detector: #8, 4(0%)
minecraft.picked_up.lime_concrete: #8, 8(0%)
minecraft.crafted.daylight_detector: #8, 2(0%)
minecraft.used.lime_concrete_powder: #8, 8(0%)
minecraft.used.light_gray_terracotta: #8, 4(0%)
minecraft.mined.lime_concrete: #8, 8(0%)
minecraft.used.lime_concrete: #8, 6(0%)
minecraft.crafted.air: #8, 0(0%)
minecraft.picked_up.iron_door: #9, 9(5%)
minecraft.picked_up.warped_fungus: #9, 38(4%)
minecraft.mined.netherrack: #9, 16960(3%)
minecraft.picked_up.deepslate_lapis_ore: #9, 19(4%)
minecraft.killed_by.creeper: #9, 5(4%)
minecraft.picked_up.redstone_ore: #9, 300(3%)
minecraft.used.lever: #9, 97(3%)
minecraft.dropped.water_bucket: #9, 2(4%)
minecraft.crafted.campfire: #9, 51(3%)
minecraft.used.campfire: #9, 49(3%)
minecraft.mined.gold_ore: #9, 325(3%)
minecraft.picked_up.sunflower: #9, 147(3%)
minecraft.mined.oak_planks: #9, 389(3%)
minecraft.crafted.diamond_leggings: #9, 2(3%)
minecraft.mined.oak_sign: #9, 5(3%)
minecraft.used.lapis_ore: #9, 26(4%)
minecraft.picked_up.filled_map: #9, 28(3%)
minecraft.picked_up.porkchop: #9, 40(3%)
minecraft.mined.warped_roots: #9, 60(3%)
minecraft.used.white_carpet: #9, 76(3%)
minecraft.used.granite: #9, 444(2%)
minecraft.dropped.wheat_seeds: #9, 1641(2%)
minecraft.crafted.mossy_cobblestone: #9, 236(4%)
minecraft.dropped.coal_ore: #9, 44(2%)
minecraft.crafted.green_dye: #9, 199(2%)
minecraft.crafted.deepslate_bricks: #9, 476(2%)
minecraft.picked_up.dripstone_block: #9, 353(2%)
minecraft.picked_up.melon_seeds: #9, 6(3%)
minecraft.used.cobbled_deepslate: #9, 498(2%)
minecraft.crafted.iron_sword: #9, 6(2%)
minecraft.picked_up.spyglass: #9, 2(2%)
minecraft.used.glass_bottle: #9, 123(2%)
minecraft.used.deepslate_redstone_ore: #9, 35(2%)
minecraft.used.deepslate_coal_ore: #9, 48(2%)
minecraft.mined.gray_carpet: #9, 17(3%)
minecraft.mined.black_wool: #9, 12(3%)
minecraft.dropped.flint_and_steel: #9, 1(3%)
minecraft.used.dark_oak_door: #9, 5(3%)
minecraft.picked_up.gray_wool: #9, 83(2%)
minecraft.custom.tune_noteblock: #9, 98(2%)
minecraft.custom.play_noteblock: #9, 29(2%)
minecraft.picked_up.raw_gold_block: #9, 3(3%)
minecraft.mined.warped_wart_block: #9, 209(1%)
minecraft.picked_up.gray_stained_glass_pane: #9, 7(2%)
minecraft.used.cooked_porkchop: #9, 29(1%)
minecraft.mined.white_stained_glass: #9, 20(1%)
minecraft.mined.diamond_block: #9, 16(1%)
minecraft.used.warped_planks: #9, 71(2%)
minecraft.used.polished_blackstone_button: #9, 52(1%)
minecraft.dropped.oxeye_daisy: #9, 2(2%)
minecraft.picked_up.loom: #9, 3(2%)
minecraft.used.rotten_flesh: #9, 4(1%)
minecraft.crafted.spruce_planks: #10, 14764(5%)
minecraft.dropped.redstone_block: #9, 7(1%)
minecraft.picked_up.orange_terracotta: #9, 162(1%)
minecraft.crafted.andesite_slab: #9, 24(1%)
minecraft.crafted.birch_boat: #9, 3(1%)
minecraft.mined.gray_wool: #9, 3(1%)
minecraft.crafted.suspicious_stew: #9, 2(2%)
minecraft.mined.smooth_quartz_slab: #9, 11(1%)
minecraft.picked_up.stripped_oak_wood: #9, 11(1%)
minecraft.crafted.gray_wool: #9, 25(1%)
minecraft.picked_up.jungle_boat: #9, 1(1%)
minecraft.mined.ladder: #10, 47(5%)
minecraft.used.red_stained_glass: #9, 18(1%)
minecraft.used.dark_oak_pressure_plate: #9, 1(1%)
minecraft.crafted.yellow_concrete_powder: #9, 40(1%)
minecraft.mined.light_gray_concrete_powder: #9, 5(1%)
minecraft.mined.oak_log: #10, 3153(4%)
minecraft.crafted.jungle_sign: #9, 3(1%)
minecraft.used.orange_terracotta: #9, 21(1%)
minecraft.used.soul_soil: #9, 35(1%)
minecraft.used.gray_wool: #9, 37(1%)
minecraft.used.red_carpet: #9, 9(1%)
minecraft.picked_up.smooth_quartz_slab: #9, 11(1%)
minecraft.used.cauldron: #9, 18(0%)
minecraft.mined.stripped_oak_wood: #9, 7(1%)
minecraft.used.dripstone_block: #9, 227(0%)
minecraft.used.pointed_dripstone: #9, 163(0%)
minecraft.picked_up.light_blue_concrete: #9, 8(1%)
minecraft.used.stone_button: #9, 108(0%)
minecraft.crafted.orange_terracotta: #9, 8(1%)
minecraft.dropped.spruce_stairs: #9, 1(1%)
minecraft.crafted.red_sandstone: #9, 64(1%)
minecraft.used.beehive: #9, 7(0%)
minecraft.crafted.green_stained_glass: #9, 72(0%)
minecraft.used.rooted_dirt: #9, 11(0%)
minecraft.used.light_blue_concrete_powder: #9, 8(0%)
minecraft.crafted.light_blue_concrete_powder: #9, 8(0%)
minecraft.crafted.mossy_cobblestone_slab: #9, 6(0%)
minecraft.picked_up.cut_copper: #9, 1(0%)
minecraft.crafted.light_blue_terracotta: #9, 8(0%)
minecraft.picked_up.crying_obsidian: #9, 6(0%)
minecraft.crafted.blue_terracotta: #9, 8(0%)
minecraft.mined.green_stained_glass: #9, 6(0%)
minecraft.mined.prismarine_bricks: #9, 16(0%)
minecraft.picked_up.green_stained_glass: #9, 5(0%)
minecraft.used.smooth_quartz_stairs: #9, 8(0%)
minecraft.crafted.lime_concrete_powder: #9, 8(0%)
minecraft.mined.light_gray_terracotta: #9, 2(0%)
minecraft.picked_up.light_gray_terracotta: #9, 2(0%)
minecraft.dropped.oak_planks: #10, 65(4%)
minecraft.mined.deepslate_iron_ore: #10, 328(4%)
minecraft.custom.interact_with_lectern: #10, 59(3%)
minecraft.picked_up.beef: #10, 540(4%)
minecraft.mined.dark_oak_trapdoor: #10, 29(4%)
minecraft.picked_up.raw_gold: #10, 650(3%)
minecraft.picked_up.carrot: #10, 3313(3%)
minecraft.mined.iron_door: #10, 7(4%)
minecraft.used.oak_sapling: #10, 272(3%)
minecraft.broken.iron_pickaxe: #10, 10(3%)
minecraft.picked_up.shield: #10, 6(4%)
minecraft.picked_up.sea_lantern: #10, 70(3%)
minecraft.picked_up.dark_oak_trapdoor: #10, 35(3%)
minecraft.crafted.wooden_pickaxe: #10, 1(3%)
minecraft.picked_up.deepslate_diamond_ore: #10, 39(3%)
minecraft.used.mossy_cobblestone: #10, 182(4%)
minecraft.picked_up.gold_ore: #10, 94(3%)
minecraft.crafted.ladder: #10, 231(3%)
minecraft.mined.spruce_fence: #10, 73(3%)
minecraft.crafted.dark_oak_fence: #10, 108(3%)
minecraft.crafted.bow: #10, 40(3%)
minecraft.crafted.diamond_helmet: #10, 2(3%)
minecraft.crafted.oak_door: #10, 3(4%)
minecraft.dropped.dandelion: #10, 16(3%)
minecraft.used.birch_sign: #10, 38(2%)
minecraft.used.redstone_ore: #10, 122(3%)
minecraft.mined.oak_stairs: #10, 20(2%)
minecraft.picked_up.coarse_dirt: #10, 344(2%)
minecraft.used.spruce_boat: #10, 11(2%)
minecraft.dropped.oak_leaves: #10, 88(3%)
minecraft.mined.spruce_fence_gate: #10, 15(2%)
minecraft.picked_up.iron_horse_armor: #10, 1(3%)
minecraft.used.cobblestone_slab: #10, 125(2%)
minecraft.used.spyglass: #10, 80(2%)
minecraft.picked_up.bookshelf: #10, 24(2%)
minecraft.used.armor_stand: #10, 16(2%)
minecraft.used.lead: #10, 2(2%)
minecraft.dropped.lever: #10, 4(2%)
minecraft.used.polished_basalt: #10, 184(2%)
minecraft.crafted.bookshelf: #10, 99(1%)
minecraft.dropped.iron_ingot: #10, 106(1%)
minecraft.crafted.stone_sword: #10, 1(1%)
minecraft.picked_up.spruce_fence_gate: #10, 15(2%)
minecraft.picked_up.warped_wart_block: #10, 203(1%)
minecraft.crafted.golden_carrot: #10, 593(1%)
minecraft.mined.pumpkin: #10, 53(1%)
minecraft.used.gray_carpet: #10, 70(2%)
minecraft.used.dark_oak_sapling: #10, 55(1%)
minecraft.mined.crimson_roots: #10, 17(1%)
minecraft.crafted.pumpkin_seeds: #10, 16(2%)
minecraft.mined.twisting_vines_plant: #10, 9(1%)
minecraft.dropped.birch_sign: #10, 2(1%)
minecraft.crafted.dark_oak_button: #10, 5(1%)
minecraft.crafted.dark_oak_door: #10, 3(1%)
minecraft.used.green_carpet: #10, 11(1%)
minecraft.mined.cauldron: #10, 4(1%)
minecraft.crafted.gray_carpet: #10, 57(1%)
minecraft.crafted.dark_oak_pressure_plate: #10, 1(1%)
minecraft.picked_up.iron_ingot: #10, 644(1%)
minecraft.used.white_banner: #10, 2(1%)
minecraft.killed.pillager: #10, 24(1%)
minecraft.picked_up.amethyst_cluster: #10, 47(1%)
minecraft.used.terracotta: #10, 49(1%)
minecraft.picked_up.netherite_ingot: #10, 1(1%)
minecraft.crafted.green_carpet: #10, 12(1%)
minecraft.crafted.spruce_boat: #10, 3(1%)
minecraft.picked_up.light_gray_wool: #10, 18(1%)
minecraft.used.red_terracotta: #10, 19(1%)
minecraft.crafted.light_gray_carpet: #10, 36(1%)
minecraft.crafted.cooked_cod: #10, 4(1%)
minecraft.used.glow_lichen: #10, 112(0%)
minecraft.dropped.raw_gold: #10, 2(1%)
minecraft.used.red_concrete: #10, 35(0%)
minecraft.crafted.beehive: #10, 6(0%)
minecraft.crafted.smooth_sandstone_stairs: #10, 4(0%)
minecraft.used.gray_stained_glass_pane: #10, 8(0%)
minecraft.used.jungle_sign: #10, 2(0%)
minecraft.mined.blue_orchid: #10, 2(0%)
minecraft.picked_up.light_gray_carpet: #10, 4(0%)
minecraft.mined.jungle_fence: #10, 2(0%)
minecraft.picked_up.red_carpet: #10, 1(0%)
minecraft.used.grass: #10, 5(0%)
minecraft.dropped.gray_wool: #10, 1(0%)
minecraft.crafted.map: #10, 9(0%)
minecraft.used.mossy_cobblestone_slab: #10, 6(0%)
minecraft.crafted.smithing_table: #10, 2(0%)
minecraft.crafted.warped_stairs: #10, 8(0%)
minecraft.used.warped_stairs: #10, 8(0%)
minecraft.picked_up.lime_wool: #10, 8(0%)
minecraft.mined.wall_torch: #11, 317(4%)
minecraft.crafted.dripstone_block: #10, 88(0%)
minecraft.picked_up.stripped_spruce_wood: #10, 1(0%)
minecraft.picked_up.gray_concrete_powder: #10, 2(0%)
minecraft.picked_up.brain_coral_block: #10, 2(0%)
minecraft.custom.sleep_in_bed: #11, 589(4%)
minecraft.mined.diamond_ore: #11, 213(4%)
minecraft.mined.crafting_table: #11, 105(3%)
minecraft.mined.deepslate_redstone_ore: #11, 344(3%)
minecraft.mined.spruce_wall_sign: #11, 12(4%)
minecraft.mined.deepslate_diamond_ore: #11, 81(3%)
minecraft.mined.lapis_ore: #11, 130(3%)
minecraft.dropped.oak_sign: #11, 6(4%)
minecraft.used.coal_ore: #11, 598(3%)
minecraft.mined.cobweb: #11, 125(3%)
minecraft.mined.dandelion: #11, 57(3%)
minecraft.used.enchanting_table: #11, 2(4%)
minecraft.mined.poppy: #11, 74(3%)
minecraft.mined.composter: #11, 23(3%)
minecraft.picked_up.composter: #11, 23(3%)
