stat, rank, value, (percentage) 
minecraft.dropped.blaze_powder: #1, 133(99%)
minecraft.dropped.melon: #1, 2466(98%)
minecraft.crafted.magma_cream: #1, 59(66%)
minecraft.dropped.purple_wool: #1, 110(65%)
minecraft.mined.brown_wool: #2, 77(36%)
minecraft.dropped.blue_wool: #1, 236(96%)
minecraft.used.potato: #2, 1806(14%)
minecraft.dropped.diamond_sword: #2, 16(12%)
minecraft.dropped.smithing_table: #1, 3(60%)
minecraft.dropped.glistering_melon_slice: #1, 149(45%)
minecraft.used.quartz_pillar: #1, 308(35%)
minecraft.dropped.red_stained_glass: #1, 8(57%)
minecraft.picked_up.charcoal: #2, 70(19%)
minecraft.picked_up.blaze_powder: #2, 45(19%)
minecraft.used.turtle_egg: #2, 190(43%)
minecraft.dropped.polished_diorite: #2, 96(28%)
minecraft.crafted.fermented_spider_eye: #2, 76(14%)
minecraft.crafted.writable_book: #2, 24(11%)
minecraft.dropped.fletching_table: #1, 3(75%)
minecraft.mined.redstone_wire: #2, 556(10%)
minecraft.picked_up.scute: #1, 10(71%)
minecraft.mined.sea_lantern: #2, 125(11%)
minecraft.picked_up.purple_wool: #2, 367(27%)
minecraft.crafted.red_concrete: #1, 16(67%)
minecraft.picked_up.yellow_wool: #2, 601(15%)
minecraft.dropped.orange_glazed_terracotta: #1, 12(63%)
minecraft.dropped.stone: #3, 23615(13%)
minecraft.dropped.white_concrete_powder: #2, 356(28%)
minecraft.used.lime_wool: #2, 220(28%)
minecraft.killed.pufferfish: #2, 20(28%)
minecraft.dropped.cobblestone_stairs: #2, 32(25%)
minecraft.mined.light_blue_wall_banner: #1, 3(60%)
minecraft.dropped.nether_wart_block: #2, 17(22%)
minecraft.dropped.orange_wool: #2, 245(36%)
minecraft.used.mushroom_stew: #1, 10(56%)
minecraft.crafted.mushroom_stew: #1, 10(56%)
minecraft.used.poppy: #3, 50(16%)
minecraft.picked_up.rabbit_hide: #2, 143(16%)
minecraft.dropped.bowl: #2, 9(23%)
minecraft.mined.iron_trapdoor: #3, 152(15%)
minecraft.dropped.chiseled_stone_bricks: #2, 320(40%)
minecraft.used.cyan_wool: #2, 49(29%)
minecraft.picked_up.white_glazed_terracotta: #1, 1(100%)
minecraft.picked_up.cod_bucket: #1, 1(100%)
minecraft.picked_up.turtle_helmet: #1, 16(100%)
minecraft.mined.white_glazed_terracotta: #1, 1(100%)
minecraft.dropped.cartography_table: #1, 7(100%)
minecraft.dropped.turtle_egg: #1, 45(100%)
minecraft.dropped.blast_furnace: #1, 4(100%)
minecraft.dropped.music_disc_13: #1, 2(100%)
minecraft.dropped.light_blue_stained_glass_pane: #1, 5(100%)
minecraft.dropped.scute: #1, 5(100%)
minecraft.dropped.turtle_helmet: #1, 58(100%)
minecraft.dropped.quartz_stairs: #1, 2(100%)
minecraft.broken.wooden_axe: #1, 1(100%)
minecraft.picked_up.bone_meal: #2, 9619(8%)
minecraft.picked_up.smoker: #2, 16(15%)
minecraft.crafted.melon: #2, 6464(25%)
minecraft.used.wooden_hoe: #2, 179(20%)
minecraft.picked_up.light_gray_wool: #2, 378(12%)
minecraft.mined.enchanting_table: #2, 4(14%)
minecraft.used.white_concrete: #3, 8335(15%)
minecraft.dropped.prismarine: #2, 130(27%)
minecraft.dropped.bone_meal: #2, 9482(8%)
minecraft.dropped.stone_pressure_plate: #2, 12(17%)
minecraft.dropped.smooth_quartz_stairs: #2, 16(36%)
minecraft.dropped.hopper: #3, 28(19%)
minecraft.dropped.oak_sign: #3, 21(13%)
minecraft.picked_up.sea_lantern: #3, 262(12%)
minecraft.dropped.lapis_block: #2, 58(44%)
minecraft.picked_up.glow_item_frame: #3, 22(12%)
minecraft.picked_up.rabbit_foot: #2, 53(29%)
minecraft.picked_up.stone_hoe: #2, 4(19%)
minecraft.dropped.red_wool: #2, 118(15%)
minecraft.used.wheat: #2, 30(24%)
minecraft.broken.wooden_hoe: #2, 3(27%)
minecraft.killed.villager: #2, 15(20%)
minecraft.picked_up.turtle_egg: #2, 208(23%)
minecraft.dropped.white_carpet: #2, 18(13%)
minecraft.picked_up.redstone_torch: #3, 345(10%)
