stat, rank, value, (percentage) 
minecraft.crafted.cooked_mutton: #6, 16(3%)
minecraft.crafted.glass_bottle: #6, 660(2%)
minecraft.dropped.iron_trapdoor: #6, 4(5%)
minecraft.picked_up.blue_dye: #6, 18(4%)
minecraft.picked_up.egg: #7, 379(5%)
minecraft.mined.stone_pressure_plate: #6, 5(3%)
minecraft.used.iron_door: #7, 23(7%)
minecraft.used.written_book: #6, 188(2%)
minecraft.custom.drop: #7, 5085(5%)
minecraft.picked_up.flint: #7, 527(5%)
minecraft.crafted.cake: #6, 4(3%)
minecraft.picked_up.cooked_porkchop: #6, 31(2%)
minecraft.crafted.diamond_shovel: #7, 7(5%)
minecraft.used.smooth_quartz_slab: #6, 250(3%)
minecraft.crafted.activator_rail: #6, 6(5%)
minecraft.mined.nether_wart: #7, 346(6%)
minecraft.dropped.spider_eye: #6, 173(1%)
minecraft.dropped.powered_rail: #6, 4(3%)
minecraft.dropped.diorite: #7, 1132(5%)
minecraft.crafted.sticky_piston: #7, 140(5%)
minecraft.crafted.brick: #6, 1054(1%)
minecraft.picked_up.splash_potion: #6, 11(2%)
minecraft.picked_up.nether_wart: #7, 1298(5%)
minecraft.mined.cartography_table: #6, 3(2%)
minecraft.used.deepslate_tiles: #7, 1927(5%)
minecraft.crafted.pumpkin_pie: #6, 48(2%)
minecraft.used.experience_bottle: #6, 101(1%)
minecraft.dropped.crafting_table: #7, 6(5%)
minecraft.used.oak_sapling: #7, 414(5%)
minecraft.picked_up.oak_sign: #7, 43(5%)
minecraft.picked_up.cake: #6, 1(3%)
minecraft.used.nether_wart: #7, 362(5%)
minecraft.mined.chorus_flower: #6, 2(2%)
minecraft.picked_up.oak_trapdoor: #7, 77(4%)
minecraft.dropped.leather_leggings: #7, 12(5%)
minecraft.crafted.popped_chorus_fruit: #6, 9(1%)
minecraft.dropped.spruce_boat: #6, 4(1%)
minecraft.crafted.magenta_terracotta: #6, 12(1%)
minecraft.picked_up.smooth_stone_slab: #7, 199(5%)
minecraft.picked_up.nether_quartz_ore: #7, 457(5%)
minecraft.dropped.diamond_chestplate: #7, 2(10%)
minecraft.picked_up.spruce_boat: #7, 43(6%)
minecraft.picked_up.slime_block: #7, 326(5%)
minecraft.crafted.blue_ice: #6, 2(0%)
minecraft.dropped.glass_pane: #6, 4(0%)
minecraft.crafted.stone_hoe: #7, 4(5%)
minecraft.dropped.sand: #7, 408(4%)
minecraft.picked_up.oak_door: #7, 5(5%)
minecraft.killed.cod: #7, 65(5%)
minecraft.picked_up.golden_apple: #7, 14(5%)
minecraft.dropped.gravel: #7, 557(3%)
minecraft.broken.iron_axe: #7, 5(4%)
minecraft.crafted.golden_apple: #7, 41(5%)
minecraft.picked_up.white_carpet: #7, 39(4%)
minecraft.crafted.bookshelf: #7, 243(3%)
minecraft.dropped.paper: #7, 86(3%)
minecraft.mined.obsidian: #7, 451(3%)
minecraft.crafted.slime_ball: #7, 216(3%)
minecraft.crafted.bone_block: #7, 1904(3%)
minecraft.custom.inspect_hopper: #8, 1134(6%)
minecraft.used.oak_fence_gate: #7, 14(3%)
minecraft.crafted.apple: #7, 128(4%)
minecraft.picked_up.grindstone: #7, 21(2%)
minecraft.picked_up.chorus_fruit: #7, 116(3%)
minecraft.crafted.enchanted_book: #7, 172(3%)
minecraft.picked_up.smithing_table: #7, 6(3%)
minecraft.dropped.saddle: #7, 3(4%)
minecraft.mined.slime_block: #7, 97(2%)
minecraft.crafted.cookie: #7, 216(4%)
minecraft.mined.oak_fence: #8, 152(6%)
minecraft.dropped.iron_axe: #7, 6(2%)
minecraft.crafted.diamond_sword: #8, 5(5%)
minecraft.picked_up.deepslate_emerald_ore: #7, 2(4%)
minecraft.used.polished_blackstone_button: #7, 70(2%)
minecraft.dropped.obsidian: #7, 22(2%)
minecraft.crafted.loom: #7, 5(2%)
minecraft.crafted.smooth_quartz: #7, 235(2%)
minecraft.picked_up.daylight_detector: #7, 2(3%)
minecraft.dropped.red_mushroom: #7, 5(3%)
minecraft.used.splash_potion: #8, 37(6%)
minecraft.used.chorus_flower: #7, 2(3%)
minecraft.used.brown_mushroom: #7, 16(1%)
minecraft.used.cartography_table: #7, 4(2%)
minecraft.mined.pumpkin_stem: #7, 9(1%)
minecraft.dropped.white_terracotta: #7, 8(2%)
minecraft.used.cyan_stained_glass: #7, 25(1%)
minecraft.used.blue_ice: #7, 4(2%)
minecraft.used.activator_rail: #7, 2(2%)
minecraft.crafted.white_banner: #7, 2(1%)
minecraft.mined.attached_pumpkin_stem: #7, 3(1%)
minecraft.mined.activator_rail: #7, 1(1%)
minecraft.picked_up.light_gray_dye: #7, 4(1%)
minecraft.mined.oak_trapdoor: #8, 58(4%)
minecraft.dropped.dark_oak_boat: #7, 1(1%)
minecraft.picked_up.smooth_stone: #8, 342(5%)
minecraft.dropped.packed_ice: #7, 5(1%)
minecraft.picked_up.stone_pickaxe: #8, 3(6%)
minecraft.crafted.red_wool: #7, 5(1%)
minecraft.crafted.experience_bottle: #7, 108(1%)
minecraft.dropped.iron_helmet: #8, 4(7%)
minecraft.mined.pink_wool: #7, 2(0%)
minecraft.picked_up.lime_dye: #7, 2(0%)
minecraft.picked_up.magenta_dye: #7, 2(0%)
minecraft.used.purple_shulker_box: #7, 1(0%)
minecraft.picked_up.compass: #7, 1(0%)
minecraft.custom.pig_one_cm: #7, 3292(0%)
minecraft.dropped.oak_planks: #8, 69(4%)
minecraft.dropped.diamond_axe: #8, 7(5%)
minecraft.crafted.glow_item_frame: #8, 25(5%)
minecraft.broken.stone_axe: #8, 2(6%)
minecraft.mined.piston: #8, 77(4%)
minecraft.used.piston: #8, 199(4%)
minecraft.used.diamond_boots: #8, 4(7%)
minecraft.mined.tinted_glass: #8, 92(5%)
minecraft.used.oak_fence: #8, 168(4%)
minecraft.used.hopper_minecart: #8, 24(5%)
minecraft.crafted.hopper_minecart: #8, 24(5%)
minecraft.dropped.andesite: #8, 621(4%)
minecraft.picked_up.brick: #8, 64(7%)
minecraft.used.white_shulker_box: #8, 108(5%)
minecraft.picked_up.cooked_mutton: #8, 11(5%)
minecraft.crafted.purple_shulker_box: #8, 1(10%)
minecraft.used.dropper: #8, 88(4%)
minecraft.crafted.cobblestone_stairs: #8, 89(4%)
minecraft.used.comparator: #8, 105(3%)
minecraft.crafted.brewing_stand: #8, 6(4%)
minecraft.mined.hopper: #8, 143(3%)
minecraft.picked_up.red_wool: #8, 405(4%)
minecraft.used.iron_axe: #8, 1236(3%)
minecraft.used.ender_pearl: #8, 213(3%)
minecraft.mined.polished_deepslate_slab: #8, 82(3%)
minecraft.picked_up.book: #8, 485(3%)
minecraft.picked_up.oak_button: #8, 3(4%)
minecraft.broken.iron_shovel: #8, 8(3%)
minecraft.mined.bookshelf: #8, 147(3%)
minecraft.picked_up.polished_deepslate_slab: #8, 93(2%)
minecraft.crafted.wooden_sword: #8, 1(6%)
minecraft.custom.traded_with_villager: #8, 8015(2%)
minecraft.used.apple: #8, 8(2%)
minecraft.mined.smoker: #8, 2(3%)
minecraft.used.dandelion: #8, 5(2%)
minecraft.crafted.jack_o_lantern: #8, 53(3%)
minecraft.mined.deepslate_brick_slab: #8, 24(2%)
minecraft.used.tripwire_hook: #8, 7(2%)
minecraft.used.slime_block: #8, 110(2%)
minecraft.used.jack_o_lantern: #8, 39(2%)
minecraft.crafted.emerald: #8, 4575(1%)
minecraft.used.packed_ice: #8, 141(2%)
minecraft.crafted.repeater: #9, 316(5%)
minecraft.mined.yellow_wool: #8, 27(2%)
minecraft.mined.green_wool: #8, 3(2%)
minecraft.mined.light_blue_wool: #8, 12(2%)
minecraft.used.yellow_wool: #8, 50(2%)
minecraft.picked_up.fishing_rod: #8, 1(2%)
minecraft.crafted.leather_chestplate: #8, 2(1%)
minecraft.dropped.bone_block: #8, 20(1%)
minecraft.crafted.yellow_concrete_powder: #8, 48(1%)
minecraft.dropped.cod: #8, 17(1%)
minecraft.crafted.smithing_table: #8, 6(1%)
minecraft.crafted.iron_chestplate: #9, 4(5%)
minecraft.mined.wall_torch: #9, 334(4%)
minecraft.picked_up.yellow_dye: #8, 4(1%)
minecraft.custom.interact_with_furnace: #9, 1427(4%)
minecraft.picked_up.cyan_dye: #8, 2(1%)
minecraft.used.crimson_roots: #8, 1(0%)
minecraft.dropped.cauldron: #8, 3(0%)
minecraft.picked_up.fire_charge: #8, 3(0%)
minecraft.crafted.piston: #9, 295(4%)
minecraft.dropped.warped_wart_block: #8, 4(0%)
minecraft.used.emerald_block: #8, 3(0%)
minecraft.mined.green_terracotta: #8, 1(0%)
minecraft.killed.zombified_piglin: #8, 17(0%)
minecraft.crafted.wooden_axe: #9, 1(11%)
minecraft.used.chipped_anvil: #9, 5(5%)
minecraft.used.diamond_leggings: #9, 3(5%)
minecraft.mined.chipped_anvil: #9, 5(4%)
minecraft.mined.nether_quartz_ore: #9, 1193(4%)
minecraft.mined.oak_wall_sign: #9, 11(4%)
minecraft.dropped.cooked_beef: #9, 68(5%)
minecraft.picked_up.lapis_lazuli: #9, 1537(3%)
minecraft.dropped.granite: #9, 698(3%)
minecraft.picked_up.red_mushroom: #9, 57(4%)
minecraft.killed.endermite: #9, 6(5%)
minecraft.used.oak_sign: #9, 59(3%)
minecraft.picked_up.piston: #9, 104(3%)
minecraft.crafted.lapis_block: #9, 140(3%)
minecraft.picked_up.glowstone_dust: #9, 135(3%)
minecraft.crafted.iron_axe: #9, 11(3%)
minecraft.mined.powered_rail: #9, 111(3%)
minecraft.used.iron_helmet: #9, 1(7%)
minecraft.used.cactus: #9, 152(3%)
minecraft.picked_up.mutton: #9, 21(3%)
minecraft.mined.smooth_quartz: #9, 19(4%)
minecraft.crafted.smoker: #9, 3(4%)
minecraft.used.iron_shovel: #9, 2182(3%)
minecraft.picked_up.ladder: #9, 145(2%)
minecraft.crafted.quartz_block: #9, 785(2%)
minecraft.used.pumpkin_seeds: #9, 57(3%)
minecraft.used.smooth_stone_slab: #9, 415(2%)
minecraft.crafted.golden_carrot: #9, 1008(2%)
minecraft.used.note_block: #9, 52(2%)
minecraft.picked_up.powered_rail: #9, 166(2%)
minecraft.crafted.note_block: #9, 50(2%)
minecraft.picked_up.obsidian: #9, 455(2%)
minecraft.mined.white_wall_banner: #9, 1(4%)
minecraft.mined.smithing_table: #9, 3(3%)
minecraft.used.polished_deepslate_slab: #9, 419(2%)
minecraft.picked_up.lectern: #9, 94(2%)
minecraft.picked_up.tripwire_hook: #9, 3(2%)
minecraft.crafted.smooth_stone: #9, 239(2%)
minecraft.used.lectern: #9, 81(1%)
minecraft.picked_up.detector_rail: #9, 2(3%)
minecraft.mined.lectern: #9, 80(1%)
minecraft.dropped.porkchop: #9, 5(3%)
minecraft.picked_up.yellow_concrete: #9, 43(1%)
minecraft.mined.yellow_concrete: #9, 43(1%)
minecraft.dropped.stone_button: #9, 19(1%)
minecraft.used.deepslate_tile_slab: #10, 1308(5%)
minecraft.mined.daylight_detector: #9, 1(2%)
minecraft.crafted.end_rod: #9, 56(1%)
minecraft.picked_up.red_dye: #9, 6(1%)
minecraft.crafted.clay: #9, 8(1%)
minecraft.dropped.sweet_berries: #9, 4(1%)
minecraft.used.smithing_table: #9, 6(1%)
minecraft.picked_up.activator_rail: #9, 1(1%)
minecraft.picked_up.black_dye: #9, 3(1%)
minecraft.used.yellow_concrete: #9, 19(1%)
minecraft.dropped.torch: #10, 239(4%)
minecraft.picked_up.nether_brick: #9, 19(0%)
minecraft.mined.shroomlight: #10, 113(4%)
minecraft.dropped.oak_boat: #9, 2(0%)
minecraft.killed_by.player: #10, 7(4%)
minecraft.crafted.dripstone_block: #9, 128(0%)
minecraft.dropped.polished_deepslate_slab: #9, 1(0%)
minecraft.dropped.slime_block: #9, 3(0%)
minecraft.used.daylight_detector: #9, 3(0%)
minecraft.picked_up.blue_ice: #9, 2(0%)
minecraft.mined.emerald_block: #9, 2(0%)
minecraft.picked_up.green_terracotta: #9, 1(0%)
minecraft.mined.farmland: #10, 93(4%)
minecraft.picked_up.chipped_anvil: #10, 6(5%)
minecraft.picked_up.diamond_leggings: #10, 15(4%)
minecraft.picked_up.red_shulker_box: #10, 92(4%)
minecraft.picked_up.iron_sword: #10, 7(4%)
minecraft.mined.red_shulker_box: #10, 89(4%)
minecraft.mined.poppy: #10, 90(3%)
minecraft.picked_up.brown_mushroom: #10, 126(4%)
minecraft.used.red_shulker_box: #10, 90(4%)
minecraft.picked_up.diamond_chestplate: #10, 5(4%)
minecraft.mined.polished_deepslate: #10, 214(3%)
minecraft.mined.blast_furnace: #10, 6(4%)
minecraft.custom.swim_one_cm: #10, 1559313(3%)
minecraft.used.iron_hoe: #10, 225(4%)
minecraft.mined.cobblestone_stairs: #10, 19(4%)
minecraft.used.kelp: #10, 330(4%)
minecraft.broken.iron_helmet: #10, 1(8%)
minecraft.dropped.shield: #10, 2(5%)
minecraft.crafted.iron_leggings: #10, 3(3%)
minecraft.picked_up.glass: #10, 778(3%)
minecraft.crafted.oak_sign: #10, 60(3%)
minecraft.picked_up.oak_planks: #10, 384(3%)
minecraft.mined.cactus: #10, 115(3%)
minecraft.mined.tall_seagrass: #10, 72(2%)
minecraft.custom.talked_to_villager: #10, 1175(2%)
minecraft.used.bookshelf: #10, 165(2%)
minecraft.mined.white_bed: #10, 46(2%)
minecraft.dropped.spyglass: #10, 1(5%)
minecraft.picked_up.golden_horse_armor: #10, 1(5%)
minecraft.mined.seagrass: #10, 109(2%)
minecraft.dropped.deepslate: #10, 95(2%)
minecraft.used.deepslate_copper_ore: #10, 6(3%)
minecraft.used.loom: #10, 4(2%)
minecraft.crafted.iron_shovel: #10, 9(2%)
minecraft.crafted.iron_door: #10, 9(2%)
minecraft.used.shroomlight: #10, 98(2%)
minecraft.dropped.netherrack: #10, 2343(1%)
minecraft.picked_up.white_shulker_box: #10, 39(2%)
minecraft.mined.white_shulker_box: #10, 38(2%)
minecraft.used.deepslate_redstone_ore: #10, 25(2%)
minecraft.mined.magma_block: #10, 282(1%)
minecraft.dropped.feather: #10, 9(2%)
minecraft.mined.brown_mushroom_block: #10, 360(2%)
minecraft.used.sweet_berries: #10, 25(2%)
minecraft.dropped.furnace: #10, 1(3%)
minecraft.crafted.white_carpet: #10, 81(1%)
minecraft.picked_up.stone_button: #10, 40(1%)
minecraft.dropped.rail: #10, 9(1%)
minecraft.dropped.warped_sign: #10, 1(2%)
minecraft.picked_up.deepslate_brick_slab: #10, 23(1%)
minecraft.used.detector_rail: #10, 2(2%)
minecraft.mined.deepslate_emerald_ore: #10, 2(2%)
minecraft.dropped.glass: #10, 50(1%)
minecraft.mined.sweet_berry_bush: #10, 8(1%)
minecraft.crafted.polished_blackstone_button: #10, 34(1%)
minecraft.used.cod: #10, 1(1%)
minecraft.killed.trader_llama: #11, 10(6%)
minecraft.used.smooth_quartz: #10, 41(1%)
minecraft.mined.quartz_block: #10, 12(1%)
minecraft.crafted.white_terracotta: #10, 9(1%)
minecraft.used.yellow_concrete_powder: #10, 24(1%)
minecraft.crafted.observer: #11, 218(4%)
minecraft.used.end_crystal: #10, 2(0%)
minecraft.crafted.daylight_detector: #10, 2(0%)
minecraft.dropped.cyan_terracotta: #10, 1(0%)
minecraft.mined.blue_ice: #10, 2(0%)
minecraft.picked_up.diamond_helmet: #11, 13(4%)
minecraft.picked_up.emerald_block: #10, 2(0%)
minecraft.used.green_terracotta: #10, 1(0%)
minecraft.picked_up.diamond_sword: #11, 22(4%)
minecraft.picked_up.crafting_table: #11, 117(3%)
minecraft.crafted.oak_planks: #11, 6019(3%)
minecraft.picked_up.minecart: #11, 51(4%)
minecraft.picked_up.wheat_seeds: #11, 9229(3%)
minecraft.crafted.white_dye: #11, 1225(3%)
minecraft.picked_up.cobblestone_stairs: #11, 29(3%)
minecraft.used.glass: #11, 989(3%)
minecraft.mined.player_wall_head: #11, 6(3%)
minecraft.picked_up.quartz: #11, 1460(3%)
minecraft.mined.kelp: #11, 100(3%)
minecraft.used.diamond_chestplate: #11, 1(6%)
minecraft.picked_up.shroomlight: #11, 120(2%)
minecraft.crafted.redstone: #11, 2801(2%)
minecraft.mined.wheat: #11, 1878(2%)
minecraft.picked_up.sugar_cane: #11, 2480(2%)
minecraft.crafted.lead: #11, 16(3%)
minecraft.used.white_bed: #11, 53(2%)
minecraft.used.wooden_pickaxe: #11, 12(3%)
minecraft.picked_up.music_disc_cat: #11, 1(5%)
minecraft.picked_up.tinted_glass: #11, 94(3%)
minecraft.used.golden_carrot: #11, 724(2%)
minecraft.picked_up.white_bed: #11, 46(2%)
minecraft.picked_up.damaged_anvil: #11, 3(3%)
minecraft.crafted.oak_button: #11, 9(3%)
minecraft.crafted.cooked_porkchop: #11, 15(2%)
minecraft.dropped.iron_sword: #11, 3(2%)
minecraft.dropped.polished_blackstone_button: #11, 3(3%)
minecraft.crafted.dropper: #11, 48(2%)
minecraft.mined.infested_stone: #11, 10(2%)
minecraft.used.oak_pressure_plate: #11, 1(3%)
minecraft.mined.white_carpet: #11, 14(2%)
minecraft.used.armor_stand: #11, 16(2%)
minecraft.mined.carved_pumpkin: #11, 53(2%)
minecraft.used.warped_fungus: #11, 13(3%)
minecraft.picked_up.pumpkin_seeds: #11, 232(2%)
minecraft.dropped.carved_pumpkin: #11, 14(2%)
minecraft.dropped.iron_shovel: #11, 2(2%)
minecraft.mined.mushroom_stem: #11, 64(2%)
minecraft.picked_up.magma_block: #11, 262(1%)
minecraft.picked_up.armor_stand: #11, 10(2%)
minecraft.crafted.detector_rail: #11, 6(3%)
minecraft.mined.loom: #11, 2(2%)
minecraft.crafted.polished_diorite: #11, 96(2%)
minecraft.crafted.polished_granite: #11, 64(1%)
minecraft.mined.red_mushroom_block: #11, 135(1%)
minecraft.dropped.spruce_slab: #11, 9(1%)
minecraft.used.tinted_glass: #11, 177(1%)
minecraft.mined.pumpkin: #11, 42(1%)
minecraft.dropped.chicken: #11, 3(1%)
minecraft.dropped.birch_sign: #11, 2(1%)
minecraft.mined.grindstone: #11, 7(1%)
minecraft.mined.sandstone_slab: #11, 6(1%)
minecraft.custom.minecart_one_cm: #11, 113728(1%)
minecraft.crafted.oak_fence_gate: #11, 4(1%)
minecraft.picked_up.cod: #11, 86(1%)
minecraft.dropped.spruce_trapdoor: #11, 4(1%)
minecraft.mined.smooth_stone_slab: #11, 20(1%)
minecraft.mined.smooth_stone: #11, 28(1%)
minecraft.used.glass_pane: #11, 15(1%)
minecraft.crafted.cauldron: #11, 21(1%)
minecraft.picked_up.quartz_block: #11, 22(1%)
minecraft.crafted.glowstone: #11, 38(0%)
minecraft.mined.glass_pane: #11, 3(0%)
minecraft.crafted.polished_blackstone: #11, 76(0%)
minecraft.dropped.snowball: #11, 20(0%)
minecraft.mined.red_wool: #11, 17(0%)
minecraft.dropped.pointed_dripstone: #11, 3(0%)
minecraft.dropped.raw_copper: #11, 3(0%)
minecraft.crafted.white_wool: #11, 28(0%)
minecraft.dropped.smooth_stone_slab: #11, 1(0%)
minecraft.used.twisting_vines: #11, 2(0%)
minecraft.mined.snow: #11, 101(0%)
minecraft.picked_up.water_bucket: #12, 16(4%)
minecraft.picked_up.snow_block: #11, 12(0%)
minecraft.used.light_gray_wool: #11, 5(0%)
minecraft.picked_up.redstone: #12, 5336(4%)
minecraft.crafted.redstone_torch: #12, 949(3%)
minecraft.used.iron_sword: #12, 747(4%)
minecraft.mined.crafting_table: #12, 101(3%)
minecraft.killed.wandering_trader: #12, 4(5%)
minecraft.used.rail: #12, 845(3%)
minecraft.dropped.diamond_boots: #12, 3(4%)
minecraft.used.iron_boots: #12, 1(6%)
minecraft.killed.player: #12, 5(3%)
minecraft.mined.piston_head: #12, 3(4%)
minecraft.picked_up.oak_sapling: #12, 492(3%)
minecraft.used.cobblestone_stairs: #12, 79(3%)
minecraft.picked_up.composter: #12, 23(3%)
minecraft.mined.rail: #12, 359(2%)
minecraft.mined.warped_fungus: #12, 17(3%)
minecraft.picked_up.stone_bricks: #12, 713(2%)
minecraft.mined.glowstone: #12, 117(2%)
minecraft.crafted.rail: #12, 464(2%)
minecraft.used.minecart: #12, 30(2%)
minecraft.crafted.oak_pressure_plate: #12, 1(4%)
minecraft.picked_up.iron_bars: #12, 48(2%)
minecraft.crafted.fishing_rod: #12, 1(4%)
minecraft.picked_up.gravel: #12, 4039(2%)
minecraft.used.powered_rail: #12, 249(2%)
minecraft.used.white_carpet: #12, 58(2%)
minecraft.picked_up.iron_axe: #12, 5(2%)
minecraft.picked_up.carved_pumpkin: #12, 68(2%)
minecraft.picked_up.player_head: #12, 138(1%)
minecraft.crafted.iron_sword: #12, 5(2%)
minecraft.crafted.glass: #12, 4053(1%)
minecraft.broken.iron_sword: #12, 1(3%)
minecraft.killed.slime: #12, 139(2%)
minecraft.used.lapis_ore: #12, 14(2%)
minecraft.crafted.redstone_lamp: #12, 45(1%)
minecraft.picked_up.bamboo: #12, 1271(1%)
minecraft.used.white_wool: #12, 179(1%)
minecraft.used.elytra: #12, 3(2%)
minecraft.mined.oak_door: #12, 1(2%)
minecraft.used.deepslate_gold_ore: #12, 8(1%)
minecraft.mined.note_block: #12, 5(1%)
minecraft.used.deepslate_lapis_ore: #12, 2(1%)
minecraft.mined.torch: #13, 1004(4%)
minecraft.crafted.raw_iron: #12, 198(1%)
minecraft.mined.tripwire: #12, 14(1%)
minecraft.picked_up.chorus_flower: #12, 2(1%)
minecraft.crafted.armor_stand: #12, 7(1%)
minecraft.used.cooked_porkchop: #12, 15(1%)
minecraft.dropped.kelp: #12, 42(1%)
minecraft.mined.polished_blackstone_stairs: #12, 7(1%)
minecraft.custom.damage_blocked_by_shield: #12, 1590(1%)
minecraft.picked_up.polished_blackstone_stairs: #12, 7(1%)
minecraft.used.heavy_weighted_pressure_plate: #12, 1(1%)
minecraft.picked_up.note_block: #12, 5(1%)
minecraft.used.sandstone_slab: #12, 15(1%)
minecraft.dropped.stone_slab: #12, 16(1%)
minecraft.dropped.end_stone: #12, 2(1%)
minecraft.crafted.heavy_weighted_pressure_plate: #12, 1(1%)
minecraft.used.grindstone: #12, 8(0%)
minecraft.crafted.sandstone_slab: #12, 12(1%)
minecraft.used.gold_block: #12, 13(0%)
minecraft.used.quartz_block: #12, 12(0%)
minecraft.dropped.glass_bottle: #12, 15(0%)
minecraft.mined.cut_sandstone_slab: #12, 1(0%)
minecraft.dropped.emerald: #12, 6(0%)
minecraft.used.dripstone_block: #12, 25(0%)
minecraft.crafted.snow_block: #12, 12(0%)
minecraft.used.prismarine: #12, 1(0%)
minecraft.picked_up.golden_carrot: #13, 878(4%)
minecraft.used.ladder: #13, 159(3%)
minecraft.custom.open_chest: #13, 10772(3%)
minecraft.custom.boat_one_cm: #13, 3038645(3%)
minecraft.mined.chest: #13, 227(3%)
minecraft.mined.lapis_ore: #13, 112(3%)
minecraft.picked_up.iron_leggings: #13, 5(3%)
minecraft.picked_up.rail: #13, 507(3%)
minecraft.mined.composter: #13, 21(3%)
minecraft.used.redstone_torch: #13, 130(3%)
minecraft.picked_up.shield: #13, 5(3%)
minecraft.crafted.iron_boots: #13, 2(2%)
minecraft.used.oak_trapdoor: #13, 77(2%)
minecraft.used.wheat_seeds: #13, 2168(2%)
minecraft.used.snowball: #13, 95(2%)
minecraft.picked_up.cactus: #13, 366(2%)
minecraft.mined.amethyst_block: #13, 323(2%)
minecraft.picked_up.sweet_berries: #13, 60(2%)
minecraft.mined.damaged_anvil: #13, 2(2%)
minecraft.killed.sheep: #13, 7(2%)
minecraft.crafted.powered_rail: #13, 114(2%)
minecraft.used.composter: #13, 29(1%)
minecraft.crafted.minecart: #13, 16(1%)
minecraft.picked_up.glowstone: #13, 94(1%)
minecraft.dropped.firework_rocket: #13, 174(2%)
minecraft.crafted.hay_block: #13, 76(1%)
minecraft.used.smoker: #13, 2(2%)
minecraft.mined.brown_mushroom: #13, 9(1%)
minecraft.crafted.moss_carpet: #13, 111(1%)
minecraft.dropped.item_frame: #13, 1(1%)
minecraft.picked_up.sandstone_slab: #13, 6(1%)
minecraft.dropped.barrel: #13, 1(1%)
minecraft.mined.stone_button: #13, 10(1%)
minecraft.used.white_banner: #13, 2(1%)
minecraft.dropped.birch_log: #13, 8(1%)
minecraft.picked_up.saddle: #13, 3(1%)
minecraft.used.obsidian: #13, 176(0%)
minecraft.mined.smooth_sandstone_stairs: #13, 8(0%)
minecraft.picked_up.smooth_sandstone_stairs: #13, 8(0%)
minecraft.mined.nether_wart_block: #13, 25(0%)
minecraft.picked_up.nether_wart_block: #13, 25(0%)
minecraft.crafted.tinted_glass: #13, 102(1%)
minecraft.custom.play_noteblock: #13, 7(1%)
minecraft.mined.black_wool: #13, 2(0%)
minecraft.picked_up.quartz_stairs: #13, 2(0%)
minecraft.dropped.raw_iron: #13, 7(0%)
minecraft.used.nether_wart_block: #13, 4(0%)
minecraft.mined.warped_wart_block: #13, 38(0%)
minecraft.picked_up.pointed_dripstone: #13, 53(0%)
minecraft.crafted.firework_rocket: #13, 603(0%)
minecraft.crafted.red_stained_glass: #13, 8(0%)
minecraft.used.pointed_dripstone: #13, 43(0%)
minecraft.used.fishing_rod: #13, 2(0%)
minecraft.picked_up.cut_sandstone_slab: #13, 1(0%)
minecraft.used.polished_blackstone_stairs: #13, 7(0%)
minecraft.used.warped_wart_block: #13, 2(0%)
minecraft.picked_up.snowball: #13, 101(0%)
minecraft.picked_up.spectral_arrow: #13, 5(0%)
minecraft.crafted.slime_block: #13, 11(0%)
minecraft.used.cut_sandstone_slab: #13, 1(0%)
minecraft.crafted.emerald_block: #13, 1(0%)
minecraft.used.water_bucket: #14, 869(3%)
minecraft.picked_up.diamond_pickaxe: #14, 24(3%)
minecraft.used.netherrack: #14, 1456(3%)
minecraft.custom.interact_with_brewingstand: #14, 124(3%)
minecraft.used.player_head: #14, 28(2%)
minecraft.picked_up.chest: #14, 258(2%)
minecraft.dropped.iron_chestplate: #14, 2(3%)
minecraft.used.bow: #14, 907(2%)
minecraft.crafted.comparator: #14, 77(2%)
minecraft.picked_up.stonecutter: #14, 21(2%)
minecraft.crafted.stone: #14, 424(2%)
minecraft.used.coal_ore: #14, 382(2%)
minecraft.used.hopper: #14, 291(2%)
minecraft.picked_up.elytra: #14, 15(2%)
minecraft.used.stonecutter: #14, 20(2%)
minecraft.crafted.bow: #14, 29(2%)
minecraft.picked_up.spyglass: #14, 2(2%)
minecraft.picked_up.cooked_beef: #14, 219(2%)
minecraft.used.redstone_lamp: #14, 37(2%)
minecraft.crafted.dispenser: #14, 26(2%)
minecraft.used.damaged_anvil: #14, 2(2%)
minecraft.picked_up.amethyst_block: #14, 329(2%)
minecraft.picked_up.porkchop: #14, 25(2%)
minecraft.mined.fire: #14, 104(1%)
minecraft.mined.stone_bricks: #14, 392(1%)
minecraft.picked_up.paper: #14, 72(1%)
minecraft.used.gold_ore: #14, 36(1%)
minecraft.crafted.lectern: #14, 5(1%)
minecraft.crafted.deepslate_tile_stairs: #14, 17(1%)
minecraft.picked_up.redstone_block: #14, 47(1%)
minecraft.killed.pig: #14, 6(1%)
minecraft.crafted.anvil: #14, 11(1%)
minecraft.mined.smooth_basalt: #14, 115(1%)
minecraft.crafted.composter: #14, 12(1%)
minecraft.mined.gold_block: #14, 13(1%)
minecraft.used.end_stone: #14, 18(1%)
minecraft.used.oak_leaves: #14, 236(1%)
minecraft.picked_up.lily_pad: #14, 11(1%)
minecraft.used.shield: #14, 34(1%)
minecraft.mined.dripstone_block: #14, 56(1%)
minecraft.mined.cobblestone_slab: #14, 12(0%)
minecraft.crafted.polished_basalt: #14, 72(1%)
minecraft.dropped.piston: #14, 1(1%)
minecraft.used.lava_bucket: #14, 55(0%)
minecraft.mined.stripped_oak_wood: #14, 6(1%)
