stat, rank, value, (percentage) 
minecraft.mined.tube_coral: #1, 217(57%)
minecraft.mined.gold_ore: #1, 2993(26%)
minecraft.used.ender_chest: #1, 1362(26%)
minecraft.dropped.stick: #1, 3655(26%)
minecraft.mined.horn_coral: #1, 310(68%)
minecraft.custom.walk_under_water_one_cm: #1, 13141719(13%)
minecraft.mined.green_stained_glass: #1, 1339(56%)
minecraft.crafted.red_sandstone: #1, 7198(61%)
minecraft.mined.ender_chest: #1, 1350(27%)
minecraft.crafted.orange_concrete_powder: #1, 27400(94%)
minecraft.picked_up.tube_coral_fan: #1, 630(50%)
minecraft.mined.light_blue_concrete: #1, 693(72%)
minecraft.picked_up.stone_pressure_plate: #1, 114(36%)
minecraft.used.cactus: #1, 1591(28%)
minecraft.picked_up.birch_sign: #1, 238(25%)
minecraft.picked_up.dead_bush: #1, 1990(49%)
minecraft.mined.birch_wall_sign: #1, 112(29%)
minecraft.mined.iron_ore: #1, 20246(25%)
minecraft.crafted.deepslate_tile_slab: #1, 2086(30%)
minecraft.picked_up.horn_coral_fan: #1, 671(45%)
minecraft.used.leather_boots: #1, 40(70%)
minecraft.used.crimson_nylium: #1, 288(42%)
minecraft.mined.polished_andesite_slab: #1, 89(79%)
minecraft.mined.brain_coral_wall_fan: #1, 601(52%)
minecraft.picked_up.ender_chest: #1, 1366(24%)
minecraft.picked_up.tube_coral: #1, 208(57%)
minecraft.used.copper_ore: #1, 2298(31%)
minecraft.mined.big_dripleaf: #1, 87(52%)
minecraft.picked_up.green_stained_glass: #1, 1245(48%)
minecraft.mined.tube_coral_wall_fan: #1, 562(51%)
minecraft.used.experience_bottle: #1, 3422(47%)
minecraft.mined.fire_coral_wall_fan: #1, 630(47%)
minecraft.mined.bubble_coral_wall_fan: #1, 630(55%)
minecraft.mined.snow_block: #1, 3171(47%)
minecraft.used.snow_block: #1, 23442(43%)
minecraft.crafted.nether_brick_slab: #1, 1058(60%)
minecraft.picked_up.bubble_coral: #1, 313(66%)
minecraft.custom.interact_with_blast_furnace: #1, 816(27%)
minecraft.mined.bubble_coral: #1, 323(66%)
minecraft.crafted.green_stained_glass_pane: #1, 2128(84%)
minecraft.mined.weeping_vines: #1, 91(37%)
minecraft.mined.fire_coral: #1, 323(64%)
minecraft.crafted.oak_slab: #1, 3126(22%)
minecraft.mined.amethyst_cluster: #1, 3301(28%)
minecraft.custom.inspect_dispenser: #1, 1537(21%)
minecraft.used.polished_blackstone_button: #1, 1339(36%)
minecraft.used.orange_concrete_powder: #1, 27734(96%)
minecraft.picked_up.mossy_cobblestone_slab: #1, 658(72%)
minecraft.used.purpur_pillar: #1, 168(52%)
minecraft.used.bubble_coral_fan: #1, 397(82%)
minecraft.used.tube_coral_fan: #1, 334(71%)
minecraft.picked_up.jack_o_lantern: #1, 256(41%)
minecraft.picked_up.bubble_coral_fan: #1, 717(52%)
minecraft.killed.creeper: #1, 1308(22%)
minecraft.picked_up.horn_coral: #1, 301(63%)
minecraft.picked_up.lapis_block: #1, 336(38%)
minecraft.mined.stone_pressure_plate: #2, 77(39%)
minecraft.used.tube_coral: #1, 113(62%)
minecraft.picked_up.smooth_sandstone: #2, 4593(35%)
minecraft.mined.shulker_box: #1, 5408(21%)
minecraft.used.large_amethyst_bud: #1, 673(80%)
minecraft.mined.cobweb: #1, 938(25%)
minecraft.dropped.dripstone_block: #1, 833(43%)
minecraft.used.oxidized_cut_copper: #1, 689(61%)
minecraft.used.mossy_cobblestone_slab: #1, 973(54%)
minecraft.used.bamboo: #1, 671(24%)
minecraft.crafted.lapis_block: #1, 993(24%)
minecraft.crafted.birch_sign: #1, 342(24%)
minecraft.used.shulker_box: #1, 5428(20%)
minecraft.custom.walk_one_cm: #1, 183111083(12%)
minecraft.picked_up.fire_coral: #1, 315(60%)
minecraft.crafted.red_sandstone_slab: #1, 3408(90%)
minecraft.picked_up.copper_ore: #1, 2354(22%)
minecraft.picked_up.shulker_box: #1, 5453(20%)
minecraft.picked_up.smooth_red_sandstone: #1, 1780(89%)
minecraft.mined.bamboo: #2, 2178(26%)
minecraft.used.diorite_slab: #1, 397(67%)
minecraft.used.gray_shulker_box: #1, 296(48%)
minecraft.mined.white_shulker_box: #1, 639(31%)
minecraft.used.red_sandstone_slab: #1, 2892(87%)
minecraft.picked_up.gold_ore: #1, 699(21%)
minecraft.crafted.cobbled_deepslate_wall: #1, 402(40%)
minecraft.picked_up.iron_ore: #1, 5062(21%)
minecraft.picked_up.brain_coral_fan: #1, 681(47%)
minecraft.custom.open_enderchest: #1, 6537(18%)
minecraft.used.fishing_rod: #1, 448(40%)
minecraft.picked_up.white_shulker_box: #1, 639(30%)
minecraft.picked_up.fire_coral_fan: #1, 715(43%)
minecraft.picked_up.brain_coral: #1, 300(51%)
minecraft.mined.birch_sign: #1, 33(30%)
minecraft.used.black_candle: #1, 153(57%)
minecraft.used.pink_candle: #1, 135(85%)
minecraft.mined.honeycomb_block: #1, 71(51%)
minecraft.mined.pointed_dripstone: #2, 3659(26%)
minecraft.picked_up.lapis_lazuli: #1, 9266(19%)
minecraft.picked_up.cauldron: #2, 524(32%)
minecraft.used.hanging_roots: #1, 174(38%)
minecraft.picked_up.melon_seeds: #1, 62(29%)
minecraft.picked_up.orange_concrete_powder: #1, 5107(100%)
minecraft.used.light_blue_concrete: #1, 546(71%)
minecraft.used.gold_ore: #1, 610(25%)
minecraft.used.blue_carpet: #1, 310(83%)
minecraft.mined.raw_copper_block: #1, 62(62%)
minecraft.crafted.mossy_cobblestone_slab: #1, 718(50%)
minecraft.mined.crying_obsidian: #1, 257(45%)
minecraft.picked_up.pink_glazed_terracotta: #1, 561(99%)
minecraft.used.white_shulker_box: #1, 639(29%)
minecraft.picked_up.pink_terracotta: #1, 71(82%)
minecraft.crafted.polished_blackstone_button: #1, 1401(35%)
minecraft.dropped.smooth_stone: #1, 183(41%)
minecraft.used.dispenser: #1, 359(20%)
minecraft.killed.bat: #1, 67(22%)
minecraft.mined.gray_shulker_box: #1, 296(49%)
minecraft.mined.horn_coral_fan: #1, 107(40%)
minecraft.used.flint_and_steel: #2, 1349(22%)
minecraft.picked_up.azalea: #1, 2232(21%)
minecraft.crafted.yellow_dye: #1, 1361(22%)
minecraft.mined.farmland: #1, 465(19%)
minecraft.crafted.blue_carpet: #1, 268(80%)
minecraft.crafted.snow: #1, 16855(95%)
minecraft.crafted.raw_iron: #1, 6780(28%)
minecraft.picked_up.green_stained_glass_pane: #1, 195(67%)
minecraft.mined.red_sandstone_slab: #1, 170(79%)
minecraft.picked_up.raw_copper_block: #1, 118(43%)
minecraft.used.bone_block: #1, 1125(23%)
minecraft.used.orange_stained_glass: #1, 1221(94%)
minecraft.picked_up.birch_slab: #1, 200(22%)
minecraft.picked_up.gray_shulker_box: #1, 296(47%)
minecraft.picked_up.powder_snow_bucket: #1, 16(29%)
minecraft.used.lapis_block: #1, 404(93%)
minecraft.used.brain_coral: #1, 149(77%)
minecraft.killed.zombie_villager: #1, 48(19%)
minecraft.mined.dirt: #1, 73214(16%)
minecraft.mined.polished_andesite: #2, 512(26%)
minecraft.used.cut_copper: #1, 420(38%)
minecraft.crafted.dispenser: #1, 304(19%)
minecraft.crafted.packed_ice: #1, 2923(64%)
minecraft.crafted.bow: #1, 295(19%)
minecraft.dropped.amethyst_block: #1, 338(41%)
minecraft.picked_up.flowering_azalea: #1, 873(20%)
minecraft.used.daylight_detector: #2, 1229(45%)
minecraft.used.cooked_cod: #1, 238(34%)
minecraft.used.red_sandstone: #1, 1163(88%)
minecraft.custom.eat_cake_slice: #1, 55(54%)
minecraft.mined.lapis_ore: #1, 708(17%)
minecraft.picked_up.bucket: #2, 363(22%)
minecraft.dropped.ice: #1, 244(53%)
minecraft.custom.walk_on_water_one_cm: #2, 6467008(10%)
minecraft.mined.weeping_vines_plant: #1, 78(25%)
minecraft.crafted.raw_gold: #1, 2326(42%)
minecraft.crafted.cooked_cod: #1, 235(39%)
minecraft.used.netherite_shovel: #1, 295901(35%)
minecraft.mined.mossy_cobblestone: #1, 504(22%)
minecraft.used.fire_coral: #1, 131(59%)
minecraft.mined.bubble_coral_fan: #1, 113(41%)
minecraft.mined.soul_lantern: #1, 112(34%)
minecraft.mined.deepslate_tile_wall: #1, 244(29%)
minecraft.mined.pink_terracotta: #1, 71(81%)
minecraft.mined.red_sandstone: #1, 82(80%)
minecraft.crafted.oxidized_cut_copper: #1, 718(50%)
minecraft.used.bubble_coral: #1, 139(67%)
minecraft.crafted.oak_pressure_plate: #1, 8(33%)
minecraft.mined.orange_concrete_powder: #1, 5371(100%)
minecraft.dropped.polished_andesite: #1, 38(44%)
minecraft.used.dead_bubble_coral_block: #1, 220(79%)
minecraft.mined.cactus: #2, 946(21%)
minecraft.crafted.blue_wool: #1, 119(50%)
minecraft.used.purpur_stairs: #1, 39(66%)
minecraft.mined.tube_coral_fan: #1, 96(44%)
minecraft.custom.target_hit: #1, 163(33%)
minecraft.mined.smooth_red_sandstone_stairs: #1, 30(79%)
minecraft.used.pink_terracotta: #1, 377(56%)
