stat, rank, value, (percentage) 
minecraft.used.crimson_pressure_plate: #1, 16(89%)
minecraft.used.brown_banner: #1, 16(89%)
minecraft.crafted.jack_o_lantern: #2, 427(21%)
minecraft.mined.observer: #3, 373(15%)
minecraft.mined.tall_seagrass: #3, 461(14%)
minecraft.picked_up.gold_block: #2, 394(13%)
minecraft.picked_up.stick: #2, 6199(11%)
minecraft.picked_up.cracked_deepslate_bricks: #2, 850(25%)
minecraft.picked_up.crimson_pressure_plate: #1, 7(88%)
minecraft.dropped.blue_stained_glass_pane: #1, 14(88%)
minecraft.crafted.nether_brick_stairs: #1, 64(43%)
minecraft.mined.carved_pumpkin: #2, 393(14%)
minecraft.crafted.purpur_stairs: #1, 24(86%)
minecraft.picked_up.granite: #2, 14676(10%)
minecraft.picked_up.magma_cream: #2, 355(11%)
minecraft.dropped.jack_o_lantern: #1, 17(42%)
minecraft.dropped.small_amethyst_bud: #1, 21(84%)
minecraft.mined.deepslate_copper_ore: #2, 137(11%)
minecraft.mined.waxed_exposed_cut_copper: #1, 5(56%)
minecraft.picked_up.waxed_exposed_cut_copper: #1, 5(42%)
minecraft.picked_up.damaged_anvil: #2, 16(17%)
minecraft.killed.magma_cube: #2, 909(11%)
minecraft.mined.stone: #2, 274939(10%)
minecraft.mined.sticky_piston: #2, 124(12%)
minecraft.crafted.baked_potato: #2, 1026(18%)
minecraft.used.dead_bubble_coral_fan: #1, 14(82%)
minecraft.picked_up.shears: #2, 70(12%)
minecraft.picked_up.glass_bottle: #3, 547(18%)
minecraft.used.exposed_copper: #2, 71(19%)
minecraft.picked_up.blast_furnace: #2, 23(14%)
minecraft.mined.crimson_fence_gate: #1, 4(80%)
minecraft.mined.crimson_door: #1, 4(80%)
minecraft.mined.tube_coral_block: #2, 502(26%)
minecraft.picked_up.crying_obsidian: #2, 453(20%)
minecraft.mined.chiseled_red_sandstone: #1, 38(79%)
minecraft.mined.andesite: #2, 17037(10%)
minecraft.mined.ladder: #2, 107(10%)
minecraft.mined.black_shulker_box: #2, 125(21%)
minecraft.mined.diorite: #2, 15490(10%)
minecraft.picked_up.kelp: #2, 3997(10%)
minecraft.mined.white_candle: #1, 14(52%)
minecraft.mined.orange_stained_glass: #1, 16(52%)
minecraft.used.soul_soil: #3, 1140(21%)
minecraft.picked_up.basalt: #2, 8209(10%)
minecraft.crafted.blue_ice: #2, 366(42%)
minecraft.crafted.pink_dye: #3, 300(16%)
minecraft.mined.blue_terracotta: #2, 56(28%)
minecraft.used.raw_gold_block: #2, 79(31%)
minecraft.used.netherite_sword: #2, 10215(25%)
minecraft.crafted.conduit: #1, 2(50%)
minecraft.used.magenta_banner: #1, 3(75%)
minecraft.mined.dead_horn_coral_wall_fan: #1, 3(50%)
minecraft.crafted.blue_bed: #1, 6(75%)
minecraft.mined.pink_candle: #1, 4(50%)
minecraft.mined.acacia_pressure_plate: #1, 3(50%)
minecraft.picked_up.acacia_pressure_plate: #1, 3(50%)
minecraft.dropped.crimson_stairs: #1, 3(75%)
minecraft.crafted.polished_andesite: #2, 1500(13%)
minecraft.dropped.ender_chest: #2, 18(14%)
minecraft.custom.fall_one_cm: #3, 9466725(8%)
minecraft.mined.light_blue_shulker_box: #2, 146(18%)
minecraft.dropped.nether_brick_fence: #1, 5(29%)
minecraft.used.crimson_stem: #2, 295(18%)
minecraft.crafted.sponge: #2, 451(31%)
minecraft.used.painting: #2, 231(12%)
minecraft.used.rotten_flesh: #2, 48(18%)
minecraft.dropped.diamond_block: #2, 29(27%)
minecraft.picked_up.black_shulker_box: #2, 125(20%)
minecraft.mined.nether_sprouts: #3, 257(19%)
minecraft.used.tropical_fish: #1, 2(29%)
minecraft.picked_up.light_blue_shulker_box: #2, 145(17%)
minecraft.picked_up.polished_granite: #3, 218(18%)
minecraft.picked_up.blue_shulker_box: #2, 94(27%)
minecraft.mined.raw_gold_block: #2, 20(34%)
minecraft.used.lodestone: #1, 7(47%)
minecraft.used.netherite_pickaxe: #2, 368238(16%)
minecraft.dropped.fire_coral_block: #1, 6(46%)
minecraft.mined.pumpkin: #3, 666(17%)
minecraft.used.wither_rose: #2, 327(30%)
minecraft.mined.lantern: #2, 61(11%)
minecraft.picked_up.andesite: #2, 14281(9%)
minecraft.used.soul_sand: #3, 726(13%)
minecraft.picked_up.polished_andesite_slab: #2, 96(34%)
minecraft.used.light_blue_shulker_box: #2, 148(17%)
minecraft.mined.soul_soil: #3, 1810(18%)
minecraft.used.flowering_azalea_leaves: #2, 285(11%)
minecraft.used.spyglass: #3, 662(19%)
minecraft.picked_up.music_disc_blocks: #1, 2(67%)
minecraft.picked_up.crimson_fence_gate: #1, 4(67%)
minecraft.mined.green_candle: #1, 2(67%)
minecraft.used.respawn_anchor: #1, 2(67%)
minecraft.crafted.respawn_anchor: #1, 2(67%)
minecraft.used.black_shulker_box: #2, 125(19%)
minecraft.picked_up.blue_terracotta: #2, 53(26%)
minecraft.used.beetroot: #2, 107(33%)
minecraft.mined.calcite: #2, 3118(9%)
minecraft.used.polished_diorite_slab: #2, 414(28%)
minecraft.picked_up.redstone_block: #3, 608(13%)
minecraft.dropped.raw_copper: #2, 203(19%)
minecraft.dropped.netherite_axe: #2, 10(20%)
minecraft.picked_up.dead_bubble_coral_fan: #1, 16(62%)
minecraft.picked_up.chorus_fruit: #3, 864(19%)
minecraft.mined.smooth_basalt: #3, 1980(14%)
minecraft.used.polished_granite: #3, 375(18%)
minecraft.dropped.firework_star: #1, 3(60%)
minecraft.mined.crimson_pressure_plate: #1, 3(60%)
minecraft.mined.blue_shulker_box: #2, 94(27%)
minecraft.dropped.nether_bricks: #2, 7(22%)
minecraft.mined.exposed_copper: #2, 72(13%)
minecraft.used.crimson_trapdoor: #2, 152(20%)
minecraft.mined.dropper: #2, 73(12%)
minecraft.used.axolotl_bucket: #2, 52(12%)
minecraft.mined.cut_copper_slab: #2, 40(20%)
minecraft.dropped.spruce_sapling: #2, 97(14%)
minecraft.picked_up.exposed_copper: #2, 71(13%)
minecraft.mined.comparator: #3, 89(14%)
minecraft.picked_up.tube_coral_block: #2, 491(27%)
minecraft.used.blue_shulker_box: #2, 94(27%)
minecraft.used.dark_oak_pressure_plate: #2, 17(22%)
minecraft.picked_up.cactus: #3, 2672(13%)
minecraft.used.red_sandstone_wall: #2, 194(43%)
minecraft.dropped.raw_iron: #2, 239(14%)
minecraft.picked_up.honeycomb_block: #2, 86(21%)
minecraft.dropped.smooth_basalt: #2, 131(12%)
minecraft.used.golden_apple: #2, 15(23%)
minecraft.picked_up.stone: #2, 139454(8%)
minecraft.crafted.pink_candle: #1, 146(36%)
minecraft.mined.cracked_polished_blackstone_bricks: #2, 95(30%)
minecraft.mined.hanging_roots: #2, 334(17%)
minecraft.used.mossy_stone_bricks: #2, 597(16%)
minecraft.picked_up.salmon: #3, 68(15%)
minecraft.picked_up.cut_red_sandstone: #2, 42(34%)
minecraft.picked_up.red_sandstone_slab: #2, 173(34%)
minecraft.mined.deepslate_gold_ore: #3, 378(12%)
minecraft.picked_up.purpur_pillar: #2, 54(12%)
minecraft.crafted.leather_boots: #2, 42(17%)
minecraft.used.acacia_slab: #2, 636(18%)
minecraft.mined.chorus_plant: #3, 82(18%)
minecraft.broken.diamond_leggings: #1, 1(100%)
minecraft.broken.netherite_pickaxe: #1, 1(50%)
minecraft.broken.diamond_boots: #1, 1(100%)
minecraft.broken.diamond_axe: #1, 1(100%)
minecraft.mined.potted_bamboo: #1, 1(50%)
minecraft.mined.chiseled_nether_bricks: #1, 37(100%)
minecraft.mined.dead_tube_coral_wall_fan: #1, 1(100%)
minecraft.mined.potted_oxeye_daisy: #1, 1(50%)
minecraft.mined.lava_cauldron: #1, 1(100%)
minecraft.mined.dead_bubble_coral_wall_fan: #1, 14(100%)
minecraft.mined.conduit: #1, 11(100%)
minecraft.mined.pink_concrete_powder: #1, 8(100%)
minecraft.mined.dried_kelp_block: #1, 84(100%)
minecraft.mined.brown_wall_banner: #1, 1(50%)
minecraft.used.compass: #1, 6(100%)
minecraft.used.conduit: #1, 13(100%)
minecraft.used.warped_fungus_on_a_stick: #1, 22(100%)
minecraft.used.rabbit: #1, 3(100%)
minecraft.used.salmon: #1, 4(100%)
minecraft.used.dead_fire_coral: #1, 2(100%)
minecraft.picked_up.pink_concrete_powder: #1, 8(100%)
minecraft.picked_up.music_disc_ward: #1, 1(50%)
minecraft.picked_up.music_disc_stal: #1, 1(100%)
minecraft.picked_up.flower_banner_pattern: #1, 1(100%)
minecraft.picked_up.chiseled_nether_bricks: #1, 37(100%)
minecraft.picked_up.conduit: #1, 11(100%)
minecraft.picked_up.music_disc_chirp: #1, 1(50%)
minecraft.picked_up.music_disc_mall: #1, 1(50%)
minecraft.crafted.golden_axe: #1, 1(100%)
minecraft.crafted.pointed_dripstone: #1, 10(100%)
minecraft.crafted.jungle_sapling: #1, 6(100%)
minecraft.crafted.light_blue_glazed_terracotta: #1, 48(100%)
minecraft.crafted.podzol: #1, 18(100%)
minecraft.crafted.spectral_arrow: #1, 282(100%)
minecraft.crafted.cut_sandstone_slab: #1, 384(100%)
minecraft.crafted.horn_coral_block: #1, 8(100%)
minecraft.crafted.honey_bottle: #1, 48(100%)
minecraft.crafted.mojang_banner_pattern: #1, 1(100%)
minecraft.crafted.lodestone: #1, 3(100%)
minecraft.dropped.exposed_cut_copper_slab: #1, 13(100%)
minecraft.dropped.oxidized_cut_copper: #1, 2(100%)
minecraft.dropped.stripped_crimson_stem: #1, 1(100%)
minecraft.dropped.brain_coral_block: #1, 29(100%)
minecraft.dropped.orange_concrete_powder: #1, 85(100%)
minecraft.dropped.weathered_cut_copper_slab: #1, 1(100%)
minecraft.dropped.fern: #1, 2(100%)
minecraft.dropped.light_blue_bed: #1, 2(100%)
minecraft.used.writable_book: #3, 190(13%)
minecraft.used.oak_log: #3, 1846(12%)
minecraft.picked_up.soul_soil: #3, 1682(16%)
minecraft.used.netherite_helmet: #2, 8(32%)
minecraft.mined.melon_stem: #2, 13(21%)
minecraft.mined.oak_door: #2, 8(16%)
minecraft.used.pink_wool: #2, 183(19%)
minecraft.crafted.deepslate_bricks: #3, 2708(14%)
minecraft.picked_up.glow_lichen: #3, 3866(13%)
minecraft.dropped.oxeye_daisy: #2, 17(18%)
minecraft.used.blue_wool: #2, 42(30%)
minecraft.crafted.blue_shulker_box: #2, 3(20%)
minecraft.mined.deepslate_diamond_ore: #3, 278(11%)
minecraft.used.iron_door: #3, 45(14%)
minecraft.dropped.glow_lichen: #2, 36(26%)
minecraft.mined.spruce_pressure_plate: #2, 5(18%)
minecraft.used.netherite_axe: #2, 23859(16%)
minecraft.mined.cut_red_sandstone: #2, 45(35%)
minecraft.picked_up.carved_pumpkin: #3, 449(11%)
minecraft.mined.purpur_pillar: #2, 56(11%)
minecraft.dropped.terracotta: #2, 194(16%)
minecraft.picked_up.hanging_roots: #2, 315(12%)
minecraft.mined.sunflower: #2, 39(10%)
minecraft.mined.moss_block: #3, 4850(11%)
minecraft.picked_up.armor_stand: #2, 59(9%)
minecraft.picked_up.repeater: #3, 421(11%)
minecraft.picked_up.diorite_slab: #2, 38(28%)
minecraft.crafted.crimson_button: #2, 128(33%)
minecraft.used.purple_candle: #2, 26(28%)
minecraft.mined.powder_snow_cauldron: #2, 68(41%)
minecraft.picked_up.chipped_anvil: #3, 17(13%)
minecraft.used.observer: #3, 682(11%)
minecraft.picked_up.lapis_ore: #3, 176(12%)
minecraft.picked_up.honey_bottle: #2, 72(23%)
minecraft.mined.diamond_ore: #3, 583(10%)
minecraft.crafted.campfire: #3, 175(12%)
minecraft.crafted.purple_shulker_box: #2, 2(20%)
minecraft.crafted.tripwire_hook: #3, 122(17%)
minecraft.crafted.green_stained_glass: #2, 2016(11%)
minecraft.dropped.acacia_log: #2, 74(20%)
minecraft.picked_up.pumpkin_seeds: #3, 1655(12%)
minecraft.picked_up.orange_shulker_box: #2, 186(14%)
minecraft.dropped.amethyst_cluster: #2, 43(22%)
minecraft.picked_up.blue_stained_glass_pane: #2, 14(39%)
minecraft.broken.diamond_shovel: #2, 2(22%)
minecraft.crafted.honeycomb_block: #2, 2267(19%)
minecraft.mined.crimson_button: #2, 5(38%)
minecraft.dropped.small_dripleaf: #2, 5(38%)
minecraft.picked_up.dead_fire_coral_fan: #2, 11(31%)
minecraft.crafted.black_candle: #2, 123(31%)
minecraft.custom.swim_one_cm: #3, 4914316(9%)
minecraft.used.bell: #2, 11(12%)
minecraft.mined.heavy_weighted_pressure_plate: #2, 3(21%)
minecraft.dropped.phantom_membrane: #2, 27(10%)
minecraft.used.porkchop: #2, 5(25%)
minecraft.crafted.crimson_door: #2, 6(25%)
minecraft.mined.amethyst_block: #3, 2018(11%)
minecraft.used.oak_sign: #3, 183(10%)
minecraft.picked_up.gunpowder: #3, 1832(9%)
minecraft.crafted.polished_blackstone_stairs: #2, 151(13%)
minecraft.mined.orange_shulker_box: #2, 184(15%)
minecraft.mined.smooth_sandstone_stairs: #3, 204(12%)
minecraft.mined.moss_carpet: #3, 827(10%)
minecraft.custom.open_chest: #3, 31669(8%)
minecraft.used.orange_shulker_box: #2, 183(14%)
minecraft.mined.beetroots: #2, 134(10%)
minecraft.used.green_dye: #2, 10(29%)
minecraft.killed.wolf: #2, 2(29%)
minecraft.mined.dispenser: #3, 61(10%)
minecraft.used.terracotta: #3, 870(15%)
minecraft.used.seagrass: #2, 78(24%)
minecraft.mined.attached_melon_stem: #2, 8(24%)
minecraft.used.light_blue_dye: #2, 8(24%)
minecraft.crafted.polished_andesite_slab: #2, 114(20%)
minecraft.crafted.copper_ingot: #3, 4286(9%)
minecraft.crafted.lime_carpet: #2, 105(18%)
minecraft.used.redstone_ore: #3, 508(11%)
minecraft.used.armor_stand: #2, 60(6%)
minecraft.mined.pumpkin_stem: #2, 66(11%)
minecraft.used.beacon: #3, 34(10%)
minecraft.used.nether_brick_stairs: #2, 45(23%)
minecraft.crafted.birch_pressure_plate: #2, 3(27%)
minecraft.mined.budding_amethyst: #3, 60(11%)
minecraft.picked_up.purple_concrete: #2, 384(22%)
minecraft.mined.soul_wall_torch: #2, 2(33%)
minecraft.used.lime_dye: #2, 6(22%)
minecraft.dropped.spruce_pressure_plate: #2, 4(33%)
minecraft.picked_up.horn_coral_block: #2, 258(13%)
minecraft.mined.horn_coral_block: #2, 260(12%)
minecraft.used.mossy_cobblestone_wall: #2, 35(19%)
minecraft.dropped.observer: #3, 58(17%)
minecraft.used.netherite_boots: #2, 7(22%)
minecraft.picked_up.beetroot_seeds: #2, 470(6%)
minecraft.picked_up.smooth_sandstone_stairs: #3, 199(11%)
minecraft.used.red_nether_brick_wall: #2, 24(32%)
minecraft.used.filled_map: #2, 33(32%)
minecraft.dropped.cobblestone: #3, 7796(9%)
minecraft.used.yellow_dye: #2, 4(14%)
minecraft.mined.beacon: #3, 30(10%)
minecraft.crafted.deepslate_tiles: #4, 1920(16%)
minecraft.used.soul_lantern: #3, 228(13%)
minecraft.mined.glow_lichen: #3, 2883(9%)
minecraft.custom.pot_flower: #3, 60(10%)
minecraft.used.purple_bed: #2, 7(25%)
minecraft.picked_up.crimson_slab: #2, 23(18%)
minecraft.used.cyan_candle: #2, 24(25%)
minecraft.picked_up.peony: #3, 143(12%)
minecraft.mined.dead_fire_coral_fan: #2, 7(24%)
minecraft.used.waxed_exposed_cut_copper: #2, 9(30%)
minecraft.picked_up.golden_axe: #2, 2(40%)
minecraft.picked_up.black_candle: #2, 41(15%)
minecraft.mined.note_block: #3, 60(16%)
minecraft.picked_up.spider_eye: #3, 516(9%)
minecraft.used.hopper_minecart: #3, 57(11%)
minecraft.crafted.hopper_minecart: #3, 57(11%)
minecraft.used.fire_coral_block: #2, 98(15%)
minecraft.picked_up.dirt: #3, 43088(7%)
minecraft.mined.spruce_leaves: #3, 10343(9%)
minecraft.custom.interact_with_brewingstand: #3, 411(9%)
minecraft.picked_up.observer: #4, 440(13%)
minecraft.used.cracked_nether_bricks: #2, 72(38%)
minecraft.mined.gilded_blackstone: #2, 72(38%)
minecraft.picked_up.brown_glazed_terracotta: #2, 15(38%)
minecraft.picked_up.pufferfish: #3, 38(16%)
minecraft.used.twisting_vines: #3, 267(19%)
minecraft.mined.warped_roots: #3, 220(11%)
minecraft.mined.red_shulker_box: #3, 212(10%)
minecraft.used.horn_coral_block: #3, 108(23%)
minecraft.picked_up.gilded_blackstone: #2, 70(27%)
minecraft.mined.diorite_wall: #2, 12(18%)
minecraft.crafted.magenta_banner: #2, 4(36%)
minecraft.picked_up.diorite: #3, 12906(8%)
minecraft.dropped.mossy_cobblestone_slab: #2, 30(36%)
minecraft.mined.oak_log: #3, 5866(8%)
minecraft.mined.weathered_cut_copper_slab: #2, 7(18%)
minecraft.used.green_stained_glass: #2, 1337(8%)
minecraft.picked_up.purple_candle: #2, 6(21%)
minecraft.picked_up.red_shulker_box: #3, 212(10%)
minecraft.picked_up.calcite: #3, 2985(8%)
minecraft.picked_up.lime_stained_glass_pane: #2, 17(18%)
minecraft.mined.crimson_trapdoor: #2, 14(10%)
minecraft.custom.leave_game: #4, 927(6%)
minecraft.picked_up.copper_block: #3, 563(10%)
minecraft.used.red_shulker_box: #3, 213(10%)
minecraft.used.chiseled_stone_bricks: #2, 305(21%)
minecraft.crafted.polished_diorite: #3, 752(13%)
minecraft.picked_up.crimson_trapdoor: #2, 14(9%)
minecraft.picked_up.beacon: #3, 30(9%)
minecraft.mined.mossy_cobblestone_stairs: #3, 26(23%)
minecraft.crafted.deepslate_brick_wall: #3, 78(15%)
minecraft.mined.quartz_pillar: #2, 36(25%)
minecraft.picked_up.quartz_pillar: #2, 36(25%)
minecraft.used.lime_carpet: #2, 93(17%)
minecraft.dropped.cobbled_deepslate_wall: #2, 18(14%)
minecraft.mined.potted_red_mushroom: #2, 1(50%)
minecraft.crafted.warped_fungus_on_a_stick: #2, 1(50%)
minecraft.crafted.flower_banner_pattern: #2, 1(50%)
minecraft.broken.diamond_helmet: #2, 1(25%)
minecraft.crafted.purple_bed: #2, 1(50%)
minecraft.crafted.crimson_sign: #2, 9(17%)
minecraft.mined.lodestone: #2, 4(33%)
minecraft.crafted.smooth_basalt: #2, 128(25%)
minecraft.crafted.repeater: #3, 499(8%)
minecraft.crafted.red_sandstone_wall: #2, 162(25%)
minecraft.used.crimson_planks: #2, 120(14%)
minecraft.used.glow_item_frame: #3, 53(9%)
minecraft.picked_up.seagrass: #3, 260(15%)
minecraft.crafted.purpur_block: #2, 364(49%)
minecraft.crafted.firework_star: #2, 181(16%)
minecraft.used.purple_concrete: #2, 284(19%)
minecraft.used.red_nether_brick_slab: #2, 20(32%)
minecraft.dropped.snow: #3, 1993(18%)
minecraft.picked_up.netherite_hoe: #2, 2(12%)
minecraft.mined.lime_concrete_powder: #3, 21(28%)
minecraft.used.mossy_stone_brick_wall: #2, 18(23%)
minecraft.custom.strider_one_cm: #2, 59869(46%)
minecraft.used.stripped_birch_log: #2, 202(8%)
minecraft.dropped.redstone_block: #3, 69(15%)
minecraft.picked_up.purpur_stairs: #3, 26(14%)
minecraft.killed.zombie: #3, 2574(7%)
minecraft.custom.interact_with_beacon: #3, 42(8%)
minecraft.mined.cave_vines: #3, 52(9%)
minecraft.picked_up.torch: #3, 6064(7%)
minecraft.picked_up.light_blue_terracotta: #2, 67(15%)
minecraft.mined.purpur_stairs: #3, 29(13%)
minecraft.used.honeycomb_block: #2, 71(10%)
minecraft.mined.soul_torch: #2, 11(14%)
minecraft.picked_up.granite_stairs: #2, 8(14%)
minecraft.dropped.orange_shulker_box: #2, 3(21%)
minecraft.used.lime_stained_glass_pane: #2, 20(17%)
minecraft.picked_up.leather_boots: #3, 27(8%)
minecraft.picked_up.oak_door: #3, 10(11%)
minecraft.used.dead_tube_coral_fan: #2, 4(21%)
minecraft.picked_up.dead_tube_coral_fan: #2, 4(21%)
minecraft.used.birch_pressure_plate: #2, 2(17%)
minecraft.crafted.brown_banner: #2, 19(41%)
minecraft.used.purple_banner: #2, 3(27%)
minecraft.crafted.red_nether_brick_slab: #2, 18(27%)
minecraft.used.nether_brick_wall: #2, 20(14%)
minecraft.used.netherite_leggings: #2, 5(20%)
minecraft.crafted.crimson_fence_gate: #2, 7(20%)
minecraft.dropped.gold_block: #2, 31(16%)
minecraft.mined.end_stone_bricks: #3, 74(11%)
minecraft.mined.cyan_candle: #2, 5(26%)
minecraft.dropped.birch_slab: #2, 24(8%)
minecraft.mined.lime_stained_glass_pane: #2, 17(15%)
minecraft.mined.brown_glazed_terracotta: #2, 15(38%)
minecraft.crafted.end_stone_bricks: #2, 432(25%)
minecraft.picked_up.beetroot: #2, 175(5%)
minecraft.mined.polished_blackstone_button: #3, 29(11%)
minecraft.picked_up.snow: #3, 5243(11%)
minecraft.used.map: #3, 24(11%)
minecraft.mined.kelp_plant: #4, 432(10%)
minecraft.used.brown_glazed_terracotta: #2, 15(35%)
minecraft.crafted.honey_block: #2, 811(10%)
minecraft.picked_up.red_sandstone: #2, 82(11%)
minecraft.used.fletching_table: #2, 10(8%)
minecraft.crafted.waxed_exposed_cut_copper_slab: #2, 6(22%)
minecraft.mined.dead_tube_coral_fan: #2, 3(17%)
minecraft.mined.cracked_nether_bricks: #2, 5(33%)
minecraft.broken.shield: #2, 1(33%)
minecraft.crafted.rooted_dirt: #2, 10(33%)
minecraft.custom.clean_banner: #2, 3(33%)
minecraft.mined.mossy_stone_brick_wall: #2, 5(33%)
minecraft.picked_up.firework_star: #2, 3(33%)
minecraft.crafted.waxed_cut_copper_stairs: #2, 4(33%)
minecraft.crafted.carrot_on_a_stick: #2, 1(33%)
minecraft.dropped.oak_planks: #3, 112(7%)
minecraft.used.shroomlight: #3, 487(8%)
minecraft.crafted.polished_andesite_stairs: #3, 74(18%)
minecraft.picked_up.dead_horn_coral_fan: #2, 3(16%)
minecraft.killed.piglin: #3, 63(8%)
minecraft.dropped.cracked_deepslate_bricks: #2, 112(31%)
minecraft.custom.play_noteblock: #3, 149(12%)
minecraft.used.end_stone_bricks: #2, 82(6%)
minecraft.crafted.acacia_pressure_plate: #2, 12(20%)
minecraft.picked_up.dried_kelp_block: #2, 84(20%)
minecraft.dropped.mossy_cobblestone: #3, 60(11%)
minecraft.picked_up.spruce_leaves: #3, 8219(8%)
minecraft.mined.polished_blackstone_slab: #3, 85(11%)
minecraft.picked_up.potion: #3, 65(7%)
minecraft.mined.waxed_cut_copper: #2, 6(14%)
minecraft.crafted.smooth_sandstone_slab: #2, 84(6%)
minecraft.crafted.diorite_wall: #3, 30(19%)
minecraft.picked_up.acacia_slab: #3, 154(14%)
minecraft.picked_up.spruce_pressure_plate: #3, 9(17%)
minecraft.used.ender_eye: #2, 4(11%)
minecraft.mined.purple_concrete: #2, 364(9%)
minecraft.used.gray_candle: #2, 4(13%)
minecraft.picked_up.cookie: #2, 92(4%)
minecraft.used.quartz_pillar: #3, 267(30%)
minecraft.mined.polished_diorite: #3, 129(12%)
minecraft.picked_up.stripped_birch_log: #3, 263(9%)
minecraft.crafted.soul_torch: #3, 292(10%)
minecraft.crafted.iron_door: #3, 39(8%)
minecraft.mined.stripped_birch_log: #3, 268(8%)
minecraft.dropped.mossy_cobblestone_stairs: #2, 3(17%)
minecraft.used.beef: #2, 2(17%)
minecraft.mined.purple_concrete_powder: #2, 1(25%)
minecraft.used.magenta_bed: #2, 1(25%)
minecraft.crafted.magenta_bed: #2, 1(25%)
minecraft.crafted.purple_candle: #2, 30(12%)
minecraft.mined.attached_pumpkin_stem: #2, 14(6%)
minecraft.used.purple_concrete_powder: #2, 321(8%)
minecraft.mined.waxed_copper_block: #3, 20(15%)
minecraft.mined.dark_oak_wall_sign: #4, 56(12%)
minecraft.crafted.charcoal: #3, 82(10%)
minecraft.mined.stripped_acacia_log: #3, 46(12%)
minecraft.dropped.oak_leaves: #3, 272(8%)
minecraft.picked_up.oxidized_cut_copper: #3, 29(16%)
minecraft.picked_up.polished_blackstone_slab: #3, 87(10%)
minecraft.crafted.written_book: #2, 3(15%)
minecraft.mined.dead_fire_coral: #2, 2(22%)
minecraft.picked_up.dead_fire_coral: #2, 2(22%)
minecraft.dropped.honey_bottle: #2, 9(11%)
minecraft.mined.gray_stained_glass_pane: #3, 21(13%)
minecraft.used.crossbow: #3, 48(21%)
minecraft.used.dead_brain_coral_fan: #2, 3(21%)
minecraft.mined.lime_carpet: #2, 10(14%)
minecraft.mined.dead_brain_coral_fan: #2, 3(21%)
minecraft.picked_up.dead_brain_coral_fan: #2, 3(21%)
minecraft.used.cooked_salmon: #3, 14(14%)
minecraft.crafted.light_blue_bed: #2, 7(14%)
minecraft.mined.oxidized_cut_copper: #3, 27(16%)
minecraft.crafted.soul_lantern: #3, 157(10%)
minecraft.picked_up.waxed_cut_copper: #2, 6(8%)
minecraft.used.acacia_pressure_plate: #2, 7(13%)
minecraft.used.beetroot_soup: #2, 1(20%)
minecraft.crafted.beetroot_soup: #2, 1(20%)
minecraft.used.exposed_cut_copper: #2, 3(20%)
minecraft.crafted.waxed_exposed_cut_copper: #2, 4(20%)
minecraft.mined.cyan_terracotta: #3, 152(9%)
minecraft.mined.fletching_table: #2, 6(6%)
minecraft.mined.repeater: #4, 214(10%)
minecraft.crafted.smooth_sandstone: #3, 1166(14%)
minecraft.used.cut_sandstone_slab: #3, 468(11%)
minecraft.mined.pink_wool: #2, 25(4%)
minecraft.mined.acacia_wall_sign: #2, 2(12%)
minecraft.used.prismarine: #3, 625(11%)
minecraft.dropped.white_stained_glass_pane: #2, 11(18%)
minecraft.mined.warped_slab: #3, 22(12%)
minecraft.used.orange_banner: #2, 2(9%)
minecraft.mined.dead_bubble_coral_fan: #2, 2(17%)
minecraft.custom.open_shulker_box: #4, 22567(8%)
minecraft.crafted.cyan_candle: #2, 26(16%)
minecraft.used.orange_carpet: #2, 6(8%)
minecraft.crafted.orange_banner: #2, 2(8%)
minecraft.dropped.stripped_oak_log: #2, 7(4%)
minecraft.dropped.pumpkin_seeds: #3, 239(9%)
minecraft.mined.redstone_wire: #4, 517(9%)
minecraft.used.fire_charge: #2, 1(8%)
minecraft.picked_up.quartz_bricks: #2, 2(15%)
minecraft.picked_up.string: #4, 1740(9%)
minecraft.used.spruce_pressure_plate: #3, 9(9%)
minecraft.picked_up.spectral_arrow: #3, 885(10%)
minecraft.dropped.red_dye: #3, 41(16%)
minecraft.used.comparator: #4, 320(10%)
minecraft.crafted.pink_glazed_terracotta: #2, 64(7%)
minecraft.used.blue_bed: #2, 6(4%)
minecraft.picked_up.glass: #4, 2623(9%)
minecraft.crafted.dark_oak_pressure_plate: #3, 8(12%)
minecraft.crafted.paper: #4, 16031(9%)
minecraft.mined.exposed_cut_copper: #2, 3(14%)
minecraft.picked_up.exposed_cut_copper: #2, 3(14%)
minecraft.used.campfire: #4, 147(10%)
minecraft.picked_up.iron_block: #4, 3638(9%)
minecraft.picked_up.amethyst_block: #4, 1961(9%)
minecraft.used.magenta_dye: #2, 3(8%)
minecraft.broken.shears: #4, 31(10%)
minecraft.picked_up.cut_copper_slab: #3, 36(11%)
minecraft.picked_up.orange_stained_glass: #3, 16(18%)
minecraft.dropped.allium: #3, 32(21%)
minecraft.used.green_candle: #3, 8(21%)
minecraft.picked_up.glow_item_frame: #4, 18(10%)
minecraft.mined.barrel: #4, 127(9%)
minecraft.crafted.diamond: #4, 981(10%)
minecraft.used.crimson_roots: #3, 31(15%)
minecraft.picked_up.crimson_button: #2, 6(7%)
minecraft.dropped.melon_slice: #2, 389(3%)
minecraft.mined.quartz_bricks: #2, 2(10%)
minecraft.mined.carrots: #4, 1623(9%)
minecraft.used.light_weighted_pressure_plate: #2, 10(6%)
minecraft.crafted.turtle_helmet: #2, 2(6%)
