stat, rank, value, (percentage) 
minecraft.custom.fly_one_cm: #18, 29122299(2%)
minecraft.custom.time_since_rest: #21, 551282(0%)
minecraft.custom.walk_under_water_one_cm: #23, 653573(1%)
minecraft.custom.walk_on_water_one_cm: #28, 230972(0%)
minecraft.custom.sneak_time: #29, 42826(0%)
minecraft.custom.time_since_death: #30, 551282(0%)
minecraft.custom.leave_game: #43, 47(0%)
minecraft.custom.play_time: #47, 551282(0%)
minecraft.custom.total_world_time: #47, 551282(0%)
