stat, rank, value, (percentage) 
minecraft.used.jungle_pressure_plate: #2, 4(36%)
minecraft.mined.shroomlight: #3, 226(8%)
minecraft.crafted.smooth_red_sandstone: #2, 208(15%)
minecraft.used.cocoa_beans: #2, 382(7%)
minecraft.crafted.diorite_stairs: #2, 4(27%)
minecraft.used.jungle_leaves: #2, 100(11%)
minecraft.mined.cracked_deepslate_tiles: #2, 16(12%)
minecraft.dropped.dark_prismarine: #2, 10(26%)
minecraft.crafted.name_tag: #2, 442(15%)
minecraft.mined.redstone_torch: #3, 46(8%)
minecraft.dropped.stone_axe: #3, 12(14%)
minecraft.crafted.bricks: #3, 3288(15%)
minecraft.used.chiseled_sandstone: #2, 30(26%)
minecraft.crafted.chainmail_boots: #2, 12(17%)
minecraft.dropped.polished_blackstone_button: #3, 14(13%)
minecraft.crafted.barrel: #3, 258(8%)
minecraft.dropped.stone_stairs: #3, 37(22%)
minecraft.dropped.spruce_stairs: #2, 15(10%)
minecraft.dropped.cracked_deepslate_tiles: #2, 24(50%)
minecraft.dropped.mycelium: #2, 1(50%)
minecraft.dropped.oak_door: #2, 2(14%)
minecraft.used.red_banner: #2, 17(12%)
minecraft.mined.blackstone: #4, 5055(12%)
minecraft.picked_up.glass_bottle: #4, 448(15%)
minecraft.mined.clay: #4, 792(12%)
minecraft.mined.kelp: #3, 293(8%)
minecraft.used.splash_potion: #3, 59(10%)
minecraft.crafted.diamond_axe: #3, 10(8%)
minecraft.used.ancient_debris: #2, 7(13%)
minecraft.crafted.cracked_deepslate_bricks: #3, 740(21%)
minecraft.mined.sea_lantern: #3, 99(9%)
minecraft.used.honeycomb: #3, 733(13%)
minecraft.picked_up.spruce_door: #3, 38(10%)
minecraft.dropped.warped_nylium: #2, 7(22%)
minecraft.crafted.spruce_planks: #3, 23143(7%)
minecraft.mined.fire_coral_fan: #3, 62(19%)
minecraft.crafted.minecart: #4, 138(11%)
minecraft.mined.dropper: #3, 62(10%)
minecraft.crafted.magenta_shulker_box: #2, 2(11%)
minecraft.picked_up.deepslate_iron_ore: #4, 358(12%)
minecraft.picked_up.sandstone_slab: #3, 65(12%)
minecraft.crafted.anvil: #3, 92(7%)
minecraft.dropped.chiseled_sandstone: #2, 1(17%)
minecraft.picked_up.mycelium: #2, 65(21%)
minecraft.used.cut_sandstone: #3, 708(20%)
minecraft.crafted.golden_helmet: #3, 5(11%)
minecraft.crafted.golden_apple: #3, 90(11%)
minecraft.crafted.red_wool: #2, 65(7%)
minecraft.picked_up.white_stained_glass_pane: #3, 57(15%)
minecraft.custom.talked_to_villager: #4, 5536(10%)
minecraft.used.smooth_red_sandstone: #2, 152(15%)
minecraft.used.vine: #3, 211(11%)
minecraft.killed_by.drowned: #2, 1(12%)
minecraft.dropped.blue_bed: #2, 1(25%)
minecraft.used.cracked_stone_bricks: #2, 228(6%)
minecraft.used.sandstone_wall: #2, 105(9%)
minecraft.mined.pointed_dripstone: #4, 1652(12%)
minecraft.used.crimson_trapdoor: #3, 121(16%)
minecraft.mined.cut_sandstone: #2, 139(7%)
minecraft.dropped.raw_iron: #3, 194(12%)
minecraft.mined.brick_wall: #2, 4(10%)
minecraft.used.glow_ink_sac: #3, 128(7%)
minecraft.mined.sandstone_slab: #3, 63(12%)
minecraft.mined.acacia_fence: #3, 27(21%)
minecraft.picked_up.deepslate_copper_ore: #3, 41(9%)
minecraft.dropped.chest: #4, 58(12%)
minecraft.crafted.tinted_glass: #3, 2140(12%)
minecraft.used.purple_terracotta: #2, 19(16%)
minecraft.dropped.stone_brick_stairs: #2, 36(9%)
minecraft.used.polished_diorite_stairs: #2, 158(11%)
minecraft.mined.nether_brick_wall: #2, 5(15%)
minecraft.dropped.feather: #3, 49(9%)
minecraft.mined.spruce_sapling: #3, 25(8%)
minecraft.dropped.smithing_table: #2, 1(20%)
minecraft.used.string: #3, 1746(6%)
minecraft.picked_up.jungle_leaves: #3, 260(11%)
minecraft.picked_up.cut_copper_stairs: #3, 32(14%)
minecraft.mined.cut_copper_stairs: #3, 31(14%)
minecraft.used.pink_stained_glass_pane: #2, 14(19%)
minecraft.custom.interact_with_anvil: #4, 422(9%)
minecraft.dropped.chainmail_helmet: #3, 11(14%)
minecraft.picked_up.brain_coral_block: #3, 568(13%)
minecraft.mined.detector_rail: #2, 2(8%)
minecraft.used.oak_fence_gate: #3, 44(9%)
minecraft.dropped.cooked_cod: #3, 11(14%)
minecraft.mined.warped_trapdoor: #3, 20(11%)
minecraft.crafted.experience_bottle: #3, 3350(19%)
minecraft.dropped.pointed_dripstone: #2, 47(4%)
minecraft.crafted.cooked_salmon: #2, 16(13%)
minecraft.used.polished_blackstone_brick_slab: #2, 596(4%)
minecraft.used.brewing_stand: #4, 34(11%)
minecraft.dropped.brick: #2, 66(5%)
minecraft.used.cut_copper_slab: #3, 179(13%)
minecraft.crafted.acacia_stairs: #3, 164(14%)
minecraft.picked_up.brain_coral: #3, 88(15%)
minecraft.dropped.spruce_boat: #2, 22(4%)
minecraft.used.warped_button: #2, 61(5%)
minecraft.used.polished_basalt: #3, 858(8%)
minecraft.mined.nether_wart: #4, 673(11%)
minecraft.used.smoker: #3, 11(9%)
minecraft.dropped.diamond_helmet: #3, 5(11%)
minecraft.used.granite_stairs: #2, 62(6%)
minecraft.crafted.warped_button: #2, 64(6%)
minecraft.used.diorite_stairs: #2, 9(8%)
minecraft.crafted.cauldron: #4, 454(11%)
minecraft.used.acacia_stairs: #3, 176(14%)
minecraft.picked_up.brick_stairs: #3, 14(18%)
minecraft.used.prismarine_brick_stairs: #3, 98(20%)
minecraft.used.black_stained_glass_pane: #3, 501(10%)
minecraft.used.smooth_red_sandstone_stairs: #2, 35(10%)
minecraft.mined.cyan_stained_glass: #2, 17(5%)
minecraft.used.nether_sprouts: #2, 9(13%)
minecraft.mined.stone_slab: #3, 311(7%)
minecraft.crafted.green_concrete_powder: #3, 256(15%)
minecraft.crafted.birch_button: #3, 16(12%)
minecraft.used.purpur_block: #3, 120(10%)
minecraft.mined.mycelium: #2, 65(9%)
minecraft.mined.black_stained_glass_pane: #3, 47(14%)
minecraft.picked_up.fire_coral: #3, 79(15%)
minecraft.mined.horn_coral: #3, 62(14%)
minecraft.custom.climb_one_cm: #4, 3759269(8%)
minecraft.picked_up.red_dye: #3, 64(11%)
minecraft.used.cyan_shulker_box: #3, 46(15%)
minecraft.crafted.jungle_pressure_plate: #2, 2(11%)
minecraft.used.bubble_coral_block: #2, 356(4%)
minecraft.crafted.acacia_fence: #3, 162(13%)
minecraft.dropped.anvil: #2, 7(6%)
minecraft.dropped.copper_block: #3, 163(15%)
minecraft.used.acacia_fence: #3, 129(13%)
minecraft.mined.cut_copper_slab: #3, 24(12%)
minecraft.used.sticky_piston: #4, 311(9%)
minecraft.picked_up.purple_terracotta: #2, 11(10%)
minecraft.dropped.dead_brain_coral_block: #2, 1(14%)
minecraft.mined.horn_coral_block: #3, 252(12%)
minecraft.picked_up.cyan_shulker_box: #3, 43(14%)
minecraft.picked_up.stone_hoe: #3, 3(14%)
minecraft.used.fern: #2, 63(3%)
minecraft.picked_up.redstone_ore: #4, 835(9%)
minecraft.dropped.dead_fire_coral_block: #2, 1(7%)
minecraft.mined.magma_block: #4, 2078(9%)
minecraft.mined.smooth_stone: #4, 547(12%)
minecraft.used.dead_bush: #2, 71(3%)
minecraft.picked_up.bubble_coral: #3, 66(14%)
minecraft.used.white_stained_glass: #4, 1413(13%)
minecraft.picked_up.horn_coral_block: #3, 242(12%)
minecraft.used.smooth_red_sandstone_slab: #2, 30(6%)
minecraft.crafted.polished_basalt: #3, 876(8%)
minecraft.mined.bubble_coral: #3, 67(14%)
minecraft.crafted.chiseled_deepslate: #3, 22(8%)
minecraft.picked_up.tube_coral_fan: #3, 117(9%)
minecraft.dropped.magenta_terracotta: #2, 1(7%)
minecraft.crafted.red_stained_glass_pane: #3, 80(17%)
minecraft.used.dark_oak_sign: #4, 261(10%)
minecraft.crafted.loom: #3, 20(8%)
minecraft.used.pumpkin_seeds: #3, 135(7%)
minecraft.dropped.calcite: #3, 48(6%)
minecraft.crafted.oak_trapdoor: #4, 308(9%)
minecraft.picked_up.dark_oak_sapling: #4, 599(10%)
minecraft.picked_up.sandstone: #4, 10888(9%)
minecraft.dropped.lily_pad: #3, 16(12%)
minecraft.picked_up.horn_coral: #3, 62(13%)
minecraft.picked_up.magma_block: #4, 1975(8%)
minecraft.mined.brain_coral_block: #3, 415(10%)
minecraft.mined.diorite_stairs: #2, 1(5%)
minecraft.picked_up.diorite_stairs: #2, 1(5%)
minecraft.picked_up.lapis_ore: #4, 143(10%)
minecraft.crafted.chiseled_stone_bricks: #3, 512(14%)
minecraft.mined.blackstone_wall: #3, 12(16%)
minecraft.crafted.red_nether_bricks: #3, 183(16%)
minecraft.mined.oak_button: #3, 3(12%)
minecraft.dropped.dark_oak_sign: #3, 8(9%)
minecraft.mined.smooth_basalt: #4, 1302(9%)
minecraft.mined.nether_gold_ore: #4, 307(10%)
minecraft.used.spruce_boat: #4, 45(10%)
minecraft.picked_up.deepslate_redstone_ore: #4, 352(9%)
minecraft.picked_up.music_disc_cat: #3, 2(10%)
minecraft.mined.polished_granite: #3, 25(7%)
minecraft.mined.lantern: #4, 54(10%)
minecraft.picked_up.crimson_fence: #3, 5(22%)
minecraft.mined.sandstone_wall: #2, 5(2%)
minecraft.picked_up.magma_cream: #4, 273(8%)
minecraft.mined.amethyst_block: #4, 1678(9%)
minecraft.mined.warped_wall_sign: #3, 12(12%)
minecraft.mined.sticky_piston: #4, 96(9%)
minecraft.picked_up.cobbled_deepslate: #4, 24886(8%)
minecraft.picked_up.horn_coral_fan: #3, 111(7%)
minecraft.crafted.blast_furnace: #3, 19(5%)
minecraft.picked_up.diamond_chestplate: #4, 12(10%)
minecraft.used.polished_blackstone_bricks: #3, 924(8%)
minecraft.used.warped_sign: #3, 50(9%)
minecraft.used.red_sand: #2, 56(0%)
minecraft.mined.sugar_cane: #4, 4150(8%)
minecraft.crafted.chiseled_red_sandstone: #2, 1(0%)
minecraft.broken.iron_axe: #4, 12(10%)
minecraft.crafted.sponge: #3, 183(12%)
minecraft.used.smooth_basalt: #3, 244(5%)
minecraft.crafted.white_stained_glass: #4, 1432(10%)
minecraft.picked_up.bubble_coral_fan: #3, 124(9%)
minecraft.used.warped_roots: #3, 10(10%)
minecraft.crafted.brick_stairs: #3, 28(14%)
minecraft.used.dark_oak_trapdoor: #4, 392(9%)
minecraft.picked_up.white_shulker_box: #4, 246(12%)
minecraft.used.light_blue_banner: #3, 5(19%)
minecraft.used.smooth_stone_slab: #4, 1720(10%)
minecraft.crafted.observer: #4, 404(8%)
minecraft.crafted.warped_door: #3, 6(12%)
minecraft.picked_up.composter: #4, 67(9%)
minecraft.mined.loom: #3, 7(7%)
minecraft.custom.open_barrel: #4, 4301(7%)
minecraft.used.dark_oak_sapling: #4, 417(11%)
minecraft.used.polished_granite_stairs: #3, 63(16%)
minecraft.custom.inspect_dispenser: #4, 514(7%)
minecraft.crafted.yellow_bed: #3, 3(10%)
minecraft.picked_up.brain_coral_fan: #3, 122(8%)
minecraft.custom.tune_noteblock: #4, 533(10%)
minecraft.used.white_shulker_box: #4, 247(11%)
minecraft.used.glowstone: #4, 602(9%)
minecraft.picked_up.barrel: #4, 137(8%)
minecraft.used.detector_rail: #3, 8(7%)
minecraft.mined.white_shulker_box: #4, 230(11%)
minecraft.dropped.sea_pickle: #3, 10(12%)
minecraft.dropped.acacia_leaves: #3, 21(12%)
minecraft.crafted.suspicious_stew: #3, 10(9%)
minecraft.used.cut_red_sandstone: #3, 69(17%)
minecraft.used.diamond_ore: #4, 134(8%)
minecraft.mined.cobbled_deepslate_slab: #3, 42(5%)
minecraft.used.polished_blackstone_stairs: #4, 687(12%)
minecraft.dropped.fire_coral_fan: #3, 6(17%)
minecraft.picked_up.cobweb: #4, 254(12%)
minecraft.used.tinted_glass: #4, 1386(9%)
minecraft.picked_up.furnace: #4, 122(7%)
minecraft.picked_up.sugar_cane: #4, 7543(7%)
minecraft.mined.cocoa: #4, 157(10%)
minecraft.picked_up.dark_prismarine: #3, 99(9%)
minecraft.used.brown_stained_glass_pane: #3, 41(27%)
minecraft.broken.flint_and_steel: #3, 5(8%)
minecraft.crafted.cartography_table: #3, 10(7%)
minecraft.custom.traded_with_villager: #4, 33241(8%)
minecraft.crafted.purple_shulker_box: #3, 1(10%)
minecraft.picked_up.spruce_sign: #4, 95(8%)
minecraft.picked_up.netherite_ingot: #3, 6(7%)
minecraft.used.nether_brick_stairs: #3, 26(13%)
minecraft.custom.mob_kills: #4, 256448(6%)
minecraft.used.blue_orchid: #3, 16(10%)
minecraft.crafted.pink_wool: #3, 6(13%)
minecraft.crafted.stone_pickaxe: #4, 12(7%)
minecraft.dropped.polished_blackstone: #3, 13(8%)
minecraft.picked_up.cut_sandstone: #3, 137(7%)
minecraft.crafted.warped_trapdoor: #4, 132(12%)
minecraft.crafted.dark_oak_trapdoor: #4, 356(8%)
minecraft.picked_up.crimson_trapdoor: #3, 10(7%)
minecraft.picked_up.end_stone_bricks: #4, 83(11%)
minecraft.crafted.rail: #4, 1536(7%)
minecraft.used.stone_bricks: #4, 6528(8%)
minecraft.mined.spruce_pressure_plate: #3, 2(7%)
minecraft.dropped.dragon_head: #3, 1(14%)
minecraft.custom.trigger_trapped_chest: #3, 8(24%)
minecraft.picked_up.deepslate_gold_ore: #4, 85(8%)
minecraft.picked_up.blackstone_wall: #3, 12(10%)
minecraft.crafted.iron_leggings: #4, 7(7%)
minecraft.killed.magma_cube: #4, 578(7%)
minecraft.killed_by.enderman: #3, 1(6%)
minecraft.mined.note_block: #4, 46(12%)
minecraft.picked_up.spruce_trapdoor: #4, 410(7%)
minecraft.mined.dark_prismarine: #3, 89(8%)
minecraft.picked_up.granite_slab: #3, 25(11%)
minecraft.mined.mossy_cobblestone: #4, 203(9%)
minecraft.picked_up.prismarine_slab: #3, 5(17%)
minecraft.crafted.brown_stained_glass_pane: #3, 80(22%)
minecraft.used.nether_brick_wall: #3, 16(11%)
minecraft.mined.acacia_stairs: #3, 13(6%)
minecraft.picked_up.beetroot: #3, 151(4%)
minecraft.picked_up.smooth_basalt: #4, 1286(7%)
minecraft.dropped.smooth_basalt: #4, 103(9%)
minecraft.crafted.diamond_pickaxe: #4, 17(7%)
minecraft.picked_up.anvil: #4, 31(7%)
minecraft.picked_up.diamond_helmet: #4, 21(7%)
minecraft.crafted.lantern: #4, 417(7%)
minecraft.used.prismarine_wall: #3, 66(10%)
minecraft.mined.tube_coral_wall_fan: #3, 56(5%)
minecraft.mined.water_cauldron: #3, 3(7%)
minecraft.mined.crimson_trapdoor: #3, 8(6%)
minecraft.used.fire_coral: #3, 19(9%)
minecraft.crafted.light_blue_banner: #3, 3(12%)
minecraft.crafted.acacia_planks: #4, 3272(8%)
minecraft.custom.interact_with_lectern: #4, 101(6%)
minecraft.picked_up.spruce_boat: #4, 65(9%)
minecraft.mined.horn_coral_wall_fan: #3, 48(4%)
minecraft.picked_up.white_wool: #4, 774(6%)
minecraft.mined.white_carpet: #4, 59(8%)
minecraft.mined.smooth_stone_slab: #4, 247(8%)
minecraft.dropped.wheat_seeds: #4, 4772(6%)
minecraft.killed.trader_llama: #4, 14(8%)
minecraft.used.note_block: #4, 201(9%)
minecraft.crafted.warped_pressure_plate: #3, 2(9%)
minecraft.picked_up.bubble_coral_block: #3, 687(6%)
minecraft.mined.dragon_wall_head: #4, 9(10%)
minecraft.mined.bubble_coral_wall_fan: #3, 53(5%)
minecraft.used.polished_andesite_stairs: #3, 80(4%)
minecraft.dropped.jungle_log: #4, 54(17%)
minecraft.used.cobweb: #4, 49(11%)
minecraft.mined.brain_coral_wall_fan: #3, 48(4%)
minecraft.mined.prismarine_slab: #3, 3(12%)
minecraft.crafted.emerald: #4, 24182(8%)
minecraft.crafted.prismarine_wall: #3, 6(16%)
minecraft.mined.cave_vines_plant: #4, 41(9%)
minecraft.picked_up.blackstone: #5, 5043(10%)
minecraft.crafted.polished_granite_stairs: #3, 20(9%)
minecraft.picked_up.acacia_fence: #4, 26(16%)
minecraft.dropped.glistering_melon_slice: #3, 39(12%)
minecraft.mined.obsidian: #4, 996(6%)
minecraft.crafted.yellow_shulker_box: #3, 3(4%)
minecraft.used.deepslate_emerald_ore: #3, 1(9%)
minecraft.crafted.diorite_slab: #3, 12(11%)
minecraft.mined.bubble_coral_block: #3, 484(4%)
minecraft.crafted.wheat: #4, 828(8%)
minecraft.picked_up.polished_diorite_stairs: #3, 22(9%)
minecraft.crafted.pink_stained_glass_pane: #3, 16(14%)
minecraft.crafted.packed_ice: #3, 275(6%)
minecraft.crafted.note_block: #4, 187(8%)
minecraft.used.dead_bubble_coral_block: #3, 22(8%)
minecraft.used.anvil: #4, 73(5%)
minecraft.picked_up.warped_stem: #4, 797(7%)
minecraft.mined.cobbled_deepslate_stairs: #4, 24(10%)
minecraft.mined.red_nether_brick_slab: #3, 3(12%)
minecraft.picked_up.red_nether_brick_slab: #3, 3(12%)
minecraft.picked_up.tinted_glass: #4, 235(7%)
minecraft.mined.blast_furnace: #4, 10(7%)
minecraft.crafted.polished_diorite_slab: #3, 16(6%)
minecraft.crafted.deepslate_tile_slab: #4, 450(6%)
minecraft.picked_up.nether_brick_wall: #3, 5(9%)
minecraft.mined.weeping_vines: #4, 21(8%)
minecraft.used.iron_block: #5, 4482(10%)
minecraft.picked_up.brick: #4, 101(10%)
minecraft.mined.bee_nest: #4, 11(8%)
minecraft.mined.white_stained_glass: #4, 114(8%)
minecraft.mined.fletching_table: #3, 5(5%)
minecraft.picked_up.cyan_stained_glass: #3, 17(4%)
minecraft.picked_up.purpur_stairs: #4, 18(9%)
minecraft.used.leather_boots: #3, 2(4%)
minecraft.dropped.deepslate_tile_stairs: #3, 4(4%)
minecraft.mined.hopper: #4, 254(5%)
minecraft.mined.lever: #4, 37(5%)
minecraft.mined.beetroots: #4, 121(9%)
minecraft.used.oak_log: #5, 1422(9%)
minecraft.mined.honeycomb_block: #3, 4(3%)
minecraft.picked_up.purple_concrete: #3, 80(5%)
minecraft.dropped.oak_boat: #3, 18(2%)
minecraft.mined.polished_diorite_stairs: #3, 14(5%)
minecraft.picked_up.black_stained_glass_pane: #4, 105(14%)
minecraft.picked_up.diamond_boots: #4, 24(5%)
minecraft.dropped.blue_orchid: #3, 4(7%)
minecraft.broken.stone_hoe: #4, 4(11%)
minecraft.picked_up.gold_ore: #5, 302(9%)
minecraft.used.pink_concrete_powder: #3, 16(5%)
minecraft.crafted.pink_concrete_powder: #3, 16(5%)
minecraft.used.bee_nest: #4, 11(10%)
minecraft.crafted.shield: #4, 4(6%)
minecraft.used.green_carpet: #4, 77(9%)
minecraft.crafted.cracked_stone_bricks: #3, 216(2%)
minecraft.picked_up.oak_trapdoor: #5, 153(9%)
minecraft.dropped.diamond_boots: #4, 5(6%)
minecraft.crafted.cut_red_sandstone: #3, 32(7%)
minecraft.dropped.blaze_rod: #3, 2(3%)
minecraft.picked_up.smooth_red_sandstone: #3, 64(3%)
minecraft.used.brown_stained_glass: #3, 272(2%)
minecraft.picked_up.bookshelf: #4, 76(7%)
minecraft.dropped.end_stone_bricks: #4, 28(11%)
minecraft.mined.powder_snow: #3, 1(5%)
minecraft.used.granite_wall: #4, 74(11%)
minecraft.used.cracked_polished_blackstone_bricks: #3, 145(3%)
minecraft.used.weeping_vines: #3, 23(1%)
minecraft.mined.purpur_stairs: #4, 18(8%)
minecraft.mined.warped_button: #3, 1(2%)
minecraft.picked_up.oak_button: #4, 6(8%)
minecraft.used.allium: #4, 33(13%)
minecraft.mined.smooth_red_sandstone_stairs: #3, 1(3%)
minecraft.used.rose_bush: #4, 9(6%)
minecraft.picked_up.shroomlight: #4, 217(4%)
minecraft.picked_up.smooth_red_sandstone_stairs: #3, 1(3%)
minecraft.dropped.green_concrete_powder: #3, 2(3%)
minecraft.crafted.cracked_polished_blackstone_bricks: #3, 144(3%)
minecraft.picked_up.nether_wart: #5, 2259(9%)
minecraft.used.iron_bars: #5, 467(8%)
minecraft.crafted.purple_terracotta: #3, 32(2%)
minecraft.dropped.bucket: #4, 15(6%)
minecraft.mined.dead_bush: #4, 215(4%)
minecraft.dropped.beetroot: #3, 9(1%)
minecraft.dropped.green_carpet: #3, 2(2%)
minecraft.picked_up.deepslate_coal_ore: #5, 366(9%)
minecraft.used.acacia_log: #5, 603(12%)
minecraft.dropped.iron_leggings: #4, 5(6%)
minecraft.crafted.magma_cream: #3, 1(1%)
minecraft.used.soul_lantern: #4, 103(6%)
minecraft.killed.iron_golem: #4, 17(11%)
minecraft.picked_up.fire_coral_fan: #4, 142(8%)
minecraft.used.chiseled_red_sandstone: #3, 1(0%)
minecraft.used.lapis_block: #3, 1(0%)
minecraft.mined.cobblestone_wall: #4, 62(5%)
minecraft.crafted.air: #3, 0(0%)
minecraft.crafted.emerald_block: #4, 595(8%)
minecraft.used.crimson_stairs: #4, 59(11%)
minecraft.dropped.white_carpet: #4, 11(8%)
minecraft.mined.scaffolding: #5, 3326(8%)
minecraft.picked_up.beetroot_seeds: #4, 348(4%)
minecraft.crafted.sticky_piston: #5, 220(8%)
minecraft.crafted.red_stained_glass: #4, 296(7%)
minecraft.crafted.diorite_wall: #4, 18(12%)
minecraft.crafted.nether_brick: #4, 737(10%)
minecraft.crafted.clay: #4, 64(10%)
minecraft.picked_up.minecart: #5, 111(8%)
minecraft.picked_up.cobblestone_wall: #4, 62(4%)
minecraft.used.observer: #5, 489(8%)
minecraft.picked_up.deepslate_tile_slab: #5, 472(8%)
minecraft.picked_up.spider_eye: #5, 445(8%)
minecraft.used.smooth_sandstone: #4, 1048(5%)
minecraft.picked_up.smooth_stone: #5, 592(9%)
minecraft.mined.hay_block: #4, 92(4%)
minecraft.dropped.white_concrete: #4, 124(8%)
minecraft.used.acacia_fence_gate: #4, 12(10%)
minecraft.picked_up.warped_wart_block: #5, 1348(7%)
minecraft.mined.cyan_shulker_box: #4, 30(11%)
minecraft.mined.green_carpet: #4, 8(10%)
minecraft.mined.smoker: #4, 4(7%)
minecraft.crafted.soul_lantern: #4, 92(6%)
minecraft.picked_up.purple_wool: #4, 125(9%)
minecraft.used.azure_bluet: #4, 10(7%)
minecraft.mined.crafting_table: #5, 211(7%)
minecraft.mined.calcite: #5, 2438(7%)
minecraft.picked_up.obsidian: #4, 978(3%)
minecraft.picked_up.moss_carpet: #5, 1818(8%)
minecraft.mined.dark_oak_log: #5, 4373(7%)
minecraft.mined.chipped_anvil: #5, 10(9%)
minecraft.picked_up.crafting_table: #5, 227(7%)
minecraft.crafted.red_bed: #4, 5(5%)
minecraft.used.cobblestone_slab: #5, 504(7%)
minecraft.picked_up.lectern: #5, 486(9%)
minecraft.mined.soul_lantern: #4, 21(6%)
minecraft.used.iron_axe: #5, 3348(7%)
minecraft.mined.chain: #5, 97(8%)
minecraft.dropped.polished_basalt: #4, 14(8%)
minecraft.mined.fire_coral_wall_fan: #4, 77(6%)
minecraft.used.chipped_anvil: #5, 9(10%)
minecraft.crafted.granite_slab: #4, 52(12%)
minecraft.used.chain: #5, 525(7%)
minecraft.used.deepslate_tiles: #5, 2786(7%)
minecraft.used.cobbled_deepslate: #5, 1840(6%)
minecraft.mined.black_banner: #4, 2(14%)
minecraft.mined.piston: #5, 132(7%)
minecraft.mined.ice: #4, 3032(4%)
minecraft.mined.bell: #4, 6(6%)
minecraft.used.crafting_table: #5, 247(6%)
minecraft.used.polished_deepslate: #5, 3010(7%)
minecraft.killed.elder_guardian: #4, 3(12%)
minecraft.picked_up.warped_sign: #4, 15(5%)
minecraft.picked_up.dead_bush: #4, 210(5%)
minecraft.used.red_stained_glass: #4, 93(5%)
minecraft.used.tuff: #5, 1065(7%)
minecraft.used.dark_prismarine: #4, 51(8%)
minecraft.crafted.chain: #5, 581(7%)
minecraft.used.item_frame: #5, 308(7%)
minecraft.crafted.ender_chest: #5, 20(7%)
minecraft.picked_up.ice: #4, 2794(4%)
minecraft.used.jungle_boat: #4, 5(6%)
minecraft.crafted.scaffolding: #5, 1134(8%)
minecraft.picked_up.dark_oak_stairs: #5, 78(8%)
minecraft.dropped.white_shulker_box: #4, 1(12%)
minecraft.mined.cracked_deepslate_bricks: #4, 30(6%)
minecraft.picked_up.item_frame: #5, 179(6%)
minecraft.picked_up.birch_fence: #4, 31(5%)
minecraft.picked_up.smooth_red_sandstone_slab: #4, 4(12%)
minecraft.mined.deepslate_lapis_ore: #5, 83(6%)
minecraft.crafted.brick_slab: #4, 38(8%)
minecraft.dropped.white_dye: #4, 70(4%)
minecraft.picked_up.chipped_anvil: #5, 10(8%)
minecraft.mined.powered_rail: #5, 266(7%)
minecraft.used.composter: #5, 136(6%)
minecraft.mined.beehive: #4, 27(4%)
minecraft.killed_by.iron_golem: #4, 1(8%)
minecraft.picked_up.granite_stairs: #4, 5(9%)
minecraft.crafted.flint_and_steel: #4, 12(2%)
minecraft.picked_up.cobbled_deepslate_stairs: #4, 23(3%)
minecraft.picked_up.copper_block: #5, 412(7%)
minecraft.crafted.polished_deepslate_wall: #4, 54(3%)
minecraft.used.sunflower: #4, 5(3%)
minecraft.picked_up.copper_ore: #5, 649(6%)
minecraft.used.polished_blackstone_brick_stairs: #4, 237(5%)
minecraft.used.sandstone_stairs: #4, 98(5%)
minecraft.crafted.polished_blackstone_bricks: #4, 496(5%)
minecraft.picked_up.beehive: #4, 27(3%)
minecraft.crafted.red_banner: #4, 9(6%)
minecraft.crafted.crimson_slab: #4, 72(5%)
minecraft.used.brick_wall: #4, 39(6%)
minecraft.used.amethyst_block: #5, 499(7%)
minecraft.mined.end_stone_bricks: #5, 59(8%)
minecraft.picked_up.brick_wall: #4, 4(5%)
minecraft.picked_up.emerald_block: #4, 135(3%)
minecraft.crafted.ender_pearl: #4, 26(6%)
minecraft.picked_up.loom: #4, 6(3%)
minecraft.used.purple_wool: #4, 49(6%)
minecraft.used.shield: #4, 109(2%)
minecraft.picked_up.smooth_stone_slab: #5, 261(7%)
minecraft.used.powered_rail: #5, 776(6%)
minecraft.dropped.deepslate_coal_ore: #4, 3(3%)
minecraft.mined.smooth_red_sandstone: #4, 8(8%)
minecraft.used.polished_blackstone: #5, 1222(6%)
minecraft.mined.acacia_slab: #4, 19(3%)
minecraft.dropped.birch_fence: #4, 1(6%)
minecraft.killed.blaze: #5, 106(6%)
minecraft.used.white_stained_glass_pane: #5, 259(8%)
minecraft.killed.shulker: #5, 236(7%)
minecraft.dropped.prismarine_bricks: #5, 55(13%)
minecraft.picked_up.spruce_pressure_plate: #4, 2(4%)
minecraft.picked_up.cake: #4, 2(6%)
minecraft.picked_up.brewing_stand: #5, 18(7%)
minecraft.mined.spruce_log: #5, 5717(5%)
minecraft.mined.tube_coral_block: #4, 65(3%)
minecraft.picked_up.filled_map: #5, 56(6%)
minecraft.used.lily_of_the_valley: #4, 8(3%)
minecraft.mined.smooth_red_sandstone_slab: #4, 2(7%)
minecraft.picked_up.cocoa_beans: #5, 693(7%)
minecraft.crafted.cooked_chicken: #4, 16(2%)
minecraft.crafted.hay_block: #5, 339(6%)
minecraft.used.bamboo: #5, 161(6%)
minecraft.picked_up.red_mushroom: #5, 92(7%)
minecraft.picked_up.piston: #5, 172(6%)
minecraft.used.sugar_cane: #5, 583(5%)
minecraft.crafted.flower_pot: #5, 80(7%)
minecraft.picked_up.tube_coral_block: #4, 63(3%)
minecraft.used.cobbled_deepslate_slab: #5, 465(6%)
minecraft.picked_up.bee_nest: #5, 11(8%)
minecraft.mined.waxed_copper_block: #5, 17(13%)
minecraft.picked_up.dragon_head: #5, 9(7%)
minecraft.picked_up.magenta_stained_glass: #4, 3(2%)
