stat, rank, value, (percentage) 
minecraft.picked_up.stonecutter: #1, 161(15%)
minecraft.mined.beacon: #1, 50(17%)
minecraft.picked_up.stick: #1, 8523(15%)
minecraft.mined.spruce_slab: #1, 712(16%)
minecraft.mined.infested_deepslate: #1, 50(54%)
minecraft.used.spruce_trapdoor: #2, 2561(18%)
minecraft.picked_up.oak_stairs: #1, 172(17%)
minecraft.used.nether_brick_slab: #1, 349(37%)
minecraft.killed.silverfish: #1, 97(23%)
minecraft.mined.nether_brick_slab: #1, 33(33%)
minecraft.used.dark_prismarine_stairs: #1, 467(73%)
minecraft.used.beacon: #1, 52(16%)
minecraft.killed.drowned: #3, 229370(23%)
minecraft.picked_up.purpur_pillar: #1, 97(21%)
minecraft.crafted.oak_button: #1, 65(21%)
minecraft.picked_up.beacon: #1, 53(16%)
minecraft.crafted.shears: #2, 411(18%)
minecraft.mined.infested_stone: #1, 94(22%)
minecraft.used.dispenser: #2, 337(18%)
minecraft.used.yellow_shulker_box: #1, 371(32%)
minecraft.picked_up.yellow_shulker_box: #1, 370(32%)
minecraft.dropped.leather_leggings: #2, 50(19%)
minecraft.picked_up.rotten_flesh: #2, 15381(17%)
minecraft.mined.yellow_shulker_box: #1, 360(32%)
minecraft.crafted.dark_oak_pressure_plate: #1, 22(32%)
minecraft.picked_up.golden_chestplate: #2, 68(20%)
minecraft.picked_up.pink_shulker_box: #1, 169(50%)
minecraft.mined.pink_shulker_box: #1, 167(50%)
minecraft.mined.warped_fungus: #1, 96(17%)
minecraft.picked_up.golden_helmet: #2, 56(19%)
minecraft.mined.oak_fence: #1, 391(14%)
minecraft.dropped.iron_shovel: #2, 30(23%)
minecraft.picked_up.dispenser: #1, 108(14%)
minecraft.custom.interact_with_cartography_table: #1, 61(26%)
minecraft.used.cracked_deepslate_tiles: #1, 943(31%)
minecraft.custom.open_enderchest: #2, 5588(16%)
minecraft.dropped.oxidized_copper: #1, 1216(84%)
minecraft.picked_up.oak_fence: #1, 473(13%)
minecraft.custom.player_kills: #1, 21(17%)
minecraft.picked_up.nether_brick_slab: #1, 44(34%)
minecraft.used.warped_wart_block: #1, 353(24%)
minecraft.killed.player: #1, 24(17%)
minecraft.crafted.cracked_deepslate_tiles: #1, 1024(37%)
minecraft.mined.purpur_pillar: #1, 105(21%)
minecraft.picked_up.iron_block: #1, 5288(13%)
minecraft.custom.play_time: #2, 76759072(8%)
minecraft.custom.total_world_time: #2, 76759072(8%)
minecraft.used.crimson_nylium: #2, 195(28%)
minecraft.picked_up.rail: #1, 2460(12%)
minecraft.crafted.nether_brick_fence: #1, 246(46%)
minecraft.dropped.golden_chestplate: #2, 71(21%)
minecraft.picked_up.spruce_slab: #1, 816(13%)
minecraft.picked_up.prismarine_brick_stairs: #1, 140(52%)
minecraft.picked_up.deepslate_lapis_ore: #1, 70(16%)
minecraft.used.deepslate_tile_slab: #1, 3517(13%)
minecraft.picked_up.black_shulker_box: #1, 157(26%)
minecraft.crafted.dispenser: #2, 269(17%)
minecraft.used.cobbled_deepslate_stairs: #1, 485(19%)
minecraft.dropped.deepslate_iron_ore: #1, 21(50%)
minecraft.picked_up.cut_red_sandstone: #1, 62(50%)
minecraft.picked_up.iron_sword: #2, 31(17%)
minecraft.used.black_banner: #1, 27(36%)
minecraft.used.dark_oak_pressure_plate: #1, 23(29%)
minecraft.picked_up.iron_nugget: #2, 1374(15%)
minecraft.crafted.spruce_trapdoor: #2, 2164(16%)
minecraft.used.spruce_pressure_plate: #2, 27(28%)
minecraft.used.black_shulker_box: #1, 155(24%)
minecraft.used.ender_chest: #2, 780(15%)
minecraft.used.prismarine_brick_slab: #1, 328(96%)
minecraft.picked_up.shield: #1, 23(15%)
minecraft.mined.basalt: #2, 18724(15%)
minecraft.picked_up.fire_coral_block: #2, 1022(42%)
minecraft.dropped.name_tag: #1, 45(28%)
minecraft.mined.black_shulker_box: #1, 136(23%)
minecraft.crafted.cookie: #1, 1728(31%)
minecraft.dropped.furnace: #1, 10(28%)
minecraft.used.sweet_berries: #2, 336(22%)
minecraft.used.redstone_block: #2, 464(14%)
minecraft.mined.ender_chest: #2, 765(15%)
minecraft.crafted.bell: #1, 576(92%)
minecraft.used.basalt: #2, 3482(16%)
minecraft.dropped.leather_boots: #2, 53(19%)
minecraft.used.rail: #2, 3735(15%)
minecraft.dropped.leather_chestplate: #2, 52(22%)
minecraft.mined.stripped_acacia_log: #2, 115(31%)
minecraft.dropped.piston: #2, 40(26%)
minecraft.dropped.golden_boots: #2, 60(19%)
minecraft.used.warped_fungus: #1, 95(22%)
minecraft.mined.rail: #2, 2049(14%)
minecraft.mined.purpur_slab: #2, 48(26%)
minecraft.dropped.golden_leggings: #2, 55(18%)
minecraft.picked_up.ender_chest: #2, 783(14%)
minecraft.picked_up.birch_button: #1, 20(37%)
minecraft.dropped.chainmail_leggings: #2, 22(22%)
minecraft.picked_up.chainmail_chestplate: #2, 14(18%)
minecraft.used.spruce_slab: #2, 2709(14%)
minecraft.picked_up.prismarine_bricks: #2, 1765(20%)
minecraft.mined.brick_slab: #1, 17(32%)
minecraft.used.horn_coral_block: #1, 132(29%)
minecraft.dropped.petrified_oak_slab: #1, 11(85%)
minecraft.mined.deepslate_emerald_ore: #1, 26(23%)
minecraft.crafted.bow: #2, 231(15%)
minecraft.crafted.enchanted_book: #2, 1401(21%)
minecraft.used.granite_slab: #1, 239(31%)
minecraft.dropped.nether_bricks: #1, 8(25%)
minecraft.used.bookshelf: #2, 1017(15%)
minecraft.crafted.spyglass: #1, 6(21%)
minecraft.used.polished_granite: #2, 406(19%)
minecraft.mined.acacia_trapdoor: #1, 118(21%)
minecraft.mined.bookshelf: #2, 1000(17%)
minecraft.picked_up.stripped_acacia_log: #2, 110(29%)
minecraft.mined.cut_red_sandstone: #1, 62(49%)
minecraft.used.suspicious_stew: #1, 10(24%)
minecraft.picked_up.book: #2, 2930(17%)
minecraft.crafted.diamond_leggings: #2, 10(14%)
minecraft.crafted.glowstone: #2, 2041(18%)
minecraft.crafted.cut_sandstone: #1, 552(34%)
minecraft.used.copper_block: #2, 3637(17%)
minecraft.picked_up.leather_chestplate: #2, 43(15%)
minecraft.crafted.compass: #2, 114(21%)
minecraft.mined.polished_granite_slab: #1, 17(33%)
minecraft.crafted.fletching_table: #1, 8(26%)
minecraft.dropped.bowl: #1, 10(26%)
minecraft.picked_up.chicken: #3, 276(18%)
minecraft.mined.light_blue_banner: #1, 4(57%)
minecraft.picked_up.oxidized_copper: #2, 3042(18%)
minecraft.picked_up.oak_slab: #2, 302(14%)
minecraft.crafted.dark_prismarine_stairs: #1, 128(57%)
