stat, rank, value, (percentage) 
minecraft.used.written_book: #1, 7683(75%)
minecraft.picked_up.cornflower: #1, 3531(78%)
minecraft.used.armor_stand: #1, 642(67%)
minecraft.picked_up.lily_of_the_valley: #1, 1685(73%)
minecraft.picked_up.oxeye_daisy: #1, 1451(62%)
minecraft.mined.hay_block: #1, 1164(48%)
minecraft.crafted.armor_stand: #1, 597(57%)
minecraft.used.brown_mushroom: #1, 783(72%)
minecraft.picked_up.snowball: #1, 53202(41%)
minecraft.picked_up.armor_stand: #1, 306(48%)
minecraft.crafted.smooth_sandstone_stairs: #1, 605(73%)
minecraft.crafted.smooth_sandstone_slab: #1, 1152(78%)
minecraft.used.sandstone: #1, 8809(31%)
minecraft.picked_up.hay_block: #1, 960(32%)
minecraft.custom.interact_with_lectern: #1, 437(25%)
minecraft.mined.snow: #1, 54189(33%)
minecraft.picked_up.brown_mushroom: #1, 890(25%)
minecraft.killed.cave_spider: #1, 2638(30%)
minecraft.used.honeycomb_block: #1, 484(65%)
minecraft.picked_up.orange_concrete: #1, 1179(67%)
minecraft.picked_up.black_candle: #1, 175(64%)
minecraft.crafted.amethyst_block: #1, 730(62%)
minecraft.picked_up.red_tulip: #1, 1141(49%)
minecraft.mined.smooth_sandstone_slab: #2, 399(35%)
minecraft.picked_up.smooth_sandstone_stairs: #2, 472(26%)
minecraft.crafted.candle: #1, 3639(45%)
minecraft.crafted.leather_chestplate: #1, 55(35%)
minecraft.used.orange_concrete: #1, 973(69%)
minecraft.picked_up.peony: #2, 331(27%)
minecraft.picked_up.sandstone_stairs: #1, 503(51%)
minecraft.mined.brown_mushroom_block: #1, 5018(25%)
minecraft.mined.orange_concrete: #1, 1054(50%)
minecraft.killed.cod: #1, 281(23%)
minecraft.crafted.leather_leggings: #1, 54(33%)
minecraft.mined.spruce_planks: #1, 1924(16%)
minecraft.mined.sandstone_stairs: #1, 337(47%)
minecraft.dropped.cocoa_beans: #1, 64(47%)
minecraft.used.cyan_concrete_powder: #1, 373(74%)
minecraft.crafted.cooked_beef: #1, 1239(16%)
minecraft.used.cut_sandstone: #1, 1413(40%)
minecraft.used.wheat: #1, 65(52%)
minecraft.picked_up.lilac: #2, 322(20%)
minecraft.used.birch_log: #2, 1605(24%)
minecraft.crafted.cyan_concrete_powder: #1, 392(58%)
minecraft.dropped.tnt: #1, 128(48%)
minecraft.dropped.wooden_sword: #1, 9(56%)
minecraft.used.purple_dye: #1, 16(84%)
minecraft.crafted.purple_candle: #1, 202(84%)
minecraft.mined.smooth_sandstone_stairs: #2, 362(22%)
minecraft.dropped.candle: #1, 64(83%)
minecraft.picked_up.orange_tulip: #2, 1725(38%)
minecraft.crafted.light_gray_candle: #1, 195(77%)
minecraft.picked_up.gray_dye: #1, 48(33%)
minecraft.picked_up.smooth_sandstone_slab: #2, 308(24%)
minecraft.picked_up.allium: #2, 2147(24%)
minecraft.used.cornflower: #1, 29(22%)
minecraft.mined.stone_bricks: #2, 4338(17%)
minecraft.crafted.gray_candle: #1, 196(94%)
minecraft.crafted.pink_dye: #2, 322(17%)
minecraft.crafted.orange_candle: #1, 132(90%)
minecraft.mined.pointed_dripstone: #3, 2800(20%)
minecraft.mined.sandstone: #2, 17835(15%)
minecraft.mined.cyan_concrete: #1, 442(87%)
minecraft.picked_up.cyan_concrete: #1, 442(87%)
minecraft.crafted.leather_helmet: #1, 24(32%)
minecraft.picked_up.sandstone: #2, 17481(15%)
minecraft.used.pumpkin_seeds: #2, 393(22%)
minecraft.dropped.birch_fence: #1, 7(41%)
minecraft.used.wooden_hoe: #1, 222(24%)
minecraft.crafted.black_candle: #1, 196(49%)
minecraft.picked_up.blaze_rod: #2, 395(14%)
minecraft.used.red_glazed_terracotta: #1, 56(80%)
minecraft.crafted.green_candle: #1, 132(58%)
