stat, rank, value, (percentage) 
minecraft.used.light_gray_carpet: #1, 4268(70%)
minecraft.mined.gray_stained_glass_pane: #4, 17(11%)
minecraft.used.light_gray_wool: #4, 659(11%)
minecraft.crafted.red_candle: #3, 17(4%)
minecraft.crafted.dark_oak_pressure_plate: #4, 7(10%)
minecraft.used.dirt: #5, 24483(7%)
minecraft.dropped.dark_oak_trapdoor: #4, 10(8%)
minecraft.dropped.birch_stairs: #3, 1(3%)
minecraft.picked_up.dark_oak_wood: #4, 105(10%)
minecraft.picked_up.grass: #5, 280(9%)
minecraft.dropped.polished_deepslate_stairs: #3, 2(1%)
minecraft.picked_up.dark_oak_planks: #5, 490(9%)
minecraft.mined.red_carpet: #4, 16(13%)
minecraft.crafted.gray_bed: #3, 1(0%)
minecraft.used.gray_bed: #3, 1(0%)
minecraft.crafted.iron_sword: #4, 13(5%)
minecraft.broken.iron_axe: #5, 12(10%)
minecraft.used.red_concrete: #4, 551(6%)
minecraft.crafted.red_stained_glass_pane: #4, 64(14%)
minecraft.picked_up.golden_horse_armor: #4, 2(10%)
minecraft.crafted.gray_terracotta: #4, 360(9%)
minecraft.crafted.iron_boots: #5, 7(8%)
minecraft.picked_up.oak_fence: #5, 269(7%)
minecraft.crafted.golden_boots: #4, 3(10%)
minecraft.picked_up.acacia_slab: #4, 86(8%)
minecraft.crafted.oak_slab: #5, 982(7%)
minecraft.broken.iron_hoe: #4, 1(20%)
minecraft.crafted.oak_stairs: #5, 248(10%)
minecraft.mined.gray_terracotta: #4, 8(15%)
minecraft.used.orange_terracotta: #4, 138(4%)
minecraft.mined.green_concrete_powder: #4, 18(10%)
minecraft.dropped.dark_oak_slab: #4, 8(6%)
minecraft.broken.golden_boots: #4, 1(17%)
minecraft.crafted.bowl: #4, 4(17%)
minecraft.mined.granite: #5, 9928(6%)
minecraft.mined.big_dripleaf: #4, 9(5%)
minecraft.used.green_banner: #4, 2(10%)
minecraft.crafted.chainmail_leggings: #4, 1(14%)
minecraft.used.shears: #5, 6387(6%)
minecraft.picked_up.white_terracotta: #4, 318(4%)
minecraft.crafted.pink_terracotta: #4, 128(5%)
minecraft.mined.white_terracotta: #4, 306(3%)
minecraft.dropped.copper_ore: #4, 30(4%)
minecraft.mined.hanging_roots: #4, 81(4%)
minecraft.picked_up.light_gray_terracotta: #4, 586(5%)
minecraft.dropped.red_mushroom: #4, 9(6%)
minecraft.picked_up.orange_concrete: #4, 104(6%)
minecraft.used.red_banner: #4, 8(6%)
minecraft.picked_up.leather_leggings: #5, 17(6%)
minecraft.mined.light_gray_terracotta: #4, 539(5%)
minecraft.mined.yellow_carpet: #4, 2(9%)
minecraft.used.brown_carpet: #4, 99(4%)
minecraft.picked_up.yellow_carpet: #4, 2(7%)
minecraft.mined.green_stained_glass_pane: #4, 5(7%)
minecraft.used.red_concrete_powder: #5, 935(8%)
minecraft.used.deepslate_redstone_ore: #5, 112(7%)
minecraft.picked_up.gray_wool: #5, 308(8%)
minecraft.crafted.tinted_glass: #5, 1768(10%)
minecraft.crafted.yellow_carpet: #4, 48(4%)
minecraft.used.grass: #5, 151(8%)
minecraft.used.deepslate_lapis_ore: #5, 15(9%)
minecraft.used.lapis_ore: #5, 51(8%)
minecraft.crafted.blue_stained_glass: #4, 48(3%)
minecraft.crafted.lime_wool: #4, 4(5%)
minecraft.dropped.iron_ore: #5, 72(7%)
minecraft.dropped.oak_button: #4, 2(4%)
minecraft.mined.pink_tulip: #4, 5(3%)
minecraft.picked_up.black_bed: #4, 10(4%)
minecraft.picked_up.green_concrete_powder: #4, 30(3%)
minecraft.dropped.tnt: #4, 10(4%)
minecraft.used.red_stained_glass_pane: #4, 6(4%)
minecraft.dropped.light_gray_wool: #4, 36(3%)
minecraft.crafted.oak_sign: #5, 111(5%)
minecraft.used.dark_oak_sapling: #5, 263(7%)
minecraft.mined.dark_oak_sapling: #5, 12(9%)
minecraft.dropped.glass_bottle: #4, 107(1%)
minecraft.used.black_bed: #4, 10(3%)
minecraft.used.green_terracotta: #4, 187(1%)
minecraft.used.dark_oak_pressure_plate: #5, 9(11%)
minecraft.mined.green_terracotta: #4, 23(2%)
minecraft.crafted.yellow_stained_glass: #4, 64(1%)
minecraft.used.white_carpet: #5, 151(5%)
minecraft.mined.gray_carpet: #5, 45(8%)
minecraft.dropped.oak_slab: #5, 30(7%)
minecraft.used.lime_carpet: #4, 8(1%)
minecraft.crafted.birch_stairs: #5, 100(8%)
minecraft.picked_up.gunpowder: #5, 797(4%)
minecraft.used.green_stained_glass: #4, 77(0%)
minecraft.crafted.black_bed: #4, 1(1%)
minecraft.used.yellow_stained_glass: #4, 15(0%)
minecraft.mined.orange_concrete_powder: #4, 1(0%)
minecraft.broken.golden_leggings: #5, 1(20%)
minecraft.crafted.wooden_axe: #5, 1(11%)
minecraft.picked_up.yellow_concrete: #5, 163(6%)
minecraft.picked_up.chainmail_helmet: #5, 5(6%)
minecraft.mined.red_mushroom: #5, 9(6%)
minecraft.dropped.oak_stairs: #5, 17(7%)
minecraft.used.light_blue_stained_glass: #5, 384(7%)
minecraft.used.iron_shovel: #5, 3265(4%)
minecraft.crafted.red_terracotta: #5, 192(6%)
minecraft.dropped.dark_oak_sign: #5, 6(6%)
minecraft.dropped.cobblestone_stairs: #5, 12(9%)
minecraft.mined.tripwire_hook: #5, 3(9%)
minecraft.used.red_terracotta: #5, 169(6%)
minecraft.picked_up.red_concrete: #5, 617(4%)
minecraft.mined.dark_oak_pressure_plate: #5, 2(9%)
minecraft.mined.cave_vines_plant: #5, 20(4%)
minecraft.mined.yellow_concrete: #5, 154(4%)
minecraft.dropped.potion: #5, 18(3%)
minecraft.picked_up.dark_oak_pressure_plate: #5, 3(9%)
minecraft.used.iron_axe: #6, 3177(6%)
minecraft.picked_up.tripwire_hook: #5, 6(5%)
minecraft.used.small_dripleaf: #5, 16(6%)
minecraft.crafted.leather_helmet: #5, 6(8%)
minecraft.crafted.yellow_concrete_powder: #5, 208(5%)
minecraft.mined.dark_oak_wood: #5, 27(5%)
minecraft.used.white_dye: #6, 46(7%)
minecraft.picked_up.brown_terracotta: #5, 919(5%)
minecraft.mined.brown_terracotta: #5, 856(5%)
minecraft.mined.polished_granite: #5, 12(3%)
minecraft.mined.sea_pickle: #5, 45(3%)
minecraft.picked_up.birch_button: #5, 4(7%)
minecraft.mined.azalea: #6, 168(7%)
minecraft.used.yellow_concrete_powder: #5, 180(4%)
minecraft.crafted.iron_hoe: #6, 3(8%)
minecraft.crafted.ender_eye: #5, 33(2%)
minecraft.mined.grass: #6, 2913(5%)
minecraft.picked_up.cooked_beef: #6, 751(6%)
minecraft.dropped.powered_rail: #5, 7(5%)
minecraft.picked_up.rose_bush: #6, 344(6%)
minecraft.crafted.red_concrete_powder: #6, 1232(9%)
minecraft.crafted.iron_leggings: #6, 6(6%)
minecraft.used.smooth_sandstone: #5, 527(2%)
minecraft.picked_up.iron_door: #6, 14(8%)
minecraft.crafted.red_banner: #5, 8(5%)
minecraft.used.light_blue_concrete_powder: #5, 65(4%)
minecraft.crafted.heavy_weighted_pressure_plate: #5, 5(3%)
minecraft.mined.orange_concrete: #5, 104(5%)
minecraft.crafted.gray_stained_glass: #5, 408(2%)
minecraft.picked_up.gray_terracotta: #5, 4(6%)
minecraft.mined.dirt: #6, 21522(5%)
minecraft.crafted.chainmail_boots: #5, 4(6%)
minecraft.used.light_blue_concrete: #5, 35(5%)
minecraft.mined.clay: #6, 350(5%)
minecraft.mined.podzol: #6, 490(5%)
minecraft.picked_up.green_stained_glass: #5, 55(2%)
minecraft.crafted.magenta_terracotta: #5, 48(3%)
minecraft.used.pink_wool: #5, 23(2%)
minecraft.used.yellow_carpet: #5, 16(3%)
minecraft.used.blue_wool: #5, 5(4%)
minecraft.dropped.granite: #6, 1041(5%)
minecraft.mined.dark_oak_planks: #6, 96(6%)
minecraft.dropped.cobbled_deepslate_slab: #5, 3(2%)
minecraft.used.gray_stained_glass: #5, 185(1%)
minecraft.crafted.dispenser: #6, 80(5%)
minecraft.dropped.water_bucket: #6, 3(6%)
minecraft.mined.attached_melon_stem: #5, 1(3%)
minecraft.crafted.lime_carpet: #5, 12(2%)
minecraft.crafted.popped_chorus_fruit: #5, 13(2%)
minecraft.mined.smooth_sandstone: #5, 52(1%)
minecraft.used.light_gray_bed: #5, 1(2%)
minecraft.dropped.green_stained_glass: #5, 1(2%)
minecraft.crafted.redstone_lamp: #6, 169(6%)
minecraft.crafted.green_stained_glass: #5, 136(1%)
minecraft.mined.purple_wool: #5, 2(2%)
minecraft.dropped.white_concrete: #5, 14(1%)
minecraft.used.lever: #6, 133(4%)
minecraft.picked_up.green_terracotta: #5, 19(1%)
minecraft.used.small_amethyst_bud: #5, 27(1%)
minecraft.picked_up.pink_terracotta: #5, 1(1%)
minecraft.mined.pink_terracotta: #5, 1(1%)
minecraft.used.brown_stained_glass: #5, 68(1%)
minecraft.mined.pink_wool: #5, 3(1%)
minecraft.dropped.book: #5, 2(1%)
minecraft.used.orange_concrete_powder: #5, 105(0%)
minecraft.mined.light_blue_concrete_powder: #5, 1(0%)
minecraft.picked_up.brick: #6, 75(8%)
minecraft.picked_up.orange_concrete_powder: #5, 1(0%)
minecraft.used.leather_helmet: #6, 1(14%)
minecraft.mined.iron_ore: #6, 3114(4%)
minecraft.picked_up.dark_oak_slab: #6, 103(5%)
minecraft.picked_up.chainmail_leggings: #6, 5(5%)
minecraft.used.chipped_anvil: #6, 5(5%)
minecraft.picked_up.cooked_mutton: #6, 13(6%)
minecraft.picked_up.deepslate_diamond_ore: #6, 48(4%)
minecraft.crafted.fermented_spider_eye: #6, 25(5%)
minecraft.picked_up.milk_bucket: #6, 3(9%)
minecraft.used.dark_oak_boat: #6, 13(4%)
minecraft.mined.red_concrete: #6, 565(4%)
minecraft.used.acacia_planks: #6, 202(6%)
minecraft.crafted.blackstone_stairs: #6, 16(6%)
minecraft.killed_by.phantom: #6, 1(11%)
minecraft.mined.white_banner: #6, 2(6%)
minecraft.crafted.iron_shovel: #6, 15(3%)
minecraft.crafted.powered_rail: #7, 528(7%)
minecraft.used.diamond_pickaxe: #7, 190276(5%)
minecraft.used.heavy_weighted_pressure_plate: #6, 5(4%)
minecraft.picked_up.granite: #7, 8099(6%)
minecraft.used.sunflower: #6, 5(3%)
minecraft.used.blue_orchid: #6, 10(6%)
minecraft.picked_up.dark_oak_sapling: #7, 402(6%)
minecraft.crafted.light_blue_dye: #7, 190(6%)
minecraft.mined.dark_oak_button: #6, 1(5%)
minecraft.used.bricks: #6, 215(3%)
minecraft.picked_up.brown_carpet: #6, 23(4%)
minecraft.picked_up.activator_rail: #6, 4(4%)
minecraft.crafted.brown_carpet: #6, 111(4%)
minecraft.crafted.iron_chestplate: #7, 5(6%)
minecraft.used.stone: #7, 25551(5%)
minecraft.used.moss_carpet: #7, 1007(6%)
minecraft.mined.cobblestone: #7, 1904(5%)
minecraft.mined.oak_slab: #7, 80(6%)
minecraft.mined.green_wool: #6, 4(3%)
minecraft.mined.acacia_slab: #6, 15(3%)
minecraft.dropped.light_gray_stained_glass: #6, 7(4%)
minecraft.dropped.bow: #7, 94(5%)
minecraft.used.light_gray_terracotta: #6, 130(3%)
minecraft.mined.cut_sandstone_slab: #6, 12(2%)
minecraft.killed.salmon: #7, 13(9%)
minecraft.used.brown_mushroom: #6, 20(2%)
minecraft.picked_up.pink_tulip: #6, 9(2%)
minecraft.picked_up.yellow_dye: #6, 12(2%)
minecraft.mined.cobweb: #7, 204(5%)
minecraft.picked_up.red_concrete_powder: #6, 37(2%)
minecraft.dropped.stone_brick_wall: #6, 7(2%)
minecraft.mined.dark_oak_sign: #7, 3(7%)
minecraft.crafted.green_banner: #6, 1(3%)
minecraft.crafted.bricks: #6, 265(1%)
minecraft.mined.lantern: #7, 30(5%)
minecraft.crafted.enchanting_table: #7, 2(6%)
minecraft.used.gray_shulker_box: #6, 9(1%)
minecraft.dropped.white_stained_glass: #6, 4(2%)
minecraft.used.amethyst_cluster: #6, 36(1%)
minecraft.used.yellow_concrete: #6, 38(1%)
minecraft.used.rooted_dirt: #6, 28(1%)
minecraft.used.bucket: #7, 1937(4%)
minecraft.crafted.green_wool: #6, 6(1%)
minecraft.used.orange_concrete: #6, 28(2%)
minecraft.crafted.orange_stained_glass: #6, 24(1%)
minecraft.mined.gray_stained_glass: #6, 10(1%)
minecraft.used.magenta_wool: #6, 4(2%)
minecraft.crafted.iron_helmet: #7, 4(5%)
minecraft.dropped.ladder: #6, 30(1%)
minecraft.mined.small_amethyst_bud: #6, 27(1%)
minecraft.mined.yellow_stained_glass_pane: #6, 1(2%)
minecraft.dropped.stone_brick_stairs: #6, 5(1%)
minecraft.used.light_gray_shulker_box: #6, 5(1%)
minecraft.crafted.moss_carpet: #7, 603(5%)
minecraft.mined.acacia_planks: #6, 10(1%)
minecraft.custom.fish_caught: #6, 4(1%)
minecraft.dropped.rooted_dirt: #6, 1(1%)
minecraft.used.sea_pickle: #6, 52(0%)
minecraft.dropped.gray_stained_glass: #6, 1(1%)
minecraft.mined.light_gray_shulker_box: #6, 3(1%)
minecraft.picked_up.light_gray_shulker_box: #6, 3(1%)
minecraft.crafted.brown_stained_glass: #6, 64(1%)
minecraft.dropped.lilac: #6, 1(1%)
minecraft.mined.light_blue_stained_glass: #6, 6(0%)
minecraft.mined.deepslate_diamond_ore: #7, 103(4%)
minecraft.picked_up.blue_wool: #6, 3(0%)
minecraft.picked_up.leather_boots: #7, 15(4%)
minecraft.picked_up.chainmail_chestplate: #7, 4(5%)
minecraft.crafted.orange_concrete_powder: #6, 104(0%)
minecraft.picked_up.light_blue_concrete_powder: #6, 1(0%)
minecraft.used.wither_rose: #6, 1(0%)
minecraft.dropped.dark_oak_log: #7, 65(6%)
minecraft.crafted.chain: #7, 335(4%)
minecraft.used.elytra: #7, 11(6%)
minecraft.picked_up.leather_helmet: #7, 9(4%)
minecraft.used.candle: #7, 54(5%)
minecraft.mined.lily_of_the_valley: #7, 11(5%)
minecraft.picked_up.white_concrete: #7, 1471(4%)
minecraft.dropped.lapis_lazuli: #7, 28(5%)
minecraft.picked_up.dark_oak_boat: #7, 12(4%)
minecraft.mined.cocoa: #7, 60(4%)
minecraft.picked_up.glass_bottle: #7, 104(3%)
minecraft.mined.seagrass: #7, 154(3%)
minecraft.crafted.cobbled_deepslate_stairs: #7, 28(4%)
minecraft.used.acacia_slab: #7, 194(6%)
minecraft.picked_up.dragon_egg: #7, 4(5%)
minecraft.used.red_wool: #7, 426(4%)
minecraft.picked_up.torch: #8, 5084(6%)
minecraft.used.acacia_trapdoor: #7, 144(5%)
minecraft.picked_up.green_dye: #7, 15(4%)
minecraft.broken.shears: #8, 21(7%)
minecraft.broken.iron_shovel: #7, 8(3%)
minecraft.used.cooked_beef: #8, 818(6%)
minecraft.crafted.blast_furnace: #7, 9(2%)
minecraft.mined.brown_mushroom_block: #7, 612(3%)
minecraft.crafted.red_bed: #7, 3(3%)
minecraft.used.lantern: #8, 252(6%)
minecraft.picked_up.lime_terracotta: #7, 13(4%)
minecraft.crafted.cobblestone_wall: #7, 72(2%)
minecraft.mined.cobbled_deepslate_stairs: #7, 7(3%)
minecraft.mined.andesite: #8, 9013(5%)
minecraft.mined.dark_oak_stairs: #8, 45(6%)
minecraft.picked_up.dirt: #8, 26803(5%)
minecraft.crafted.light_blue_concrete_powder: #7, 64(3%)
minecraft.crafted.stone_stairs: #7, 96(2%)
minecraft.crafted.dark_oak_boat: #7, 3(2%)
minecraft.picked_up.cut_sandstone_slab: #7, 14(2%)
minecraft.crafted.yellow_bed: #7, 1(3%)
minecraft.used.baked_potato: #8, 533(6%)
