stat, rank, value, (percentage) 
minecraft.used.light_gray_carpet: #1, 4268(70%)
minecraft.picked_up.dark_oak_leaves: #1, 3877(81%)
minecraft.used.red_carpet: #1, 834(74%)
minecraft.crafted.light_gray_carpet: #1, 4059(63%)
minecraft.mined.dark_oak_fence: #1, 392(46%)
minecraft.crafted.red_carpet: #1, 886(74%)
minecraft.used.dark_oak_leaves: #1, 3598(91%)
minecraft.crafted.charcoal: #1, 413(50%)
minecraft.mined.light_gray_carpet: #1, 267(53%)
minecraft.picked_up.dark_oak_fence: #1, 534(37%)
minecraft.used.dark_oak_fence: #1, 1007(33%)
minecraft.mined.red_mushroom_block: #1, 3463(36%)
minecraft.picked_up.charcoal: #1, 166(46%)
minecraft.mined.dark_oak_leaves: #2, 5248(27%)
minecraft.picked_up.red_mushroom_block: #1, 2771(41%)
minecraft.picked_up.red_carpet: #1, 115(48%)
minecraft.used.red_mushroom_block: #1, 741(43%)
minecraft.crafted.dark_oak_fence: #1, 777(24%)
minecraft.crafted.tripwire_hook: #1, 206(29%)
minecraft.picked_up.red_mushroom: #1, 306(23%)
minecraft.picked_up.light_gray_carpet: #1, 371(29%)
minecraft.mined.oak_wall_sign: #1, 52(20%)
minecraft.picked_up.blue_orchid: #1, 219(32%)
minecraft.picked_up.gray_stained_glass_pane: #1, 108(34%)
minecraft.mined.blue_orchid: #1, 166(33%)
minecraft.dropped.chain: #1, 57(27%)
minecraft.dropped.spruce_button: #1, 28(32%)
minecraft.crafted.shield: #1, 11(15%)
minecraft.dropped.dark_oak_stairs: #1, 28(82%)
minecraft.picked_up.cooked_salmon: #1, 12(40%)
minecraft.used.green_concrete_powder: #1, 457(35%)
minecraft.crafted.lever: #2, 448(15%)
minecraft.used.dark_oak_stairs: #1, 703(16%)
minecraft.used.iron_boots: #1, 4(24%)
minecraft.mined.black_wool: #1, 80(20%)
minecraft.used.rose_bush: #2, 30(19%)
minecraft.crafted.green_concrete_powder: #1, 496(29%)
minecraft.custom.bell_ring: #1, 143(20%)
minecraft.used.light_blue_stained_glass_pane: #2, 1157(39%)
minecraft.dropped.red_carpet: #1, 69(84%)
minecraft.mined.oak_sign: #2, 26(18%)
minecraft.used.iron_sword: #2, 3013(16%)
minecraft.used.iron_leggings: #1, 5(28%)
minecraft.picked_up.blue_stained_glass: #1, 10(45%)
minecraft.used.pink_carpet: #1, 22(42%)
minecraft.dropped.glow_berries: #2, 29(26%)
minecraft.used.iron_door: #2, 49(15%)
minecraft.crafted.pink_carpet: #1, 21(29%)
minecraft.dropped.activator_rail: #1, 4(67%)
minecraft.used.iron_helmet: #1, 3(21%)
minecraft.dropped.oak_sign: #2, 22(14%)
minecraft.mined.green_concrete: #2, 139(40%)
minecraft.dropped.black_carpet: #1, 16(59%)
minecraft.dropped.gray_stained_glass_pane: #1, 99(59%)
minecraft.mined.red_concrete_powder: #2, 34(31%)
minecraft.crafted.iron_door: #2, 69(15%)
minecraft.dropped.red_mushroom_block: #1, 64(33%)
minecraft.used.red_mushroom: #2, 100(29%)
minecraft.crafted.sandstone: #2, 757(17%)
minecraft.used.golden_leggings: #1, 4(80%)
minecraft.used.dark_oak_fence_gate: #2, 95(16%)
minecraft.crafted.oak_button: #2, 46(15%)
minecraft.crafted.golden_helmet: #2, 7(16%)
minecraft.picked_up.green_concrete: #2, 135(36%)
minecraft.crafted.gray_carpet: #2, 873(16%)
minecraft.used.golden_chestplate: #1, 3(50%)
minecraft.crafted.light_blue_stained_glass_pane: #2, 1152(41%)
minecraft.used.oak_slab: #3, 987(15%)
minecraft.crafted.dark_oak_planks: #2, 8710(10%)
minecraft.crafted.orange_terracotta: #2, 256(22%)
minecraft.used.magenta_glazed_terracotta: #1, 13(68%)
minecraft.picked_up.bow: #2, 220(9%)
minecraft.picked_up.pink_carpet: #1, 7(44%)
minecraft.dropped.gray_dye: #2, 33(33%)
minecraft.mined.small_dripleaf: #2, 6(21%)
minecraft.used.gray_stained_glass_pane: #2, 341(19%)
minecraft.crafted.dark_oak_fence_gate: #2, 101(14%)
minecraft.used.gray_carpet: #2, 583(13%)
minecraft.used.golden_axe: #1, 33(55%)
minecraft.dropped.dark_oak_planks: #3, 215(16%)
minecraft.crafted.bow: #3, 201(13%)
minecraft.picked_up.gray_dye: #2, 33(23%)
minecraft.dropped.hanging_roots: #1, 26(53%)
minecraft.picked_up.acacia_stairs: #2, 41(19%)
minecraft.broken.golden_axe: #1, 1(100%)
minecraft.mined.green_banner: #1, 1(100%)
minecraft.used.chainmail_boots: #1, 2(100%)
minecraft.dropped.pink_carpet: #1, 2(100%)
minecraft.dropped.deepslate_copper_ore: #1, 1(50%)
minecraft.mined.oak_fence: #3, 325(12%)
minecraft.picked_up.orange_stained_glass: #2, 24(26%)
minecraft.used.gray_wool: #3, 982(15%)
minecraft.picked_up.yellow_stained_glass: #2, 77(22%)
minecraft.mined.brown_stained_glass: #2, 30(24%)
minecraft.used.iron_chestplate: #2, 3(19%)
minecraft.crafted.gray_stained_glass_pane: #2, 480(17%)
minecraft.crafted.dark_oak_stairs: #3, 708(14%)
minecraft.picked_up.black_wool: #3, 254(14%)
minecraft.dropped.barrel: #3, 16(20%)
minecraft.picked_up.oak_sign: #3, 94(10%)
minecraft.broken.iron_helmet: #2, 2(15%)
minecraft.broken.iron_sword: #2, 4(12%)
minecraft.mined.light_blue_stained_glass_pane: #2, 56(21%)
minecraft.dropped.dark_oak_wood: #2, 64(36%)
minecraft.dropped.light_gray_carpet: #2, 21(28%)
minecraft.used.glowstone: #3, 735(11%)
minecraft.used.tinted_glass: #3, 1719(11%)
minecraft.mined.blue_stained_glass: #2, 10(42%)
minecraft.dropped.tripwire_hook: #2, 2(40%)
minecraft.used.diamond_helmet: #2, 5(9%)
minecraft.mined.torch: #3, 1839(8%)
minecraft.picked_up.suspicious_stew: #2, 2(22%)
minecraft.mined.mushroom_stem: #3, 456(11%)
minecraft.crafted.iron_axe: #3, 33(8%)
minecraft.mined.pink_carpet: #2, 5(36%)
minecraft.picked_up.green_stained_glass_pane: #2, 44(15%)
minecraft.used.cobweb: #3, 66(14%)
minecraft.dropped.birch_button: #2, 4(25%)
minecraft.used.golden_boots: #2, 1(33%)
minecraft.crafted.baked_potato: #3, 757(13%)
minecraft.used.white_terracotta: #3, 178(13%)
minecraft.used.mushroom_stew: #2, 8(44%)
minecraft.crafted.mushroom_stew: #2, 8(44%)
minecraft.mined.lily_pad: #2, 57(6%)
minecraft.dropped.deepslate_lapis_ore: #2, 2(29%)
minecraft.dropped.grass: #3, 39(12%)
minecraft.picked_up.clay_ball: #4, 1608(12%)
minecraft.dropped.mushroom_stem: #2, 4(40%)
minecraft.used.green_concrete: #2, 69(20%)
minecraft.used.iron_hoe: #3, 500(9%)
minecraft.broken.iron_chestplate: #2, 1(25%)
minecraft.mined.lime_terracotta: #2, 13(8%)
minecraft.crafted.dark_oak_wood: #3, 909(13%)
minecraft.used.black_wool: #3, 1126(10%)
minecraft.used.golden_helmet: #2, 3(18%)
minecraft.crafted.white_terracotta: #3, 192(14%)
minecraft.used.diamond_boots: #3, 7(12%)
minecraft.picked_up.mushroom_stem: #3, 404(11%)
minecraft.used.diamond_leggings: #3, 5(9%)
minecraft.custom.target_hit: #3, 65(13%)
minecraft.killed.skeleton: #4, 2994(10%)
minecraft.picked_up.orange_dye: #2, 25(8%)
minecraft.used.dark_oak_wood: #3, 799(13%)
minecraft.used.lime_terracotta: #3, 180(13%)
minecraft.used.green_stained_glass_pane: #2, 152(7%)
minecraft.used.shield: #2, 145(3%)
minecraft.crafted.polished_blackstone_wall: #2, 48(6%)
minecraft.used.gray_terracotta: #3, 240(19%)
minecraft.dropped.shield: #3, 4(10%)
minecraft.crafted.gray_shulker_box: #3, 4(17%)
minecraft.picked_up.golden_boots: #3, 21(6%)
minecraft.crafted.green_stained_glass_pane: #2, 176(7%)
minecraft.custom.damage_blocked_by_shield: #2, 6893(2%)
minecraft.mined.dark_oak_log: #4, 6032(10%)
minecraft.used.oak_sign: #4, 179(9%)
minecraft.crafted.purple_concrete_powder: #2, 480(6%)
minecraft.picked_up.bone: #4, 4074(9%)
minecraft.picked_up.green_banner: #2, 1(20%)
minecraft.dropped.light_gray_terracotta: #3, 53(17%)
minecraft.picked_up.hanging_roots: #3, 244(10%)
minecraft.used.diamond_chestplate: #3, 2(12%)
minecraft.used.orange_wool: #3, 159(16%)
minecraft.picked_up.light_blue_stained_glass_pane: #2, 33(4%)
minecraft.crafted.black_carpet: #3, 618(11%)
minecraft.picked_up.dark_oak_log: #4, 6436(9%)
minecraft.crafted.shears: #4, 200(9%)
minecraft.mined.brown_carpet: #3, 23(12%)
minecraft.crafted.polished_blackstone_stairs: #3, 124(11%)
minecraft.dropped.green_concrete_powder: #2, 3(4%)
minecraft.used.dark_oak_planks: #4, 829(11%)
minecraft.mined.amethyst_cluster: #4, 1212(10%)
minecraft.used.dark_oak_log: #4, 2073(10%)
minecraft.mined.light_gray_wool: #3, 19(14%)
minecraft.dropped.cobbled_deepslate_stairs: #2, 8(5%)
minecraft.used.blue_stained_glass: #2, 22(3%)
minecraft.mined.black_carpet: #3, 31(11%)
minecraft.picked_up.lily_pad: #3, 95(5%)
minecraft.crafted.golden_chestplate: #3, 3(12%)
minecraft.crafted.white_carpet: #3, 300(5%)
minecraft.picked_up.arrow: #4, 4187(7%)
minecraft.crafted.golden_leggings: #3, 4(14%)
minecraft.crafted.yellow_wool: #3, 34(14%)
minecraft.crafted.spruce_button: #3, 64(5%)
minecraft.used.water_bucket: #4, 1887(7%)
minecraft.crafted.smooth_sandstone_stairs: #3, 72(9%)
minecraft.picked_up.oak_slab: #4, 180(8%)
minecraft.mined.yellow_concrete_powder: #3, 2(22%)
minecraft.mined.wall_torch: #4, 578(7%)
minecraft.used.tropical_fish_bucket: #3, 5(14%)
minecraft.crafted.light_gray_shulker_box: #3, 2(14%)
minecraft.dropped.stripped_spruce_log: #3, 4(14%)
minecraft.mined.rose_bush: #4, 15(8%)
minecraft.picked_up.amethyst_shard: #4, 3647(8%)
minecraft.picked_up.yellow_concrete_powder: #3, 2(20%)
minecraft.picked_up.brown_stained_glass: #3, 30(11%)
minecraft.picked_up.bowl: #3, 4(11%)
minecraft.dropped.dark_oak_leaves: #3, 7(12%)
minecraft.picked_up.dark_oak_stairs: #4, 82(8%)
minecraft.dropped.deepslate_redstone_ore: #3, 5(9%)
minecraft.used.oak_stairs: #4, 243(10%)
minecraft.picked_up.light_blue_concrete: #3, 66(7%)
minecraft.mined.light_blue_concrete: #3, 68(7%)
minecraft.dropped.stripped_dark_oak_log: #3, 6(10%)
minecraft.used.hanging_roots: #4, 55(12%)
minecraft.mined.magenta_wool: #3, 2(14%)
minecraft.used.spruce_button: #3, 37(3%)
minecraft.crafted.light_gray_bed: #3, 1(17%)
minecraft.dropped.black_wool: #4, 43(14%)
minecraft.picked_up.leather_chestplate: #4, 19(7%)
minecraft.crafted.light_blue_stained_glass: #4, 816(11%)
minecraft.picked_up.chainmail_boots: #4, 8(8%)
minecraft.used.pink_terracotta: #3, 41(6%)
minecraft.crafted.stone_pressure_plate: #4, 65(7%)
minecraft.crafted.detector_rail: #4, 30(13%)
minecraft.used.black_carpet: #4, 400(14%)
minecraft.crafted.brown_wool: #3, 64(4%)
minecraft.picked_up.fermented_spider_eye: #3, 24(10%)
minecraft.mined.gray_wool: #4, 23(9%)
minecraft.crafted.lime_terracotta: #4, 232(9%)
minecraft.used.deepslate_diamond_ore: #4, 54(7%)
minecraft.dropped.brown_terracotta: #3, 64(7%)
minecraft.crafted.smoker: #4, 7(8%)
minecraft.picked_up.amethyst_cluster: #4, 439(7%)
minecraft.mined.yellow_stained_glass: #3, 15(6%)
minecraft.mined.black_bed: #3, 10(4%)
minecraft.mined.green_stained_glass: #3, 52(2%)
minecraft.dropped.iron_hoe: #4, 2(15%)
minecraft.used.pink_tulip: #3, 3(4%)
minecraft.picked_up.glowstone_dust: #4, 222(5%)
minecraft.mined.blue_wool: #3, 3(4%)
minecraft.picked_up.black_carpet: #4, 58(12%)
