stat, rank, value, (percentage) 
minecraft.mined.light_gray_concrete: #1, 1068(23%)
minecraft.used.netherite_axe: #1, 52627(36%)
minecraft.picked_up.light_gray_concrete: #1, 1068(23%)
minecraft.dropped.rooted_dirt: #1, 64(49%)
minecraft.dropped.jungle_sapling: #1, 73(55%)
minecraft.crafted.clock: #1, 253(35%)
minecraft.picked_up.jungle_door: #1, 33(63%)
minecraft.dropped.calcite: #2, 193(25%)
minecraft.mined.light_gray_shulker_box: #1, 204(63%)
minecraft.crafted.lectern: #1, 66(18%)
minecraft.picked_up.acacia_planks: #2, 585(28%)
minecraft.used.deepslate_gold_ore: #1, 152(23%)
minecraft.killed.ravager: #1, 27(46%)
minecraft.dropped.green_concrete_powder: #1, 64(91%)
minecraft.picked_up.netherite_shovel: #2, 37(25%)
minecraft.mined.red_carpet: #1, 57(46%)
minecraft.used.acacia_planks: #1, 1032(30%)
minecraft.crafted.pink_stained_glass: #1, 448(36%)
minecraft.picked_up.netherite_leggings: #2, 32(27%)
minecraft.used.red_nether_bricks: #1, 329(45%)
minecraft.picked_up.light_gray_shulker_box: #1, 204(60%)
minecraft.dropped.dark_oak_fence: #1, 48(45%)
minecraft.picked_up.brown_stained_glass: #1, 137(51%)
minecraft.picked_up.brown_bed: #1, 47(89%)
minecraft.used.light_gray_shulker_box: #1, 204(59%)
minecraft.crafted.tinted_glass: #1, 4600(25%)
minecraft.picked_up.green_concrete_powder: #1, 388(44%)
minecraft.used.orange_carpet: #1, 66(88%)
minecraft.crafted.orange_carpet: #1, 99(70%)
minecraft.picked_up.honeycomb: #2, 6412(30%)
minecraft.mined.note_block: #1, 96(25%)
minecraft.dropped.redstone_ore: #1, 42(35%)
minecraft.crafted.nether_brick: #1, 2745(38%)
minecraft.mined.brown_bed: #1, 44(86%)
minecraft.mined.snow: #2, 37900(23%)
minecraft.dropped.compass: #1, 74(69%)
minecraft.mined.moss_block: #2, 7806(17%)
minecraft.mined.brown_wool: #1, 88(42%)
minecraft.crafted.crafting_table: #1, 180(12%)
minecraft.picked_up.jungle_leaves: #2, 705(29%)
minecraft.crafted.smooth_sandstone: #1, 2782(33%)
minecraft.picked_up.acacia_slab: #1, 324(30%)
minecraft.crafted.mossy_cobblestone_stairs: #1, 192(46%)
minecraft.crafted.jungle_slab: #1, 846(20%)
minecraft.crafted.andesite_wall: #1, 354(24%)
minecraft.used.brown_bed: #1, 46(79%)
minecraft.used.barrel: #1, 510(13%)
minecraft.used.shroomlight: #2, 1224(19%)
minecraft.picked_up.stripped_jungle_wood: #1, 72(39%)
minecraft.picked_up.jungle_slab: #1, 259(24%)
minecraft.picked_up.smooth_quartz: #2, 468(29%)
minecraft.picked_up.spruce_planks: #1, 1968(12%)
minecraft.crafted.smoker: #1, 16(19%)
minecraft.mined.stripped_jungle_wood: #1, 71(38%)
minecraft.mined.barrel: #1, 174(12%)
minecraft.used.spruce_sapling: #2, 1149(18%)
