stat, rank, value, (percentage) 
minecraft.used.bone_meal: #3, 10054(8%)
minecraft.mined.daylight_detector: #2, 7(11%)
minecraft.picked_up.daylight_detector: #2, 7(11%)
minecraft.used.sweet_berries: #3, 176(12%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #2, 10(24%)
minecraft.crafted.jungle_fence: #3, 132(14%)
minecraft.killed.snow_golem: #2, 5(19%)
minecraft.mined.cyan_carpet: #2, 8(32%)
minecraft.crafted.jungle_trapdoor: #2, 226(8%)
minecraft.used.jungle_trapdoor: #2, 241(8%)
minecraft.used.spruce_leaves: #3, 4497(12%)
minecraft.picked_up.spruce_boat: #3, 80(11%)
minecraft.crafted.popped_chorus_fruit: #2, 92(12%)
minecraft.mined.deepslate_lapis_ore: #3, 102(8%)
minecraft.picked_up.brown_candle: #2, 38(19%)
minecraft.mined.jungle_slab: #3, 110(15%)
minecraft.mined.pumpkin: #4, 578(15%)
minecraft.picked_up.coal: #3, 13494(7%)
minecraft.crafted.mossy_cobblestone_wall: #2, 42(18%)
minecraft.dropped.brown_wool: #2, 64(18%)
minecraft.picked_up.jungle_sign: #2, 29(9%)
minecraft.picked_up.filled_map: #3, 80(9%)
minecraft.mined.podzol: #3, 730(8%)
minecraft.used.cyan_stained_glass: #2, 161(8%)
minecraft.killed_by.player: #3, 13(8%)
minecraft.mined.potted_oak_sapling: #2, 3(30%)
minecraft.picked_up.oak_button: #3, 10(14%)
minecraft.dropped.brown_mushroom_block: #2, 28(15%)
minecraft.mined.andesite_wall: #3, 105(17%)
minecraft.crafted.red_carpet: #2, 93(8%)
minecraft.picked_up.cooked_porkchop: #3, 156(12%)
minecraft.used.waxed_exposed_cut_copper_slab: #2, 9(14%)
minecraft.picked_up.acacia_log: #3, 1937(10%)
minecraft.used.glass_pane: #3, 243(13%)
minecraft.crafted.lantern: #3, 475(8%)
minecraft.dropped.diamond_shovel: #3, 12(10%)
minecraft.picked_up.rooted_dirt: #3, 334(8%)
minecraft.picked_up.cyan_carpet: #2, 8(21%)
minecraft.mined.spruce_stairs: #4, 219(12%)
minecraft.picked_up.experience_bottle: #2, 186(10%)
minecraft.used.jungle_slab: #3, 351(12%)
minecraft.picked_up.deepslate_diamond_ore: #3, 98(9%)
minecraft.mined.lectern: #4, 810(15%)
minecraft.mined.oak_slab: #3, 110(8%)
minecraft.used.gray_concrete_powder: #3, 3136(11%)
minecraft.mined.polished_andesite_stairs: #3, 29(16%)
minecraft.picked_up.blackstone: #4, 5684(11%)
minecraft.mined.waxed_exposed_cut_copper_slab: #2, 10(26%)
minecraft.picked_up.oak_wood: #3, 173(11%)
minecraft.mined.jungle_fence_gate: #2, 6(10%)
minecraft.dropped.jungle_log: #3, 64(20%)
minecraft.picked_up.pink_wool: #3, 195(15%)
minecraft.custom.jump: #4, 300424(7%)
minecraft.used.smooth_quartz_stairs: #3, 749(16%)
minecraft.crafted.orange_bed: #2, 7(15%)
minecraft.crafted.waxed_cut_copper_slab: #2, 16(24%)
minecraft.picked_up.carved_pumpkin: #4, 440(10%)
minecraft.used.blast_furnace: #3, 36(8%)
minecraft.used.red_concrete: #3, 957(10%)
minecraft.used.smooth_quartz: #3, 632(11%)
minecraft.crafted.small_dripleaf: #3, 240(21%)
minecraft.picked_up.raw_gold: #3, 1382(6%)
minecraft.picked_up.white_concrete: #3, 3120(8%)
minecraft.picked_up.jungle_fence_gate: #2, 6(10%)
minecraft.crafted.green_shulker_box: #2, 9(8%)
minecraft.picked_up.big_dripleaf: #3, 1333(10%)
minecraft.crafted.oak_button: #3, 30(10%)
minecraft.mined.gold_block: #4, 221(14%)
minecraft.dropped.armor_stand: #2, 16(13%)
minecraft.mined.blue_wool: #2, 10(13%)
minecraft.picked_up.bucket: #3, 113(7%)
minecraft.picked_up.firework_rocket: #4, 4560(10%)
minecraft.picked_up.soul_sand: #3, 1150(6%)
minecraft.picked_up.black_dye: #3, 67(15%)
minecraft.crafted.yellow_shulker_box: #2, 4(6%)
minecraft.mined.campfire: #4, 66(15%)
minecraft.picked_up.green_shulker_box: #3, 73(16%)
minecraft.picked_up.birch_leaves: #4, 3096(12%)
minecraft.crafted.lime_terracotta: #3, 272(11%)
minecraft.mined.rooted_dirt: #3, 282(7%)
minecraft.picked_up.black_terracotta: #2, 39(12%)
minecraft.picked_up.pink_stained_glass: #3, 30(18%)
minecraft.used.diorite: #4, 1046(10%)
minecraft.used.waxed_cut_copper_slab: #2, 25(14%)
minecraft.picked_up.stone_stairs: #3, 323(8%)
minecraft.crafted.gray_concrete_powder: #3, 3560(10%)
minecraft.picked_up.jungle_trapdoor: #2, 80(5%)
minecraft.picked_up.stripped_acacia_log: #3, 49(13%)
minecraft.crafted.orange_shulker_box: #3, 6(15%)
minecraft.used.item_frame: #4, 470(10%)
minecraft.picked_up.white_candle: #2, 32(10%)
minecraft.dropped.green_terracotta: #2, 6(12%)
minecraft.mined.green_shulker_box: #3, 65(15%)
minecraft.crafted.yellow_carpet: #2, 63(6%)
minecraft.mined.nether_quartz_ore: #4, 3307(10%)
minecraft.crafted.wooden_pickaxe: #3, 2(7%)
minecraft.dropped.saddle: #3, 11(15%)
minecraft.mined.red_nether_bricks: #2, 8(9%)
minecraft.mined.white_wool: #3, 119(6%)
minecraft.picked_up.yellow_stained_glass: #3, 65(18%)
minecraft.mined.pink_stained_glass: #2, 31(7%)
minecraft.picked_up.cyan_glazed_terracotta: #2, 3(21%)
minecraft.picked_up.tuff: #4, 3742(9%)
minecraft.picked_up.gray_stained_glass: #3, 91(9%)
minecraft.crafted.polished_diorite_slab: #2, 18(7%)
minecraft.mined.green_concrete_powder: #3, 35(20%)
minecraft.killed.villager: #3, 13(18%)
minecraft.picked_up.andesite_stairs: #3, 32(13%)
minecraft.mined.spruce_slab: #4, 450(10%)
minecraft.crafted.jungle_wood: #3, 138(17%)
minecraft.mined.spruce_wood: #3, 30(17%)
minecraft.mined.jungle_wall_sign: #2, 5(4%)
minecraft.used.red_dye: #3, 12(12%)
minecraft.mined.soul_fire: #2, 11(3%)
minecraft.picked_up.sweet_berries: #4, 401(11%)
minecraft.dropped.netherite_axe: #3, 6(12%)
minecraft.used.blue_stained_glass_pane: #2, 5(11%)
minecraft.picked_up.nether_gold_ore: #3, 131(8%)
minecraft.crafted.cut_copper: #3, 128(9%)
minecraft.used.red_concrete_powder: #4, 1539(13%)
minecraft.picked_up.spruce_wood: #3, 30(16%)
minecraft.crafted.armor_stand: #3, 71(7%)
minecraft.used.jungle_wood: #3, 82(16%)
minecraft.crafted.coal: #4, 5968(9%)
minecraft.picked_up.leather_helmet: #3, 13(6%)
minecraft.crafted.orange_candle: #2, 13(9%)
minecraft.crafted.glass: #4, 24043(9%)
minecraft.picked_up.dark_oak_planks: #4, 536(10%)
minecraft.picked_up.honey_block: #3, 71(9%)
minecraft.crafted.mossy_stone_brick_slab: #2, 150(4%)
minecraft.used.brown_stained_glass: #2, 320(3%)
minecraft.picked_up.blackstone_slab: #3, 57(12%)
minecraft.dropped.clock: #3, 36(12%)
minecraft.used.mossy_cobblestone_slab: #3, 215(12%)
minecraft.dropped.axolotl_bucket: #3, 4(13%)
minecraft.crafted.granite_wall: #3, 66(12%)
minecraft.mined.cauldron: #3, 29(7%)
minecraft.picked_up.polished_blackstone_wall: #3, 23(12%)
minecraft.dropped.golden_carrot: #4, 517(9%)
minecraft.used.spruce_stairs: #4, 797(9%)
minecraft.crafted.mossy_cobblestone_slab: #3, 172(12%)
minecraft.mined.white_concrete: #3, 3037(6%)
minecraft.dropped.jungle_stairs: #2, 2(4%)
minecraft.killed.llama: #2, 9(3%)
minecraft.mined.deepslate_iron_ore: #4, 751(8%)
minecraft.picked_up.orange_shulker_box: #3, 139(11%)
minecraft.used.white_dye: #4, 64(10%)
minecraft.crafted.blue_banner: #2, 1(4%)
minecraft.mined.spruce_sign: #3, 9(10%)
minecraft.picked_up.blast_furnace: #4, 19(11%)
minecraft.picked_up.mossy_stone_brick_slab: #2, 99(3%)
minecraft.picked_up.beetroot_seeds: #3, 411(5%)
minecraft.used.tripwire_hook: #3, 25(8%)
minecraft.picked_up.mossy_stone_brick_stairs: #2, 42(1%)
minecraft.killed.pig: #3, 30(6%)
minecraft.mined.light_blue_concrete_powder: #2, 7(2%)
minecraft.dropped.pink_wool: #3, 122(22%)
minecraft.picked_up.golden_carrot: #4, 1889(8%)
minecraft.used.beetroot_seeds: #3, 244(12%)
minecraft.used.jungle_fence_gate: #3, 17(11%)
minecraft.picked_up.red_concrete: #4, 1741(12%)
minecraft.crafted.cut_copper_stairs: #3, 58(14%)
minecraft.used.mossy_stone_bricks: #3, 318(8%)
minecraft.mined.quartz_stairs: #3, 20(8%)
minecraft.mined.gray_stained_glass: #3, 97(9%)
minecraft.killed.goat: #3, 16(14%)
minecraft.used.brown_candle: #3, 24(22%)
minecraft.picked_up.flowering_azalea: #4, 403(9%)
minecraft.mined.black_banner: #3, 3(21%)
minecraft.dropped.red_sandstone_slab: #2, 1(4%)
minecraft.crafted.smooth_red_sandstone_slab: #2, 12(2%)
minecraft.crafted.spruce_stairs: #4, 760(9%)
minecraft.mined.crimson_roots: #4, 141(10%)
minecraft.used.birch_sapling: #4, 411(10%)
minecraft.crafted.brown_carpet: #3, 303(10%)
minecraft.picked_up.yellow_carpet: #3, 5(17%)
minecraft.custom.walk_one_cm: #5, 102377031(6%)
minecraft.picked_up.elytra: #4, 65(8%)
minecraft.picked_up.cauldron: #3, 88(5%)
minecraft.used.jungle_leaves: #3, 95(10%)
minecraft.used.nether_brick_fence: #3, 53(8%)
minecraft.used.waxed_cut_copper: #2, 2(0%)
minecraft.dropped.netherite_hoe: #3, 1(25%)
minecraft.mined.red_banner: #3, 4(20%)
minecraft.mined.potted_wither_rose: #3, 1(25%)
minecraft.crafted.wooden_axe: #3, 1(11%)
minecraft.dropped.iron_trapdoor: #3, 8(11%)
minecraft.dropped.iron_pickaxe: #4, 8(12%)
minecraft.used.iron_ore: #4, 1393(9%)
minecraft.mined.mossy_stone_brick_slab: #3, 11(14%)
minecraft.picked_up.black_banner: #3, 3(16%)
minecraft.used.spruce_fence_gate: #4, 193(9%)
minecraft.mined.mossy_stone_brick_stairs: #3, 18(10%)
minecraft.crafted.tripwire_hook: #4, 90(13%)
minecraft.picked_up.crafting_table: #4, 243(7%)
minecraft.used.chest: #4, 1556(7%)
minecraft.picked_up.nether_brick_fence: #4, 51(10%)
minecraft.used.armor_stand: #3, 39(4%)
minecraft.crafted.writable_book: #4, 18(9%)
minecraft.dropped.dark_oak_sapling: #3, 10(7%)
minecraft.picked_up.potato: #4, 5343(7%)
minecraft.picked_up.enchanted_book: #4, 45(8%)
minecraft.mined.shulker_box: #4, 1819(7%)
minecraft.mined.crafting_table: #4, 217(7%)
minecraft.killed.husk: #4, 15(9%)
minecraft.mined.sea_pickle: #3, 73(5%)
minecraft.killed.enderman: #4, 29826(8%)
minecraft.crafted.glistering_melon_slice: #4, 68(14%)
minecraft.crafted.crossbow: #3, 6(12%)
minecraft.crafted.prismarine_brick_stairs: #3, 12(16%)
minecraft.crafted.smooth_quartz: #4, 1476(14%)
minecraft.custom.swim_one_cm: #4, 3541679(7%)
minecraft.mined.orange_shulker_box: #3, 101(8%)
minecraft.used.crafting_table: #4, 262(7%)
minecraft.picked_up.mossy_cobblestone_slab: #3, 92(10%)
minecraft.used.diamond_block: #4, 142(9%)
minecraft.dropped.quartz: #3, 111(6%)
minecraft.crafted.nether_brick_fence: #3, 60(11%)
minecraft.mined.green_wool: #3, 10(8%)
minecraft.mined.gold_ore: #4, 782(7%)
minecraft.crafted.coal_block: #4, 1029(7%)
minecraft.picked_up.smooth_red_sandstone_slab: #3, 5(15%)
minecraft.dropped.shroomlight: #3, 11(9%)
minecraft.used.tropical_fish: #3, 1(14%)
minecraft.picked_up.acacia_sapling: #4, 542(10%)
minecraft.dropped.cocoa_beans: #3, 12(9%)
minecraft.crafted.stone_stairs: #3, 210(4%)
minecraft.mined.smooth_red_sandstone: #3, 15(14%)
minecraft.picked_up.cut_copper: #3, 18(6%)
minecraft.picked_up.phantom_membrane: #5, 98(11%)
minecraft.used.yellow_carpet: #3, 48(9%)
minecraft.picked_up.dragon_head: #4, 12(9%)
minecraft.mined.waxed_exposed_cut_copper: #3, 2(22%)
minecraft.used.nether_gold_ore: #3, 7(17%)
minecraft.custom.clean_armor: #3, 1(17%)
minecraft.crafted.baked_potato: #4, 645(11%)
minecraft.picked_up.rose_bush: #4, 393(7%)
minecraft.custom.interact_with_smithing_table: #4, 30(8%)
minecraft.custom.fly_one_cm: #5, 64305285(5%)
minecraft.used.carved_pumpkin: #4, 33(9%)
minecraft.crafted.flower_pot: #4, 103(9%)
minecraft.picked_up.dark_oak_leaves: #3, 218(5%)
minecraft.picked_up.red_sandstone_slab: #3, 54(10%)
minecraft.dropped.moss_carpet: #4, 147(8%)
minecraft.broken.iron_pickaxe: #4, 21(7%)
minecraft.mined.quartz_pillar: #3, 22(15%)
minecraft.picked_up.quartz_pillar: #3, 22(15%)
minecraft.crafted.leather_horse_armor: #3, 9(9%)
minecraft.mined.spruce_sapling: #4, 25(8%)
minecraft.crafted.blue_stained_glass_pane: #3, 16(20%)
minecraft.mined.azalea_leaves: #4, 4229(7%)
minecraft.used.blackstone_wall: #3, 49(7%)
minecraft.dropped.jungle_sign: #3, 6(10%)
minecraft.mined.light_blue_banner: #3, 1(14%)
minecraft.dropped.spruce_leaves: #4, 211(12%)
minecraft.picked_up.chest: #4, 679(6%)
minecraft.picked_up.gold_block: #4, 222(7%)
minecraft.picked_up.netherrack: #4, 17751(6%)
minecraft.used.netherite_chestplate: #3, 2(13%)
minecraft.crafted.mossy_cobblestone: #4, 672(10%)
minecraft.dropped.orange_terracotta: #4, 106(12%)
minecraft.used.mossy_stone_brick_wall: #3, 10(13%)
minecraft.mined.smooth_red_sandstone_slab: #3, 3(10%)
minecraft.mined.brown_candle: #3, 2(17%)
minecraft.crafted.fermented_spider_eye: #4, 45(8%)
minecraft.mined.flowering_azalea_leaves: #4, 1299(6%)
minecraft.crafted.deepslate_brick_slab: #4, 84(9%)
minecraft.picked_up.honeycomb_block: #4, 60(15%)
minecraft.picked_up.pumpkin: #4, 985(7%)
minecraft.dropped.azalea: #4, 113(9%)
minecraft.crafted.lime_concrete_powder: #3, 368(4%)
minecraft.used.magenta_stained_glass: #3, 73(6%)
minecraft.picked_up.stone_slab: #4, 471(7%)
minecraft.picked_up.cod: #3, 262(2%)
minecraft.mined.blue_carpet: #3, 10(10%)
minecraft.used.birch_slab: #4, 247(8%)
minecraft.dropped.scaffolding: #4, 263(8%)
minecraft.picked_up.blue_carpet: #3, 10(10%)
minecraft.picked_up.iron_shovel: #4, 12(6%)
minecraft.used.diorite_stairs: #3, 8(7%)
minecraft.mined.cyan_wool: #3, 3(7%)
minecraft.crafted.pumpkin_pie: #3, 104(5%)
minecraft.crafted.slime_ball: #4, 522(8%)
minecraft.crafted.green_carpet: #4, 147(12%)
minecraft.dropped.crafting_table: #4, 7(6%)
minecraft.crafted.pink_banner: #3, 1(12%)
minecraft.dropped.pointed_dripstone: #3, 32(3%)
minecraft.picked_up.chain: #4, 149(6%)
minecraft.killed.wither: #3, 3(3%)
minecraft.crafted.daylight_detector: #3, 64(3%)
minecraft.picked_up.nether_star: #3, 4(2%)
minecraft.picked_up.iron_horse_armor: #4, 3(10%)
minecraft.crafted.redstone_lamp: #4, 205(7%)
minecraft.used.light_blue_dye: #3, 2(6%)
minecraft.mined.spruce_fence_gate: #4, 44(7%)
minecraft.picked_up.warped_button: #3, 2(5%)
minecraft.crafted.acacia_stairs: #4, 144(12%)
minecraft.custom.play_noteblock: #4, 122(9%)
minecraft.crafted.brown_stained_glass: #3, 400(3%)
minecraft.crafted.light_blue_carpet: #3, 6(6%)
minecraft.picked_up.saddle: #4, 37(8%)
minecraft.picked_up.crimson_roots: #4, 152(6%)
minecraft.used.gray_stained_glass: #3, 275(2%)
minecraft.picked_up.paper: #5, 518(9%)
minecraft.mined.dark_oak_sapling: #4, 13(10%)
minecraft.used.bow: #5, 3670(9%)
minecraft.picked_up.polished_granite_stairs: #3, 9(6%)
minecraft.crafted.polished_blackstone_slab: #4, 120(11%)
minecraft.crafted.magenta_banner: #3, 1(9%)
minecraft.crafted.yellow_banner: #3, 1(7%)
minecraft.used.jungle_fence: #4, 73(8%)
minecraft.mined.red_sandstone_slab: #3, 9(4%)
minecraft.picked_up.shears: #4, 33(6%)
minecraft.used.green_shulker_box: #4, 65(12%)
minecraft.mined.stripped_acacia_log: #4, 39(10%)
minecraft.mined.azure_bluet: #4, 43(7%)
minecraft.mined.oak_wood: #4, 75(10%)
minecraft.crafted.snow_block: #4, 5869(8%)
minecraft.used.oak_wood: #4, 536(8%)
minecraft.used.light_gray_dye: #3, 1(5%)
minecraft.picked_up.purple_stained_glass: #3, 3(4%)
minecraft.crafted.mossy_stone_brick_stairs: #3, 124(3%)
minecraft.used.milk_bucket: #4, 13(7%)
minecraft.dropped.flint_and_steel: #4, 3(8%)
minecraft.used.flowering_azalea: #4, 99(5%)
minecraft.crafted.polished_blackstone_brick_stairs: #3, 20(3%)
minecraft.mined.cyan_stained_glass: #3, 9(3%)
minecraft.used.netherite_sword: #4, 4864(12%)
minecraft.picked_up.waxed_cut_copper_slab: #3, 9(3%)
minecraft.used.acacia_stairs: #4, 144(12%)
minecraft.used.cod: #4, 10(12%)
minecraft.used.yellow_banner: #3, 1(4%)
minecraft.used.orange_banner: #3, 1(4%)
minecraft.picked_up.smooth_sandstone: #4, 812(6%)
minecraft.mined.mossy_cobblestone_slab: #3, 21(2%)
minecraft.used.blue_carpet: #3, 10(3%)
minecraft.crafted.orange_banner: #3, 1(4%)
minecraft.used.red_mushroom: #3, 6(2%)
minecraft.dropped.terracotta: #4, 128(10%)
minecraft.mined.waxed_cut_copper_slab: #3, 8(4%)
minecraft.picked_up.spruce_leaves: #4, 5934(6%)
minecraft.used.acacia_sapling: #4, 239(8%)
minecraft.crafted.painting: #4, 64(6%)
minecraft.picked_up.light_blue_concrete_powder: #3, 7(2%)
minecraft.used.smooth_red_sandstone_slab: #3, 17(3%)
minecraft.crafted.light_blue_concrete_powder: #4, 216(11%)
minecraft.custom.horse_one_cm: #5, 11068189(8%)
minecraft.picked_up.polished_andesite_stairs: #4, 24(9%)
minecraft.used.dark_oak_leaves: #3, 59(1%)
minecraft.dropped.red_sand: #3, 18(2%)
minecraft.mined.dripstone_block: #4, 528(5%)
minecraft.crafted.red_sandstone_slab: #3, 66(2%)
minecraft.mined.red_sandstone: #3, 2(2%)
minecraft.mined.lime_stained_glass: #3, 21(1%)
minecraft.picked_up.lime_stained_glass: #3, 21(1%)
minecraft.crafted.red_shulker_box: #4, 4(5%)
minecraft.mined.oak_stairs: #5, 73(9%)
minecraft.used.golden_carrot: #5, 2877(8%)
minecraft.crafted.deepslate_bricks: #5, 1972(10%)
minecraft.used.pumpkin: #5, 249(10%)
minecraft.picked_up.green_dye: #4, 30(8%)
minecraft.used.yellow_stained_glass: #3, 26(1%)
minecraft.custom.talked_to_villager: #5, 4080(7%)
minecraft.dropped.iron_bars: #4, 64(11%)
minecraft.dropped.white_terracotta: #4, 52(13%)
minecraft.mined.andesite_slab: #4, 31(6%)
minecraft.crafted.brown_candle: #3, 3(1%)
minecraft.crafted.cake: #4, 11(9%)
minecraft.dropped.cooked_porkchop: #4, 22(7%)
minecraft.crafted.blast_furnace: #4, 18(5%)
minecraft.dropped.diamond: #5, 170(8%)
minecraft.picked_up.shulker_box: #5, 2002(7%)
minecraft.picked_up.azalea: #5, 917(9%)
minecraft.picked_up.egg: #5, 518(7%)
minecraft.crafted.polished_blackstone_stairs: #4, 98(9%)
minecraft.crafted.brown_concrete_powder: #4, 264(11%)
minecraft.crafted.deepslate_tile_stairs: #4, 57(4%)
minecraft.used.cocoa_beans: #4, 323(6%)
minecraft.picked_up.stripped_oak_wood: #4, 63(6%)
minecraft.dropped.cauldron: #4, 83(9%)
minecraft.used.yellow_wool: #4, 204(6%)
minecraft.crafted.campfire: #5, 127(9%)
minecraft.used.detector_rail: #4, 8(7%)
minecraft.mined.stripped_oak_wood: #4, 63(5%)
minecraft.used.gold_block: #4, 239(5%)
minecraft.used.oak_slab: #5, 534(8%)
minecraft.picked_up.diamond_chestplate: #5, 11(9%)
minecraft.mined.polished_deepslate_wall: #5, 83(10%)
minecraft.crafted.copper_ingot: #5, 3298(7%)
minecraft.mined.wall_torch: #5, 567(7%)
minecraft.used.light_gray_concrete: #4, 431(6%)
minecraft.crafted.iron_axe: #5, 29(7%)
minecraft.dropped.red_mushroom_block: #4, 32(16%)
minecraft.crafted.red_concrete_powder: #5, 1536(11%)
minecraft.dropped.diamond_sword: #5, 10(7%)
minecraft.used.painting: #4, 75(4%)
minecraft.mined.carved_pumpkin: #5, 260(9%)
minecraft.picked_up.deepslate_bricks: #5, 458(7%)
minecraft.dropped.acacia_log: #4, 36(10%)
minecraft.used.light_blue_concrete_powder: #4, 124(7%)
minecraft.used.shulker_box: #5, 1774(7%)
minecraft.crafted.moss_carpet: #5, 984(8%)
minecraft.picked_up.melon_slice: #4, 732(4%)
minecraft.picked_up.acacia_stairs: #4, 15(7%)
minecraft.picked_up.cyan_terracotta: #5, 413(10%)
minecraft.used.crimson_nylium: #4, 34(5%)
minecraft.crafted.spruce_trapdoor: #5, 968(7%)
minecraft.custom.open_barrel: #5, 3855(6%)
minecraft.used.orange_shulker_box: #4, 92(7%)
minecraft.picked_up.furnace: #5, 114(7%)
minecraft.crafted.composter: #5, 124(7%)
minecraft.crafted.orange_dye: #4, 204(4%)
minecraft.used.white_concrete: #4, 1978(3%)
minecraft.mined.redstone_lamp: #5, 30(9%)
minecraft.used.iron_door: #5, 27(8%)
minecraft.mined.polished_blackstone: #5, 178(8%)
minecraft.picked_up.light_gray_wool: #4, 130(4%)
minecraft.picked_up.waxed_exposed_cut_copper: #4, 2(17%)
minecraft.mined.jungle_fence: #4, 28(6%)
minecraft.mined.acacia_stairs: #4, 13(6%)
minecraft.used.baked_potato: #5, 672(7%)
minecraft.dropped.stripped_spruce_log: #4, 3(11%)
minecraft.picked_up.blackstone_wall: #4, 11(9%)
minecraft.mined.acacia_sapling: #4, 15(7%)
minecraft.killed.creeper: #5, 372(6%)
minecraft.crafted.quartz_pillar: #4, 126(8%)
minecraft.picked_up.diamond_axe: #5, 37(6%)
minecraft.mined.acacia_log: #5, 1588(9%)
minecraft.crafted.oak_planks: #5, 10804(6%)
minecraft.picked_up.brown_shulker_box: #4, 38(5%)
minecraft.picked_up.spruce_sign: #5, 84(7%)
minecraft.picked_up.ender_chest: #5, 343(6%)
minecraft.mined.black_wool: #5, 45(11%)
minecraft.picked_up.dripstone_block: #5, 1126(7%)
minecraft.used.pink_wool: #4, 53(5%)
minecraft.picked_up.cooked_salmon: #4, 2(7%)
minecraft.crafted.golden_apple: #5, 76(10%)
minecraft.killed.player: #5, 11(8%)
minecraft.used.acacia_wood: #4, 142(6%)
minecraft.mined.flower_pot: #5, 9(8%)
minecraft.picked_up.green_wool: #4, 150(4%)
minecraft.mined.iron_ore: #5, 4776(6%)
minecraft.picked_up.polished_blackstone_stairs: #5, 97(10%)
minecraft.used.light_blue_wool: #4, 77(6%)
minecraft.crafted.jungle_door: #4, 6(10%)
minecraft.picked_up.red_nether_bricks: #4, 14(7%)
minecraft.crafted.iron_pickaxe: #5, 27(6%)
minecraft.used.splash_potion: #5, 44(7%)
minecraft.picked_up.mossy_stone_bricks: #4, 197(3%)
minecraft.mined.quartz_block: #4, 50(3%)
minecraft.used.wheat: #4, 8(6%)
minecraft.crafted.polished_blackstone_wall: #4, 41(5%)
minecraft.crafted.black_shulker_box: #4, 2(4%)
minecraft.used.map: #5, 20(9%)
minecraft.picked_up.light_blue_banner: #4, 1(8%)
minecraft.crafted.lime_banner: #4, 1(8%)
minecraft.used.smooth_red_sandstone: #4, 82(8%)
minecraft.mined.emerald_ore: #5, 41(9%)
minecraft.used.polished_granite: #5, 164(8%)
minecraft.dropped.cooked_salmon: #4, 2(8%)
minecraft.mined.stripped_spruce_wood: #4, 23(3%)
minecraft.used.azalea_leaves: #5, 1714(8%)
minecraft.crafted.polished_diorite: #5, 512(9%)
minecraft.used.light_blue_banner: #4, 2(8%)
minecraft.dropped.firework_rocket: #5, 734(7%)
minecraft.used.stripped_oak_wood: #4, 61(4%)
minecraft.crafted.blue_concrete_powder: #4, 32(5%)
minecraft.picked_up.music_disc_far: #4, 1(7%)
minecraft.killed_by.ravager: #4, 1(7%)
minecraft.picked_up.magenta_dye: #4, 26(5%)
minecraft.picked_up.stripped_spruce_wood: #4, 23(3%)
minecraft.crafted.smooth_red_sandstone: #4, 68(5%)
minecraft.crafted.purple_banner: #4, 1(8%)
minecraft.mined.orange_wool: #4, 14(4%)
minecraft.dropped.dark_oak_log: #5, 86(7%)
minecraft.used.beetroot: #4, 15(5%)
minecraft.used.wither_skeleton_skull: #4, 8(2%)
minecraft.used.black_banner: #4, 3(4%)
minecraft.mined.lily_of_the_valley: #5, 18(8%)
minecraft.picked_up.green_stained_glass: #4, 64(2%)
minecraft.picked_up.diamond_sword: #5, 29(5%)
minecraft.used.leather_boots: #4, 2(4%)
minecraft.killed_by.creeper: #5, 8(6%)
minecraft.dropped.ghast_tear: #4, 15(5%)
minecraft.picked_up.acacia_trapdoor: #5, 71(11%)
minecraft.mined.beacon: #5, 17(6%)
minecraft.mined.wither_skeleton_skull: #4, 2(6%)
minecraft.used.filled_map: #4, 7(7%)
minecraft.dropped.grass: #5, 27(8%)
minecraft.crafted.terracotta: #4, 6(5%)
minecraft.picked_up.iron_sword: #5, 10(6%)
minecraft.used.stripped_spruce_wood: #4, 15(2%)
minecraft.used.waxed_exposed_cut_copper: #4, 2(7%)
minecraft.picked_up.red_sand: #4, 2105(2%)
minecraft.used.light_gray_concrete_powder: #5, 1025(7%)
minecraft.mined.cornflower: #5, 41(7%)
minecraft.mined.red_sand: #4, 2116(2%)
minecraft.picked_up.dark_oak_trapdoor: #5, 59(6%)
minecraft.used.cooked_porkchop: #5, 150(5%)
minecraft.dropped.polished_diorite: #4, 9(3%)
minecraft.picked_up.podzol: #5, 353(6%)
minecraft.picked_up.jungle_wood: #4, 6(4%)
minecraft.used.diamond_hoe: #5, 22037(6%)
minecraft.used.stripped_acacia_log: #4, 6(3%)
minecraft.mined.cut_copper: #4, 6(2%)
minecraft.mined.spruce_leaves: #5, 5859(5%)
minecraft.custom.traded_with_villager: #5, 22602(5%)
minecraft.mined.blue_bed: #4, 4(3%)
minecraft.mined.gravel: #5, 11239(5%)
minecraft.crafted.stripped_dark_oak_wood: #4, 45(5%)
minecraft.mined.mossy_cobblestone_wall: #4, 2(5%)
minecraft.picked_up.waxed_cut_copper: #4, 3(4%)
minecraft.crafted.light_blue_banner: #4, 1(4%)
minecraft.picked_up.blue_bed: #4, 4(3%)
minecraft.used.blue_bed: #4, 4(3%)
minecraft.dropped.diamond_helmet: #5, 4(9%)
minecraft.mined.oxeye_daisy: #5, 38(7%)
minecraft.picked_up.white_carpet: #5, 59(6%)
minecraft.mined.waxed_cut_copper_stairs: #4, 2(4%)
minecraft.used.iron_pickaxe: #5, 5536(5%)
minecraft.crafted.enchanting_table: #5, 2(6%)
minecraft.crafted.blue_carpet: #4, 9(3%)
minecraft.dropped.gravel: #5, 771(4%)
minecraft.picked_up.clay: #5, 257(7%)
minecraft.picked_up.cyan_stained_glass: #4, 8(2%)
minecraft.killed.cat: #4, 1(3%)
minecraft.picked_up.waxed_cut_copper_stairs: #4, 2(4%)
minecraft.mined.nether_brick_fence: #5, 30(6%)
minecraft.mined.smooth_red_sandstone_stairs: #4, 1(3%)
