stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #17, 1823061(1%)
minecraft.custom.time_since_death: #20, 1823061(1%)
minecraft.custom.walk_on_water_one_cm: #38, 56473(0%)
minecraft.custom.play_time: #43, 1823061(0%)
minecraft.custom.total_world_time: #43, 1823061(0%)
minecraft.custom.walk_under_water_one_cm: #43, 27687(0%)
minecraft.custom.fly_one_cm: #44, 4429637(0%)
minecraft.custom.leave_game: #44, 43(0%)
minecraft.custom.sneak_time: #45, 9844(0%)
