stat, rank, value, (percentage) 
minecraft.crafted.black_glazed_terracotta: #1, 768(85%)
minecraft.picked_up.clay: #2, 786(21%)
minecraft.picked_up.packed_ice: #2, 4183(19%)
minecraft.mined.packed_ice: #2, 4189(19%)
minecraft.dropped.crimson_fungus: #1, 22(61%)
minecraft.picked_up.fishing_rod: #1, 13(30%)
minecraft.crafted.lime_terracotta: #2, 576(23%)
minecraft.dropped.magenta_dye: #1, 66(47%)
minecraft.picked_up.dispenser: #2, 105(14%)
minecraft.mined.nether_wart: #2, 887(15%)
minecraft.picked_up.glass: #2, 3763(13%)
minecraft.broken.golden_helmet: #1, 3(38%)
minecraft.dropped.pink_tulip: #1, 4(44%)
minecraft.mined.loom: #2, 24(25%)
minecraft.dropped.lime_dye: #1, 74(55%)
minecraft.picked_up.crossbow: #2, 36(17%)
minecraft.used.nether_wart: #2, 988(14%)
minecraft.crafted.smooth_stone: #3, 3075(20%)
minecraft.picked_up.brown_terracotta: #2, 5149(26%)
minecraft.crafted.purple_dye: #2, 414(16%)
minecraft.picked_up.sea_lantern: #2, 289(13%)
minecraft.mined.brown_terracotta: #2, 4767(25%)
minecraft.dropped.cooked_salmon: #1, 10(40%)
minecraft.mined.honey_block: #2, 78(23%)
minecraft.custom.inspect_dropper: #2, 726(11%)
minecraft.mined.redstone_torch: #2, 67(12%)
minecraft.dropped.purple_dye: #1, 64(98%)
minecraft.used.cooked_rabbit: #1, 55(98%)
minecraft.crafted.brown_glazed_terracotta: #1, 832(98%)
minecraft.crafted.cyan_glazed_terracotta: #1, 768(98%)
minecraft.picked_up.loom: #2, 43(23%)
minecraft.crafted.purple_glazed_terracotta: #1, 768(97%)
minecraft.used.spruce_fence_gate: #2, 289(13%)
minecraft.custom.animals_bred: #2, 1255(12%)
minecraft.custom.interact_with_brewingstand: #2, 550(12%)
minecraft.picked_up.spruce_boat: #2, 117(16%)
minecraft.crafted.composter: #3, 277(16%)
minecraft.dropped.beacon: #1, 3(30%)
minecraft.mined.yellow_candle: #1, 4(44%)
minecraft.crafted.tripwire_hook: #2, 128(18%)
minecraft.crafted.blue_dye: #2, 915(11%)
minecraft.crafted.chainmail_leggings: #1, 3(43%)
minecraft.mined.jungle_wood: #1, 20(43%)
minecraft.mined.coarse_dirt: #2, 1499(12%)
