stat, rank, value, (percentage) 
minecraft.crafted.lapis_block: #5, 258(6%)
minecraft.custom.interact_with_campfire: #4, 6(8%)
minecraft.mined.piston_head: #5, 6(8%)
minecraft.dropped.rooted_dirt: #4, 6(5%)
minecraft.killed.pillager: #4, 58(2%)
minecraft.used.dispenser: #5, 98(5%)
minecraft.mined.tinted_glass: #5, 130(7%)
minecraft.used.beacon: #5, 19(6%)
minecraft.mined.potted_flowering_azalea_bush: #4, 1(6%)
minecraft.crafted.lime_stained_glass: #4, 832(3%)
minecraft.dropped.jungle_leaves: #4, 7(5%)
minecraft.picked_up.lapis_lazuli: #5, 2345(5%)
minecraft.crafted.light_blue_stained_glass: #5, 704(10%)
minecraft.dropped.bone: #5, 1659(5%)
minecraft.mined.player_head: #5, 19(6%)
minecraft.picked_up.shears: #5, 33(6%)
minecraft.mined.soul_fire: #4, 7(2%)
minecraft.picked_up.sunflower: #5, 262(6%)
minecraft.mined.smooth_sandstone: #4, 97(1%)
minecraft.custom.target_hit: #5, 50(10%)
minecraft.used.light_gray_shulker_box: #4, 12(3%)
minecraft.mined.light_gray_shulker_box: #4, 11(3%)
minecraft.used.waxed_copper_block: #4, 21(3%)
minecraft.mined.birch_slab: #5, 43(6%)
minecraft.dropped.arrow: #5, 3213(5%)
minecraft.picked_up.light_gray_shulker_box: #4, 11(3%)
minecraft.crafted.jungle_slab: #5, 306(7%)
minecraft.mined.weathered_cut_copper_stairs: #4, 3(3%)
minecraft.picked_up.weathered_cut_copper_stairs: #4, 3(3%)
minecraft.crafted.loom: #5, 19(8%)
minecraft.dropped.dragon_breath: #4, 9(3%)
minecraft.crafted.daylight_detector: #4, 21(1%)
minecraft.picked_up.cooked_cod: #5, 33(7%)
minecraft.picked_up.black_glazed_terracotta: #4, 1(3%)
minecraft.dropped.gray_terracotta: #4, 1(3%)
minecraft.dropped.prismarine: #4, 7(1%)
minecraft.dropped.light_blue_terracotta: #4, 1(2%)
minecraft.dropped.stripped_oak_log: #4, 2(1%)
minecraft.used.brown_stained_glass: #4, 127(1%)
minecraft.dropped.jungle_stairs: #4, 1(2%)
minecraft.mined.lime_stained_glass: #4, 21(1%)
minecraft.dropped.green_terracotta: #4, 1(2%)
minecraft.picked_up.mushroom_stem: #5, 265(7%)
minecraft.dropped.chiseled_deepslate: #4, 1(2%)
minecraft.picked_up.purple_stained_glass: #4, 1(1%)
minecraft.used.redstone_lamp: #5, 98(5%)
minecraft.picked_up.gold_nugget: #4, 1563(0%)
minecraft.dropped.honey_block: #4, 2(1%)
minecraft.killed.bee: #4, 1(2%)
minecraft.mined.yellow_shulker_box: #5, 109(10%)
minecraft.used.yellow_shulker_box: #5, 110(10%)
minecraft.picked_up.yellow_shulker_box: #5, 109(10%)
minecraft.dropped.yellow_stained_glass: #4, 1(1%)
minecraft.dropped.jungle_trapdoor: #4, 3(1%)
minecraft.dropped.iron_leggings: #5, 5(6%)
minecraft.mined.big_dripleaf_stem: #5, 13(8%)
minecraft.picked_up.leather_helmet: #5, 10(5%)
minecraft.dropped.glow_berries: #5, 9(8%)
minecraft.picked_up.white_banner: #5, 19(4%)
minecraft.crafted.player_head: #5, 145(6%)
minecraft.used.brick_slab: #5, 113(12%)
minecraft.used.redstone: #6, 1816(7%)
minecraft.crafted.repeater: #6, 475(8%)
minecraft.dropped.iron_shovel: #5, 6(5%)
minecraft.dropped.light_gray_stained_glass: #5, 22(11%)
minecraft.picked_up.stone_hoe: #5, 2(10%)
minecraft.dropped.chiseled_sandstone: #5, 1(17%)
minecraft.picked_up.diamond_horse_armor: #5, 3(10%)
minecraft.picked_up.stone_pressure_plate: #5, 14(4%)
minecraft.crafted.note_block: #5, 102(5%)
minecraft.picked_up.diamond_hoe: #6, 17(10%)
minecraft.dropped.player_head: #5, 134(3%)
minecraft.crafted.deepslate: #5, 65(7%)
minecraft.dropped.chainmail_helmet: #5, 5(6%)
minecraft.used.tropical_fish: #5, 1(14%)
minecraft.used.ladder: #6, 310(7%)
minecraft.used.target: #5, 41(6%)
minecraft.mined.dispenser: #6, 42(7%)
minecraft.picked_up.hanging_roots: #5, 120(5%)
minecraft.dropped.spruce_log: #5, 192(4%)
minecraft.picked_up.jungle_sapling: #5, 90(4%)
minecraft.picked_up.stone_shovel: #5, 2(7%)
minecraft.dropped.iron_boots: #5, 9(3%)
minecraft.mined.birch_planks: #6, 100(7%)
minecraft.mined.birch_trapdoor: #5, 11(4%)
minecraft.mined.big_dripleaf: #5, 8(5%)
minecraft.picked_up.stripped_jungle_wood: #5, 12(7%)
minecraft.mined.lime_shulker_box: #5, 105(3%)
minecraft.picked_up.lime_shulker_box: #5, 105(3%)
minecraft.mined.stripped_jungle_wood: #5, 11(6%)
minecraft.mined.spruce_sapling: #6, 23(7%)
minecraft.mined.nether_gold_ore: #6, 213(7%)
minecraft.picked_up.golden_carrot: #6, 1297(6%)
minecraft.dropped.dark_oak_sapling: #5, 5(4%)
minecraft.dropped.spectral_arrow: #5, 37(5%)
minecraft.used.lime_shulker_box: #5, 105(3%)
minecraft.used.red_shulker_box: #6, 148(7%)
minecraft.crafted.black_shulker_box: #5, 2(4%)
minecraft.picked_up.glowstone: #6, 407(6%)
minecraft.dropped.polished_andesite: #5, 4(5%)
minecraft.picked_up.crying_obsidian: #5, 71(3%)
minecraft.crafted.jungle_trapdoor: #5, 96(3%)
minecraft.custom.tune_noteblock: #6, 391(7%)
minecraft.crafted.light_blue_shulker_box: #5, 3(4%)
minecraft.used.yellow_candle: #5, 4(7%)
minecraft.picked_up.nether_brick: #5, 137(3%)
minecraft.mined.stripped_spruce_wood: #5, 22(3%)
minecraft.mined.activator_rail: #5, 4(5%)
minecraft.crafted.brown_dye: #5, 108(2%)
minecraft.used.purple_shulker_box: #5, 13(5%)
minecraft.picked_up.spectral_arrow: #5, 232(3%)
minecraft.used.jungle_trapdoor: #5, 83(3%)
minecraft.picked_up.stripped_spruce_wood: #5, 21(3%)
minecraft.mined.jungle_trapdoor: #5, 23(3%)
minecraft.mined.redstone_ore: #6, 1297(5%)
minecraft.mined.purple_shulker_box: #5, 13(5%)
minecraft.picked_up.copper_block: #6, 355(6%)
minecraft.picked_up.purple_shulker_box: #5, 13(5%)
minecraft.crafted.glass: #6, 13726(5%)
minecraft.mined.beacon: #6, 17(6%)
minecraft.picked_up.oxidized_cut_copper_slab: #5, 32(3%)
minecraft.crafted.redstone_block: #6, 910(5%)
minecraft.crafted.sticky_piston: #6, 142(5%)
minecraft.mined.jungle_sign: #5, 1(5%)
minecraft.killed.ender_dragon: #5, 1(5%)
minecraft.picked_up.jungle_door: #5, 2(4%)
minecraft.picked_up.blue_stained_glass: #5, 1(5%)
minecraft.mined.mushroom_stem: #6, 266(6%)
minecraft.dropped.oak_fence: #6, 24(5%)
minecraft.used.spruce_fence: #6, 580(5%)
minecraft.picked_up.dragon_breath: #5, 9(3%)
minecraft.used.stripped_spruce_wood: #5, 10(2%)
minecraft.used.oxidized_cut_copper_stairs: #5, 62(2%)
minecraft.used.totem_of_undying: #5, 1(4%)
minecraft.dropped.cut_sandstone: #5, 4(2%)
minecraft.dropped.gold_nugget: #5, 92(1%)
minecraft.crafted.white_stained_glass: #6, 832(6%)
minecraft.dropped.lily_pad: #5, 2(1%)
minecraft.picked_up.yellow_candle: #5, 4(2%)
minecraft.used.prismarine_slab: #5, 7(2%)
minecraft.crafted.spruce_fence: #6, 541(5%)
minecraft.picked_up.music_disc_cat: #6, 2(10%)
minecraft.picked_up.fern: #5, 31(1%)
minecraft.dropped.spruce_boat: #5, 4(1%)
minecraft.dropped.note_block: #5, 1(2%)
minecraft.used.end_crystal: #5, 4(1%)
minecraft.dropped.spruce_fence_gate: #5, 1(2%)
minecraft.dropped.wooden_pickaxe: #6, 2(7%)
minecraft.used.birch_slab: #6, 187(6%)
minecraft.used.beetroot: #5, 3(1%)
minecraft.used.snow: #5, 125(1%)
minecraft.mined.cactus: #6, 202(4%)
minecraft.dropped.big_dripleaf: #5, 2(1%)
minecraft.killed.drowned: #5, 2030(0%)
minecraft.dropped.magenta_stained_glass: #5, 1(1%)
minecraft.used.daylight_detector: #5, 11(0%)
minecraft.dropped.mossy_stone_bricks: #5, 1(1%)
minecraft.used.lime_stained_glass: #5, 72(0%)
minecraft.picked_up.lime_stained_glass: #5, 7(0%)
minecraft.killed.bat: #6, 14(5%)
minecraft.picked_up.black_terracotta: #5, 1(0%)
minecraft.picked_up.light_blue_terracotta: #5, 1(0%)
minecraft.picked_up.magenta_terracotta: #5, 1(0%)
minecraft.picked_up.pink_glazed_terracotta: #5, 1(0%)
minecraft.picked_up.red_sandstone: #5, 1(0%)
minecraft.dropped.chiseled_stone_bricks: #5, 1(0%)
minecraft.used.birch_planks: #6, 297(5%)
minecraft.picked_up.iron_nugget: #6, 343(4%)
minecraft.crafted.glistering_melon_slice: #6, 36(7%)
minecraft.crafted.stone: #6, 850(4%)
minecraft.mined.green_shulker_box: #6, 42(10%)
minecraft.picked_up.green_shulker_box: #6, 43(9%)
minecraft.mined.oak_wood: #6, 54(7%)
minecraft.used.sponge: #6, 420(7%)
minecraft.used.honey_block: #6, 87(7%)
minecraft.used.stone_hoe: #6, 277(4%)
minecraft.crafted.purple_shulker_box: #6, 1(10%)
minecraft.custom.boat_one_cm: #7, 7280353(6%)
minecraft.used.birch_stairs: #6, 55(5%)
minecraft.dropped.item_frame: #6, 4(6%)
minecraft.picked_up.grindstone: #6, 33(3%)
minecraft.dropped.stone_hoe: #6, 2(6%)
minecraft.used.light_gray_stained_glass: #6, 371(4%)
minecraft.crafted.cyan_terracotta: #6, 1600(4%)
minecraft.crafted.spruce_wood: #6, 195(5%)
minecraft.dropped.potion: #6, 17(3%)
minecraft.killed.hoglin: #6, 5(4%)
minecraft.dropped.nether_bricks: #6, 2(6%)
minecraft.mined.stripped_dark_oak_log: #6, 123(3%)
minecraft.crafted.nether_brick: #6, 450(6%)
minecraft.crafted.target: #6, 36(4%)
minecraft.dropped.white_dye: #6, 64(3%)
minecraft.crafted.piston: #7, 440(6%)
minecraft.picked_up.name_tag: #6, 32(2%)
minecraft.dropped.stone_button: #6, 53(3%)
minecraft.mined.bricks: #6, 18(4%)
minecraft.used.stripped_jungle_wood: #6, 10(6%)
minecraft.picked_up.spruce_stairs: #7, 171(6%)
minecraft.picked_up.fire_charge: #6, 54(4%)
minecraft.dropped.sugar_cane: #6, 131(2%)
minecraft.picked_up.rose_bush: #7, 338(6%)
minecraft.mined.water_cauldron: #6, 2(5%)
minecraft.picked_up.bowl: #6, 2(6%)
minecraft.mined.soul_sand: #7, 541(6%)
minecraft.mined.redstone_wire: #7, 307(5%)
minecraft.picked_up.birch_trapdoor: #6, 11(2%)
minecraft.dropped.cornflower: #6, 4(4%)
minecraft.picked_up.copper_ingot: #6, 450(2%)
minecraft.picked_up.blaze_powder: #6, 6(3%)
minecraft.dropped.iron_axe: #6, 6(2%)
minecraft.crafted.leather_horse_armor: #6, 5(5%)
minecraft.crafted.nether_brick_slab: #6, 60(3%)
minecraft.picked_up.cod: #6, 207(1%)
minecraft.crafted.birch_wood: #6, 48(3%)
minecraft.picked_up.acacia_leaves: #6, 74(3%)
minecraft.picked_up.beacon: #7, 19(6%)
minecraft.picked_up.light_gray_dye: #6, 12(3%)
minecraft.used.activator_rail: #6, 4(4%)
minecraft.used.hanging_roots: #6, 9(2%)
minecraft.killed.witch: #6, 9(1%)
minecraft.used.wither_skeleton_skull: #6, 6(2%)
minecraft.picked_up.horn_coral_block: #6, 47(2%)
minecraft.used.fishing_rod: #6, 21(2%)
minecraft.picked_up.cornflower: #6, 54(1%)
minecraft.crafted.comparator: #7, 178(5%)
minecraft.picked_up.birch_planks: #7, 168(5%)
minecraft.crafted.oxidized_cut_copper_slab: #6, 18(2%)
minecraft.crafted.sandstone_stairs: #6, 18(4%)
minecraft.crafted.nether_bricks: #6, 112(2%)
minecraft.mined.spruce_fence: #7, 133(5%)
minecraft.used.birch_trapdoor: #6, 39(1%)
minecraft.dropped.cracked_stone_bricks: #6, 1(3%)
minecraft.picked_up.jungle_trapdoor: #6, 25(1%)
minecraft.mined.redstone_wall_torch: #7, 30(5%)
minecraft.picked_up.wither_skeleton_skull: #6, 6(1%)
minecraft.mined.hanging_roots: #6, 23(1%)
minecraft.crafted.oxidized_cut_copper_stairs: #6, 12(2%)
minecraft.mined.snow_block: #6, 71(1%)
minecraft.dropped.jungle_fence: #6, 3(1%)
minecraft.picked_up.leather_leggings: #7, 13(4%)
minecraft.dropped.shulker_shell: #6, 10(2%)
minecraft.crafted.dried_kelp: #6, 35(1%)
minecraft.dropped.green_stained_glass: #6, 1(2%)
minecraft.picked_up.orange_shulker_box: #6, 13(1%)
minecraft.mined.orange_shulker_box: #6, 13(1%)
minecraft.used.orange_shulker_box: #6, 13(1%)
minecraft.crafted.firework_star: #6, 18(2%)
minecraft.picked_up.gray_terracotta: #6, 1(2%)
minecraft.dropped.comparator: #6, 3(1%)
minecraft.mined.oxidized_cut_copper_slab: #6, 8(1%)
minecraft.picked_up.pink_terracotta: #6, 1(1%)
minecraft.mined.redstone_lamp: #7, 19(6%)
minecraft.picked_up.fletching_table: #6, 1(1%)
minecraft.mined.fletching_table: #6, 1(1%)
minecraft.dropped.dripstone_block: #6, 9(0%)
minecraft.dropped.oak_sign: #7, 8(5%)
minecraft.dropped.jungle_sapling: #6, 1(1%)
minecraft.picked_up.cut_red_sandstone: #6, 1(1%)
minecraft.picked_up.soul_sand: #7, 740(4%)
minecraft.crafted.wheat: #7, 594(5%)
minecraft.picked_up.compass: #6, 1(0%)
minecraft.mined.observer: #7, 101(4%)
minecraft.mined.composter: #7, 33(5%)
minecraft.picked_up.iron_boots: #7, 14(5%)
minecraft.picked_up.smooth_red_sandstone: #6, 1(0%)
minecraft.picked_up.cactus: #7, 849(4%)
minecraft.picked_up.lever: #7, 83(4%)
minecraft.dropped.tuff: #7, 67(4%)
minecraft.picked_up.paper: #7, 218(4%)
minecraft.crafted.diamond_hoe: #7, 3(5%)
minecraft.picked_up.amethyst_shard: #7, 1880(4%)
minecraft.picked_up.observer: #7, 129(4%)
minecraft.mined.jungle_log: #7, 1131(4%)
minecraft.picked_up.jungle_log: #7, 1237(4%)
minecraft.picked_up.sugar: #7, 42(6%)
minecraft.picked_up.brewing_stand: #7, 11(4%)
minecraft.crafted.birch_stairs: #7, 72(6%)
minecraft.used.dragon_egg: #7, 4(5%)
minecraft.picked_up.quartz: #7, 1610(3%)
minecraft.used.spruce_door: #7, 19(4%)
minecraft.mined.birch_stairs: #7, 12(4%)
minecraft.picked_up.white_dye: #7, 64(3%)
minecraft.mined.wet_sponge: #7, 416(6%)
minecraft.killed.squid: #7, 77(3%)
minecraft.picked_up.wet_sponge: #7, 415(6%)
minecraft.crafted.shulker_box: #7, 126(3%)
minecraft.picked_up.stripped_dark_oak_log: #7, 132(4%)
minecraft.dropped.stone_pickaxe: #7, 3(3%)
minecraft.picked_up.wheat_seeds: #8, 16551(6%)
minecraft.crafted.brown_shulker_box: #7, 4(6%)
minecraft.killed_by.iron_golem: #7, 1(8%)
minecraft.picked_up.jungle_planks: #7, 78(3%)
minecraft.used.iron_leggings: #7, 1(6%)
minecraft.used.suspicious_stew: #7, 2(5%)
minecraft.used.repeater: #8, 444(6%)
minecraft.picked_up.stone_button: #7, 67(2%)
minecraft.used.oak_wood: #7, 191(3%)
minecraft.used.magma_block: #7, 319(2%)
minecraft.dropped.repeater: #7, 11(4%)
minecraft.dropped.spruce_sign: #7, 6(3%)
minecraft.picked_up.wheat: #8, 5168(5%)
minecraft.crafted.iron_chestplate: #8, 5(6%)
minecraft.picked_up.repeater: #8, 211(6%)
minecraft.mined.yellow_terracotta: #7, 7(3%)
minecraft.mined.oxidized_cut_copper_stairs: #7, 33(4%)
minecraft.picked_up.yellow_terracotta: #7, 8(2%)
minecraft.used.redstone_torch: #8, 264(5%)
minecraft.dropped.soul_sand: #7, 22(2%)
minecraft.used.yellow_terracotta: #7, 37(2%)
minecraft.used.oxidized_copper: #7, 134(2%)
minecraft.picked_up.golden_leggings: #8, 17(5%)
minecraft.dropped.enchanted_book: #7, 6(2%)
minecraft.used.nether_brick_slab: #7, 23(2%)
minecraft.mined.horn_coral_block: #7, 47(2%)
minecraft.dropped.rotten_flesh: #8, 5210(5%)
minecraft.crafted.deepslate_tiles: #7, 128(1%)
minecraft.dropped.jungle_log: #7, 7(2%)
minecraft.mined.stripped_oak_wood: #7, 13(1%)
minecraft.dropped.cocoa_beans: #7, 3(2%)
minecraft.used.smooth_sandstone: #7, 211(1%)
minecraft.used.horn_coral_block: #7, 9(2%)
minecraft.used.brown_shulker_box: #7, 11(2%)
minecraft.picked_up.big_dripleaf: #7, 126(1%)
minecraft.crafted.bone_meal: #8, 41510(5%)
minecraft.mined.stripped_dark_oak_wood: #7, 32(1%)
minecraft.dropped.oak_button: #7, 1(2%)
minecraft.custom.swim_one_cm: #8, 2244186(4%)
minecraft.dropped.black_dye: #7, 4(2%)
minecraft.dropped.spruce_stairs: #7, 2(1%)
minecraft.picked_up.stripped_dark_oak_wood: #7, 31(1%)
minecraft.picked_up.diamond_sword: #8, 25(4%)
minecraft.picked_up.ice: #7, 564(1%)
minecraft.dropped.lantern: #7, 4(1%)
minecraft.mined.brown_shulker_box: #7, 7(1%)
minecraft.mined.sandstone_stairs: #7, 10(1%)
minecraft.crafted.brick_wall: #7, 4(2%)
minecraft.picked_up.brown_shulker_box: #7, 7(1%)
minecraft.used.stripped_dark_oak_wood: #7, 26(1%)
minecraft.dropped.sea_lantern: #7, 3(1%)
minecraft.picked_up.snow: #7, 314(1%)
minecraft.picked_up.black_dye: #7, 4(1%)
minecraft.mined.mossy_stone_brick_slab: #7, 1(1%)
minecraft.mined.spruce_trapdoor: #8, 166(5%)
minecraft.crafted.popped_chorus_fruit: #7, 8(1%)
minecraft.picked_up.sandstone_stairs: #7, 10(1%)
minecraft.picked_up.orange_stained_glass: #7, 1(1%)
minecraft.used.fletching_table: #7, 1(1%)
minecraft.picked_up.golden_boots: #8, 15(5%)
minecraft.dropped.gray_stained_glass: #7, 1(1%)
minecraft.picked_up.sweet_berries: #8, 173(5%)
minecraft.dropped.red_sand: #7, 1(0%)
minecraft.picked_up.diamond_axe: #8, 23(4%)
minecraft.mined.deepslate_gold_ore: #8, 124(4%)
minecraft.picked_up.composter: #8, 33(5%)
minecraft.mined.lapis_ore: #8, 152(4%)
minecraft.picked_up.golden_chestplate: #8, 13(4%)
minecraft.picked_up.raw_iron: #8, 4159(3%)
minecraft.mined.brewing_stand: #8, 10(4%)
minecraft.picked_up.wooden_pickaxe: #8, 2(7%)
minecraft.crafted.raw_iron: #8, 1089(4%)
minecraft.used.poppy: #8, 12(4%)
minecraft.crafted.ladder: #8, 252(3%)
minecraft.picked_up.tinted_glass: #8, 125(3%)
minecraft.mined.chiseled_sandstone: #8, 1(8%)
minecraft.picked_up.chiseled_sandstone: #8, 1(8%)
minecraft.picked_up.redstone_lamp: #8, 23(4%)
minecraft.crafted.shears: #8, 58(3%)
minecraft.used.sugar_cane: #8, 293(3%)
minecraft.picked_up.dragon_egg: #8, 4(5%)
minecraft.dropped.iron_sword: #8, 4(3%)
minecraft.picked_up.iron_axe: #8, 7(3%)
minecraft.used.iron_chestplate: #8, 1(6%)
minecraft.mined.end_stone: #8, 206(3%)
minecraft.mined.bone_block: #8, 69(3%)
minecraft.crafted.iron_sword: #8, 7(3%)
minecraft.used.peony: #8, 3(4%)
minecraft.picked_up.smooth_sandstone_stairs: #8, 46(3%)
minecraft.mined.tnt: #8, 15(3%)
minecraft.picked_up.oxidized_copper: #8, 473(3%)
minecraft.used.smooth_stone_slab: #8, 442(3%)
minecraft.used.dark_oak_log: #8, 471(2%)
minecraft.dropped.observer: #8, 12(3%)
minecraft.dropped.spruce_slab: #8, 18(3%)
minecraft.used.copper_block: #8, 501(2%)
minecraft.crafted.stone_pressure_plate: #8, 21(2%)
minecraft.mined.smooth_stone_slab: #8, 65(2%)
minecraft.used.stone_pressure_plate: #8, 16(2%)
minecraft.picked_up.spruce_fence_gate: #8, 20(2%)
minecraft.picked_up.activator_rail: #8, 4(4%)
minecraft.mined.oxidized_copper: #8, 335(2%)
minecraft.custom.inspect_dispenser: #9, 363(5%)
minecraft.mined.jungle_leaves: #8, 430(2%)
minecraft.crafted.oak_wood: #8, 153(2%)
minecraft.dropped.jungle_planks: #8, 13(3%)
minecraft.dropped.diamond: #9, 115(5%)
minecraft.dropped.barrel: #8, 2(3%)
minecraft.mined.stripped_oak_log: #8, 125(1%)
minecraft.picked_up.netherite_boots: #8, 3(2%)
minecraft.crafted.raw_gold_block: #8, 23(2%)
minecraft.picked_up.andesite_stairs: #8, 7(3%)
minecraft.crafted.fletching_table: #8, 1(3%)
minecraft.dropped.weeping_vines: #8, 1(4%)
minecraft.used.cocoa_beans: #8, 101(2%)
minecraft.picked_up.cobblestone: #9, 36562(5%)
minecraft.dropped.chicken: #8, 4(2%)
minecraft.mined.black_shulker_box: #8, 13(2%)
minecraft.picked_up.cooked_salmon: #8, 1(3%)
minecraft.picked_up.water_bucket: #9, 20(5%)
minecraft.used.black_shulker_box: #8, 14(2%)
minecraft.picked_up.black_shulker_box: #8, 13(2%)
minecraft.picked_up.stripped_spruce_log: #8, 48(1%)
minecraft.used.wheat_seeds: #9, 5590(5%)
minecraft.picked_up.diamond_pickaxe: #9, 40(4%)
minecraft.dropped.cobblestone_slab: #8, 22(1%)
minecraft.picked_up.stripped_oak_wood: #8, 13(1%)
minecraft.dropped.slime_block: #8, 33(2%)
minecraft.picked_up.oak_fence_gate: #8, 4(1%)
minecraft.crafted.acacia_wood: #8, 48(2%)
minecraft.mined.ice: #8, 679(1%)
minecraft.crafted.black_stained_glass: #8, 792(1%)
minecraft.used.bricks: #8, 74(1%)
minecraft.killed.tropical_fish: #8, 1(2%)
minecraft.used.sandstone_stairs: #8, 28(2%)
minecraft.mined.brick_stairs: #8, 1(1%)
minecraft.dropped.podzol: #8, 4(1%)
minecraft.picked_up.brick_stairs: #8, 1(1%)
minecraft.picked_up.pink_tulip: #8, 4(1%)
minecraft.used.sticky_piston: #9, 149(4%)
minecraft.mined.warped_wall_sign: #8, 1(1%)
minecraft.dropped.dark_oak_fence: #8, 1(1%)
minecraft.dropped.red_terracotta: #8, 2(1%)
minecraft.dropped.red_mushroom: #8, 1(1%)
minecraft.used.jungle_leaves: #8, 5(1%)
minecraft.dropped.sugar: #8, 37(0%)
minecraft.mined.snow: #8, 342(0%)
minecraft.mined.cut_sandstone: #8, 7(0%)
minecraft.dropped.light_gray_terracotta: #8, 1(0%)
minecraft.dropped.polished_diorite: #8, 1(0%)
minecraft.picked_up.yellow_stained_glass: #8, 1(0%)
minecraft.dropped.smooth_sandstone: #8, 1(0%)
minecraft.crafted.amethyst_block: #8, 3(0%)
minecraft.used.stripped_oak_wood: #8, 3(0%)
minecraft.dropped.fire_charge: #8, 1(0%)
minecraft.mined.raw_iron_block: #8, 1(0%)
minecraft.picked_up.chiseled_stone_bricks: #8, 1(0%)
minecraft.picked_up.green_terracotta: #8, 1(0%)
minecraft.picked_up.mossy_cobblestone: #9, 159(5%)
minecraft.picked_up.diamond_boots: #9, 18(4%)
minecraft.custom.walk_on_water_one_cm: #10, 2361223(4%)
minecraft.used.spruce_sapling: #9, 260(4%)
minecraft.mined.moss_block: #9, 1630(4%)
minecraft.mined.oak_trapdoor: #9, 48(4%)
minecraft.mined.piston: #9, 69(4%)
minecraft.mined.comparator: #9, 25(4%)
minecraft.picked_up.comparator: #9, 66(4%)
minecraft.dropped.redstone: #9, 135(4%)
minecraft.picked_up.tuff: #9, 1332(3%)
minecraft.dropped.moss_carpet: #9, 78(4%)
minecraft.picked_up.raw_gold: #9, 688(3%)
minecraft.custom.enchant_item: #9, 85(3%)
minecraft.broken.iron_helmet: #9, 1(8%)
minecraft.crafted.stone_hoe: #9, 3(4%)
minecraft.crafted.iron_leggings: #9, 3(3%)
minecraft.crafted.stick: #9, 9511(3%)
minecraft.picked_up.spruce_trapdoor: #9, 174(3%)
minecraft.used.iron_boots: #9, 1(6%)
minecraft.mined.cornflower: #9, 23(4%)
minecraft.picked_up.leather_chestplate: #9, 9(3%)
minecraft.crafted.birch_slab: #9, 312(3%)
minecraft.mined.hopper: #9, 132(3%)
minecraft.picked_up.raw_copper: #9, 3188(3%)
minecraft.used.potion: #9, 22(3%)
minecraft.mined.sea_lantern: #9, 33(3%)
minecraft.crafted.brewing_stand: #9, 5(3%)
minecraft.mined.spruce_fence_gate: #9, 20(3%)
minecraft.mined.glowstone: #9, 121(2%)
minecraft.custom.bell_ring: #9, 33(5%)
minecraft.used.azalea_leaves: #9, 702(3%)
minecraft.dropped.chainmail_boots: #9, 4(4%)
minecraft.crafted.coal: #9, 1476(2%)
minecraft.picked_up.end_stone: #9, 206(3%)
minecraft.dropped.minecart: #9, 3(3%)
minecraft.picked_up.chainmail_chestplate: #9, 2(3%)
minecraft.used.cooked_salmon: #9, 5(5%)
minecraft.used.lightning_rod: #9, 52(2%)
minecraft.mined.birch_sign: #9, 3(3%)
minecraft.mined.spruce_button: #9, 2(3%)
minecraft.mined.magma_block: #9, 388(2%)
minecraft.crafted.smooth_stone_slab: #9, 132(2%)
minecraft.picked_up.slime_ball: #9, 366(2%)
minecraft.used.dragon_head: #9, 1(4%)
minecraft.crafted.dark_oak_trapdoor: #9, 84(2%)
minecraft.picked_up.magma_block: #9, 355(1%)
minecraft.used.oak_pressure_plate: #9, 1(3%)
minecraft.mined.brown_mushroom: #9, 15(2%)
minecraft.crafted.copper_block: #9, 387(1%)
minecraft.used.sandstone: #9, 409(1%)
minecraft.picked_up.pufferfish: #9, 6(3%)
minecraft.mined.stone_button: #9, 22(2%)
minecraft.picked_up.glass_bottle: #9, 48(2%)
minecraft.dropped.chainmail_chestplate: #9, 2(2%)
minecraft.used.sweet_berries: #9, 28(2%)
minecraft.broken.stone_hoe: #9, 1(3%)
minecraft.crafted.jungle_planks: #9, 1208(2%)
minecraft.dropped.birch_sign: #9, 3(2%)
minecraft.crafted.acacia_trapdoor: #9, 84(2%)
minecraft.mined.dripstone_block: #9, 130(1%)
minecraft.picked_up.dark_oak_wood: #9, 24(2%)
minecraft.picked_up.stripped_oak_log: #9, 129(1%)
minecraft.picked_up.nether_gold_ore: #9, 24(1%)
minecraft.picked_up.jungle_fence: #9, 8(2%)
minecraft.mined.stripped_spruce_log: #9, 49(1%)
minecraft.mined.smooth_sandstone_stairs: #9, 17(1%)
minecraft.dropped.kelp: #9, 72(1%)
minecraft.picked_up.chorus_flower: #9, 3(2%)
minecraft.dropped.stone_shovel: #9, 2(1%)
minecraft.dropped.flowering_azalea: #9, 4(1%)
minecraft.broken.flint_and_steel: #9, 1(2%)
minecraft.dropped.spruce_trapdoor: #9, 5(1%)
minecraft.mined.sweet_berry_bush: #9, 10(1%)
minecraft.picked_up.clock: #9, 6(1%)
minecraft.dropped.spruce_sapling: #9, 7(1%)
minecraft.used.ice: #9, 208(1%)
minecraft.custom.drop: #10, 4116(4%)
minecraft.dropped.spruce_fence: #9, 3(1%)
minecraft.used.clay: #9, 19(1%)
minecraft.dropped.nether_wart_block: #9, 1(1%)
minecraft.dropped.copper_ore: #9, 7(1%)
minecraft.mined.sticky_piston: #10, 52(5%)
minecraft.used.spruce_wood: #9, 25(1%)
minecraft.picked_up.stripped_birch_log: #9, 16(1%)
minecraft.mined.dark_oak_wood: #9, 4(1%)
minecraft.used.stripped_birch_log: #9, 15(1%)
minecraft.crafted.smooth_sandstone_stairs: #9, 5(1%)
minecraft.picked_up.spider_eye: #10, 252(4%)
minecraft.mined.cartography_table: #9, 1(1%)
