stat, rank, value, (percentage) 
minecraft.picked_up.iron_ingot: #1, 85607(80%)
minecraft.picked_up.leather_chestplate: #1, 69(25%)
minecraft.picked_up.golden_boots: #1, 76(23%)
minecraft.picked_up.spruce_fence_gate: #1, 275(28%)
minecraft.picked_up.red_dye: #1, 254(44%)
minecraft.crafted.chiseled_deepslate: #1, 96(33%)
minecraft.dropped.cobblestone: #1, 17896(20%)
minecraft.used.red_banner: #1, 89(65%)
minecraft.dropped.leather_chestplate: #1, 73(31%)
minecraft.mined.pink_stained_glass: #1, 355(86%)
minecraft.used.basalt: #1, 4778(21%)
minecraft.crafted.red_banner: #1, 99(63%)
minecraft.picked_up.tinted_glass: #1, 864(24%)
minecraft.picked_up.cobbled_deepslate_slab: #1, 402(28%)
minecraft.dropped.pumpkin_seeds: #1, 913(33%)
minecraft.picked_up.chainmail_chestplate: #1, 19(24%)
minecraft.picked_up.chainmail_leggings: #1, 25(26%)
minecraft.picked_up.iron_sword: #1, 38(21%)
minecraft.mined.light_gray_terracotta: #1, 5658(48%)
minecraft.picked_up.yellow_candle: #1, 160(80%)
minecraft.dropped.golden_boots: #1, 78(25%)
minecraft.used.white_banner: #1, 65(30%)
minecraft.dropped.leather_boots: #1, 67(23%)
minecraft.dropped.leather_leggings: #1, 51(19%)
minecraft.crafted.cobbled_deepslate_slab: #1, 636(23%)
minecraft.picked_up.golden_helmet: #1, 58(20%)
minecraft.picked_up.light_gray_terracotta: #1, 5568(46%)
minecraft.picked_up.blue_candle: #1, 100(57%)
minecraft.picked_up.pink_candle: #1, 131(92%)
minecraft.dropped.chainmail_leggings: #1, 27(28%)
minecraft.dropped.iron_ingot: #2, 1939(23%)
minecraft.picked_up.leather_boots: #1, 63(19%)
minecraft.picked_up.leather_leggings: #1, 50(17%)
minecraft.mined.white_wool: #2, 431(23%)
minecraft.picked_up.copper_ingot: #2, 6579(25%)
minecraft.crafted.copper_block: #2, 5601(21%)
minecraft.dropped.spruce_door: #1, 20(59%)
minecraft.picked_up.gold_ingot: #1, 637(20%)
minecraft.picked_up.brown_carpet: #1, 226(41%)
minecraft.picked_up.brown_dye: #1, 119(57%)
minecraft.picked_up.candle: #1, 239(28%)
minecraft.dropped.polished_deepslate: #1, 112(28%)
minecraft.picked_up.stone_pressure_plate: #2, 87(27%)
minecraft.crafted.white_banner: #1, 71(39%)
minecraft.picked_up.red_candle: #1, 266(77%)
minecraft.picked_up.paper: #2, 1091(19%)
minecraft.mined.magenta_terracotta: #1, 248(95%)
minecraft.mined.red_nether_bricks: #1, 66(76%)
minecraft.picked_up.white_candle: #1, 243(75%)
minecraft.picked_up.chainmail_boots: #1, 21(22%)
minecraft.dropped.red_concrete: #1, 781(94%)
minecraft.crafted.painting: #2, 267(25%)
minecraft.mined.stripped_dark_oak_wood: #1, 799(34%)
minecraft.picked_up.stripped_dark_oak_wood: #1, 864(34%)
minecraft.picked_up.waxed_cut_copper_slab: #1, 183(62%)
minecraft.dropped.iron_chestplate: #1, 13(20%)
minecraft.mined.cocoa: #1, 320(21%)
minecraft.picked_up.heart_of_the_sea: #1, 33(52%)
minecraft.killed.creeper: #2, 1070(18%)
minecraft.dropped.iron_helmet: #1, 14(24%)
minecraft.picked_up.leather_helmet: #2, 47(22%)
minecraft.picked_up.brown_candle: #1, 144(71%)
minecraft.dropped.granite: #2, 3878(18%)
minecraft.killed.zombie_villager: #2, 47(19%)
minecraft.crafted.blue_banner: #1, 21(88%)
minecraft.picked_up.pink_dye: #1, 136(58%)
minecraft.dropped.iron_sword: #2, 30(20%)
minecraft.dropped.diorite: #2, 3988(17%)
minecraft.used.stripped_dark_oak_wood: #1, 828(31%)
minecraft.used.polished_deepslate_slab: #2, 5150(21%)
minecraft.crafted.stone: #2, 3803(17%)
minecraft.crafted.granite_wall: #1, 180(33%)
minecraft.dropped.redstone_block: #1, 117(25%)
minecraft.dropped.kelp: #2, 1507(25%)
minecraft.picked_up.chainmail_helmet: #1, 18(23%)
minecraft.mined.cobbled_deepslate_stairs: #1, 56(23%)
minecraft.used.glass: #2, 5586(16%)
minecraft.picked_up.blue_dye: #1, 128(29%)
minecraft.dropped.chainmail_chestplate: #1, 20(24%)
minecraft.crafted.cauldron: #2, 774(19%)
minecraft.used.blue_concrete_powder: #1, 256(45%)
minecraft.picked_up.water_bucket: #1, 49(12%)
minecraft.killed.snow_golem: #1, 16(62%)
minecraft.dropped.comparator: #1, 110(44%)
minecraft.picked_up.dark_oak_sign: #2, 215(17%)
minecraft.mined.stripped_spruce_log: #2, 967(20%)
minecraft.mined.mossy_stone_brick_slab: #1, 34(42%)
minecraft.dropped.chainmail_boots: #1, 21(19%)
minecraft.crafted.blue_concrete_powder: #1, 256(42%)
minecraft.picked_up.iron_helmet: #1, 19(13%)
minecraft.picked_up.iron_chestplate: #1, 24(13%)
minecraft.picked_up.magenta_candle: #1, 171(97%)
minecraft.dropped.leather_helmet: #2, 45(19%)
minecraft.dropped.golden_helmet: #2, 55(20%)
minecraft.picked_up.smooth_stone_slab: #2, 727(19%)
minecraft.crafted.stone_pressure_plate: #2, 175(19%)
minecraft.used.cauldron: #2, 695(17%)
minecraft.picked_up.lime_candle: #1, 64(93%)
minecraft.dropped.golden_horse_armor: #1, 5(56%)
minecraft.dropped.andesite: #2, 2577(15%)
minecraft.used.stone_pressure_plate: #2, 151(21%)
minecraft.killed.iron_golem: #1, 45(30%)
minecraft.picked_up.red_nether_bricks: #1, 75(38%)
minecraft.used.red_stained_glass_pane: #1, 60(44%)
minecraft.custom.inspect_dispenser: #2, 967(13%)
minecraft.crafted.polished_granite_slab: #1, 126(32%)
minecraft.mined.comparator: #2, 101(16%)
minecraft.picked_up.pink_wool: #2, 391(30%)
minecraft.dropped.stripped_spruce_log: #1, 12(43%)
minecraft.picked_up.orange_stained_glass: #1, 33(36%)
minecraft.picked_up.black_banner: #1, 8(42%)
minecraft.dropped.tropical_fish: #1, 13(42%)
minecraft.used.brown_concrete_powder: #2, 672(35%)
minecraft.used.flowering_azalea: #2, 285(15%)
minecraft.picked_up.mossy_cobblestone_stairs: #1, 52(25%)
minecraft.dropped.light_gray_terracotta: #1, 93(31%)
minecraft.dropped.deepslate_gold_ore: #1, 8(30%)
minecraft.crafted.red_dye: #2, 1420(13%)
minecraft.crafted.tnt: #2, 3289(18%)
minecraft.mined.light_blue_wool: #2, 180(30%)
minecraft.picked_up.brown_wool: #2, 526(30%)
minecraft.crafted.smooth_stone_slab: #2, 1036(17%)
minecraft.crafted.spruce_fence_gate: #2, 320(16%)
minecraft.mined.blackstone_slab: #2, 53(27%)
minecraft.dropped.gravel: #2, 2180(13%)
minecraft.used.redstone_torch: #2, 659(13%)
minecraft.killed_by.drowned: #1, 3(38%)
minecraft.used.cooked_salmon: #1, 22(22%)
minecraft.used.brown_wool: #2, 248(23%)
minecraft.crafted.blue_wool: #2, 97(40%)
minecraft.picked_up.cobblestone_stairs: #2, 124(15%)
minecraft.dropped.cobblestone_stairs: #1, 32(25%)
minecraft.mined.waxed_cut_copper_slab: #1, 121(55%)
minecraft.used.light_blue_concrete_powder: #2, 512(29%)
minecraft.dropped.dispenser: #1, 9(43%)
minecraft.mined.smooth_stone_slab: #2, 495(16%)
minecraft.dropped.dropper: #1, 33(35%)
minecraft.dropped.spruce_trapdoor: #2, 95(22%)
minecraft.dropped.brown_concrete: #1, 32(52%)
minecraft.dropped.white_banner: #2, 57(44%)
minecraft.dropped.redstone_torch: #2, 68(20%)
minecraft.crafted.dark_oak_sign: #2, 330(16%)
minecraft.dropped.polished_deepslate_slab: #2, 149(34%)
minecraft.crafted.candle: #2, 2477(30%)
minecraft.crafted.purple_wool: #1, 16(50%)
minecraft.used.item_frame: #2, 557(12%)
minecraft.mined.poppy: #2, 300(11%)
minecraft.used.blue_banner: #1, 26(96%)
minecraft.mined.tinted_glass: #2, 286(15%)
minecraft.crafted.red_candle: #1, 278(64%)
minecraft.crafted.blackstone_slab: #2, 574(26%)
minecraft.mined.glass: #2, 1299(12%)
minecraft.dropped.glass: #2, 1040(14%)
minecraft.dropped.blue_concrete: #1, 27(93%)
minecraft.used.mossy_stone_brick_slab: #1, 149(31%)
minecraft.picked_up.white_banner: #2, 57(13%)
minecraft.dropped.iron_hoe: #1, 3(23%)
minecraft.crafted.brown_candle: #1, 216(62%)
minecraft.used.red_nether_bricks: #2, 260(36%)
minecraft.used.deepslate_emerald_ore: #1, 4(36%)
minecraft.picked_up.wooden_axe: #1, 4(36%)
minecraft.picked_up.green_candle: #1, 78(91%)
minecraft.used.diamond_sword: #2, 66928(10%)
minecraft.used.granite: #2, 2224(11%)
minecraft.used.dark_oak_sign: #3, 450(17%)
minecraft.used.pumpkin: #2, 339(13%)
minecraft.dropped.chipped_anvil: #1, 4(44%)
minecraft.custom.raid_win: #1, 8(89%)
minecraft.mined.red_wall_banner: #1, 8(89%)
minecraft.picked_up.iron_horse_armor: #2, 6(19%)
minecraft.mined.dandelion: #2, 208(10%)
minecraft.mined.black_wall_banner: #1, 5(83%)
minecraft.picked_up.oak_pressure_plate: #1, 5(33%)
minecraft.mined.white_terracotta: #3, 2014(23%)
minecraft.crafted.light_blue_concrete_powder: #2, 504(26%)
minecraft.used.golden_pickaxe: #1, 40(55%)
minecraft.dropped.barrel: #2, 16(20%)
minecraft.crafted.polished_andesite_slab: #1, 132(23%)
minecraft.picked_up.red_banner: #1, 9(23%)
minecraft.used.comparator: #2, 364(12%)
minecraft.picked_up.light_blue_candle: #1, 64(80%)
minecraft.broken.diamond_shovel: #1, 2(22%)
minecraft.picked_up.dirt: #2, 50818(9%)
minecraft.crafted.white_candle: #1, 256(52%)
minecraft.dropped.carrot: #2, 3882(12%)
minecraft.picked_up.cocoa_beans: #2, 1324(13%)
minecraft.picked_up.diamond_chestplate: #2, 15(13%)
minecraft.used.red_wool: #2, 1809(15%)
minecraft.picked_up.pink_stained_glass: #2, 48(28%)
minecraft.picked_up.yellow_dye: #2, 138(25%)
minecraft.mined.chain: #2, 139(11%)
minecraft.mined.magenta_candle: #1, 2(50%)
minecraft.dropped.iron_horse_armor: #1, 2(25%)
minecraft.crafted.magenta_candle: #1, 169(50%)
minecraft.picked_up.white_terracotta: #3, 1972(22%)
minecraft.dropped.polished_andesite_stairs: #1, 8(73%)
minecraft.dropped.chainmail_helmet: #2, 17(22%)
minecraft.picked_up.golden_horse_armor: #2, 5(24%)
minecraft.picked_up.spruce_trapdoor: #3, 817(14%)
minecraft.crafted.brown_concrete_powder: #2, 672(29%)
minecraft.used.magenta_candle: #1, 6(33%)
minecraft.dropped.warped_fence: #1, 6(67%)
minecraft.dropped.jungle_door: #1, 2(67%)
minecraft.dropped.black_wool: #2, 67(21%)
minecraft.picked_up.white_dye: #3, 303(16%)
minecraft.killed.vindicator: #2, 1032(46%)
minecraft.dropped.repeater: #2, 61(21%)
minecraft.dropped.lily_pad: #2, 31(23%)
minecraft.used.oak_pressure_plate: #2, 6(21%)
minecraft.mined.white_concrete_powder: #2, 414(14%)
minecraft.picked_up.iron_block: #3, 5149(13%)
minecraft.dropped.tripwire_hook: #1, 2(40%)
minecraft.picked_up.magenta_terracotta: #2, 233(43%)
minecraft.picked_up.red_concrete: #3, 2602(17%)
minecraft.dropped.yellow_candle: #1, 16(57%)
minecraft.crafted.yellow_candle: #1, 169(56%)
minecraft.custom.damage_dealt: #2, 2992819(7%)
minecraft.mined.oak_pressure_plate: #1, 3(27%)
minecraft.used.cobweb: #2, 68(15%)
minecraft.dropped.copper_block: #2, 256(23%)
minecraft.dropped.scaffolding: #2, 380(11%)
minecraft.picked_up.magenta_dye: #2, 148(29%)
minecraft.custom.raid_trigger: #2, 42(40%)
minecraft.used.red_nether_brick_stairs: #1, 96(100%)
minecraft.mined.blue_wall_banner: #1, 8(100%)
minecraft.mined.potted_spruce_sapling: #1, 1(50%)
minecraft.mined.red_nether_brick_stairs: #1, 16(100%)
minecraft.picked_up.hopper_minecart: #1, 1(100%)
minecraft.picked_up.blue_banner: #1, 8(100%)
minecraft.picked_up.golden_pickaxe: #1, 3(100%)
minecraft.picked_up.music_disc_strad: #1, 1(100%)
minecraft.picked_up.red_nether_brick_stairs: #1, 16(100%)
minecraft.crafted.purpur_pillar: #1, 10(100%)
minecraft.dropped.golden_pickaxe: #1, 1(100%)
minecraft.dropped.mossy_stone_brick_slab: #1, 7(100%)
minecraft.dropped.acacia_stairs: #1, 3(50%)
minecraft.dropped.birch_door: #1, 2(100%)
minecraft.dropped.light_blue_candle: #1, 16(100%)
minecraft.dropped.crimson_trapdoor: #1, 1(50%)
minecraft.crafted.iron_hoe: #2, 4(11%)
minecraft.picked_up.stripped_spruce_log: #2, 437(9%)
minecraft.crafted.cobbled_deepslate_stairs: #2, 85(13%)
minecraft.used.white_wool: #3, 1982(13%)
minecraft.crafted.dispenser: #3, 194(12%)
minecraft.crafted.red_nether_bricks: #2, 305(27%)
minecraft.used.dispenser: #3, 210(11%)
minecraft.mined.dark_oak_wall_sign: #3, 64(14%)
minecraft.crafted.white_wool: #3, 3452(19%)
minecraft.dropped.spruce_slab: #3, 106(17%)
minecraft.dropped.cracked_stone_bricks: #2, 10(29%)
minecraft.used.dropper: #3, 309(15%)
minecraft.crafted.white_bed: #3, 50(11%)
minecraft.used.packed_ice: #2, 890(10%)
minecraft.dropped.iron_leggings: #3, 13(15%)
minecraft.dropped.leather: #3, 207(15%)
minecraft.custom.boat_one_cm: #3, 10681833(9%)
minecraft.broken.diamond_pickaxe: #2, 3(23%)
minecraft.dropped.firework_rocket: #3, 1381(12%)
minecraft.mined.iron_bars: #3, 106(11%)
minecraft.custom.mob_kills: #3, 368573(9%)
minecraft.used.diamond_pickaxe: #3, 316152(9%)
minecraft.mined.red_carpet: #2, 24(19%)
minecraft.crafted.oak_pressure_plate: #2, 3(12%)
minecraft.picked_up.tnt: #3, 183(12%)
minecraft.used.cobbled_deepslate_stairs: #3, 400(15%)
minecraft.used.red_concrete_powder: #3, 1659(14%)
minecraft.picked_up.granite_wall: #2, 11(18%)
minecraft.dropped.white_dye: #2, 179(10%)
minecraft.crafted.bucket: #3, 448(9%)
minecraft.crafted.red_stained_glass_pane: #2, 96(21%)
minecraft.used.blue_concrete: #2, 105(36%)
minecraft.crafted.green_candle: #2, 81(36%)
minecraft.crafted.polished_deepslate: #3, 4072(10%)
minecraft.dropped.bone: #3, 3116(10%)
minecraft.mined.carved_pumpkin: #3, 342(12%)
minecraft.mined.redstone_wire: #3, 522(9%)
minecraft.picked_up.brown_concrete: #2, 215(17%)
minecraft.killed.evoker: #2, 242(44%)
minecraft.used.rooted_dirt: #2, 253(8%)
minecraft.picked_up.vine: #3, 1371(12%)
minecraft.picked_up.spruce_sapling: #3, 1291(9%)
minecraft.dropped.copper_ingot: #3, 138(20%)
minecraft.mined.granite: #3, 13453(9%)
minecraft.mined.potted_poppy: #2, 2(20%)
minecraft.mined.andesite: #3, 14505(8%)
minecraft.picked_up.stone_button: #3, 329(9%)
minecraft.used.spruce_sapling: #3, 623(9%)
minecraft.dropped.totem_of_undying: #2, 13(19%)
minecraft.picked_up.lily_pad: #2, 102(5%)
minecraft.dropped.lily_of_the_valley: #2, 3(23%)
minecraft.mined.polished_basalt: #3, 189(11%)
minecraft.used.iron_bars: #3, 478(9%)
minecraft.used.stripped_crimson_hyphae: #2, 15(28%)
minecraft.crafted.stripped_spruce_wood: #2, 6(22%)
minecraft.dropped.dark_oak_door: #2, 2(22%)
minecraft.mined.stone: #3, 216061(8%)
minecraft.mined.black_banner: #2, 3(21%)
minecraft.picked_up.chiseled_deepslate: #3, 115(13%)
minecraft.dropped.chicken: #3, 30(11%)
minecraft.crafted.redstone_torch: #3, 2156(8%)
minecraft.picked_up.iron_pickaxe: #3, 18(11%)
minecraft.crafted.red_concrete_powder: #3, 1728(13%)
minecraft.crafted.lime_candle: #2, 71(34%)
minecraft.crafted.bow: #4, 197(13%)
minecraft.dropped.shulker_box: #3, 28(10%)
minecraft.crafted.lime_concrete: #2, 16(50%)
minecraft.dropped.red_candle: #2, 16(50%)
minecraft.crafted.wooden_axe: #2, 1(11%)
minecraft.dropped.iron_pickaxe: #3, 8(12%)
minecraft.picked_up.green_dye: #3, 56(15%)
minecraft.crafted.pink_candle: #2, 132(32%)
minecraft.mined.chiseled_deepslate: #3, 102(13%)
minecraft.used.black_banner: #3, 18(24%)
minecraft.dropped.cauldron: #3, 179(19%)
minecraft.picked_up.polished_basalt: #3, 201(10%)
minecraft.dropped.cut_sandstone_slab: #2, 12(46%)
minecraft.mined.brown_concrete: #2, 186(12%)
minecraft.used.purpur_slab: #2, 4(22%)
minecraft.mined.azure_bluet: #3, 65(10%)
minecraft.mined.granite_stairs: #2, 8(12%)
minecraft.mined.cornflower: #3, 60(10%)
minecraft.dropped.cactus: #2, 88(4%)
minecraft.mined.oxeye_daisy: #3, 58(10%)
minecraft.dropped.blue_carpet: #2, 2(40%)
minecraft.used.lime_candle: #2, 5(26%)
minecraft.picked_up.brick: #3, 132(14%)
minecraft.crafted.blue_candle: #2, 136(38%)
minecraft.mined.white_carpet: #3, 66(9%)
minecraft.dropped.white_concrete: #3, 248(16%)
minecraft.mined.powder_snow: #2, 4(18%)
minecraft.picked_up.wooden_sword: #2, 2(18%)
minecraft.mined.dripstone_block: #3, 812(7%)
minecraft.crafted.composter: #4, 195(11%)
minecraft.dropped.andesite_stairs: #2, 7(18%)
minecraft.used.kelp: #3, 719(8%)
minecraft.crafted.light_blue_candle: #2, 87(35%)
minecraft.picked_up.stone_axe: #3, 5(11%)
minecraft.mined.green_candle: #2, 1(33%)
minecraft.dropped.loom: #2, 1(17%)
minecraft.dropped.oak_pressure_plate: #2, 2(33%)
minecraft.mined.hopper: #3, 323(6%)
minecraft.picked_up.chain: #3, 180(7%)
minecraft.dropped.cooked_mutton: #2, 5(12%)
minecraft.dropped.spider_eye: #3, 1011(7%)
minecraft.dropped.crying_obsidian: #2, 119(20%)
minecraft.mined.blue_concrete_powder: #2, 1(20%)
minecraft.dropped.dead_bush: #2, 1(20%)
minecraft.picked_up.painting: #3, 294(8%)
minecraft.crafted.cobblestone_stairs: #3, 186(8%)
minecraft.dropped.cyan_dye: #2, 5(12%)
minecraft.picked_up.comparator: #4, 195(11%)
minecraft.mined.spruce_planks: #4, 1264(10%)
minecraft.picked_up.flint_and_steel: #3, 11(7%)
minecraft.mined.yellow_wool: #3, 170(11%)
minecraft.picked_up.diamond_boots: #3, 29(6%)
minecraft.crafted.granite_stairs: #3, 40(25%)
minecraft.picked_up.hopper: #3, 355(6%)
minecraft.picked_up.iron_boots: #3, 21(7%)
minecraft.mined.red_nether_brick_slab: #2, 4(17%)
minecraft.picked_up.red_nether_brick_slab: #2, 4(17%)
minecraft.mined.polished_andesite_slab: #2, 7(6%)
minecraft.used.dripstone_block: #3, 3705(7%)
minecraft.used.iron_block: #4, 4677(10%)
minecraft.used.blackstone_slab: #3, 400(12%)
minecraft.mined.gray_carpet: #3, 57(10%)
minecraft.crafted.dropper: #4, 287(13%)
minecraft.dropped.andesite_slab: #2, 6(8%)
minecraft.picked_up.diamond_horse_armor: #3, 5(17%)
minecraft.picked_up.item_frame: #4, 265(10%)
minecraft.dropped.red_carpet: #2, 10(12%)
minecraft.used.brown_concrete: #2, 158(6%)
minecraft.picked_up.polished_deepslate: #4, 752(9%)
minecraft.used.white_concrete_powder: #4, 12982(12%)
minecraft.picked_up.cracked_stone_bricks: #3, 249(10%)
minecraft.mined.redstone_block: #3, 98(5%)
minecraft.used.granite_wall: #3, 83(12%)
minecraft.used.repeater: #4, 698(10%)
minecraft.mined.spruce_wall_sign: #4, 32(10%)
minecraft.dropped.red_concrete_powder: #2, 117(6%)
minecraft.picked_up.red_carpet: #3, 27(11%)
minecraft.picked_up.cobbled_deepslate_stairs: #3, 56(8%)
minecraft.dropped.dark_oak_stairs: #2, 2(6%)
minecraft.dropped.beetroot_seeds: #2, 73(2%)
minecraft.dropped.iron_bars: #3, 76(14%)
minecraft.crafted.acacia_sapling: #2, 1(11%)
minecraft.dropped.flint_and_steel: #3, 3(8%)
minecraft.used.cooked_mutton: #3, 21(7%)
minecraft.used.purple_dye: #2, 1(5%)
minecraft.mined.sunflower: #3, 27(7%)
minecraft.used.dirt: #4, 25617(8%)
minecraft.crafted.black_banner: #3, 22(15%)
minecraft.mined.brown_terracotta: #4, 3456(18%)
minecraft.dropped.oxeye_daisy: #3, 11(12%)
minecraft.killed.cave_spider: #4, 949(11%)
minecraft.crafted.cooked_porkchop: #3, 36(6%)
minecraft.picked_up.iron_leggings: #4, 16(10%)
minecraft.mined.jack_o_lantern: #3, 40(8%)
minecraft.picked_up.light_blue_concrete_powder: #2, 8(3%)
minecraft.dropped.diorite_slab: #2, 10(7%)
minecraft.crafted.white_concrete_powder: #4, 14024(11%)
minecraft.picked_up.pumpkin_seeds: #4, 1364(10%)
minecraft.dropped.ice: #3, 64(14%)
minecraft.crafted.spruce_door: #3, 24(6%)
minecraft.crafted.nether_brick: #3, 862(12%)
minecraft.mined.diorite: #4, 12601(8%)
minecraft.dropped.dark_oak_wood: #3, 48(27%)
minecraft.killed_by.iron_golem: #3, 2(15%)
minecraft.picked_up.brown_terracotta: #4, 3438(17%)
minecraft.used.composter: #4, 181(9%)
minecraft.picked_up.dandelion: #4, 195(8%)
minecraft.picked_up.crying_obsidian: #3, 185(8%)
minecraft.used.chiseled_deepslate: #3, 247(6%)
minecraft.picked_up.black_candle: #3, 36(13%)
minecraft.picked_up.feather: #4, 162(8%)
minecraft.crafted.brown_dye: #3, 305(5%)
minecraft.dropped.iron_boots: #3, 15(5%)
minecraft.broken.golden_leggings: #3, 1(20%)
minecraft.dropped.iron_door: #3, 3(17%)
minecraft.picked_up.cobblestone: #4, 57329(7%)
minecraft.dropped.iron_nugget: #4, 283(9%)
minecraft.custom.inspect_hopper: #4, 1496(7%)
minecraft.used.cocoa_beans: #3, 350(7%)
minecraft.crafted.repeater: #4, 495(8%)
minecraft.picked_up.black_concrete: #4, 1566(9%)
minecraft.used.diamond_shovel: #4, 93256(7%)
minecraft.dropped.polished_basalt: #3, 18(10%)
minecraft.picked_up.light_gray_candle: #3, 16(24%)
minecraft.picked_up.white_carpet: #4, 98(10%)
minecraft.mined.dirt: #4, 30902(7%)
minecraft.used.quartz_slab: #4, 215(12%)
minecraft.crafted.andesite_wall: #4, 216(15%)
minecraft.used.hopper: #4, 1199(7%)
minecraft.mined.red_concrete_powder: #3, 11(10%)
minecraft.crafted.wooden_sword: #3, 2(11%)
minecraft.dropped.crossbow: #3, 13(6%)
minecraft.dropped.spruce_stairs: #3, 13(9%)
minecraft.used.stripped_spruce_log: #3, 160(5%)
minecraft.picked_up.green_stained_glass: #3, 174(7%)
minecraft.used.powder_snow_bucket: #3, 67(7%)
minecraft.crafted.black_candle: #3, 69(17%)
minecraft.picked_up.cooked_cod: #4, 55(12%)
minecraft.picked_up.dropper: #4, 90(9%)
minecraft.used.light_blue_candle: #3, 5(28%)
minecraft.picked_up.glowstone: #4, 524(8%)
minecraft.picked_up.diamond_leggings: #4, 29(8%)
minecraft.dropped.sticky_piston: #3, 10(13%)
minecraft.killed_by.slime: #3, 1(20%)
minecraft.dropped.bone_block: #3, 105(8%)
minecraft.mined.granite_wall: #3, 4(11%)
minecraft.dropped.iron_ore: #4, 98(9%)
minecraft.crafted.granite_slab: #3, 54(13%)
minecraft.crafted.stone_brick_wall: #4, 138(11%)
minecraft.crafted.stone_button: #3, 1104(3%)
minecraft.used.spruce_sign: #4, 252(8%)
minecraft.picked_up.granite_stairs: #3, 7(12%)
minecraft.crafted.comparator: #4, 254(8%)
minecraft.used.iron_hoe: #4, 495(9%)
minecraft.crafted.white_dye: #4, 2673(7%)
minecraft.dropped.stone: #4, 12639(7%)
minecraft.mined.white_stained_glass_pane: #4, 35(12%)
minecraft.mined.cracked_stone_bricks: #3, 55(6%)
minecraft.used.splash_potion: #4, 52(9%)
minecraft.picked_up.warped_fence: #3, 10(9%)
minecraft.mined.cake: #3, 1(14%)
minecraft.used.oak_door: #4, 8(10%)
minecraft.used.yellow_candle: #3, 7(11%)
minecraft.crafted.quartz_stairs: #3, 36(6%)
minecraft.mined.purple_wool: #3, 13(11%)
minecraft.picked_up.sugar: #4, 84(13%)
minecraft.mined.spruce_trapdoor: #4, 256(7%)
minecraft.picked_up.blue_concrete_powder: #3, 1(17%)
minecraft.used.dark_oak_stairs: #4, 395(9%)
minecraft.picked_up.tropical_fish: #4, 20(12%)
minecraft.mined.red_concrete: #4, 1287(9%)
minecraft.crafted.red_carpet: #3, 69(6%)
minecraft.picked_up.light_gray_stained_glass_pane: #3, 58(7%)
minecraft.mined.black_concrete: #4, 1567(7%)
minecraft.picked_up.shield: #4, 13(9%)
minecraft.dropped.stone_button: #3, 66(3%)
minecraft.used.white_stained_glass_pane: #4, 310(10%)
