stat, rank, value, (percentage) 
minecraft.picked_up.iron_ingot: #1, 85607(80%)
minecraft.dropped.player_head: #1, 3029(66%)
minecraft.dropped.carved_pumpkin: #1, 574(62%)
minecraft.crafted.polished_deepslate_slab: #1, 3588(59%)
minecraft.mined.cobblestone_wall: #1, 795(59%)
minecraft.picked_up.cobblestone_wall: #1, 805(54%)
minecraft.mined.magenta_stained_glass: #1, 439(85%)
minecraft.mined.oak_planks: #1, 5822(40%)
minecraft.mined.stripped_spruce_wood: #1, 564(75%)
minecraft.used.stripped_spruce_wood: #1, 527(79%)
minecraft.picked_up.gunpowder: #1, 6945(35%)
minecraft.picked_up.player_head: #1, 3217(31%)
minecraft.picked_up.stripped_spruce_wood: #1, 589(75%)
minecraft.crafted.red_wool: #1, 747(75%)
minecraft.killed.zombie: #1, 11866(34%)
minecraft.dropped.sand: #1, 3534(32%)
minecraft.mined.spruce_fence_gate: #1, 271(44%)
minecraft.used.cooked_porkchop: #1, 984(35%)
minecraft.dropped.cooked_porkchop: #1, 177(58%)
minecraft.mined.pink_wool: #1, 535(90%)
minecraft.picked_up.cooked_porkchop: #1, 675(50%)
minecraft.dropped.arrow: #1, 21332(32%)
minecraft.killed.pillager: #2, 1511(41%)
minecraft.mined.cobbled_deepslate_slab: #1, 383(44%)
minecraft.picked_up.rotten_flesh: #1, 26523(29%)
minecraft.killed.witch: #2, 308(40%)
minecraft.dropped.iron_shovel: #1, 52(41%)
minecraft.dropped.gunpowder: #2, 4217(36%)
minecraft.dropped.rotten_flesh: #1, 32329(31%)
minecraft.dropped.paper: #1, 946(33%)
minecraft.picked_up.oak_planks: #1, 4467(29%)
minecraft.dropped.poppy: #2, 14616(34%)
minecraft.killed.drowned: #2, 337790(34%)
minecraft.mined.stone_pressure_plate: #1, 82(41%)
minecraft.crafted.iron_block: #1, 20457(27%)
minecraft.dropped.string: #1, 1410(28%)
minecraft.picked_up.golden_leggings: #1, 92(28%)
minecraft.used.light_gray_terracotta: #1, 3073(66%)
minecraft.picked_up.iron_shovel: #1, 56(27%)
minecraft.dropped.smooth_stone_slab: #1, 309(60%)
minecraft.mined.polished_deepslate_slab: #1, 872(33%)
minecraft.used.cobblestone_wall: #1, 1009(30%)
minecraft.used.cobbled_deepslate_slab: #1, 2305(27%)
minecraft.crafted.red_bed: #1, 40(42%)
minecraft.picked_up.golden_chestplate: #1, 93(27%)
minecraft.picked_up.carved_pumpkin: #1, 964(23%)
minecraft.dropped.cobblestone_wall: #1, 306(65%)
minecraft.crafted.cobblestone_wall: #1, 1002(28%)
minecraft.picked_up.polished_deepslate_slab: #1, 1126(29%)
minecraft.dropped.golden_leggings: #1, 88(29%)
minecraft.dropped.golden_chestplate: #1, 97(29%)
minecraft.used.spruce_fence_gate: #1, 563(26%)
minecraft.dropped.hopper: #1, 57(38%)
minecraft.used.carved_pumpkin: #1, 109(30%)
