stat, rank, value, (percentage) 
minecraft.picked_up.gray_wool: #16, 2(0%)
minecraft.picked_up.quartz_block: #16, 1(0%)
minecraft.crafted.oak_door: #17, 3(4%)
minecraft.crafted.iron_hoe: #17, 1(3%)
minecraft.mined.oak_log: #17, 1406(2%)
minecraft.crafted.blue_dye: #17, 130(2%)
minecraft.crafted.observer: #17, 77(1%)
minecraft.picked_up.spruce_slab: #17, 94(1%)
minecraft.picked_up.redstone_torch: #17, 44(1%)
minecraft.picked_up.porkchop: #17, 21(1%)
minecraft.picked_up.beef: #17, 167(1%)
minecraft.mined.blast_furnace: #17, 2(1%)
minecraft.picked_up.gold_ore: #17, 33(1%)
minecraft.killed.sheep: #17, 5(1%)
minecraft.used.andesite: #17, 361(1%)
minecraft.crafted.iron_nugget: #17, 756(1%)
minecraft.picked_up.dark_oak_sapling: #17, 46(1%)
minecraft.mined.dark_oak_planks: #17, 13(1%)
minecraft.used.iron_ore: #17, 116(1%)
minecraft.crafted.polished_andesite: #17, 80(1%)
minecraft.used.spruce_trapdoor: #17, 69(0%)
minecraft.picked_up.carved_pumpkin: #17, 20(0%)
minecraft.dropped.rail: #17, 4(1%)
minecraft.crafted.spruce_trapdoor: #17, 64(0%)
minecraft.mined.azalea_leaves: #17, 266(0%)
minecraft.picked_up.deepslate_lapis_ore: #17, 2(0%)
minecraft.picked_up.crossbow: #17, 1(0%)
minecraft.custom.minecart_one_cm: #17, 59976(0%)
minecraft.mined.stone_slab: #17, 18(0%)
minecraft.used.azalea: #17, 16(0%)
minecraft.dropped.moss_carpet: #17, 6(0%)
minecraft.crafted.ender_eye: #17, 3(0%)
minecraft.used.stone_slab: #17, 34(0%)
minecraft.used.potato: #17, 19(0%)
minecraft.dropped.stone_slab: #17, 5(0%)
minecraft.picked_up.warped_wart_block: #17, 14(0%)
minecraft.mined.warped_wart_block: #17, 12(0%)
minecraft.used.birch_log: #17, 5(0%)
minecraft.picked_up.twisting_vines: #17, 4(0%)
minecraft.mined.cobblestone: #18, 1015(3%)
minecraft.mined.dirt: #18, 7976(2%)
minecraft.picked_up.oak_log: #18, 1418(2%)
minecraft.custom.climb_one_cm: #18, 677716(1%)
minecraft.picked_up.oak_sign: #18, 15(2%)
minecraft.used.oak_sign: #18, 27(1%)
minecraft.used.diamond_leggings: #18, 1(2%)
minecraft.picked_up.bow: #18, 29(1%)
minecraft.dropped.diorite: #18, 273(1%)
minecraft.picked_up.flint: #18, 112(1%)
minecraft.mined.spruce_slab: #18, 55(1%)
minecraft.dropped.torch: #18, 65(1%)
minecraft.mined.iron_block: #18, 330(1%)
minecraft.picked_up.apple: #18, 53(1%)
minecraft.mined.spruce_sapling: #18, 4(1%)
minecraft.used.cooked_beef: #18, 137(1%)
minecraft.picked_up.birch_sign: #18, 9(1%)
minecraft.used.glow_ink_sac: #18, 17(1%)
minecraft.picked_up.birch_sapling: #18, 75(1%)
minecraft.dropped.granite: #18, 190(1%)
minecraft.crafted.coal: #18, 576(1%)
minecraft.custom.animals_bred: #18, 92(1%)
minecraft.picked_up.chainmail_leggings: #18, 1(1%)
minecraft.picked_up.bone: #18, 301(1%)
minecraft.used.iron_block: #18, 330(1%)
minecraft.dropped.diamond_shovel: #18, 1(1%)
minecraft.crafted.stone_bricks: #18, 768(1%)
minecraft.picked_up.spruce_sign: #18, 7(1%)
minecraft.picked_up.hay_block: #18, 15(1%)
minecraft.picked_up.dark_oak_slab: #18, 12(1%)
minecraft.used.bread: #18, 14(0%)
minecraft.picked_up.baked_potato: #18, 48(0%)
minecraft.crafted.dark_oak_fence: #18, 15(0%)
minecraft.used.deepslate_bricks: #18, 130(0%)
minecraft.used.moss_block: #18, 197(0%)
minecraft.picked_up.deepslate_coal_ore: #18, 13(0%)
minecraft.dropped.golden_helmet: #18, 1(0%)
minecraft.dropped.chicken: #18, 1(0%)
minecraft.used.white_dye: #18, 2(0%)
minecraft.used.cobbled_deepslate_slab: #18, 22(0%)
minecraft.picked_up.spruce_button: #18, 1(0%)
minecraft.used.cooked_mutton: #18, 1(0%)
minecraft.picked_up.crimson_stem: #18, 14(0%)
minecraft.used.deepslate_iron_ore: #18, 3(0%)
minecraft.used.stone_stairs: #18, 5(0%)
minecraft.crafted.sugar: #18, 8(0%)
minecraft.picked_up.sunflower: #18, 4(0%)
minecraft.crafted.stone_stairs: #18, 4(0%)
minecraft.used.dirt: #19, 5411(2%)
minecraft.crafted.barrel: #19, 55(2%)
minecraft.crafted.dark_oak_planks: #19, 1268(1%)
minecraft.used.player_head: #19, 14(1%)
minecraft.crafted.diamond_hoe: #19, 1(2%)
minecraft.mined.grass_block: #19, 6093(1%)
minecraft.crafted.stone_sword: #19, 1(1%)
minecraft.picked_up.chainmail_chestplate: #19, 1(1%)
minecraft.crafted.stone_hoe: #19, 1(1%)
minecraft.crafted.ender_chest: #19, 3(1%)
minecraft.killed.cow: #19, 67(1%)
minecraft.mined.birch_log: #19, 315(1%)
minecraft.used.redstone_torch: #19, 47(1%)
minecraft.picked_up.iron_block: #19, 333(1%)
minecraft.used.coal_ore: #19, 160(1%)
minecraft.picked_up.golden_chestplate: #19, 3(1%)
minecraft.picked_up.leather_helmet: #19, 2(1%)
minecraft.killed_by.zombie: #19, 1(1%)
minecraft.picked_up.dark_oak_boat: #19, 3(1%)
minecraft.mined.dark_oak_trapdoor: #19, 6(1%)
minecraft.picked_up.dark_oak_log: #19, 511(1%)
minecraft.dropped.leather_helmet: #19, 2(1%)
minecraft.used.spruce_sapling: #19, 49(1%)
minecraft.picked_up.iron_ore: #19, 165(1%)
minecraft.picked_up.dark_oak_trapdoor: #19, 7(1%)
minecraft.crafted.dark_oak_slab: #19, 84(1%)
minecraft.dropped.diamond_axe: #19, 1(1%)
minecraft.mined.lever: #19, 4(1%)
minecraft.used.iron_sword: #19, 119(1%)
minecraft.mined.moss_block: #19, 243(1%)
minecraft.crafted.dark_oak_trapdoor: #19, 26(1%)
minecraft.crafted.brewing_stand: #19, 1(1%)
minecraft.picked_up.dark_oak_planks: #19, 29(1%)
minecraft.crafted.shears: #19, 10(0%)
minecraft.crafted.lapis_lazuli: #19, 54(0%)
minecraft.mined.ender_chest: #19, 17(0%)
minecraft.mined.dirt_path: #19, 27(0%)
minecraft.used.yellow_bed: #19, 1(0%)
minecraft.dropped.golden_boots: #19, 1(0%)
minecraft.used.dark_oak_fence: #19, 8(0%)
minecraft.used.oak_slab: #19, 15(0%)
minecraft.killed.chicken: #19, 3(0%)
minecraft.mined.potatoes: #19, 18(0%)
minecraft.used.hopper_minecart: #19, 1(0%)
minecraft.crafted.hopper_minecart: #19, 1(0%)
minecraft.picked_up.stone_slab: #19, 11(0%)
minecraft.picked_up.potato: #19, 89(0%)
minecraft.mined.coarse_dirt: #19, 11(0%)
minecraft.crafted.smithing_table: #19, 1(0%)
minecraft.crafted.moss_carpet: #19, 9(0%)
minecraft.used.spruce_button: #19, 1(0%)
minecraft.dropped.bone_meal: #19, 64(0%)
minecraft.mined.polished_deepslate_stairs: #19, 1(0%)
minecraft.crafted.stone_button: #19, 15(0%)
minecraft.picked_up.polished_deepslate_stairs: #19, 1(0%)
minecraft.dropped.stone_button: #19, 1(0%)
minecraft.picked_up.glow_lichen: #19, 11(0%)
minecraft.used.polished_deepslate_stairs: #19, 4(0%)
minecraft.mined.glow_lichen: #19, 8(0%)
minecraft.used.glow_lichen: #19, 6(0%)
minecraft.dropped.poppy: #19, 4(0%)
minecraft.crafted.warped_planks: #19, 4(0%)
minecraft.crafted.wooden_pickaxe: #20, 1(3%)
minecraft.mined.wall_torch: #20, 167(2%)
minecraft.custom.drop: #20, 1505(2%)
minecraft.used.bone_meal: #20, 1728(1%)
minecraft.crafted.ladder: #20, 114(1%)
minecraft.used.stone_pickaxe: #20, 116(1%)
minecraft.mined.barrel: #20, 15(1%)
minecraft.picked_up.leather_leggings: #20, 3(1%)
minecraft.used.cobbled_deepslate: #20, 255(1%)
minecraft.picked_up.golden_boots: #20, 3(1%)
minecraft.picked_up.birch_log: #20, 313(1%)
minecraft.mined.spruce_log: #20, 835(1%)
minecraft.picked_up.spruce_sapling: #20, 112(1%)
minecraft.crafted.book: #20, 35(1%)
minecraft.used.golden_carrot: #20, 261(1%)
minecraft.used.barrel: #20, 30(1%)
minecraft.dropped.redstone: #20, 27(1%)
minecraft.crafted.stonecutter: #20, 2(1%)
minecraft.picked_up.oak_stairs: #20, 7(1%)
minecraft.used.blast_furnace: #20, 3(1%)
minecraft.mined.dark_oak_log: #20, 325(1%)
minecraft.mined.poppy: #20, 13(0%)
minecraft.mined.cobblestone_stairs: #20, 3(1%)
minecraft.picked_up.white_wool: #20, 60(0%)
minecraft.used.deepslate_tile_slab: #20, 125(0%)
minecraft.picked_up.brown_mushroom: #20, 15(0%)
minecraft.picked_up.birch_planks: #20, 14(0%)
minecraft.used.ender_chest: #20, 20(0%)
minecraft.used.spruce_planks: #20, 189(0%)
minecraft.used.birch_boat: #20, 1(0%)
minecraft.picked_up.moss_carpet: #20, 90(0%)
minecraft.picked_up.ender_chest: #20, 18(0%)
minecraft.picked_up.cobblestone_stairs: #20, 3(0%)
minecraft.picked_up.lapis_ore: #20, 5(0%)
minecraft.used.cobblestone_slab: #20, 20(0%)
minecraft.dropped.leather_boots: #20, 1(0%)
minecraft.dropped.golden_leggings: #20, 1(0%)
minecraft.dropped.golden_chestplate: #20, 1(0%)
minecraft.used.dark_oak_trapdoor: #20, 11(0%)
minecraft.crafted.blast_furnace: #20, 1(0%)
minecraft.dropped.iron_ingot: #20, 17(0%)
minecraft.used.glow_berries: #20, 4(0%)
minecraft.dropped.moss_block: #20, 6(0%)
minecraft.killed.pillager: #20, 4(0%)
minecraft.crafted.stone_pressure_plate: #20, 1(0%)
minecraft.dropped.apple: #20, 1(0%)
minecraft.used.kelp: #20, 8(0%)
minecraft.mined.stone_stairs: #20, 1(0%)
minecraft.used.birch_planks: #20, 5(0%)
minecraft.used.stone_button: #20, 13(0%)
minecraft.used.birch_sapling: #20, 1(0%)
minecraft.picked_up.stone_stairs: #20, 1(0%)
minecraft.killed.wither_skeleton: #20, 1(0%)
minecraft.custom.interact_with_furnace: #21, 665(2%)
minecraft.crafted.torch: #21, 2444(2%)
minecraft.crafted.crafting_table: #21, 23(2%)
minecraft.used.diamond_axe: #21, 5976(1%)
minecraft.mined.crafting_table: #21, 45(1%)
minecraft.mined.deepslate_copper_ore: #21, 19(1%)
minecraft.picked_up.crafting_table: #21, 46(1%)
minecraft.used.diamond_shovel: #21, 15648(1%)
minecraft.mined.deepslate: #21, 4526(1%)
minecraft.mined.torch: #21, 275(1%)
minecraft.mined.gold_ore: #21, 135(1%)
minecraft.picked_up.coal_ore: #21, 414(1%)
minecraft.used.lever: #21, 26(1%)
minecraft.picked_up.arrow: #21, 396(1%)
minecraft.mined.moss_carpet: #21, 63(1%)
minecraft.picked_up.spruce_log: #21, 927(1%)
minecraft.custom.open_enderchest: #21, 233(1%)
minecraft.used.oak_sapling: #21, 58(1%)
minecraft.picked_up.golden_helmet: #21, 2(1%)
minecraft.picked_up.iron_leggings: #21, 1(1%)
minecraft.dropped.oak_planks: #21, 9(1%)
minecraft.dropped.oak_sign: #21, 1(1%)
minecraft.dropped.dirt: #21, 239(0%)
minecraft.mined.chain: #21, 7(1%)
minecraft.custom.interact_with_brewingstand: #21, 24(1%)
minecraft.picked_up.deepslate_redstone_ore: #21, 20(0%)
minecraft.picked_up.redstone_ore: #21, 41(0%)
minecraft.mined.azalea: #21, 12(0%)
minecraft.custom.inspect_hopper: #21, 79(0%)
minecraft.mined.kelp_plant: #21, 16(0%)
minecraft.dropped.stone: #21, 676(0%)
minecraft.mined.dandelion: #21, 7(0%)
minecraft.crafted.copper_ingot: #21, 153(0%)
minecraft.picked_up.kelp: #21, 128(0%)
minecraft.picked_up.moss_block: #21, 248(0%)
minecraft.used.glass_bottle: #21, 21(0%)
minecraft.picked_up.clay_ball: #21, 36(0%)
minecraft.mined.spruce_stairs: #21, 4(0%)
minecraft.dropped.iron_nugget: #21, 7(0%)
minecraft.used.egg: #21, 9(0%)
minecraft.crafted.blaze_powder: #21, 4(0%)
minecraft.killed.blaze: #21, 3(0%)
minecraft.mined.white_wool: #21, 3(0%)
minecraft.picked_up.spruce_stairs: #21, 4(0%)
minecraft.dropped.stone_sword: #21, 1(0%)
minecraft.picked_up.nether_quartz_ore: #21, 14(0%)
minecraft.picked_up.sweet_berries: #21, 5(0%)
minecraft.used.dark_oak_slab: #21, 12(0%)
minecraft.used.firework_rocket: #21, 164(0%)
minecraft.crafted.glass_bottle: #21, 21(0%)
minecraft.picked_up.lily_pad: #21, 1(0%)
minecraft.crafted.smooth_stone: #21, 8(0%)
minecraft.used.dark_oak_log: #21, 2(0%)
minecraft.used.stone_axe: #22, 97(2%)
minecraft.mined.deepslate_iron_ore: #22, 113(1%)
minecraft.crafted.stone_pickaxe: #22, 2(1%)
minecraft.mined.iron_ore: #22, 880(1%)
minecraft.mined.deepslate_diamond_ore: #22, 27(1%)
minecraft.picked_up.stone: #22, 16898(1%)
minecraft.used.stone: #22, 3732(1%)
minecraft.dropped.crafting_table: #22, 1(1%)
minecraft.crafted.lapis_block: #22, 35(1%)
minecraft.picked_up.stick: #22, 431(1%)
minecraft.crafted.spruce_planks: #22, 2348(1%)
minecraft.used.chest: #22, 145(1%)
minecraft.picked_up.iron_helmet: #22, 1(1%)
minecraft.mined.beacon: #22, 2(1%)
minecraft.picked_up.stonecutter: #22, 6(1%)
minecraft.used.beacon: #22, 2(1%)
minecraft.picked_up.beacon: #22, 2(1%)
minecraft.used.stonecutter: #22, 6(1%)
minecraft.mined.stonecutter: #22, 5(0%)
minecraft.used.anvil: #22, 6(0%)
minecraft.picked_up.dandelion: #22, 10(0%)
minecraft.picked_up.glow_ink_sac: #22, 18(0%)
minecraft.crafted.anvil: #22, 5(0%)
minecraft.mined.kelp: #22, 14(0%)
minecraft.mined.piston: #22, 7(0%)
minecraft.picked_up.iron_nugget: #22, 29(0%)
minecraft.picked_up.azalea: #22, 38(0%)
minecraft.used.wheat_seeds: #22, 361(0%)
minecraft.picked_up.iron_boots: #22, 1(0%)
minecraft.dropped.stick: #22, 38(0%)
minecraft.picked_up.oak_boat: #22, 3(0%)
minecraft.picked_up.piston: #22, 9(0%)
minecraft.crafted.bone_meal: #22, 2064(0%)
minecraft.picked_up.feather: #22, 4(0%)
minecraft.mined.polished_deepslate: #22, 11(0%)
minecraft.picked_up.flower_pot: #22, 1(0%)
minecraft.custom.pot_flower: #22, 1(0%)
minecraft.mined.cave_vines: #22, 1(0%)
minecraft.mined.oak_fence: #22, 4(0%)
minecraft.mined.glass: #22, 12(0%)
minecraft.crafted.gold_ingot: #22, 192(0%)
minecraft.used.flower_pot: #22, 1(0%)
minecraft.crafted.pink_dye: #22, 2(0%)
minecraft.crafted.spruce_sign: #22, 3(0%)
minecraft.mined.cobweb: #22, 2(0%)
minecraft.dropped.egg: #22, 1(0%)
minecraft.used.end_rod: #22, 1(0%)
minecraft.picked_up.beetroot_seeds: #22, 1(0%)
minecraft.used.torch: #23, 3049(2%)
minecraft.used.crafting_table: #23, 62(2%)
minecraft.used.cobblestone: #23, 1532(2%)
minecraft.mined.redstone_ore: #23, 396(2%)
minecraft.custom.sleep_in_bed: #23, 224(1%)
minecraft.picked_up.redstone: #23, 2080(1%)
minecraft.crafted.diamond_leggings: #23, 1(1%)
minecraft.used.diamond_pickaxe: #23, 40190(1%)
minecraft.mined.deepslate_coal_ore: #23, 141(1%)
minecraft.picked_up.raw_iron: #23, 1262(1%)
minecraft.picked_up.granite: #23, 1378(1%)
minecraft.crafted.iron_leggings: #23, 1(1%)
minecraft.crafted.redstone_block: #23, 167(1%)
minecraft.mined.andesite: #23, 1520(1%)
minecraft.mined.cobbled_deepslate: #23, 32(1%)
minecraft.custom.interact_with_grindstone: #23, 7(1%)
minecraft.mined.player_head: #23, 2(1%)
minecraft.picked_up.leather: #23, 104(1%)
minecraft.killed.spider: #23, 13(1%)
minecraft.mined.grass: #23, 252(0%)
minecraft.mined.chest: #23, 37(0%)
minecraft.dropped.andesite: #23, 72(0%)
minecraft.killed.zombie_villager: #23, 1(0%)
minecraft.picked_up.diamond_axe: #23, 2(0%)
minecraft.picked_up.chest: #23, 37(0%)
minecraft.picked_up.egg: #23, 20(0%)
minecraft.mined.wheat: #23, 230(0%)
minecraft.picked_up.lever: #23, 6(0%)
minecraft.picked_up.leather_boots: #23, 1(0%)
minecraft.picked_up.magma_cream: #23, 7(0%)
minecraft.picked_up.sugar_cane: #23, 209(0%)
minecraft.used.moss_carpet: #23, 38(0%)
minecraft.mined.oak_sapling: #23, 1(0%)
minecraft.picked_up.cobblestone_slab: #23, 5(0%)
minecraft.mined.nether_quartz_ore: #23, 60(0%)
minecraft.used.piston: #23, 9(0%)
minecraft.killed.slime: #23, 15(0%)
minecraft.mined.deepslate_tile_slab: #23, 7(0%)
minecraft.mined.flowering_azalea: #23, 2(0%)
minecraft.used.spruce_sign: #23, 5(0%)
minecraft.picked_up.blaze_rod: #23, 4(0%)
minecraft.mined.clay: #23, 9(0%)
minecraft.crafted.glass: #23, 335(0%)
minecraft.used.glass: #23, 39(0%)
minecraft.killed.squid: #23, 3(0%)
minecraft.picked_up.bone_meal: #23, 122(0%)
minecraft.used.polished_deepslate: #23, 39(0%)
minecraft.picked_up.flowering_azalea: #23, 4(0%)
minecraft.custom.aviate_one_cm: #23, 4557247(0%)
minecraft.picked_up.glow_berries: #23, 5(0%)
minecraft.used.spruce_log: #23, 7(0%)
minecraft.used.flowering_azalea: #23, 1(0%)
minecraft.crafted.comparator: #23, 1(0%)
minecraft.dropped.netherrack: #23, 31(0%)
minecraft.crafted.quartz_block: #23, 6(0%)
minecraft.killed.enderman: #23, 1(0%)
minecraft.custom.fall_one_cm: #24, 1207352(1%)
minecraft.custom.interact_with_crafting_table: #24, 668(2%)
minecraft.custom.open_chest: #24, 4638(1%)
minecraft.mined.coal_ore: #24, 1329(1%)
minecraft.crafted.iron_boots: #24, 1(1%)
minecraft.picked_up.torch: #24, 857(1%)
minecraft.mined.lapis_ore: #24, 43(1%)
minecraft.mined.granite: #24, 1519(1%)
minecraft.picked_up.andesite: #24, 1467(1%)
minecraft.picked_up.coal: #24, 1655(1%)
minecraft.mined.stone: #24, 24185(1%)
minecraft.mined.deepslate_redstone_ore: #24, 92(1%)
minecraft.used.furnace: #24, 15(1%)
minecraft.custom.interact_with_beacon: #24, 3(1%)
minecraft.custom.swim_one_cm: #24, 264691(1%)
minecraft.mined.copper_ore: #24, 160(0%)
minecraft.crafted.oak_planks: #24, 804(0%)
minecraft.crafted.furnace: #24, 13(0%)
minecraft.picked_up.gravel: #24, 969(0%)
minecraft.crafted.chest: #24, 126(0%)
minecraft.custom.enchant_item: #24, 10(0%)
minecraft.dropped.leather_leggings: #24, 1(0%)
minecraft.mined.gravel: #24, 829(0%)
minecraft.crafted.stick: #24, 1156(0%)
minecraft.crafted.redstone: #24, 378(0%)
minecraft.killed.magma_cube: #24, 28(0%)
minecraft.mined.anvil: #24, 1(0%)
minecraft.mined.fire: #24, 22(0%)
minecraft.picked_up.furnace: #24, 5(0%)
minecraft.picked_up.wheat: #24, 282(0%)
minecraft.used.brewing_stand: #24, 1(0%)
minecraft.picked_up.golden_leggings: #24, 1(0%)
minecraft.mined.soul_sand: #24, 26(0%)
minecraft.picked_up.deepslate: #24, 311(0%)
minecraft.picked_up.wheat_seeds: #24, 612(0%)
minecraft.picked_up.oak_fence: #24, 8(0%)
minecraft.killed.creeper: #24, 13(0%)
minecraft.picked_up.oak_slab: #24, 5(0%)
minecraft.used.bow: #24, 85(0%)
minecraft.picked_up.anvil: #24, 1(0%)
minecraft.picked_up.oak_planks: #24, 26(0%)
minecraft.crafted.flint_and_steel: #24, 1(0%)
minecraft.mined.sugar_cane: #24, 80(0%)
minecraft.mined.oak_planks: #24, 21(0%)
minecraft.picked_up.quartz: #24, 78(0%)
minecraft.picked_up.ink_sac: #24, 17(0%)
minecraft.picked_up.spider_eye: #24, 8(0%)
minecraft.picked_up.string: #24, 24(0%)
minecraft.dropped.tuff: #24, 2(0%)
minecraft.mined.tall_grass: #24, 14(0%)
minecraft.killed.zombie: #24, 39(0%)
minecraft.picked_up.poppy: #24, 11(0%)
minecraft.dropped.gravel: #24, 17(0%)
minecraft.used.oak_boat: #24, 1(0%)
minecraft.crafted.hopper: #24, 11(0%)
minecraft.picked_up.slime_ball: #24, 19(0%)
minecraft.crafted.birch_planks: #24, 72(0%)
minecraft.mined.observer: #24, 2(0%)
minecraft.picked_up.netherrack: #24, 211(0%)
minecraft.used.diamond_sword: #24, 424(0%)
minecraft.used.hopper: #24, 11(0%)
minecraft.picked_up.gunpowder: #24, 13(0%)
minecraft.picked_up.magma_block: #24, 16(0%)
minecraft.mined.magma_block: #24, 16(0%)
minecraft.custom.damage_dealt: #24, 24107(0%)
minecraft.crafted.white_dye: #24, 25(0%)
minecraft.used.oak_planks: #24, 22(0%)
minecraft.picked_up.observer: #24, 2(0%)
minecraft.picked_up.deepslate_tile_slab: #24, 3(0%)
minecraft.picked_up.cooked_beef: #24, 6(0%)
minecraft.mined.netherrack: #24, 222(0%)
minecraft.crafted.sticky_piston: #24, 1(0%)
minecraft.picked_up.glass: #24, 8(0%)
minecraft.picked_up.cod: #24, 4(0%)
minecraft.used.gravel: #24, 4(0%)
minecraft.picked_up.calcite: #24, 6(0%)
minecraft.dropped.gunpowder: #24, 2(0%)
minecraft.custom.mob_kills: #24, 577(0%)
minecraft.dropped.bone: #24, 5(0%)
minecraft.crafted.air: #24, 0(0%)
minecraft.custom.jump: #25, 52731(1%)
minecraft.custom.sprint_one_cm: #25, 13454992(1%)
minecraft.custom.walk_one_cm: #25, 12126628(1%)
minecraft.crafted.diamond_sword: #25, 1(1%)
minecraft.picked_up.raw_gold: #25, 200(1%)
minecraft.custom.boat_one_cm: #25, 966423(1%)
minecraft.mined.deepslate_lapis_ore: #25, 11(1%)
minecraft.picked_up.lapis_lazuli: #25, 379(1%)
minecraft.custom.sneak_time: #25, 163944(0%)
minecraft.dropped.diamond_sword: #25, 1(1%)
minecraft.mined.diorite: #25, 1031(1%)
minecraft.custom.interact_with_anvil: #25, 26(1%)
minecraft.picked_up.diorite: #25, 929(1%)
minecraft.crafted.iron_ingot: #25, 1364(1%)
minecraft.custom.damage_taken: #25, 16675(0%)
minecraft.custom.open_shulker_box: #25, 929(0%)
minecraft.custom.crouch_one_cm: #25, 470577(0%)
minecraft.picked_up.diamond_sword: #25, 2(0%)
minecraft.mined.diamond_ore: #25, 20(0%)
minecraft.picked_up.diamond_pickaxe: #25, 3(0%)
minecraft.picked_up.diamond_shovel: #25, 2(0%)
minecraft.mined.furnace: #25, 5(0%)
minecraft.used.diorite: #25, 33(0%)
minecraft.used.flint_and_steel: #25, 18(0%)
minecraft.picked_up.player_head: #25, 21(0%)
minecraft.picked_up.raw_copper: #25, 188(0%)
minecraft.picked_up.soul_sand: #25, 25(0%)
minecraft.custom.interact_with_stonecutter: #25, 8(0%)
minecraft.custom.open_barrel: #25, 74(0%)
minecraft.used.granite: #25, 18(0%)
minecraft.used.oak_trapdoor: #25, 3(0%)
minecraft.crafted.redstone_torch: #25, 20(0%)
minecraft.mined.oak_trapdoor: #25, 1(0%)
minecraft.dropped.cobblestone: #25, 58(0%)
minecraft.crafted.bucket: #25, 3(0%)
minecraft.crafted.paper: #25, 105(0%)
minecraft.picked_up.oak_trapdoor: #25, 1(0%)
minecraft.crafted.oak_trapdoor: #25, 2(0%)
minecraft.picked_up.rotten_flesh: #25, 42(0%)
minecraft.used.observer: #25, 3(0%)
minecraft.dropped.string: #25, 2(0%)
minecraft.used.netherrack: #25, 20(0%)
minecraft.picked_up.item_frame: #25, 1(0%)
minecraft.picked_up.iron_ingot: #25, 37(0%)
minecraft.used.sticky_piston: #25, 1(0%)
minecraft.picked_up.stone_button: #25, 1(0%)
minecraft.crafted.item_frame: #25, 1(0%)
minecraft.used.item_frame: #25, 1(0%)
minecraft.dropped.wheat_seeds: #25, 13(0%)
minecraft.dropped.golden_carrot: #25, 1(0%)
minecraft.dropped.cobbled_deepslate: #25, 1(0%)
minecraft.mined.calcite: #25, 3(0%)
minecraft.dropped.rotten_flesh: #25, 7(0%)
minecraft.picked_up.grass_block: #25, 13(0%)
minecraft.used.string: #25, 1(0%)
minecraft.picked_up.cobblestone: #26, 6052(1%)
minecraft.mined.deepslate_gold_ore: #26, 25(1%)
minecraft.picked_up.diamond: #26, 70(0%)
minecraft.used.water_bucket: #26, 124(0%)
minecraft.used.bucket: #26, 126(0%)
minecraft.picked_up.water_bucket: #26, 1(0%)
minecraft.mined.tall_seagrass: #26, 4(0%)
minecraft.mined.shulker_box: #26, 17(0%)
minecraft.picked_up.shulker_box: #26, 17(0%)
minecraft.used.deepslate: #26, 28(0%)
minecraft.used.shulker_box: #26, 13(0%)
minecraft.crafted.iron_block: #26, 32(0%)
minecraft.mined.hopper: #26, 1(0%)
minecraft.mined.sand: #26, 125(0%)
minecraft.used.soul_sand: #26, 1(0%)
minecraft.picked_up.sand: #26, 126(0%)
minecraft.picked_up.hopper: #26, 1(0%)
minecraft.used.sand: #26, 20(0%)
minecraft.dropped.sand: #26, 1(0%)
minecraft.used.redstone: #26, 2(0%)
minecraft.used.grass_block: #26, 10(0%)
minecraft.picked_up.ender_pearl: #26, 2(0%)
minecraft.custom.walk_on_water_one_cm: #27, 270135(0%)
minecraft.custom.interact_with_lectern: #28, 1(0%)
minecraft.custom.leave_game: #30, 146(1%)
minecraft.custom.deaths: #30, 1(0%)
minecraft.custom.play_time: #33, 7698061(1%)
minecraft.custom.total_world_time: #33, 7698061(1%)
minecraft.custom.fly_one_cm: #35, 11202693(1%)
minecraft.custom.walk_under_water_one_cm: #35, 114083(0%)
minecraft.custom.time_since_rest: #42, 15086(0%)
