stat, rank, value, (percentage) 
minecraft.picked_up.deepslate_tiles: #6, 535(7%)
minecraft.used.cyan_shulker_box: #5, 22(7%)
minecraft.picked_up.cyan_shulker_box: #5, 21(7%)
minecraft.mined.cracked_deepslate_bricks: #5, 29(6%)
minecraft.mined.cyan_shulker_box: #5, 21(7%)
minecraft.used.crimson_nylium: #5, 26(4%)
minecraft.picked_up.wooden_axe: #5, 1(9%)
minecraft.used.wheat: #5, 8(6%)
minecraft.mined.warped_fungus: #6, 34(6%)
minecraft.dropped.shroomlight: #5, 3(2%)
minecraft.crafted.cyan_wool: #5, 3(2%)
minecraft.mined.cyan_bed: #5, 4(2%)
minecraft.picked_up.purple_stained_glass: #5, 1(1%)
minecraft.custom.traded_with_villager: #6, 19331(4%)
minecraft.dropped.peony: #5, 1(1%)
minecraft.used.lapis_block: #5, 1(0%)
minecraft.used.deepslate_brick_wall: #6, 127(7%)
minecraft.picked_up.oak_door: #6, 5(5%)
minecraft.used.oak_pressure_plate: #6, 2(7%)
minecraft.mined.andesite_slab: #6, 22(5%)
minecraft.used.peony: #6, 4(5%)
minecraft.picked_up.rail: #7, 1253(6%)
minecraft.custom.talked_to_villager: #7, 3225(6%)
minecraft.crafted.andesite_slab: #6, 78(4%)
minecraft.used.wooden_sword: #6, 25(6%)
minecraft.mined.ladder: #7, 64(6%)
minecraft.picked_up.blue_terracotta: #6, 12(6%)
minecraft.dropped.yellow_bed: #6, 1(7%)
minecraft.mined.grindstone: #6, 18(2%)
minecraft.used.blue_dye: #6, 1(8%)
minecraft.crafted.bread: #7, 885(7%)
minecraft.picked_up.allium: #6, 107(1%)
minecraft.picked_up.cyan_bed: #6, 4(2%)
minecraft.mined.attached_pumpkin_stem: #6, 3(1%)
minecraft.picked_up.warped_roots: #7, 212(5%)
minecraft.picked_up.black_bed: #6, 2(1%)
minecraft.mined.black_bed: #6, 2(1%)
minecraft.picked_up.magenta_dye: #6, 3(1%)
minecraft.used.black_bed: #6, 2(1%)
minecraft.mined.pumpkin: #7, 196(5%)
minecraft.used.powered_rail: #7, 539(4%)
minecraft.crafted.purple_shulker_box: #7, 1(10%)
minecraft.picked_up.book: #7, 618(4%)
minecraft.mined.bookshelf: #7, 206(4%)
minecraft.dropped.azalea_leaves: #7, 64(5%)
minecraft.picked_up.vine: #7, 358(3%)
minecraft.crafted.note_block: #7, 76(3%)
minecraft.used.rail: #8, 1530(6%)
minecraft.picked_up.cyan_terracotta: #7, 118(3%)
minecraft.mined.deepslate_brick_stairs: #7, 30(3%)
minecraft.crafted.wooden_sword: #7, 1(6%)
minecraft.used.cracked_deepslate_bricks: #7, 157(3%)
minecraft.picked_up.crimson_nylium: #7, 43(2%)
minecraft.dropped.porkchop: #7, 7(4%)
minecraft.used.dark_oak_button: #7, 8(2%)
minecraft.picked_up.andesite_slab: #7, 17(2%)
minecraft.picked_up.chiseled_deepslate: #7, 17(2%)
minecraft.mined.detector_rail: #7, 1(4%)
minecraft.mined.light_blue_shulker_box: #7, 16(2%)
minecraft.picked_up.light_blue_shulker_box: #7, 16(2%)
minecraft.crafted.cyan_bed: #7, 1(4%)
minecraft.picked_up.blue_dye: #7, 9(2%)
minecraft.used.composter: #8, 100(5%)
minecraft.crafted.cooked_chicken: #7, 7(1%)
minecraft.mined.peony: #8, 7(6%)
minecraft.dropped.spruce_planks: #8, 128(5%)
minecraft.dropped.comparator: #7, 1(0%)
minecraft.crafted.wooden_axe: #8, 1(11%)
minecraft.crafted.chain: #8, 331(4%)
minecraft.crafted.deepslate_brick_slab: #8, 54(6%)
minecraft.crafted.lectern: #8, 16(4%)
minecraft.mined.oak_leaves: #8, 4290(3%)
minecraft.used.oak_door: #8, 4(5%)
minecraft.crafted.composter: #8, 58(3%)
minecraft.used.diamond_helmet: #8, 3(5%)
minecraft.used.flowering_azalea_leaves: #8, 83(3%)
minecraft.crafted.dark_oak_fence_gate: #8, 31(4%)
minecraft.crafted.bookshelf: #8, 222(3%)
minecraft.mined.obsidian: #8, 446(3%)
minecraft.used.iron_helmet: #8, 1(7%)
minecraft.used.cactus: #8, 152(3%)
minecraft.used.cooked_salmon: #8, 6(6%)
minecraft.crafted.golden_carrot: #8, 1185(3%)
minecraft.used.grass: #8, 54(3%)
minecraft.crafted.cyan_shulker_box: #8, 1(6%)
minecraft.used.oak_leaves: #8, 807(2%)
minecraft.crafted.magenta_shulker_box: #8, 1(5%)
minecraft.picked_up.grindstone: #8, 17(2%)
minecraft.used.warped_nylium: #8, 11(3%)
minecraft.picked_up.charcoal: #8, 8(2%)
minecraft.crafted.dark_oak_button: #8, 8(2%)
minecraft.used.light_blue_shulker_box: #8, 16(2%)
minecraft.picked_up.cooked_porkchop: #8, 21(2%)
minecraft.used.cobbled_deepslate_stairs: #8, 37(1%)
minecraft.crafted.cyan_stained_glass: #8, 32(1%)
minecraft.used.cyan_bed: #8, 5(2%)
minecraft.dropped.iron_axe: #8, 3(1%)
minecraft.used.cyan_stained_glass: #8, 21(1%)
minecraft.mined.pumpkin_stem: #8, 5(1%)
minecraft.used.cooked_chicken: #8, 8(0%)
minecraft.dropped.oak_boat: #8, 2(0%)
minecraft.used.chain: #9, 276(4%)
minecraft.dropped.dark_oak_log: #9, 58(5%)
minecraft.crafted.diamond_chestplate: #9, 2(5%)
minecraft.mined.cactus: #9, 135(3%)
minecraft.used.bookshelf: #9, 206(3%)
minecraft.used.dark_oak_fence_gate: #9, 23(4%)
minecraft.crafted.pink_shulker_box: #9, 1(7%)
minecraft.mined.vine: #9, 339(3%)
minecraft.mined.redstone_block: #9, 42(2%)
minecraft.mined.weeping_vines: #9, 8(3%)
minecraft.used.iron_leggings: #9, 1(6%)
minecraft.dropped.observer: #9, 12(3%)
minecraft.picked_up.spore_blossom: #9, 6(2%)
minecraft.used.deepslate_tile_wall: #9, 147(2%)
minecraft.dropped.oak_stairs: #9, 7(3%)
minecraft.crafted.golden_chestplate: #9, 1(4%)
minecraft.crafted.purple_dye: #9, 42(2%)
minecraft.picked_up.pumpkin: #9, 210(1%)
minecraft.picked_up.deepslate_brick_stairs: #9, 29(2%)
minecraft.dropped.enchanted_book: #9, 5(1%)
minecraft.dropped.birch_sapling: #9, 7(1%)
minecraft.custom.time_since_death: #11, 6908262(4%)
minecraft.picked_up.dead_bush: #9, 34(1%)
minecraft.picked_up.red_tulip: #9, 1(0%)
minecraft.picked_up.warped_fungus: #10, 35(4%)
minecraft.mined.player_wall_head: #10, 7(4%)
minecraft.used.stone_sword: #10, 43(4%)
minecraft.killed.glow_squid: #10, 5(3%)
minecraft.used.deepslate_tile_stairs: #10, 439(3%)
minecraft.used.white_bed: #10, 53(2%)
minecraft.mined.white_carpet: #10, 21(3%)
minecraft.mined.crimson_nylium: #10, 44(2%)
minecraft.used.pumpkin_seeds: #10, 51(3%)
minecraft.picked_up.grass: #10, 59(2%)
minecraft.picked_up.gold_ingot: #10, 64(2%)
minecraft.crafted.magenta_dye: #10, 36(2%)
minecraft.crafted.iron_sword: #10, 5(2%)
minecraft.crafted.mossy_cobblestone: #10, 167(3%)
minecraft.picked_up.warped_nylium: #10, 32(2%)
minecraft.mined.brown_mushroom: #10, 15(2%)
minecraft.crafted.golden_apple: #10, 18(2%)
minecraft.picked_up.obsidian: #10, 412(1%)
minecraft.crafted.cooked_mutton: #10, 8(2%)
minecraft.crafted.detector_rail: #10, 6(3%)
minecraft.dropped.flint: #10, 32(1%)
minecraft.used.grindstone: #10, 27(1%)
minecraft.mined.polished_andesite: #10, 22(1%)
minecraft.used.deepslate_brick_stairs: #10, 84(1%)
minecraft.crafted.grindstone: #10, 16(1%)
minecraft.crafted.cyan_terracotta: #10, 320(1%)
minecraft.crafted.light_blue_shulker_box: #10, 1(1%)
minecraft.crafted.jack_o_lantern: #10, 20(1%)
minecraft.used.crimson_stem: #10, 14(1%)
minecraft.used.chiseled_deepslate: #10, 26(1%)
minecraft.dropped.cactus: #10, 11(1%)
minecraft.crafted.apple: #10, 24(1%)
minecraft.mined.cobbled_deepslate_wall: #10, 3(1%)
minecraft.used.birch_leaves: #10, 52(1%)
minecraft.crafted.suspicious_stew: #10, 1(1%)
minecraft.picked_up.cobbled_deepslate_stairs: #10, 3(0%)
minecraft.used.iron_boots: #11, 1(6%)
minecraft.dropped.bow: #11, 43(2%)
minecraft.dropped.diamond_chestplate: #11, 1(5%)
minecraft.mined.white_bed: #11, 44(2%)
minecraft.picked_up.cactus: #11, 404(2%)
minecraft.crafted.deepslate_tile_slab: #11, 156(2%)
minecraft.mined.warped_nylium: #11, 36(2%)
minecraft.picked_up.ladder: #11, 116(2%)
minecraft.used.white_carpet: #11, 60(2%)
minecraft.crafted.cobbled_deepslate_slab: #11, 60(2%)
minecraft.mined.deepslate_tile_stairs: #11, 71(2%)
minecraft.used.stone_hoe: #11, 143(2%)
minecraft.dropped.stone_pickaxe: #11, 2(2%)
minecraft.killed.hoglin: #11, 3(2%)
minecraft.used.iron_door: #11, 6(2%)
minecraft.crafted.birch_sign: #11, 21(1%)
minecraft.used.diamond_hoe: #11, 5765(2%)
minecraft.broken.stone_hoe: #11, 1(3%)
minecraft.used.sunflower: #11, 3(2%)
minecraft.picked_up.deepslate_brick_slab: #11, 22(1%)
minecraft.used.deepslate_lapis_ore: #11, 2(1%)
minecraft.mined.cobbled_deepslate_stairs: #11, 3(1%)
minecraft.picked_up.polished_andesite: #11, 21(1%)
